name,date,open_price,close_price,high_price,low_price,volume,market
MYC,04-Jan-2010,12.88,12.9,12.85,12.87,31100,NYSE
MYC,05-Jan-2010,12.85,12.92,12.79,12.91,28200,NYSE
MYC,06-Jan-2010,12.87,12.92,12.8,12.9,50900,NYSE
MYC,07-Jan-2010,12.85,12.9,12.85,12.89,20900,NYSE
MYC,08-Jan-2010,12.89,12.95,12.88,12.95,18100,NYSE
MYC,11-Jan-2010,12.87,12.97,12.87,12.94,27800,NYSE
MYC,12-Jan-2010,12.92,12.97,12.91,12.91,39300,NYSE
MYC,13-Jan-2010,12.86,12.91,12.85,12.88,14800,NYSE
MYC,14-Jan-2010,12.86,12.86,12.8,12.83,14800,NYSE
MYC,15-Jan-2010,13.03,13.03,12.79,12.86,52300,NYSE
MYC,19-Jan-2010,12.81,12.93,12.79,12.85,54600,NYSE
MYC,20-Jan-2010,12.81,12.86,12.79,12.8,27300,NYSE
MYC,21-Jan-2010,12.79,12.85,12.71,12.76,120800,NYSE
MYC,22-Jan-2010,12.78,12.82,12.72,12.81,35300,NYSE
MYC,25-Jan-2010,12.85,12.89,12.82,12.87,12400,NYSE
MYC,26-Jan-2010,12.84,12.91,12.84,12.89,19300,NYSE
MYC,27-Jan-2010,12.83,12.89,12.64,12.77,65200,NYSE
MYC,28-Jan-2010,12.77,12.78,12.74,12.74,21700,NYSE
MYC,29-Jan-2010,12.75,12.75,12.65,12.7,31700,NYSE
MYC,01-Feb-2010,12.74,12.82,12.73,12.77,42800,NYSE
MYC,02-Feb-2010,12.71,12.9,12.71,12.89,40300,NYSE
MYC,03-Feb-2010,12.88,12.95,12.83,12.93,58100,NYSE
MYC,04-Feb-2010,12.91,12.96,12.86,12.92,37400,NYSE
MYC,05-Feb-2010,12.86,12.95,12.86,12.92,13600,NYSE
MYC,08-Feb-2010,12.86,12.95,12.86,12.95,19900,NYSE
MYC,09-Feb-2010,12.95,12.98,12.86,12.89,35000,NYSE
MYC,10-Feb-2010,12.81,12.86,12.73,12.77,46200,NYSE
MYC,11-Feb-2010,12.8,12.85,12.79,12.82,17200,NYSE
MYC,12-Feb-2010,12.81,12.88,12.81,12.87,16000,NYSE
MYC,16-Feb-2010,12.85,12.88,12.78,12.79,32500,NYSE
MYC,17-Feb-2010,12.8,12.89,12.8,12.86,15800,NYSE
MYC,18-Feb-2010,13.1,13.1,12.84,12.86,38000,NYSE
MYC,19-Feb-2010,12.9,12.9,12.76,12.78,60500,NYSE
MYC,22-Feb-2010,12.74,12.76,12.55,12.66,65900,NYSE
MYC,23-Feb-2010,12.7,12.75,12.65,12.75,42200,NYSE
MYC,24-Feb-2010,12.71,12.84,12.71,12.78,34900,NYSE
MYC,25-Feb-2010,12.84,12.87,12.74,12.74,57400,NYSE
MYC,26-Feb-2010,12.78,12.85,12.77,12.85,27100,NYSE
MYC,01-Mar-2010,12.87,12.92,12.87,12.91,17900,NYSE
MYC,02-Mar-2010,12.93,12.97,12.9,12.9,20700,NYSE
MYC,03-Mar-2010,12.89,12.94,12.88,12.89,14900,NYSE
MYC,04-Mar-2010,12.87,12.98,12.87,12.98,23900,NYSE
MYC,05-Mar-2010,12.97,12.99,12.9,12.92,40700,NYSE
MYC,08-Mar-2010,12.92,13.03,12.91,13.0,51900,NYSE
MYC,09-Mar-2010,12.97,13.05,12.97,13.02,39600,NYSE
MYC,10-Mar-2010,13.06,13.18,13.0,13.04,112300,NYSE
MYC,11-Mar-2010,12.96,13.03,12.96,12.96,18700,NYSE
MYC,12-Mar-2010,12.93,12.95,12.88,12.93,30200,NYSE
MYC,15-Mar-2010,12.95,12.99,12.95,12.96,52900,NYSE
MYC,16-Mar-2010,12.99,13.03,12.91,12.95,41400,NYSE
MYC,17-Mar-2010,12.9,12.94,12.7,12.85,118400,NYSE
MYC,18-Mar-2010,12.85,12.89,12.83,12.88,19700,NYSE
MYC,19-Mar-2010,12.85,12.86,12.8,12.83,44100,NYSE
MYC,22-Mar-2010,12.8,12.93,12.8,12.9,67200,NYSE
MYC,23-Mar-2010,12.95,12.99,12.87,12.99,33500,NYSE
MYC,24-Mar-2010,13.0,13.05,12.97,13.0,42000,NYSE
MYC,25-Mar-2010,12.98,13.09,12.98,13.0,32900,NYSE
MYC,26-Mar-2010,12.99,13.06,12.99,13.03,32400,NYSE
MYC,29-Mar-2010,13.1,13.16,13.08,13.13,42300,NYSE
MYC,30-Mar-2010,13.07,13.18,13.07,13.13,25700,NYSE
MYC,31-Mar-2010,13.09,13.19,13.09,13.19,30200,NYSE
MYC,01-Apr-2010,13.16,13.22,13.16,13.22,11200,NYSE
MYC,05-Apr-2010,13.23,13.23,13.15,13.19,35700,NYSE
MYC,06-Apr-2010,13.17,13.23,13.14,13.18,33200,NYSE
MYC,07-Apr-2010,13.15,13.22,13.13,13.16,19500,NYSE
MYC,08-Apr-2010,13.13,13.26,13.13,13.25,27800,NYSE
MYC,09-Apr-2010,13.21,13.26,13.17,13.23,41900,NYSE
MYC,12-Apr-2010,13.22,13.27,13.16,13.27,49900,NYSE
MYC,13-Apr-2010,13.25,13.25,13.13,13.17,17100,NYSE
MYC,14-Apr-2010,13.23,13.24,13.17,13.22,38700,NYSE
MYC,15-Apr-2010,13.17,13.19,13.12,13.15,34000,NYSE
MYC,16-Apr-2010,13.11,13.18,13.1,13.18,16900,NYSE
MYC,19-Apr-2010,13.12,13.2,13.12,13.2,40000,NYSE
MYC,20-Apr-2010,13.2,13.22,13.16,13.16,23600,NYSE
MYC,21-Apr-2010,13.19,13.21,13.15,13.2,17700,NYSE
MYC,22-Apr-2010,13.2,13.26,13.2,13.26,36700,NYSE
MYC,23-Apr-2010,13.21,13.29,13.21,13.27,24700,NYSE
MYC,26-Apr-2010,13.23,13.3,13.01,13.29,34200,NYSE
MYC,27-Apr-2010,13.29,13.31,13.27,13.31,25500,NYSE
MYC,28-Apr-2010,13.26,13.35,13.26,13.34,49900,NYSE
MYC,29-Apr-2010,13.36,13.41,13.34,13.4,46500,NYSE
MYC,30-Apr-2010,13.43,13.44,13.32,13.4,50100,NYSE
MYC,03-May-2010,13.39,13.44,13.39,13.42,20300,NYSE
MYC,04-May-2010,13.38,13.44,13.37,13.41,46500,NYSE
MYC,05-May-2010,13.42,13.47,13.4,13.46,30500,NYSE
MYC,06-May-2010,13.47,13.48,13.27,13.38,50100,NYSE
MYC,07-May-2010,13.4,13.43,13.25,13.28,34100,NYSE
MYC,10-May-2010,13.35,13.49,13.35,13.45,40500,NYSE
MYC,11-May-2010,13.45,13.46,13.43,13.43,42200,NYSE
MYC,12-May-2010,13.38,13.46,13.38,13.46,52100,NYSE
MYC,13-May-2010,13.44,13.54,12.8,13.49,32000,NYSE
MYC,14-May-2010,13.54,13.54,13.17,13.45,31200,NYSE
MYC,17-May-2010,13.38,13.46,13.21,13.35,93200,NYSE
MYC,18-May-2010,13.35,13.39,13.2,13.36,76000,NYSE
MYC,19-May-2010,13.25,13.34,13.25,13.32,39800,NYSE
MYC,20-May-2010,13.26,13.33,13.16,13.28,40600,NYSE
MYC,21-May-2010,13.23,13.32,13.08,13.32,32700,NYSE
MYC,24-May-2010,13.32,13.33,13.2,13.26,70000,NYSE
MYC,25-May-2010,13.15,13.23,13.14,13.15,64900,NYSE
MYC,26-May-2010,13.15,13.27,13.15,13.21,60400,NYSE
MYC,27-May-2010,13.21,13.29,13.21,13.29,33200,NYSE
MYC,28-May-2010,13.29,13.29,13.2,13.24,29700,NYSE
MYC,01-Jun-2010,13.31,13.31,13.24,13.27,47100,NYSE
MYC,02-Jun-2010,13.26,13.35,13.26,13.35,39900,NYSE
MYC,03-Jun-2010,13.3,13.37,13.3,13.37,41700,NYSE
MYC,04-Jun-2010,13.38,13.43,13.34,13.39,43900,NYSE
MYC,07-Jun-2010,13.4,13.47,13.4,13.45,31200,NYSE
MYC,08-Jun-2010,13.41,13.49,13.4,13.48,36700,NYSE
MYC,09-Jun-2010,13.47,13.54,13.46,13.53,34200,NYSE
MYC,10-Jun-2010,13.53,13.6,13.53,13.59,44700,NYSE
MYC,11-Jun-2010,13.5,13.53,13.46,13.47,21000,NYSE
MYC,14-Jun-2010,13.48,13.49,13.35,13.35,41000,NYSE
MYC,15-Jun-2010,13.33,13.37,13.3,13.35,57100,NYSE
MYC,16-Jun-2010,13.37,13.4,13.36,13.38,14900,NYSE
MYC,17-Jun-2010,13.41,13.5,13.37,13.5,38400,NYSE
MYC,18-Jun-2010,13.45,13.54,13.45,13.53,29300,NYSE
MYC,21-Jun-2010,13.5,13.57,13.5,13.56,31100,NYSE
MYC,22-Jun-2010,13.51,13.56,13.51,13.52,32800,NYSE
MYC,23-Jun-2010,13.52,13.58,13.52,13.58,25200,NYSE
MYC,24-Jun-2010,13.58,13.63,13.57,13.62,52900,NYSE
MYC,25-Jun-2010,13.62,13.75,13.62,13.74,42700,NYSE
MYC,28-Jun-2010,13.72,13.76,13.66,13.73,69600,NYSE
MYC,29-Jun-2010,13.72,13.72,13.59,13.65,48400,NYSE
MYC,30-Jun-2010,13.64,13.65,13.56,13.6,35200,NYSE
