name,date,open_price,close_price,high_price,low_price,volume,market
NAN,04-Jan-2010,12.98,13.0,12.97,13.0,7300,NYSE
NAN,05-Jan-2010,13.01,13.09,12.95,13.07,8600,NYSE
NAN,06-Jan-2010,13.0,13.07,13.0,13.07,7500,NYSE
NAN,07-Jan-2010,13.08,13.08,13.01,13.07,5200,NYSE
NAN,08-Jan-2010,13.02,13.04,13.0,13.0,23500,NYSE
NAN,11-Jan-2010,13.0,13.08,13.0,13.08,4600,NYSE
NAN,12-Jan-2010,13.08,13.11,13.02,13.11,7300,NYSE
NAN,13-Jan-2010,13.1,13.1,13.02,13.09,1500,NYSE
NAN,14-Jan-2010,13.11,13.11,13.08,13.09,6000,NYSE
NAN,15-Jan-2010,13.14,13.14,13.03,13.09,11100,NYSE
NAN,19-Jan-2010,13.1,13.13,13.05,13.13,13800,NYSE
NAN,20-Jan-2010,13.11,13.12,13.01,13.1,11500,NYSE
NAN,21-Jan-2010,13.07,13.07,12.97,13.02,13300,NYSE
NAN,22-Jan-2010,13.03,13.04,12.98,13.0,39000,NYSE
NAN,25-Jan-2010,12.97,13.09,12.97,13.08,17900,NYSE
NAN,26-Jan-2010,13.04,13.12,13.04,13.11,12500,NYSE
NAN,27-Jan-2010,13.15,13.15,13.06,13.08,18200,NYSE
NAN,28-Jan-2010,13.12,13.14,13.05,13.12,16900,NYSE
NAN,29-Jan-2010,13.13,13.14,13.1,13.14,19200,NYSE
NAN,01-Feb-2010,13.15,13.16,13.1,13.12,19200,NYSE
NAN,02-Feb-2010,13.1,13.15,13.1,13.13,10900,NYSE
NAN,03-Feb-2010,13.05,13.14,13.05,13.07,28600,NYSE
NAN,04-Feb-2010,13.1,13.15,13.08,13.15,18400,NYSE
NAN,05-Feb-2010,13.08,13.15,13.06,13.15,14100,NYSE
NAN,08-Feb-2010,13.15,13.17,13.09,13.17,20000,NYSE
NAN,09-Feb-2010,13.18,13.18,13.15,13.16,15400,NYSE
NAN,10-Feb-2010,13.08,13.12,13.08,13.12,7300,NYSE
NAN,11-Feb-2010,13.12,13.19,13.12,13.17,7700,NYSE
NAN,12-Feb-2010,13.16,13.19,13.11,13.19,13300,NYSE
NAN,16-Feb-2010,13.17,13.25,13.17,13.21,12800,NYSE
NAN,17-Feb-2010,13.25,13.26,13.17,13.18,12100,NYSE
NAN,18-Feb-2010,13.24,13.25,13.2,13.24,6000,NYSE
NAN,19-Feb-2010,13.24,13.26,13.19,13.19,17200,NYSE
NAN,22-Feb-2010,13.22,13.23,13.13,13.14,11700,NYSE
NAN,23-Feb-2010,13.23,13.27,13.2,13.27,26800,NYSE
NAN,24-Feb-2010,13.29,13.32,13.27,13.32,17500,NYSE
NAN,25-Feb-2010,13.31,13.31,13.24,13.3,14300,NYSE
NAN,26-Feb-2010,13.31,13.34,13.24,13.28,18600,NYSE
NAN,01-Mar-2010,13.34,13.35,13.3,13.31,15300,NYSE
NAN,02-Mar-2010,13.34,13.34,13.31,13.32,19800,NYSE
NAN,03-Mar-2010,13.36,13.42,13.35,13.35,10700,NYSE
NAN,04-Mar-2010,13.42,13.46,13.36,13.46,10900,NYSE
NAN,05-Mar-2010,13.45,13.45,13.42,13.44,3100,NYSE
NAN,08-Mar-2010,13.48,13.51,13.47,13.51,4200,NYSE
NAN,09-Mar-2010,13.51,13.75,13.51,13.68,31200,NYSE
NAN,10-Mar-2010,13.73,13.73,13.67,13.68,24200,NYSE
NAN,11-Mar-2010,13.63,13.66,13.6,13.63,3500,NYSE
NAN,12-Mar-2010,13.68,13.68,13.63,13.64,11200,NYSE
NAN,15-Mar-2010,13.62,13.75,13.58,13.58,11600,NYSE
NAN,16-Mar-2010,13.6,13.69,13.59,13.64,6800,NYSE
NAN,17-Mar-2010,13.65,13.65,13.59,13.6,8300,NYSE
NAN,18-Mar-2010,13.68,13.68,13.58,13.59,16100,NYSE
NAN,19-Mar-2010,13.62,13.68,13.62,13.63,7400,NYSE
NAN,22-Mar-2010,13.7,13.7,13.63,13.64,10000,NYSE
NAN,23-Mar-2010,13.71,13.72,13.66,13.66,5700,NYSE
NAN,24-Mar-2010,13.73,13.73,13.62,13.62,9300,NYSE
NAN,25-Mar-2010,13.73,13.73,13.5,13.5,23600,NYSE
NAN,26-Mar-2010,13.57,13.57,13.5,13.51,5200,NYSE
NAN,29-Mar-2010,13.56,13.61,13.52,13.61,2800,NYSE
NAN,30-Mar-2010,13.65,13.65,13.5,13.53,3600,NYSE
NAN,31-Mar-2010,13.53,13.53,13.47,13.48,21400,NYSE
NAN,01-Apr-2010,13.43,13.6,13.43,13.55,15900,NYSE
NAN,05-Apr-2010,13.62,13.62,13.48,13.48,20400,NYSE
NAN,06-Apr-2010,13.48,13.57,13.44,13.46,26000,NYSE
NAN,07-Apr-2010,13.46,13.54,13.46,13.53,5800,NYSE
NAN,08-Apr-2010,13.52,13.54,13.47,13.54,6800,NYSE
NAN,09-Apr-2010,13.57,13.57,13.54,13.57,4300,NYSE
NAN,12-Apr-2010,13.55,13.61,13.55,13.61,5200,NYSE
NAN,13-Apr-2010,13.58,13.65,13.58,13.59,8000,NYSE
NAN,14-Apr-2010,13.52,13.61,13.51,13.53,23500,NYSE
NAN,15-Apr-2010,13.58,13.59,13.45,13.46,36800,NYSE
NAN,16-Apr-2010,13.46,13.55,13.46,13.54,26000,NYSE
NAN,19-Apr-2010,13.54,13.56,13.5,13.51,10200,NYSE
NAN,20-Apr-2010,13.53,13.55,13.52,13.54,19200,NYSE
NAN,21-Apr-2010,13.57,13.57,13.5,13.55,20400,NYSE
NAN,22-Apr-2010,13.56,13.56,13.5,13.55,9700,NYSE
NAN,23-Apr-2010,13.57,13.57,13.5,13.54,10900,NYSE
NAN,26-Apr-2010,13.57,13.59,13.55,13.58,15900,NYSE
NAN,27-Apr-2010,13.59,13.61,13.52,13.61,11500,NYSE
NAN,28-Apr-2010,13.6,13.61,13.57,13.61,12600,NYSE
NAN,29-Apr-2010,13.62,13.65,13.56,13.61,12300,NYSE
NAN,30-Apr-2010,13.68,13.68,13.62,13.62,22700,NYSE
NAN,03-May-2010,13.58,13.68,13.57,13.65,22300,NYSE
NAN,04-May-2010,13.59,13.64,13.59,13.6,8100,NYSE
NAN,05-May-2010,13.59,13.62,13.59,13.6,4200,NYSE
NAN,06-May-2010,13.61,13.64,13.46,13.46,20800,NYSE
NAN,07-May-2010,13.42,13.5,13.35,13.45,15200,NYSE
NAN,10-May-2010,13.57,13.58,13.46,13.5,11000,NYSE
NAN,11-May-2010,13.5,13.64,13.5,13.64,20700,NYSE
NAN,12-May-2010,13.72,13.72,13.55,13.59,11900,NYSE
NAN,13-May-2010,13.58,13.67,13.58,13.67,6300,NYSE
NAN,14-May-2010,13.61,13.65,13.51,13.6,10000,NYSE
NAN,17-May-2010,13.58,13.61,13.54,13.54,10800,NYSE
NAN,18-May-2010,13.62,13.65,13.58,13.58,9000,NYSE
NAN,19-May-2010,13.48,13.54,13.46,13.54,16700,NYSE
NAN,20-May-2010,13.51,13.51,13.35,13.46,7100,NYSE
NAN,21-May-2010,13.5,13.5,13.36,13.43,9000,NYSE
NAN,24-May-2010,13.49,13.5,13.49,13.5,900,NYSE
NAN,25-May-2010,13.48,13.48,13.42,13.48,4300,NYSE
NAN,26-May-2010,13.5,13.6,13.5,13.6,6600,NYSE
NAN,27-May-2010,13.61,13.65,13.55,13.65,13500,NYSE
NAN,28-May-2010,13.67,13.68,13.61,13.61,3600,NYSE
NAN,01-Jun-2010,13.69,13.69,13.65,13.67,7200,NYSE
NAN,02-Jun-2010,13.67,13.72,13.67,13.72,18600,NYSE
NAN,03-Jun-2010,13.67,13.67,13.62,13.65,6500,NYSE
NAN,04-Jun-2010,13.66,13.67,13.56,13.58,2300,NYSE
NAN,07-Jun-2010,13.56,13.62,13.54,13.6,6000,NYSE
NAN,08-Jun-2010,13.67,13.69,13.6,13.69,7200,NYSE
NAN,09-Jun-2010,13.72,13.72,13.63,13.63,4700,NYSE
NAN,10-Jun-2010,13.75,13.75,13.69,13.7,17900,NYSE
NAN,11-Jun-2010,13.6,13.64,13.58,13.64,2200,NYSE
NAN,14-Jun-2010,13.67,13.69,13.56,13.56,6100,NYSE
NAN,15-Jun-2010,13.6,13.6,13.42,13.48,18300,NYSE
NAN,16-Jun-2010,13.51,13.55,13.5,13.54,8300,NYSE
NAN,17-Jun-2010,13.6,13.6,13.58,13.58,1000,NYSE
NAN,18-Jun-2010,13.63,13.65,13.52,13.55,10600,NYSE
NAN,21-Jun-2010,13.55,13.57,13.55,13.55,3300,NYSE
NAN,22-Jun-2010,13.62,13.62,13.41,13.48,19400,NYSE
NAN,23-Jun-2010,13.48,13.51,13.46,13.46,13900,NYSE
NAN,24-Jun-2010,13.48,13.67,13.47,13.57,26500,NYSE
NAN,25-Jun-2010,13.57,13.57,13.51,13.57,1500,NYSE
NAN,28-Jun-2010,13.6,13.68,13.53,13.68,2900,NYSE
NAN,29-Jun-2010,13.69,13.7,13.56,13.56,3800,NYSE
NAN,30-Jun-2010,13.57,13.64,13.5,13.57,11600,NYSE
NAN,01-Jul-2010,13.61,13.62,13.58,13.62,6600,NYSE
NAN,02-Jul-2010,13.61,13.64,13.61,13.61,7600,NYSE
NAN,06-Jul-2010,13.64,13.68,13.55,13.64,19200,NYSE
NAN,07-Jul-2010,13.64,13.72,13.6,13.72,11100,NYSE
NAN,08-Jul-2010,13.73,13.75,13.62,13.67,27700,NYSE
NAN,09-Jul-2010,13.7,13.7,13.67,13.67,1100,NYSE
NAN,12-Jul-2010,13.69,13.7,13.63,13.69,6200,NYSE
NAN,13-Jul-2010,13.58,13.62,13.58,13.61,5500,NYSE
NAN,14-Jul-2010,13.67,13.71,13.63,13.71,7200,NYSE
NAN,15-Jul-2010,13.75,13.76,13.69,13.76,9900,NYSE
NAN,16-Jul-2010,13.76,13.76,13.73,13.75,21100,NYSE
NAN,19-Jul-2010,13.62,13.73,13.62,13.72,26100,NYSE
NAN,20-Jul-2010,13.71,13.75,13.71,13.75,8700,NYSE
NAN,21-Jul-2010,13.79,13.87,13.79,13.87,8400,NYSE
NAN,22-Jul-2010,13.86,13.89,13.73,13.78,12900,NYSE
NAN,23-Jul-2010,13.82,13.9,13.79,13.79,20400,NYSE
NAN,26-Jul-2010,13.82,13.88,13.8,13.88,9300,NYSE
NAN,27-Jul-2010,13.91,13.93,13.87,13.92,18500,NYSE
NAN,28-Jul-2010,13.87,13.93,13.87,13.89,7000,NYSE
NAN,29-Jul-2010,13.93,13.94,13.89,13.94,18800,NYSE
NAN,30-Jul-2010,13.94,14.03,13.93,14.03,15900,NYSE
NAN,02-Aug-2010,14.08,14.12,14.03,14.08,29400,NYSE
NAN,03-Aug-2010,14.12,14.12,14.08,14.12,9100,NYSE
NAN,04-Aug-2010,14.12,14.17,14.12,14.14,23900,NYSE
NAN,05-Aug-2010,14.17,14.21,14.15,14.18,14800,NYSE
NAN,06-Aug-2010,14.18,14.29,14.15,14.16,20800,NYSE
NAN,09-Aug-2010,14.17,14.24,14.12,14.15,39000,NYSE
NAN,10-Aug-2010,14.16,14.22,14.15,14.22,17200,NYSE
NAN,11-Aug-2010,14.17,14.18,14.16,14.16,19500,NYSE
NAN,12-Aug-2010,14.09,14.17,14.05,14.17,5000,NYSE
NAN,13-Aug-2010,14.14,14.23,14.14,14.2,8400,NYSE
NAN,16-Aug-2010,14.3,14.35,14.2,14.2,52700,NYSE
NAN,17-Aug-2010,14.57,14.57,14.27,14.39,25900,NYSE
NAN,18-Aug-2010,14.35,14.46,14.35,14.44,11100,NYSE
NAN,19-Aug-2010,14.45,14.45,14.39,14.44,5700,NYSE
NAN,20-Aug-2010,14.44,14.44,14.28,14.4,16100,NYSE
NAN,23-Aug-2010,14.44,14.45,14.39,14.42,8500,NYSE
NAN,24-Aug-2010,14.44,14.48,14.37,14.37,19100,NYSE
NAN,25-Aug-2010,14.39,14.47,14.35,14.35,30000,NYSE
