name,date,open_price,close_price,high_price,low_price,volume,market
NBR,04-Jan-2010,22.49,23.21,22.39,23.19,3055700,NYSE
NBR,05-Jan-2010,23.25,25.52,23.21,25.13,13151700,NYSE
NBR,06-Jan-2010,25.01,25.92,25.0,25.74,8349300,NYSE
NBR,07-Jan-2010,25.44,26.34,25.23,26.16,8705000,NYSE
NBR,08-Jan-2010,26.52,27.05,26.27,26.87,6814000,NYSE
NBR,11-Jan-2010,27.02,27.04,25.43,25.99,9410000,NYSE
NBR,12-Jan-2010,25.52,26.0,25.19,25.22,5554500,NYSE
NBR,13-Jan-2010,25.11,25.91,25.01,25.85,4824400,NYSE
NBR,14-Jan-2010,25.61,26.37,25.55,25.98,4361700,NYSE
NBR,15-Jan-2010,25.87,25.97,25.2,25.55,5489700,NYSE
NBR,19-Jan-2010,25.37,26.48,25.32,26.45,5459600,NYSE
NBR,20-Jan-2010,26.0,26.07,25.5,25.79,4396100,NYSE
NBR,21-Jan-2010,25.76,26.27,25.2,25.24,6409100,NYSE
NBR,22-Jan-2010,24.99,25.02,23.77,23.88,7929800,NYSE
NBR,25-Jan-2010,24.1,24.77,24.02,24.33,3279100,NYSE
NBR,26-Jan-2010,23.9,24.84,23.53,24.18,6087100,NYSE
NBR,27-Jan-2010,24.05,24.33,22.67,23.59,7895400,NYSE
NBR,28-Jan-2010,24.23,24.52,23.06,23.34,7505000,NYSE
NBR,29-Jan-2010,23.71,24.25,22.16,22.3,7623700,NYSE
NBR,01-Feb-2010,22.76,23.56,22.33,23.55,5396600,NYSE
NBR,02-Feb-2010,23.66,24.18,23.57,23.8,6816100,NYSE
NBR,03-Feb-2010,23.65,24.19,23.55,23.71,3471400,NYSE
NBR,04-Feb-2010,23.48,23.48,22.14,22.24,7190400,NYSE
NBR,05-Feb-2010,22.2,22.5,21.26,22.16,7947300,NYSE
NBR,08-Feb-2010,22.19,22.55,21.49,21.53,6963000,NYSE
NBR,09-Feb-2010,21.97,22.71,21.69,22.29,8486900,NYSE
NBR,10-Feb-2010,22.27,22.95,21.91,22.67,6786300,NYSE
NBR,11-Feb-2010,22.61,23.47,22.48,23.32,7034300,NYSE
NBR,12-Feb-2010,22.82,23.67,22.71,23.56,8510100,NYSE
NBR,16-Feb-2010,23.91,24.16,23.73,23.86,5746100,NYSE
NBR,17-Feb-2010,23.67,23.8,22.75,23.08,9175900,NYSE
NBR,18-Feb-2010,23.1,23.54,22.64,23.4,6475200,NYSE
NBR,19-Feb-2010,23.26,23.63,23.03,23.38,5921400,NYSE
NBR,22-Feb-2010,23.51,23.62,22.45,22.54,7429500,NYSE
NBR,23-Feb-2010,22.36,22.53,21.68,21.88,6597200,NYSE
NBR,24-Feb-2010,21.98,22.2,21.7,21.92,5501200,NYSE
NBR,25-Feb-2010,21.49,22.07,21.14,22.0,5473700,NYSE
NBR,26-Feb-2010,22.07,22.22,21.65,22.04,4686000,NYSE
NBR,01-Mar-2010,22.26,22.39,21.88,22.33,6411900,NYSE
NBR,02-Mar-2010,22.38,23.23,22.38,22.81,7041500,NYSE
NBR,03-Mar-2010,22.94,23.55,22.81,23.2,5264800,NYSE
NBR,04-Mar-2010,23.18,23.37,22.31,22.5,7263000,NYSE
NBR,05-Mar-2010,22.76,22.94,22.5,22.51,6171500,NYSE
NBR,08-Mar-2010,22.51,22.7,22.2,22.42,4496200,NYSE
NBR,09-Mar-2010,22.24,22.39,21.85,22.09,4835600,NYSE
NBR,10-Mar-2010,22.17,22.79,21.99,22.52,4993700,NYSE
NBR,11-Mar-2010,22.29,22.56,22.17,22.51,2657600,NYSE
NBR,12-Mar-2010,22.73,22.97,22.39,22.51,4200700,NYSE
NBR,15-Mar-2010,22.4,22.41,21.57,21.9,4503900,NYSE
NBR,16-Mar-2010,22.05,22.22,21.8,22.06,4578600,NYSE
NBR,17-Mar-2010,22.14,22.25,21.57,21.68,6627800,NYSE
NBR,18-Mar-2010,21.51,21.63,20.22,20.63,12673000,NYSE
NBR,19-Mar-2010,20.59,20.66,19.57,19.88,14212000,NYSE
NBR,22-Mar-2010,19.63,20.41,19.31,20.27,9141800,NYSE
NBR,23-Mar-2010,20.35,20.35,19.36,19.39,14804500,NYSE
NBR,24-Mar-2010,19.2,19.72,19.2,19.58,10366400,NYSE
NBR,25-Mar-2010,19.66,19.73,18.74,18.76,9000200,NYSE
NBR,26-Mar-2010,18.9,19.19,18.81,18.95,6913800,NYSE
