name,date,open_price,close_price,high_price,low_price,volume,market
NFJ,04-Jan-2010,14.93,14.93,14.74,14.84,560200,NYSE
NFJ,05-Jan-2010,14.92,15.02,14.84,15.0,343300,NYSE
NFJ,06-Jan-2010,15.01,15.24,14.98,15.22,412100,NYSE
NFJ,07-Jan-2010,15.15,15.35,15.12,15.33,373700,NYSE
NFJ,08-Jan-2010,15.38,15.49,15.3,15.48,372400,NYSE
NFJ,11-Jan-2010,15.52,15.56,15.4,15.47,388800,NYSE
NFJ,12-Jan-2010,15.49,15.49,15.22,15.32,414900,NYSE
NFJ,13-Jan-2010,15.28,15.39,15.23,15.35,353600,NYSE
NFJ,14-Jan-2010,15.35,15.44,15.31,15.44,261300,NYSE
NFJ,15-Jan-2010,15.41,15.41,15.25,15.37,288300,NYSE
NFJ,19-Jan-2010,15.29,15.48,15.25,15.45,400400,NYSE
NFJ,20-Jan-2010,15.42,15.42,15.2,15.33,326800,NYSE
NFJ,21-Jan-2010,15.41,15.43,15.05,15.08,418200,NYSE
NFJ,22-Jan-2010,15.13,15.15,14.76,14.82,345800,NYSE
NFJ,25-Jan-2010,14.93,14.96,14.74,14.89,384900,NYSE
NFJ,26-Jan-2010,14.52,14.84,14.52,14.7,312000,NYSE
NFJ,27-Jan-2010,14.72,14.72,14.58,14.71,272800,NYSE
NFJ,28-Jan-2010,14.68,14.86,14.55,14.64,302600,NYSE
NFJ,29-Jan-2010,14.75,14.75,14.41,14.5,230700,NYSE
NFJ,01-Feb-2010,14.76,14.84,14.55,14.74,380300,NYSE
NFJ,02-Feb-2010,14.8,15.0,14.76,15.0,297500,NYSE
NFJ,03-Feb-2010,15.08,15.08,14.85,14.96,226000,NYSE
NFJ,04-Feb-2010,14.82,14.83,14.5,14.5,241900,NYSE
NFJ,05-Feb-2010,14.5,14.5,14.09,14.4,492000,NYSE
NFJ,08-Feb-2010,14.33,14.4,14.27,14.28,269900,NYSE
NFJ,09-Feb-2010,14.34,14.49,14.28,14.49,366400,NYSE
NFJ,10-Feb-2010,14.42,14.55,14.28,14.47,294800,NYSE
NFJ,11-Feb-2010,14.46,14.62,14.39,14.54,305200,NYSE
NFJ,12-Feb-2010,14.46,14.58,14.42,14.53,223900,NYSE
NFJ,16-Feb-2010,14.64,14.8,14.63,14.77,251200,NYSE
NFJ,17-Feb-2010,14.9,14.95,14.82,14.94,285000,NYSE
NFJ,18-Feb-2010,14.95,15.07,14.88,15.02,380900,NYSE
NFJ,19-Feb-2010,14.83,15.2,14.83,15.2,226300,NYSE
NFJ,22-Feb-2010,15.27,15.27,15.08,15.18,313400,NYSE
NFJ,23-Feb-2010,15.26,15.26,15.0,15.05,289400,NYSE
NFJ,24-Feb-2010,15.09,15.15,15.01,15.14,295700,NYSE
NFJ,25-Feb-2010,15.06,15.11,14.92,15.11,255400,NYSE
NFJ,26-Feb-2010,15.03,15.18,15.01,15.13,240100,NYSE
NFJ,01-Mar-2010,15.2,15.37,15.12,15.32,361700,NYSE
NFJ,02-Mar-2010,15.35,15.45,15.3,15.3,375100,NYSE
NFJ,03-Mar-2010,15.28,15.45,15.26,15.35,275100,NYSE
NFJ,04-Mar-2010,15.33,15.42,15.3,15.35,242300,NYSE
NFJ,05-Mar-2010,15.37,15.53,15.36,15.53,320500,NYSE
NFJ,08-Mar-2010,15.6,15.6,15.48,15.52,251600,NYSE
NFJ,09-Mar-2010,15.5,15.69,15.4,15.62,347600,NYSE
NFJ,10-Mar-2010,15.59,15.78,15.59,15.7,370300,NYSE
NFJ,11-Mar-2010,15.62,15.74,15.62,15.69,341700,NYSE
NFJ,12-Mar-2010,15.74,15.81,15.67,15.81,361300,NYSE
NFJ,15-Mar-2010,15.8,15.8,15.66,15.75,312500,NYSE
NFJ,16-Mar-2010,15.78,16.09,15.77,16.09,714200,NYSE
NFJ,17-Mar-2010,16.14,16.3,16.07,16.21,518100,NYSE
NFJ,18-Mar-2010,16.03,16.08,15.88,16.0,321300,NYSE
NFJ,19-Mar-2010,15.97,16.01,15.7,15.7,385500,NYSE
NFJ,22-Mar-2010,15.59,15.8,15.51,15.73,263100,NYSE
NFJ,23-Mar-2010,15.82,15.85,15.67,15.83,621800,NYSE
NFJ,24-Mar-2010,15.71,15.8,15.71,15.79,439800,NYSE
NFJ,25-Mar-2010,15.88,15.92,15.72,15.78,620100,NYSE
NFJ,26-Mar-2010,15.76,15.87,15.71,15.76,344900,NYSE
NFJ,29-Mar-2010,15.71,15.84,15.71,15.83,369900,NYSE
NFJ,30-Mar-2010,15.91,15.98,15.78,15.85,320800,NYSE
NFJ,31-Mar-2010,15.72,15.87,15.72,15.82,326100,NYSE
NFJ,01-Apr-2010,15.84,15.98,15.83,15.95,306400,NYSE
NFJ,05-Apr-2010,15.9,16.03,15.88,15.95,453600,NYSE
NFJ,06-Apr-2010,15.89,16.05,15.89,16.02,400000,NYSE
NFJ,07-Apr-2010,15.68,16.04,15.62,15.98,459200,NYSE
NFJ,08-Apr-2010,15.94,16.06,15.9,16.05,406100,NYSE
NFJ,09-Apr-2010,16.05,16.12,16.02,16.07,287000,NYSE
NFJ,12-Apr-2010,16.06,16.11,16.04,16.06,264400,NYSE
NFJ,13-Apr-2010,16.06,16.1,15.97,16.05,299800,NYSE
NFJ,14-Apr-2010,16.06,16.22,16.05,16.21,367700,NYSE
NFJ,15-Apr-2010,16.15,16.2,16.12,16.19,265400,NYSE
NFJ,16-Apr-2010,16.13,16.17,15.85,15.93,267200,NYSE
NFJ,19-Apr-2010,15.84,15.92,15.78,15.92,233900,NYSE
NFJ,20-Apr-2010,16.01,16.07,15.95,16.05,282100,NYSE
NFJ,21-Apr-2010,16.03,16.09,15.93,16.0,239900,NYSE
NFJ,22-Apr-2010,15.97,15.97,15.79,15.94,281000,NYSE
