name,date,open_price,close_price,high_price,low_price,volume,market
NMR,04-Jan-2010,7.35,7.56,7.35,7.56,795300,NYSE
NMR,05-Jan-2010,7.5,7.67,7.5,7.66,877000,NYSE
NMR,06-Jan-2010,7.79,7.79,7.71,7.75,825600,NYSE
NMR,07-Jan-2010,7.9,7.99,7.84,7.98,837400,NYSE
NMR,08-Jan-2010,8.03,8.2,7.96,8.18,734400,NYSE
NMR,11-Jan-2010,8.21,8.25,8.18,8.19,462100,NYSE
NMR,12-Jan-2010,8.39,8.52,8.37,8.38,858400,NYSE
NMR,13-Jan-2010,8.24,8.35,8.21,8.35,371200,NYSE
NMR,14-Jan-2010,8.41,8.58,8.36,8.54,1045500,NYSE
NMR,15-Jan-2010,8.57,8.57,8.32,8.43,1029000,NYSE
NMR,19-Jan-2010,8.06,8.23,8.01,8.07,1862400,NYSE
NMR,20-Jan-2010,7.81,7.81,7.62,7.72,1773400,NYSE
NMR,21-Jan-2010,7.79,7.88,7.73,7.77,791400,NYSE
NMR,22-Jan-2010,7.77,7.96,7.59,7.63,1199700,NYSE
NMR,25-Jan-2010,7.68,7.83,7.68,7.77,1868200,NYSE
NMR,26-Jan-2010,7.68,7.75,7.64,7.65,617400,NYSE
NMR,27-Jan-2010,7.67,7.75,7.57,7.75,687900,NYSE
NMR,28-Jan-2010,7.74,7.74,7.52,7.57,987800,NYSE
NMR,29-Jan-2010,7.66,7.69,7.45,7.48,791200,NYSE
NMR,01-Feb-2010,7.49,7.63,7.48,7.6,540700,NYSE
NMR,02-Feb-2010,7.66,7.9,7.58,7.85,4764500,NYSE
NMR,03-Feb-2010,7.7,7.7,7.48,7.55,1176300,NYSE
NMR,04-Feb-2010,7.52,7.52,7.15,7.18,1458600,NYSE
NMR,05-Feb-2010,7.11,7.16,7.0,7.14,1471000,NYSE
NMR,08-Feb-2010,7.52,7.52,7.14,7.15,409500,NYSE
NMR,09-Feb-2010,7.25,7.26,7.13,7.2,1279900,NYSE
NMR,10-Feb-2010,7.14,7.16,7.01,7.02,1261300,NYSE
NMR,11-Feb-2010,7.02,7.12,7.01,7.09,1141700,NYSE
NMR,12-Feb-2010,7.05,7.05,6.97,7.03,2863400,NYSE
NMR,16-Feb-2010,7.08,7.22,7.05,7.2,822200,NYSE
NMR,17-Feb-2010,7.24,7.33,7.18,7.29,769200,NYSE
NMR,18-Feb-2010,7.22,7.3,7.19,7.27,586000,NYSE
NMR,19-Feb-2010,7.15,7.17,7.06,7.1,800400,NYSE
NMR,22-Feb-2010,7.13,7.18,7.13,7.17,643200,NYSE
NMR,23-Feb-2010,7.17,7.34,7.15,7.28,782400,NYSE
NMR,24-Feb-2010,7.25,7.33,7.25,7.29,731500,NYSE
NMR,25-Feb-2010,7.2,7.21,7.11,7.21,394600,NYSE
NMR,26-Feb-2010,7.27,7.41,7.27,7.38,585200,NYSE
NMR,01-Mar-2010,7.36,7.44,7.35,7.39,399600,NYSE
NMR,02-Mar-2010,7.39,7.44,7.31,7.39,480700,NYSE
NMR,03-Mar-2010,7.26,7.33,7.21,7.28,626500,NYSE
NMR,04-Mar-2010,7.13,7.22,7.13,7.15,522300,NYSE
NMR,05-Mar-2010,7.22,7.27,7.16,7.25,1466900,NYSE
NMR,08-Mar-2010,7.32,7.42,7.29,7.39,542900,NYSE
NMR,09-Mar-2010,7.35,7.43,7.32,7.33,533500,NYSE
NMR,10-Mar-2010,7.22,7.3,7.21,7.21,738700,NYSE
