name,date,open_price,close_price,high_price,low_price,volume,market
NOAH,10-Nov-2010,15.0,17.2,14.05,15.99,9275100,NYSE
NOAH,11-Nov-2010,15.56,15.89,15.11,15.5,1282800,NYSE
NOAH,12-Nov-2010,15.5,16.69,15.45,16.55,1060400,NYSE
NOAH,15-Nov-2010,17.23,17.27,15.63,16.5,924800,NYSE
NOAH,16-Nov-2010,16.0,16.24,15.3,15.5,655200,NYSE
NOAH,17-Nov-2010,15.5,16.66,15.5,16.5,993100,NYSE
NOAH,18-Nov-2010,16.92,17.5,16.6,16.81,886000,NYSE
NOAH,19-Nov-2010,16.65,18.0,16.58,18.0,495600,NYSE
NOAH,22-Nov-2010,17.61,20.68,17.61,20.62,651900,NYSE
NOAH,23-Nov-2010,20.41,20.41,19.35,19.77,388100,NYSE
NOAH,24-Nov-2010,20.13,20.35,19.04,19.07,609400,NYSE
NOAH,26-Nov-2010,18.88,18.88,18.04,18.4,124700,NYSE
NOAH,29-Nov-2010,18.83,18.83,16.71,17.16,628500,NYSE
NOAH,30-Nov-2010,16.86,17.28,15.77,16.16,335400,NYSE
NOAH,01-Dec-2010,16.46,18.2,16.46,17.45,477700,NYSE
NOAH,02-Dec-2010,17.78,19.48,17.6,19.39,370500,NYSE
NOAH,03-Dec-2010,19.43,19.75,18.81,19.07,206000,NYSE
NOAH,06-Dec-2010,19.27,19.83,17.8,18.0,581200,NYSE
NOAH,07-Dec-2010,18.3,18.78,16.5,18.66,286600,NYSE
NOAH,08-Dec-2010,19.19,19.19,17.5,18.0,148400,NYSE
NOAH,09-Dec-2010,17.65,18.1,16.8,16.86,330800,NYSE
NOAH,10-Dec-2010,16.8,17.44,16.8,17.15,210600,NYSE
NOAH,13-Dec-2010,17.51,18.5,17.51,17.91,280600,NYSE
NOAH,14-Dec-2010,18.16,18.46,17.19,17.44,225200,NYSE
NOAH,15-Dec-2010,17.0,17.63,16.8,16.9,145100,NYSE
NOAH,16-Dec-2010,17.41,17.9,16.76,16.9,362200,NYSE
NOAH,17-Dec-2010,16.65,18.1,16.65,17.65,164300,NYSE
NOAH,20-Dec-2010,17.97,18.58,17.3,18.55,104500,NYSE
NOAH,21-Dec-2010,18.94,19.0,18.85,19.0,262200,NYSE
NOAH,22-Dec-2010,19.0,20.27,18.85,20.04,496300,NYSE
NOAH,23-Dec-2010,20.22,20.58,19.78,20.06,133400,NYSE
NOAH,27-Dec-2010,20.17,20.23,19.66,20.03,43900,NYSE
NOAH,28-Dec-2010,20.0,20.0,19.5,19.7,45800,NYSE
NOAH,29-Dec-2010,19.53,19.62,18.35,19.04,107700,NYSE
NOAH,30-Dec-2010,18.71,19.55,18.71,19.35,24500,NYSE
NOAH,31-Dec-2010,19.36,19.98,19.21,19.55,121600,NYSE
NOAH,03-Jan-2011,19.85,20.0,18.67,19.07,100700,NYSE
NOAH,04-Jan-2011,19.01,19.5,17.77,17.9,109900,NYSE
NOAH,05-Jan-2011,17.78,18.29,17.77,18.0,59400,NYSE
NOAH,06-Jan-2011,18.25,18.35,17.85,18.05,33300,NYSE
NOAH,07-Jan-2011,17.92,18.51,17.9,18.08,31300,NYSE
NOAH,10-Jan-2011,18.04,18.71,18.04,18.38,44700,NYSE
NOAH,11-Jan-2011,18.35,19.18,18.26,19.03,54900,NYSE
NOAH,12-Jan-2011,19.25,19.4,18.7,18.85,29600,NYSE
NOAH,13-Jan-2011,18.88,18.89,18.5,18.5,32800,NYSE
NOAH,14-Jan-2011,18.31,18.34,17.98,18.15,98000,NYSE
NOAH,18-Jan-2011,18.37,18.38,18.0,18.22,240000,NYSE
NOAH,19-Jan-2011,18.53,18.75,18.35,18.67,76400,NYSE
NOAH,20-Jan-2011,18.53,18.58,18.01,18.15,138200,NYSE
NOAH,21-Jan-2011,18.06,18.08,16.88,16.97,215700,NYSE
NOAH,24-Jan-2011,16.97,17.37,16.55,16.6,139700,NYSE
NOAH,25-Jan-2011,16.5,16.7,16.25,16.45,86000,NYSE
NOAH,26-Jan-2011,16.31,16.75,15.61,16.61,199300,NYSE
NOAH,27-Jan-2011,16.61,16.61,16.06,16.31,32100,NYSE
NOAH,28-Jan-2011,16.4,16.49,15.78,16.04,289800,NYSE
NOAH,31-Jan-2011,15.92,16.2,15.56,16.13,126000,NYSE
NOAH,01-Feb-2011,15.85,16.5,15.85,16.24,123200,NYSE
NOAH,02-Feb-2011,16.2,16.3,15.92,16.01,80200,NYSE
