name,date,open_price,close_price,high_price,low_price,volume,market
NP,04-Jan-2010,14.17,14.54,13.98,14.24,62700,NYSE
NP,05-Jan-2010,14.26,14.7,14.12,14.61,82000,NYSE
NP,06-Jan-2010,14.55,14.73,14.43,14.5,69600,NYSE
NP,07-Jan-2010,14.45,14.85,14.06,14.82,60900,NYSE
NP,08-Jan-2010,14.79,14.86,14.53,14.86,39600,NYSE
NP,11-Jan-2010,15.0,15.0,14.56,14.81,64000,NYSE
NP,12-Jan-2010,14.66,14.94,14.66,14.82,87100,NYSE
NP,13-Jan-2010,14.86,15.2,14.6,15.06,47400,NYSE
NP,14-Jan-2010,15.02,15.08,14.79,14.88,46300,NYSE
NP,15-Jan-2010,14.93,14.95,14.35,14.61,115500,NYSE
NP,19-Jan-2010,14.69,15.0,14.31,14.88,71000,NYSE
NP,20-Jan-2010,14.69,14.69,13.44,14.09,97500,NYSE
NP,21-Jan-2010,14.09,14.12,12.81,13.21,387100,NYSE
NP,22-Jan-2010,13.1,14.25,12.97,13.36,126800,NYSE
NP,25-Jan-2010,13.35,13.53,12.76,13.16,106900,NYSE
NP,26-Jan-2010,13.07,13.76,12.66,12.78,72600,NYSE
NP,27-Jan-2010,12.69,13.63,12.57,13.46,56000,NYSE
NP,28-Jan-2010,13.46,13.82,12.85,13.38,100400,NYSE
NP,29-Jan-2010,13.41,14.36,13.41,13.92,163500,NYSE
NP,01-Feb-2010,13.94,14.48,13.84,14.25,67800,NYSE
NP,02-Feb-2010,14.2,14.3,13.85,14.09,72200,NYSE
NP,03-Feb-2010,14.07,14.28,13.49,14.23,64300,NYSE
NP,04-Feb-2010,14.19,14.25,13.79,14.0,96300,NYSE
NP,05-Feb-2010,13.98,14.51,13.93,14.38,92100,NYSE
NP,08-Feb-2010,14.4,14.75,14.05,14.43,114400,NYSE
NP,09-Feb-2010,14.66,14.99,14.5,14.71,67800,NYSE
NP,10-Feb-2010,14.68,14.88,14.28,14.57,45500,NYSE
NP,11-Feb-2010,14.56,14.96,14.34,14.58,61800,NYSE
NP,12-Feb-2010,14.42,14.74,14.15,14.5,118100,NYSE
NP,16-Feb-2010,14.64,14.83,14.5,14.69,77300,NYSE
NP,17-Feb-2010,14.75,14.98,14.58,14.7,76000,NYSE
NP,18-Feb-2010,14.68,14.9,14.51,14.7,46000,NYSE
NP,19-Feb-2010,14.65,14.86,14.5,14.63,89800,NYSE
NP,22-Feb-2010,14.63,14.74,14.39,14.52,84200,NYSE
NP,23-Feb-2010,14.49,14.63,14.11,14.2,75000,NYSE
NP,24-Feb-2010,14.21,14.87,14.09,14.63,109000,NYSE
NP,25-Feb-2010,14.46,14.48,13.88,13.97,149100,NYSE
NP,26-Feb-2010,14.02,14.46,14.02,14.17,124200,NYSE
NP,01-Mar-2010,14.3,15.3,14.3,15.05,144000,NYSE
NP,02-Mar-2010,15.21,16.3,15.18,16.28,151800,NYSE
NP,03-Mar-2010,15.97,16.63,15.71,15.72,198800,NYSE
NP,04-Mar-2010,15.8,16.01,15.52,15.86,75800,NYSE
NP,05-Mar-2010,16.1,16.8,15.96,16.24,230000,NYSE
NP,08-Mar-2010,16.21,17.22,16.02,16.84,138100,NYSE
NP,09-Mar-2010,16.73,17.16,16.52,16.95,89100,NYSE
NP,10-Mar-2010,17.01,17.35,16.9,17.19,99800,NYSE
NP,11-Mar-2010,17.04,17.27,16.86,17.12,58200,NYSE
NP,12-Mar-2010,17.19,17.56,16.85,17.28,101500,NYSE
NP,15-Mar-2010,17.35,17.7,17.09,17.47,88100,NYSE
NP,16-Mar-2010,17.59,17.93,17.33,17.89,114400,NYSE
NP,17-Mar-2010,17.98,18.76,17.92,18.6,148900,NYSE
NP,18-Mar-2010,18.76,19.19,18.71,19.02,137100,NYSE
NP,19-Mar-2010,19.05,19.05,17.59,17.73,165800,NYSE
NP,22-Mar-2010,17.53,18.6,17.53,18.31,91100,NYSE
NP,23-Mar-2010,18.41,19.1,18.15,18.84,78800,NYSE
NP,24-Mar-2010,18.81,19.14,18.27,18.35,141600,NYSE
NP,25-Mar-2010,18.55,18.69,17.58,17.65,190500,NYSE
NP,26-Mar-2010,17.77,17.77,17.03,17.17,151800,NYSE
NP,29-Mar-2010,17.28,17.29,16.27,16.32,296000,NYSE
NP,30-Mar-2010,16.38,16.89,16.25,16.43,169900,NYSE
NP,31-Mar-2010,16.46,16.49,15.83,15.84,202000,NYSE
NP,01-Apr-2010,16.05,16.65,15.85,16.49,163200,NYSE
NP,05-Apr-2010,16.61,17.34,16.51,17.15,143600,NYSE
NP,06-Apr-2010,17.07,17.27,16.68,16.87,112200,NYSE
NP,07-Apr-2010,16.9,17.2,16.63,16.94,117200,NYSE
NP,08-Apr-2010,16.94,17.07,16.54,16.92,101400,NYSE
NP,09-Apr-2010,16.86,17.29,16.7,17.28,96600,NYSE
NP,12-Apr-2010,17.42,17.94,17.41,17.74,142300,NYSE
NP,13-Apr-2010,17.74,18.27,17.56,17.81,92300,NYSE
NP,14-Apr-2010,18.0,18.49,17.94,18.43,152000,NYSE
NP,15-Apr-2010,18.62,19.66,18.24,19.44,215000,NYSE
NP,16-Apr-2010,19.38,19.81,18.66,18.94,198500,NYSE
NP,19-Apr-2010,18.88,19.18,18.33,18.77,136300,NYSE
NP,20-Apr-2010,18.83,19.17,18.51,18.7,110300,NYSE
NP,21-Apr-2010,18.66,19.23,18.66,19.04,132800,NYSE
NP,22-Apr-2010,18.8,19.26,18.76,19.02,90600,NYSE
NP,23-Apr-2010,19.08,19.22,18.78,18.98,106300,NYSE
NP,26-Apr-2010,19.04,19.22,18.71,18.75,121100,NYSE
NP,27-Apr-2010,18.67,19.04,18.35,18.54,131100,NYSE
NP,28-Apr-2010,18.77,18.91,18.13,18.33,90000,NYSE
NP,29-Apr-2010,18.54,18.81,18.33,18.73,125400,NYSE
NP,30-Apr-2010,18.65,18.75,17.43,17.5,156600,NYSE
NP,03-May-2010,17.48,18.29,17.32,18.2,86500,NYSE
NP,04-May-2010,17.82,17.84,17.0,17.26,136100,NYSE
