name,date,open_price,close_price,high_price,low_price,volume,market
NQP,04-Jan-2010,13.2,13.2,13.17,13.18,9000,NYSE
NQP,05-Jan-2010,13.18,13.48,13.1,13.15,16500,NYSE
NQP,06-Jan-2010,13.17,13.28,13.16,13.28,14300,NYSE
NQP,07-Jan-2010,13.2,13.29,13.14,13.22,24400,NYSE
NQP,08-Jan-2010,13.22,13.22,13.11,13.22,20900,NYSE
NQP,11-Jan-2010,13.22,13.23,13.19,13.2,6500,NYSE
NQP,12-Jan-2010,13.08,13.18,13.02,13.18,26700,NYSE
NQP,13-Jan-2010,13.14,13.24,13.14,13.22,10400,NYSE
NQP,14-Jan-2010,13.18,13.21,13.14,13.21,15400,NYSE
NQP,15-Jan-2010,13.15,13.23,13.15,13.23,12600,NYSE
NQP,19-Jan-2010,13.25,13.25,13.2,13.25,12800,NYSE
NQP,20-Jan-2010,13.2,13.25,13.2,13.25,16900,NYSE
NQP,21-Jan-2010,13.25,13.31,13.25,13.28,9500,NYSE
NQP,22-Jan-2010,13.25,13.36,13.25,13.36,23100,NYSE
NQP,25-Jan-2010,13.39,13.41,13.33,13.35,11100,NYSE
NQP,26-Jan-2010,13.35,13.4,13.21,13.36,21200,NYSE
NQP,27-Jan-2010,13.35,13.42,13.33,13.33,11300,NYSE
NQP,28-Jan-2010,13.35,13.38,13.32,13.35,29100,NYSE
NQP,29-Jan-2010,13.34,13.41,13.33,13.36,15800,NYSE
NQP,01-Feb-2010,13.42,13.5,13.36,13.43,19200,NYSE
NQP,02-Feb-2010,13.43,13.43,13.41,13.42,11500,NYSE
NQP,03-Feb-2010,13.41,13.5,13.41,13.5,55600,NYSE
NQP,04-Feb-2010,13.49,13.49,13.37,13.38,18200,NYSE
NQP,05-Feb-2010,13.37,13.68,13.36,13.59,57000,NYSE
NQP,08-Feb-2010,13.59,13.65,13.58,13.61,26500,NYSE
NQP,09-Feb-2010,13.61,13.61,13.49,13.53,13900,NYSE
NQP,10-Feb-2010,13.45,13.51,13.45,13.46,5500,NYSE
NQP,11-Feb-2010,13.49,13.53,13.33,13.37,18200,NYSE
NQP,12-Feb-2010,13.33,13.33,13.18,13.29,38700,NYSE
NQP,16-Feb-2010,13.3,13.3,13.24,13.24,24700,NYSE
NQP,17-Feb-2010,13.3,13.35,13.25,13.35,17200,NYSE
