name,date,open_price,close_price,high_price,low_price,volume,market
NRP,04-Jan-2010,243.7,248.6,243.3,246.8,206700,NYSE
NRP,05-Jan-2010,246.8,253.4,246.8,252.3,227200,NYSE
NRP,06-Jan-2010,254.5,264.2,252.5,262.4,321600,NYSE
NRP,07-Jan-2010,262.4,267.5,260.0,264.1,182100,NYSE
NRP,08-Jan-2010,264.3,268.4,260.4,267.6,148600,NYSE
NRP,11-Jan-2010,267.7,272.0,266.3,267.1,108800,NYSE
NRP,12-Jan-2010,266.6,267.5,261.6,262.0,110700,NYSE
NRP,13-Jan-2010,262.0,264.1,254.4,258.3,126900,NYSE
NRP,14-Jan-2010,259.8,261.5,255.0,257.5,109200,NYSE
NRP,15-Jan-2010,255.0,258.7,248.6,255.4,134200,NYSE
NRP,19-Jan-2010,257.4,262.5,253.8,262.5,111200,NYSE
NRP,20-Jan-2010,260.8,262.9,255.9,260.7,94300,NYSE
NRP,21-Jan-2010,260.5,261.0,253.0,253.4,113800,NYSE
NRP,22-Jan-2010,253.5,253.5,240.5,242.3,269700,NYSE
NRP,25-Jan-2010,245.3,246.5,240.5,245.6,185000,NYSE
NRP,26-Jan-2010,245.6,250.8,244.0,246.7,157300,NYSE
NRP,27-Jan-2010,249.0,249.0,233.1,240.6,327000,NYSE
NRP,28-Jan-2010,241.1,243.6,237.2,240.5,131800,NYSE
NRP,29-Jan-2010,243.8,244.6,235.0,237.0,118300,NYSE
NRP,01-Feb-2010,237.1,242.7,233.3,235.0,358300,NYSE
NRP,02-Feb-2010,235.9,243.5,234.5,243.0,209000,NYSE
NRP,03-Feb-2010,238.1,245.8,236.1,237.9,191300,NYSE
NRP,04-Feb-2010,236.5,236.9,226.4,226.6,177900,NYSE
NRP,05-Feb-2010,226.5,226.5,214.6,222.0,345200,NYSE
NRP,08-Feb-2010,225.0,228.1,220.1,223.3,125100,NYSE
NRP,09-Feb-2010,225.8,232.1,223.6,224.4,197900,NYSE
NRP,10-Feb-2010,225.5,231.2,224.2,229.1,240900,NYSE
NRP,11-Feb-2010,230.6,240.5,230.6,237.3,228000,NYSE
NRP,12-Feb-2010,239.9,248.2,234.6,248.2,322800,NYSE
NRP,16-Feb-2010,250.0,256.0,249.8,254.5,201600,NYSE
NRP,17-Feb-2010,255.6,259.7,254.2,258.6,228200,NYSE
NRP,18-Feb-2010,257.9,259.9,255.1,258.6,120000,NYSE
NRP,19-Feb-2010,258.4,260.0,257.4,258.5,69900,NYSE
NRP,22-Feb-2010,259.6,260.7,256.5,257.4,94300,NYSE
NRP,23-Feb-2010,255.0,256.5,250.0,251.9,95000,NYSE
NRP,24-Feb-2010,252.1,255.3,250.0,252.5,57600,NYSE
NRP,25-Feb-2010,250.0,255.2,248.2,255.2,56000,NYSE
NRP,26-Feb-2010,255.3,257.1,252.7,256.2,85700,NYSE
NRP,01-Mar-2010,254.6,259.5,254.6,259.0,109100,NYSE
NRP,02-Mar-2010,259.1,262.2,258.5,261.6,107100,NYSE
NRP,03-Mar-2010,261.0,266.5,261.0,265.1,136400,NYSE
NRP,04-Mar-2010,264.2,264.8,259.0,261.3,63200,NYSE
NRP,05-Mar-2010,265.0,268.5,264.0,268.2,91400,NYSE
NRP,08-Mar-2010,267.7,274.5,267.7,272.6,146400,NYSE
NRP,09-Mar-2010,269.5,272.3,266.8,270.5,121500,NYSE
NRP,10-Mar-2010,270.3,275.0,269.5,272.6,85300,NYSE
NRP,11-Mar-2010,271.8,274.1,269.3,269.3,83900,NYSE
NRP,12-Mar-2010,272.0,274.5,268.2,270.4,82700,NYSE
NRP,15-Mar-2010,270.0,270.0,258.1,268.3,162800,NYSE
NRP,16-Mar-2010,268.8,272.4,265.6,271.3,95700,NYSE
NRP,17-Mar-2010,271.3,275.6,270.8,272.3,78600,NYSE
NRP,18-Mar-2010,270.0,272.5,268.7,269.9,111500,NYSE
NRP,19-Mar-2010,269.9,269.9,262.3,266.6,97200,NYSE
NRP,22-Mar-2010,262.6,267.5,260.0,266.8,90600,NYSE
NRP,23-Mar-2010,267.4,271.7,267.0,270.4,58500,NYSE
NRP,24-Mar-2010,267.9,270.7,266.3,266.3,69100,NYSE
NRP,25-Mar-2010,267.3,269.6,260.5,261.4,153400,NYSE
NRP,26-Mar-2010,260.7,261.9,252.1,252.3,174400,NYSE
NRP,29-Mar-2010,253.5,259.9,252.4,259.2,174300,NYSE
NRP,30-Mar-2010,259.8,260.4,257.0,258.6,62500,NYSE
NRP,31-Mar-2010,258.5,264.6,256.6,262.2,234500,NYSE
NRP,01-Apr-2010,250.8,252.2,249.1,250.0,2526000,NYSE
NRP,05-Apr-2010,251.4,252.5,251.0,252.4,571800,NYSE
NRP,06-Apr-2010,252.8,253.5,251.2,251.2,256900,NYSE
NRP,07-Apr-2010,251.5,251.5,247.5,249.7,314200,NYSE
NRP,08-Apr-2010,249.9,251.9,244.2,251.7,219100,NYSE
NRP,09-Apr-2010,252.6,252.9,247.8,251.5,276400,NYSE
NRP,12-Apr-2010,252.0,252.5,248.8,249.2,204400,NYSE
NRP,13-Apr-2010,249.3,252.0,245.3,251.8,297200,NYSE
NRP,14-Apr-2010,252.5,253.5,251.3,253.1,335700,NYSE
NRP,15-Apr-2010,252.5,253.5,251.1,253.4,194500,NYSE
NRP,16-Apr-2010,251.6,252.7,247.0,252.6,361200,NYSE
NRP,19-Apr-2010,250.6,255.0,250.6,254.7,434900,NYSE
NRP,20-Apr-2010,256.1,256.4,254.6,256.2,349400,NYSE
NRP,21-Apr-2010,256.5,256.5,252.0,252.9,189000,NYSE
NRP,22-Apr-2010,252.9,254.2,248.9,251.8,175400,NYSE
NRP,23-Apr-2010,253.5,256.5,252.0,255.2,141900,NYSE
NRP,26-Apr-2010,256.3,257.5,255.5,256.8,257700,NYSE
NRP,27-Apr-2010,256.9,257.4,251.6,252.9,243900,NYSE
NRP,28-Apr-2010,256.6,256.6,252.9,255.5,185300,NYSE
