name,date,open_price,close_price,high_price,low_price,volume,market
NUO,04-Jan-2010,15.92,16.0,15.84,15.88,5700,NYSE
NUO,05-Jan-2010,15.8,16.0,15.8,15.96,11400,NYSE
NUO,06-Jan-2010,16.01,16.01,15.81,15.9,14100,NYSE
NUO,07-Jan-2010,15.93,16.08,15.93,16.02,2200,NYSE
NUO,08-Jan-2010,16.02,16.08,16.02,16.03,5500,NYSE
NUO,11-Jan-2010,16.07,16.07,15.66,15.83,26700,NYSE
NUO,12-Jan-2010,15.85,15.95,15.85,15.95,3000,NYSE
NUO,13-Jan-2010,15.94,15.96,15.89,15.93,800,NYSE
NUO,14-Jan-2010,15.92,15.92,15.71,15.82,10200,NYSE
NUO,15-Jan-2010,15.79,15.86,15.77,15.78,16600,NYSE
NUO,19-Jan-2010,15.81,16.03,15.7,15.93,9200,NYSE
NUO,20-Jan-2010,15.87,15.92,15.67,15.67,8400,NYSE
NUO,21-Jan-2010,15.84,15.84,15.62,15.63,14900,NYSE
NUO,22-Jan-2010,15.6,15.64,15.53,15.62,4000,NYSE
NUO,25-Jan-2010,15.62,15.62,15.47,15.54,6600,NYSE
NUO,26-Jan-2010,15.55,15.7,15.22,15.67,51000,NYSE
NUO,27-Jan-2010,15.7,15.71,15.62,15.65,5400,NYSE
NUO,28-Jan-2010,15.65,15.65,15.65,15.65,1100,NYSE
NUO,29-Jan-2010,15.64,15.66,15.6,15.65,6400,NYSE
NUO,01-Feb-2010,15.7,15.7,15.66,15.69,3300,NYSE
NUO,02-Feb-2010,15.7,15.85,15.7,15.85,18700,NYSE
NUO,03-Feb-2010,15.78,15.85,15.73,15.81,15000,NYSE
NUO,04-Feb-2010,15.74,15.85,15.72,15.76,8400,NYSE
NUO,05-Feb-2010,15.84,15.84,15.59,15.77,8700,NYSE
NUO,08-Feb-2010,15.75,15.92,15.74,15.83,9600,NYSE
NUO,09-Feb-2010,15.87,15.95,15.8,15.82,12500,NYSE
NUO,10-Feb-2010,15.97,16.01,15.93,15.97,9500,NYSE
NUO,11-Feb-2010,16.06,16.06,15.81,15.81,10700,NYSE
NUO,12-Feb-2010,15.81,15.88,15.75,15.84,5900,NYSE
