name,date,open_price,close_price,high_price,low_price,volume,market
NVO,04-Jan-2010,13.04,13.236,13.02,13.128,240200,NYSE
NVO,05-Jan-2010,12.87,12.944,12.822,12.936,110500,NYSE
NVO,06-Jan-2010,13.016,13.174,13.016,13.088,392500,NYSE
NVO,07-Jan-2010,12.956,13.016,12.95,12.976,258200,NYSE
NVO,08-Jan-2010,13.096,13.16,13.026,13.13,153200,NYSE
NVO,11-Jan-2010,13.61,13.624,13.466,13.546,198300,NYSE
NVO,12-Jan-2010,13.424,13.492,13.322,13.418,218200,NYSE
NVO,13-Jan-2010,13.47,13.586,13.46,13.53,93600,NYSE
NVO,14-Jan-2010,13.614,13.866,13.61,13.796,308000,NYSE
NVO,15-Jan-2010,13.354,13.498,13.234,13.256,268500,NYSE
NVO,19-Jan-2010,13.244,13.48,13.23,13.452,211200,NYSE
NVO,20-Jan-2010,13.474,13.528,13.318,13.438,271800,NYSE
NVO,21-Jan-2010,13.088,13.144,12.866,12.958,232600,NYSE
NVO,22-Jan-2010,12.934,13.046,12.848,12.87,153000,NYSE
NVO,25-Jan-2010,13.15,13.264,13.11,13.176,144100,NYSE
NVO,26-Jan-2010,13.834,13.838,13.544,13.608,925600,NYSE
NVO,27-Jan-2010,13.88,14.026,13.782,13.908,480400,NYSE
NVO,28-Jan-2010,13.926,13.94,13.692,13.73,203000,NYSE
NVO,29-Jan-2010,13.64,13.682,13.464,13.486,367300,NYSE
NVO,01-Feb-2010,13.9,14.002,13.84,13.974,339300,NYSE
NVO,02-Feb-2010,13.696,13.832,13.64,13.792,576800,NYSE
NVO,03-Feb-2010,14.102,14.29,14.08,14.232,506400,NYSE
NVO,04-Feb-2010,14.076,14.108,13.946,13.972,251300,NYSE
NVO,05-Feb-2010,13.782,13.916,13.676,13.878,316800,NYSE
NVO,08-Feb-2010,13.716,13.93,13.678,13.828,285200,NYSE
NVO,09-Feb-2010,13.768,14.072,13.768,13.904,1013200,NYSE
NVO,10-Feb-2010,13.796,13.858,13.74,13.83,158200,NYSE
NVO,11-Feb-2010,13.928,14.17,13.86,14.13,767100,NYSE
NVO,12-Feb-2010,14.04,14.308,13.996,14.28,1175300,NYSE
NVO,16-Feb-2010,14.366,14.57,14.35,14.544,242100,NYSE
NVO,17-Feb-2010,14.446,14.486,14.368,14.388,227300,NYSE
NVO,18-Feb-2010,14.4,14.49,14.368,14.44,763800,NYSE
NVO,19-Feb-2010,14.31,14.414,14.298,14.36,193600,NYSE
NVO,22-Feb-2010,14.544,14.546,14.35,14.37,293300,NYSE
NVO,23-Feb-2010,14.154,14.23,14.082,14.142,332900,NYSE
NVO,24-Feb-2010,14.286,14.332,14.178,14.218,225700,NYSE
NVO,25-Feb-2010,13.992,14.15,13.978,14.142,427600,NYSE
NVO,26-Feb-2010,14.078,14.262,14.012,14.224,598500,NYSE
NVO,01-Mar-2010,14.29,14.434,14.25,14.408,195600,NYSE
NVO,02-Mar-2010,14.394,14.46,14.338,14.404,159100,NYSE
NVO,03-Mar-2010,14.568,14.59,14.466,14.512,159100,NYSE
NVO,04-Mar-2010,14.57,14.582,14.456,14.494,94200,NYSE
NVO,05-Mar-2010,14.654,14.778,14.608,14.766,158000,NYSE
NVO,08-Mar-2010,14.972,14.972,14.858,14.902,126800,NYSE
NVO,09-Mar-2010,14.766,14.938,14.766,14.908,122900,NYSE
NVO,10-Mar-2010,14.99,15.164,14.99,15.044,220100,NYSE
NVO,11-Mar-2010,15.074,15.114,14.97,15.068,116800,NYSE
NVO,12-Mar-2010,15.034,15.182,14.98,15.152,175900,NYSE
NVO,15-Mar-2010,15.02,15.132,15.01,15.07,112100,NYSE
NVO,16-Mar-2010,15.392,15.532,15.324,15.516,214200,NYSE
NVO,17-Mar-2010,15.716,15.716,15.548,15.568,221500,NYSE
NVO,18-Mar-2010,15.514,15.564,15.358,15.486,149400,NYSE
NVO,19-Mar-2010,15.572,15.618,15.522,15.564,165500,NYSE
NVO,22-Mar-2010,15.408,15.55,15.398,15.45,235200,NYSE
NVO,23-Mar-2010,15.536,15.732,15.488,15.728,172400,NYSE
NVO,24-Mar-2010,15.712,15.93,15.686,15.826,499200,NYSE
NVO,25-Mar-2010,15.95,15.95,15.66,15.662,361100,NYSE
NVO,26-Mar-2010,15.81,15.81,15.562,15.592,295600,NYSE
NVO,29-Mar-2010,15.532,15.682,15.482,15.646,237800,NYSE
NVO,30-Mar-2010,15.574,15.592,15.44,15.45,193200,NYSE
NVO,31-Mar-2010,15.52,15.568,15.42,15.424,224500,NYSE
NVO,01-Apr-2010,15.54,15.64,15.518,15.638,116700,NYSE
NVO,05-Apr-2010,15.564,15.918,15.564,15.806,329100,NYSE
NVO,06-Apr-2010,15.852,16.0,15.814,15.986,126800,NYSE
NVO,07-Apr-2010,15.878,16.04,15.85,15.918,234500,NYSE
NVO,08-Apr-2010,15.716,15.856,15.686,15.848,284400,NYSE
NVO,09-Apr-2010,15.61,15.768,15.61,15.722,403500,NYSE
NVO,12-Apr-2010,15.992,16.094,15.964,16.014,432000,NYSE
NVO,13-Apr-2010,16.154,16.236,16.046,16.228,300800,NYSE
NVO,14-Apr-2010,16.098,16.218,16.064,16.198,196600,NYSE
NVO,15-Apr-2010,16.16,16.196,16.114,16.128,165600,NYSE
NVO,16-Apr-2010,16.15,16.222,16.06,16.176,219400,NYSE
NVO,19-Apr-2010,16.054,16.206,16.022,16.162,131800,NYSE
NVO,20-Apr-2010,16.264,16.386,16.242,16.322,155500,NYSE
NVO,21-Apr-2010,16.364,16.364,16.244,16.286,143800,NYSE
NVO,22-Apr-2010,16.192,16.192,15.874,15.99,373400,NYSE
NVO,23-Apr-2010,15.996,16.086,15.926,16.082,321500,NYSE
NVO,26-Apr-2010,16.258,16.294,16.096,16.144,347900,NYSE
NVO,27-Apr-2010,16.31,16.334,15.802,15.846,367100,NYSE
NVO,28-Apr-2010,15.942,15.958,15.656,15.806,285800,NYSE
NVO,29-Apr-2010,16.316,16.564,16.3,16.488,288700,NYSE
NVO,30-Apr-2010,16.4,16.546,16.372,16.42,186600,NYSE
NVO,03-May-2010,16.75,16.812,16.62,16.788,255100,NYSE
NVO,04-May-2010,16.742,16.772,16.564,16.574,214400,NYSE
NVO,05-May-2010,16.168,16.448,16.13,16.358,260400,NYSE
NVO,06-May-2010,15.948,16.062,15.0,15.932,738300,NYSE
NVO,07-May-2010,15.604,15.878,15.202,15.65,758500,NYSE
NVO,10-May-2010,15.964,16.054,15.74,15.8,331600,NYSE
NVO,11-May-2010,15.886,16.198,15.874,16.09,258900,NYSE
NVO,12-May-2010,16.09,16.19,16.008,16.08,126000,NYSE
NVO,13-May-2010,15.892,16.126,15.796,15.796,136900,NYSE
NVO,14-May-2010,15.702,15.72,15.484,15.55,427700,NYSE
NVO,17-May-2010,15.662,15.84,15.542,15.832,267700,NYSE
NVO,18-May-2010,15.94,15.958,15.55,15.608,318700,NYSE
NVO,19-May-2010,15.402,15.606,15.224,15.526,317000,NYSE
NVO,20-May-2010,15.18,15.22,14.928,15.068,446200,NYSE
NVO,21-May-2010,14.694,15.106,14.632,15.018,427200,NYSE
NVO,24-May-2010,14.932,14.988,14.794,14.804,292300,NYSE
NVO,25-May-2010,14.832,15.152,14.716,15.146,393400,NYSE
NVO,26-May-2010,15.076,15.194,14.882,14.936,281800,NYSE
NVO,27-May-2010,15.092,15.518,15.092,15.482,286800,NYSE
NVO,28-May-2010,15.57,15.586,15.336,15.364,255600,NYSE
NVO,01-Jun-2010,15.138,15.434,15.128,15.152,485100,NYSE
NVO,02-Jun-2010,15.542,15.874,15.5,15.856,379100,NYSE
NVO,03-Jun-2010,16.138,16.154,15.956,16.096,275600,NYSE
NVO,04-Jun-2010,15.812,15.902,15.5,15.59,455600,NYSE
NVO,07-Jun-2010,15.592,15.65,15.382,15.386,353000,NYSE
NVO,08-Jun-2010,15.604,15.638,15.394,15.55,288600,NYSE
NVO,09-Jun-2010,15.61,15.782,15.45,15.512,239500,NYSE
NVO,10-Jun-2010,15.71,15.93,15.706,15.928,308900,NYSE
NVO,11-Jun-2010,15.64,16.018,15.622,16.018,708500,NYSE
NVO,14-Jun-2010,16.252,16.262,16.16,16.196,563900,NYSE
NVO,15-Jun-2010,16.244,16.43,16.198,16.396,402200,NYSE
NVO,16-Jun-2010,16.212,16.474,16.194,16.4,430900,NYSE
NVO,17-Jun-2010,16.384,16.438,16.18,16.358,180800,NYSE
NVO,18-Jun-2010,16.862,16.974,16.772,16.89,669100,NYSE
NVO,21-Jun-2010,17.034,17.172,17.0,17.064,749100,NYSE
NVO,22-Jun-2010,16.752,17.032,16.682,16.756,368800,NYSE
NVO,23-Jun-2010,16.728,16.784,16.546,16.7,256500,NYSE
NVO,24-Jun-2010,16.764,16.8,16.592,16.706,281800,NYSE
NVO,25-Jun-2010,16.586,16.696,16.504,16.644,117100,NYSE
NVO,28-Jun-2010,16.762,16.792,16.586,16.61,336200,NYSE
NVO,29-Jun-2010,16.258,16.258,16.086,16.19,236000,NYSE
NVO,30-Jun-2010,16.248,16.394,16.15,16.204,466900,NYSE
NVO,01-Jul-2010,16.196,16.308,16.11,16.284,886400,NYSE
NVO,02-Jul-2010,16.352,16.36,16.15,16.226,147100,NYSE
NVO,06-Jul-2010,16.612,16.684,16.454,16.598,202000,NYSE
NVO,07-Jul-2010,16.694,16.88,16.57,16.874,159400,NYSE
NVO,08-Jul-2010,16.762,16.864,16.59,16.836,272700,NYSE
NVO,09-Jul-2010,16.636,16.834,16.624,16.818,164300,NYSE
NVO,12-Jul-2010,16.696,16.916,16.692,16.854,118400,NYSE
NVO,13-Jul-2010,16.864,17.05,16.846,16.934,214300,NYSE
NVO,14-Jul-2010,16.918,17.302,16.896,17.244,368800,NYSE
NVO,15-Jul-2010,17.578,17.846,17.538,17.818,446000,NYSE
NVO,16-Jul-2010,17.774,17.788,17.386,17.416,184900,NYSE
NVO,19-Jul-2010,17.538,17.572,17.41,17.446,170000,NYSE
NVO,20-Jul-2010,17.128,17.33,17.094,17.312,321800,NYSE
NVO,21-Jul-2010,17.006,17.142,16.834,16.836,293000,NYSE
NVO,22-Jul-2010,17.082,17.25,17.068,17.198,184800,NYSE
NVO,23-Jul-2010,16.9,17.17,16.894,17.152,124100,NYSE
NVO,26-Jul-2010,16.97,17.242,16.954,17.218,145900,NYSE
NVO,27-Jul-2010,17.188,17.226,16.976,17.016,179200,NYSE
NVO,28-Jul-2010,17.216,17.262,17.048,17.054,180900,NYSE
NVO,29-Jul-2010,17.184,17.25,16.952,17.034,135700,NYSE
NVO,30-Jul-2010,17.054,17.27,17.044,17.206,131100,NYSE
NVO,02-Aug-2010,17.414,17.688,17.406,17.68,174700,NYSE
NVO,03-Aug-2010,18.006,18.076,17.91,18.062,236800,NYSE
NVO,04-Aug-2010,17.772,17.866,17.612,17.808,213500,NYSE
NVO,05-Aug-2010,17.934,18.108,17.884,18.108,143200,NYSE
NVO,06-Aug-2010,17.834,17.968,17.75,17.926,98800,NYSE
NVO,09-Aug-2010,17.862,18.042,17.836,17.998,164900,NYSE
NVO,10-Aug-2010,17.83,18.126,17.724,18.074,144400,NYSE
NVO,11-Aug-2010,17.306,17.36,17.2,17.278,221800,NYSE
NVO,12-Aug-2010,17.21,17.416,17.2,17.342,118300,NYSE
NVO,13-Aug-2010,17.134,17.344,17.132,17.26,95600,NYSE
NVO,16-Aug-2010,17.168,17.28,17.1,17.21,178200,NYSE
NVO,17-Aug-2010,17.178,17.436,17.142,17.38,278100,NYSE
NVO,18-Aug-2010,17.51,17.606,17.418,17.52,127900,NYSE
NVO,19-Aug-2010,17.492,17.516,17.114,17.176,141800,NYSE
NVO,20-Aug-2010,16.798,17.04,16.736,17.008,151300,NYSE
NVO,23-Aug-2010,16.836,16.948,16.764,16.814,124900,NYSE
NVO,24-Aug-2010,16.638,16.78,16.616,16.654,176000,NYSE
NVO,25-Aug-2010,16.328,16.428,16.23,16.354,373200,NYSE
NVO,26-Aug-2010,16.634,16.67,16.38,16.43,380600,NYSE
NVO,27-Aug-2010,16.776,16.954,16.636,16.916,251100,NYSE
NVO,30-Aug-2010,16.93,16.996,16.85,16.85,254600,NYSE
NVO,31-Aug-2010,17.122,17.256,17.044,17.124,203000,NYSE
NVO,01-Sep-2010,17.638,17.736,17.52,17.55,227300,NYSE
NVO,02-Sep-2010,17.612,17.67,17.54,17.57,196000,NYSE
NVO,03-Sep-2010,17.604,17.66,17.542,17.656,315100,NYSE
NVO,07-Sep-2010,17.63,17.656,17.436,17.466,295600,NYSE
NVO,08-Sep-2010,17.574,17.67,17.556,17.578,111400,NYSE
NVO,09-Sep-2010,18.142,18.274,18.046,18.27,320800,NYSE
NVO,10-Sep-2010,18.408,18.446,18.332,18.416,124400,NYSE
NVO,13-Sep-2010,18.6,18.66,18.524,18.648,142300,NYSE
NVO,14-Sep-2010,18.502,18.732,18.48,18.644,131500,NYSE
NVO,15-Sep-2010,18.562,18.716,18.556,18.648,83600,NYSE
NVO,16-Sep-2010,18.776,18.78,18.652,18.678,105200,NYSE
NVO,17-Sep-2010,18.736,18.746,18.576,18.618,104700,NYSE
NVO,20-Sep-2010,18.744,18.886,18.726,18.878,140000,NYSE
NVO,21-Sep-2010,18.824,18.964,18.634,18.802,148700,NYSE
NVO,22-Sep-2010,19.158,19.2,18.896,18.948,162300,NYSE
NVO,23-Sep-2010,18.934,19.136,18.902,18.984,131100,NYSE
NVO,24-Sep-2010,19.258,19.318,19.19,19.218,149900,NYSE
NVO,27-Sep-2010,19.276,19.298,19.144,19.168,742000,NYSE
NVO,28-Sep-2010,19.31,19.638,19.24,19.62,562900,NYSE
NVO,29-Sep-2010,19.888,19.95,19.744,19.848,377600,NYSE
NVO,30-Sep-2010,19.714,19.838,19.578,19.688,351900,NYSE
NVO,01-Oct-2010,19.792,19.868,19.714,19.854,182200,NYSE
NVO,04-Oct-2010,19.43,19.5,19.286,19.37,279700,NYSE
NVO,05-Oct-2010,19.428,19.668,19.428,19.638,164100,NYSE
NVO,06-Oct-2010,19.826,19.926,19.794,19.818,191300,NYSE
NVO,07-Oct-2010,20.124,20.152,19.886,19.96,188200,NYSE
NVO,08-Oct-2010,20.0,20.086,19.906,20.072,133400,NYSE
NVO,11-Oct-2010,20.144,20.212,20.076,20.118,72900,NYSE
NVO,12-Oct-2010,20.184,20.392,20.048,20.376,123000,NYSE
NVO,13-Oct-2010,20.42,20.452,20.272,20.35,257400,NYSE
NVO,14-Oct-2010,20.374,20.396,20.204,20.266,147300,NYSE
NVO,15-Oct-2010,20.524,20.524,20.118,20.14,168700,NYSE
NVO,18-Oct-2010,19.376,19.488,19.104,19.174,581000,NYSE
NVO,19-Oct-2010,17.99,18.49,17.974,18.198,967800,NYSE
NVO,20-Oct-2010,20.012,20.26,19.962,20.084,1409800,NYSE
NVO,21-Oct-2010,20.234,20.25,19.894,20.032,246900,NYSE
NVO,22-Oct-2010,19.888,20.094,19.858,20.048,118800,NYSE
NVO,25-Oct-2010,20.292,20.448,20.264,20.38,602900,NYSE
NVO,26-Oct-2010,20.036,20.21,19.908,20.128,219500,NYSE
NVO,27-Oct-2010,20.222,20.294,20.006,20.252,318900,NYSE
NVO,28-Oct-2010,20.766,20.988,20.692,20.928,296500,NYSE
NVO,29-Oct-2010,20.946,21.194,20.87,20.96,218300,NYSE
NVO,01-Nov-2010,20.76,20.934,20.744,20.834,177200,NYSE
NVO,02-Nov-2010,21.016,21.06,20.888,20.914,150800,NYSE
NVO,03-Nov-2010,20.638,21.014,20.622,20.908,122600,NYSE
NVO,04-Nov-2010,21.032,21.116,20.928,21.012,130100,NYSE
