name,date,open_price,close_price,high_price,low_price,volume,market
OAS,17-Jun-2010,14.85,15.0,14.45,14.88,16024300,NYSE
OAS,18-Jun-2010,14.92,15.98,14.76,15.96,3486400,NYSE
OAS,21-Jun-2010,17.03,17.03,15.25,15.73,2131500,NYSE
OAS,22-Jun-2010,15.75,15.98,15.46,15.56,1416800,NYSE
OAS,23-Jun-2010,15.55,15.62,15.01,15.17,826600,NYSE
OAS,24-Jun-2010,15.16,15.16,14.5,14.7,930000,NYSE
OAS,25-Jun-2010,14.78,15.17,14.6,14.75,405400,NYSE
OAS,28-Jun-2010,14.92,15.49,14.77,15.05,604800,NYSE
OAS,29-Jun-2010,14.8,14.86,14.5,14.6,790500,NYSE
OAS,30-Jun-2010,14.67,14.75,14.26,14.5,526500,NYSE
OAS,01-Jul-2010,14.5,14.64,13.88,14.42,1433700,NYSE
OAS,02-Jul-2010,14.42,15.0,14.06,14.35,283200,NYSE
OAS,06-Jul-2010,14.75,14.8,14.15,14.36,517500,NYSE
OAS,07-Jul-2010,14.4,14.91,14.4,14.78,362000,NYSE
OAS,08-Jul-2010,14.83,15.4,14.8,15.19,395000,NYSE
OAS,09-Jul-2010,15.31,15.79,14.91,15.75,253600,NYSE
OAS,12-Jul-2010,15.85,15.85,15.44,15.61,603800,NYSE
OAS,13-Jul-2010,15.65,16.19,15.63,16.01,587000,NYSE
OAS,14-Jul-2010,16.0,16.75,15.96,16.39,636300,NYSE
OAS,15-Jul-2010,16.4,16.45,16.06,16.17,257500,NYSE
OAS,16-Jul-2010,16.08,16.33,15.41,16.3,920000,NYSE
OAS,19-Jul-2010,16.2,16.4,15.89,16.28,298500,NYSE
OAS,20-Jul-2010,16.06,17.11,16.01,17.0,547300,NYSE
OAS,21-Jul-2010,17.0,17.0,16.5,16.52,171900,NYSE
OAS,22-Jul-2010,16.61,17.53,16.61,17.04,949300,NYSE
OAS,23-Jul-2010,17.12,17.18,16.44,16.73,705000,NYSE
OAS,26-Jul-2010,16.67,16.93,16.21,16.68,737300,NYSE
OAS,27-Jul-2010,16.84,17.3,16.2,16.31,886000,NYSE
