name,date,open_price,close_price,high_price,low_price,volume,market
OII,04-Jan-2010,29.645,30.31,29.645,30.31,508900,NYSE
OII,05-Jan-2010,30.28,30.695,29.865,30.68,475300,NYSE
OII,06-Jan-2010,30.68,32.2,30.675,32.03,931700,NYSE
OII,07-Jan-2010,31.82,31.965,31.2,31.865,507200,NYSE
OII,08-Jan-2010,31.71,32.3,31.655,32.23,303000,NYSE
OII,11-Jan-2010,32.345,32.49,31.495,31.815,492300,NYSE
OII,12-Jan-2010,31.505,31.505,30.265,30.76,879800,NYSE
OII,13-Jan-2010,30.89,30.915,29.835,30.69,576100,NYSE
OII,14-Jan-2010,30.565,30.805,29.92,30.245,582500,NYSE
OII,15-Jan-2010,30.335,30.41,29.57,29.785,606400,NYSE
OII,19-Jan-2010,29.56,30.05,29.545,30.04,419600,NYSE
OII,20-Jan-2010,29.445,29.535,29.02,29.315,503000,NYSE
OII,21-Jan-2010,29.265,29.545,28.3,28.325,476300,NYSE
OII,22-Jan-2010,28.185,28.21,27.215,27.34,433700,NYSE
OII,25-Jan-2010,27.57,28.705,27.48,28.54,726000,NYSE
OII,26-Jan-2010,28.39,28.665,27.97,28.525,679700,NYSE
OII,27-Jan-2010,28.54,28.71,27.79,28.325,688400,NYSE
OII,28-Jan-2010,28.445,28.54,27.77,27.96,728100,NYSE
OII,29-Jan-2010,28.125,28.65,27.265,27.35,645900,NYSE
OII,01-Feb-2010,27.95,28.36,27.41,28.225,581000,NYSE
OII,02-Feb-2010,28.36,28.68,27.99,28.55,498800,NYSE
OII,03-Feb-2010,28.45,28.81,28.345,28.415,483900,NYSE
OII,04-Feb-2010,27.95,27.955,26.66,26.73,609500,NYSE
OII,05-Feb-2010,26.78,26.875,25.645,26.43,979800,NYSE
OII,08-Feb-2010,26.36,26.485,25.84,26.06,597300,NYSE
OII,09-Feb-2010,26.43,27.41,26.43,26.935,610400,NYSE
OII,10-Feb-2010,26.885,26.935,26.125,26.62,377800,NYSE
OII,11-Feb-2010,26.6,27.425,26.335,27.275,575600,NYSE
OII,12-Feb-2010,26.945,27.345,26.58,27.225,544800,NYSE
OII,16-Feb-2010,27.63,28.1,27.44,27.965,483500,NYSE
OII,17-Feb-2010,27.99,28.275,27.595,27.9,1071500,NYSE
OII,18-Feb-2010,27.72,28.6,27.63,28.535,780000,NYSE
OII,19-Feb-2010,28.41,29.665,28.345,29.575,1014400,NYSE
OII,22-Feb-2010,29.66,30.145,29.5,29.815,1353900,NYSE
OII,23-Feb-2010,29.82,29.87,29.265,29.365,988700,NYSE
OII,24-Feb-2010,29.025,29.91,29.025,29.625,883900,NYSE
OII,25-Feb-2010,29.205,30.355,28.79,30.21,868000,NYSE
OII,26-Feb-2010,30.225,30.33,29.895,30.225,628400,NYSE
OII,01-Mar-2010,30.36,30.455,30.105,30.365,471600,NYSE
OII,02-Mar-2010,30.305,30.835,30.305,30.755,608800,NYSE
OII,03-Mar-2010,30.72,31.805,30.72,31.355,633000,NYSE
OII,04-Mar-2010,31.155,31.5,30.71,30.93,478100,NYSE
OII,05-Mar-2010,31.14,31.56,31.11,31.32,415200,NYSE
OII,08-Mar-2010,31.215,31.635,31.13,31.59,391200,NYSE
OII,09-Mar-2010,31.365,31.655,31.07,31.245,421900,NYSE
OII,10-Mar-2010,31.155,31.575,31.15,31.55,411200,NYSE
OII,11-Mar-2010,31.275,31.77,31.205,31.77,244000,NYSE
OII,12-Mar-2010,31.94,32.36,31.725,32.36,574600,NYSE
OII,15-Mar-2010,31.985,32.23,31.52,31.905,526800,NYSE
OII,16-Mar-2010,32.07,32.395,31.88,32.335,480500,NYSE
OII,17-Mar-2010,32.505,33.06,32.475,32.715,449500,NYSE
OII,18-Mar-2010,32.845,33.04,31.695,31.84,371000,NYSE
OII,19-Mar-2010,31.79,31.79,30.66,30.765,896400,NYSE
OII,22-Mar-2010,30.395,31.2,30.325,30.97,820500,NYSE
OII,23-Mar-2010,30.955,31.67,30.925,31.48,433300,NYSE
OII,24-Mar-2010,31.135,31.9,31.135,31.635,532200,NYSE
OII,25-Mar-2010,31.965,32.03,30.515,30.545,553500,NYSE
OII,26-Mar-2010,30.725,30.995,29.945,30.28,642000,NYSE
OII,29-Mar-2010,30.52,31.285,30.52,31.26,404200,NYSE
OII,30-Mar-2010,31.36,31.755,31.215,31.57,284400,NYSE
OII,31-Mar-2010,31.6,32.145,31.585,31.745,376900,NYSE
OII,01-Apr-2010,32.1,32.45,32.015,32.295,566100,NYSE
OII,05-Apr-2010,32.515,33.2,32.48,33.06,591900,NYSE
OII,06-Apr-2010,32.935,33.275,32.895,33.215,451300,NYSE
OII,07-Apr-2010,33.16,33.16,32.595,32.93,365000,NYSE
OII,08-Apr-2010,32.645,32.65,32.0,32.205,695700,NYSE
OII,09-Apr-2010,31.78,31.78,31.265,31.59,861100,NYSE
OII,12-Apr-2010,31.65,31.795,31.31,31.435,442400,NYSE
OII,13-Apr-2010,31.275,31.49,30.3,31.175,1194400,NYSE
OII,14-Apr-2010,31.405,31.9,31.295,31.89,397500,NYSE
OII,15-Apr-2010,31.915,32.01,31.615,31.845,363500,NYSE
OII,16-Apr-2010,31.6,31.965,31.145,31.54,866000,NYSE
OII,19-Apr-2010,31.17,31.715,30.875,31.325,396300,NYSE
OII,20-Apr-2010,31.6,32.455,31.6,32.32,320300,NYSE
OII,21-Apr-2010,32.35,32.59,31.935,32.59,286900,NYSE
OII,22-Apr-2010,32.105,33.075,31.83,32.94,610900,NYSE
OII,23-Apr-2010,32.885,33.78,32.7,33.745,456200,NYSE
OII,26-Apr-2010,33.795,34.3,33.645,34.13,574000,NYSE
OII,27-Apr-2010,33.815,33.85,32.615,32.695,469800,NYSE
OII,28-Apr-2010,32.92,33.29,32.565,33.125,698200,NYSE
OII,29-Apr-2010,33.45,33.67,31.885,33.67,1279500,NYSE
OII,30-Apr-2010,32.94,33.58,31.585,32.75,2526500,NYSE
OII,03-May-2010,32.86,33.44,32.24,33.12,681200,NYSE
OII,04-May-2010,32.74,32.74,30.435,30.86,1474500,NYSE
OII,05-May-2010,30.215,30.89,29.75,30.19,776200,NYSE
OII,06-May-2010,30.055,30.435,26.055,27.815,1777600,NYSE
OII,07-May-2010,27.56,28.16,26.61,27.355,1366300,NYSE
OII,10-May-2010,28.065,29.1,27.97,29.055,1075500,NYSE
OII,11-May-2010,28.73,30.025,28.52,29.39,893900,NYSE
OII,12-May-2010,29.47,30.48,29.47,30.325,541500,NYSE
OII,13-May-2010,30.24,30.48,29.635,29.76,374500,NYSE
OII,14-May-2010,29.58,29.58,28.19,28.84,749100,NYSE
OII,17-May-2010,28.935,29.21,27.555,28.085,882500,NYSE
OII,18-May-2010,28.625,28.8,27.675,27.775,839400,NYSE
OII,19-May-2010,27.645,27.94,26.805,26.98,919200,NYSE
OII,20-May-2010,26.365,26.765,25.515,25.525,885000,NYSE
OII,21-May-2010,25.01,26.895,24.505,26.505,1207300,NYSE
OII,24-May-2010,26.335,26.61,25.505,25.51,661900,NYSE
OII,25-May-2010,24.98,26.47,24.675,26.415,1242100,NYSE
OII,26-May-2010,26.715,27.38,26.52,26.71,1043000,NYSE
OII,27-May-2010,27.015,27.625,25.765,26.025,4323900,NYSE
OII,28-May-2010,25.82,25.82,23.035,23.135,5046800,NYSE
OII,01-Jun-2010,22.32,22.65,19.875,20.185,6664100,NYSE
OII,02-Jun-2010,20.55,22.02,20.45,21.925,4276300,NYSE
OII,03-Jun-2010,22.08,22.105,21.175,21.785,2037000,NYSE
OII,04-Jun-2010,21.33,22.3,21.125,21.445,1770800,NYSE
OII,07-Jun-2010,21.1,21.935,20.525,20.665,2095800,NYSE
OII,08-Jun-2010,20.935,21.585,20.6,21.495,1334600,NYSE
OII,09-Jun-2010,21.205,22.23,21.0,21.79,2615100,NYSE
OII,10-Jun-2010,22.235,22.86,22.045,22.83,1604200,NYSE
OII,11-Jun-2010,22.4,23.245,22.36,22.955,1637600,NYSE
OII,14-Jun-2010,23.42,23.56,22.66,22.77,995700,NYSE
OII,15-Jun-2010,22.98,23.975,22.855,23.96,1397700,NYSE
OII,16-Jun-2010,23.375,24.545,23.375,24.175,1572400,NYSE
OII,17-Jun-2010,24.16,24.27,23.24,24.0,1282400,NYSE
OII,18-Jun-2010,23.895,24.015,23.595,23.9,997700,NYSE
OII,21-Jun-2010,24.34,24.59,23.96,24.225,1046300,NYSE
OII,22-Jun-2010,24.22,24.575,23.36,23.385,1226900,NYSE
OII,23-Jun-2010,23.41,23.44,22.63,22.895,1185500,NYSE
OII,24-Jun-2010,22.815,22.98,22.415,22.595,1140300,NYSE
OII,25-Jun-2010,22.74,23.47,22.625,23.42,1995600,NYSE
OII,28-Jun-2010,23.5,23.5,22.86,22.925,978600,NYSE
OII,29-Jun-2010,22.44,22.665,22.045,22.115,1267300,NYSE
OII,30-Jun-2010,22.12,23.0,22.1,22.45,952800,NYSE
OII,01-Jul-2010,22.355,22.645,21.545,22.065,933300,NYSE
OII,02-Jul-2010,22.195,22.625,21.95,22.39,494700,NYSE
OII,06-Jul-2010,22.535,22.97,21.735,22.055,1066200,NYSE
OII,07-Jul-2010,22.07,23.175,22.07,23.175,650100,NYSE
OII,08-Jul-2010,23.6,23.86,22.93,23.775,628600,NYSE
OII,09-Jul-2010,23.705,24.09,23.525,24.045,444000,NYSE
OII,12-Jul-2010,23.875,24.21,23.2,23.5,892300,NYSE
OII,13-Jul-2010,23.8,23.875,23.225,23.52,1415100,NYSE
OII,14-Jul-2010,23.385,23.76,23.105,23.34,530300,NYSE
OII,15-Jul-2010,23.305,23.61,22.835,23.47,369800,NYSE
OII,16-Jul-2010,23.335,23.335,22.85,23.02,552500,NYSE
OII,19-Jul-2010,23.18,23.505,22.77,22.96,623200,NYSE
OII,20-Jul-2010,22.645,24.1,22.645,24.075,1330000,NYSE
OII,21-Jul-2010,24.275,24.39,23.165,23.385,686700,NYSE
OII,22-Jul-2010,23.865,24.23,23.635,24.085,670300,NYSE
OII,23-Jul-2010,23.835,24.365,23.67,24.335,544200,NYSE
OII,26-Jul-2010,24.425,24.685,24.215,24.575,531100,NYSE
OII,27-Jul-2010,24.85,24.9,24.04,24.275,815400,NYSE
OII,28-Jul-2010,24.155,24.32,23.42,23.59,813500,NYSE
OII,29-Jul-2010,24.75,25.7,24.25,25.48,3629300,NYSE
OII,30-Jul-2010,24.935,24.97,24.11,24.74,1181600,NYSE
OII,02-Aug-2010,25.18,26.57,25.18,26.31,1046600,NYSE
OII,03-Aug-2010,26.22,26.445,25.68,26.095,806500,NYSE
OII,04-Aug-2010,26.045,26.69,26.045,26.645,519200,NYSE
OII,05-Aug-2010,26.48,26.775,26.2,26.525,455700,NYSE
OII,06-Aug-2010,26.275,26.545,25.94,26.395,569600,NYSE
OII,09-Aug-2010,26.66,26.705,26.135,26.165,336000,NYSE
OII,10-Aug-2010,25.825,26.025,25.59,25.765,730100,NYSE
OII,11-Aug-2010,25.495,25.495,24.785,24.885,540900,NYSE
