name,date,open_price,close_price,high_price,low_price,volume,market
OLP,04-Jan-2010,8.82,8.99,8.81,8.85,69900,NYSE
OLP,05-Jan-2010,8.82,9.36,8.82,9.18,39000,NYSE
OLP,06-Jan-2010,9.18,9.9,9.17,9.79,60000,NYSE
OLP,07-Jan-2010,9.79,10.4,9.79,10.04,60400,NYSE
OLP,08-Jan-2010,10.04,10.32,9.81,9.94,30500,NYSE
OLP,11-Jan-2010,10.05,10.5,10.05,10.43,47400,NYSE
OLP,12-Jan-2010,10.35,10.35,10.12,10.25,10700,NYSE
OLP,13-Jan-2010,10.2,10.32,10.1,10.32,17600,NYSE
OLP,14-Jan-2010,10.26,10.4,10.18,10.21,19200,NYSE
OLP,15-Jan-2010,10.22,10.27,10.1,10.2,16200,NYSE
OLP,19-Jan-2010,10.22,10.28,10.01,10.01,30000,NYSE
OLP,20-Jan-2010,10.01,10.27,9.69,10.02,40700,NYSE
OLP,21-Jan-2010,10.01,10.17,9.81,10.07,24100,NYSE
OLP,22-Jan-2010,10.02,10.11,9.8,9.94,10500,NYSE
OLP,25-Jan-2010,10.0,10.0,9.67,9.76,21600,NYSE
OLP,26-Jan-2010,9.68,9.68,9.51,9.56,23600,NYSE
OLP,27-Jan-2010,9.5,9.5,9.05,9.13,35200,NYSE
OLP,28-Jan-2010,9.23,9.23,9.1,9.13,11300,NYSE
OLP,29-Jan-2010,9.15,9.2,9.06,9.06,12500,NYSE
OLP,01-Feb-2010,9.15,9.16,9.0,9.1,12300,NYSE
OLP,02-Feb-2010,9.04,9.53,9.04,9.44,35100,NYSE
OLP,03-Feb-2010,9.49,9.86,9.27,9.48,39900,NYSE
OLP,04-Feb-2010,9.41,9.61,9.1,9.1,27500,NYSE
OLP,05-Feb-2010,9.13,9.39,9.0,9.17,22700,NYSE
OLP,08-Feb-2010,9.13,9.4,9.13,9.35,55400,NYSE
OLP,09-Feb-2010,9.27,9.9,9.27,9.67,63400,NYSE
OLP,10-Feb-2010,9.65,9.75,9.59,9.65,20800,NYSE
OLP,11-Feb-2010,9.61,9.81,9.51,9.81,24500,NYSE
OLP,12-Feb-2010,9.63,9.68,9.55,9.57,15300,NYSE
OLP,16-Feb-2010,9.67,9.67,9.49,9.59,5900,NYSE
OLP,17-Feb-2010,9.59,9.75,9.58,9.59,12500,NYSE
OLP,18-Feb-2010,9.48,9.7,9.48,9.65,25100,NYSE
OLP,19-Feb-2010,9.52,9.74,9.52,9.69,8700,NYSE
OLP,22-Feb-2010,9.67,9.76,9.57,9.66,37100,NYSE
OLP,23-Feb-2010,9.74,9.75,9.55,9.72,17300,NYSE
OLP,24-Feb-2010,9.67,9.88,9.6,9.82,21600,NYSE
OLP,25-Feb-2010,9.64,9.94,9.64,9.84,31600,NYSE
OLP,26-Feb-2010,9.85,10.06,9.82,9.84,36200,NYSE
OLP,01-Mar-2010,9.89,9.98,9.81,9.81,25900,NYSE
OLP,02-Mar-2010,9.85,10.0,9.72,9.85,22000,NYSE
OLP,03-Mar-2010,9.79,10.2,9.77,10.11,17300,NYSE
