name,date,open_price,close_price,high_price,low_price,volume,market
P,15-Jun-2011,20.0,26.0,17.35,17.42,42152400,NYSE
P,16-Jun-2011,16.99,16.99,12.99,13.26,15300400,NYSE
P,17-Jun-2011,13.0,13.6,12.16,13.4,4813800,NYSE
P,20-Jun-2011,13.43,15.39,13.27,14.61,3073700,NYSE
P,21-Jun-2011,15.24,15.35,13.27,13.5,3319500,NYSE
P,22-Jun-2011,14.07,14.18,13.02,13.34,2030100,NYSE
P,23-Jun-2011,13.3,14.12,13.08,14.0,1486200,NYSE
P,24-Jun-2011,14.4,15.37,14.02,15.37,1447200,NYSE
P,27-Jun-2011,15.55,17.19,15.55,16.52,2412300,NYSE
P,28-Jun-2011,17.18,18.0,16.95,17.5,2067600,NYSE
P,29-Jun-2011,18.5,18.94,17.12,17.5,2411700,NYSE
P,30-Jun-2011,18.51,19.0,18.0,18.91,1325600,NYSE
P,01-Jul-2011,19.46,21.2,18.97,20.04,3385000,NYSE
P,05-Jul-2011,20.45,20.45,18.7,19.02,1556100,NYSE
P,06-Jul-2011,18.9,19.0,17.61,18.37,2101300,NYSE
P,07-Jul-2011,19.07,19.25,18.63,18.98,1051600,NYSE
P,08-Jul-2011,18.34,19.6,18.3,19.27,1128800,NYSE
P,11-Jul-2011,18.78,19.79,18.38,19.26,1084400,NYSE
P,12-Jul-2011,19.1,19.1,17.97,18.05,849300,NYSE
P,13-Jul-2011,18.47,18.58,17.66,17.93,778000,NYSE
P,14-Jul-2011,17.97,18.13,16.65,17.79,1681400,NYSE
P,15-Jul-2011,18.05,18.25,17.15,17.78,805800,NYSE
P,18-Jul-2011,17.13,17.52,16.67,16.95,1024900,NYSE
P,19-Jul-2011,16.98,17.37,16.84,17.23,436600,NYSE
P,20-Jul-2011,17.63,17.95,17.0,17.8,668200,NYSE
P,21-Jul-2011,18.15,19.06,17.96,18.76,893700,NYSE
P,22-Jul-2011,18.6,18.6,17.85,18.03,555800,NYSE
P,25-Jul-2011,18.75,18.75,17.5,17.81,1069400,NYSE
P,26-Jul-2011,18.0,18.13,17.2,17.28,834200,NYSE
P,27-Jul-2011,17.2,17.25,16.5,16.62,532900,NYSE
P,28-Jul-2011,16.58,16.85,15.88,16.18,981100,NYSE
P,29-Jul-2011,15.95,15.97,14.68,15.09,2523200,NYSE
P,01-Aug-2011,16.43,16.7,13.7,14.32,3151000,NYSE
P,02-Aug-2011,14.3,14.37,13.51,13.96,1443500,NYSE
P,03-Aug-2011,14.13,14.13,13.0,13.41,1930500,NYSE
P,04-Aug-2011,13.24,13.95,13.13,13.63,1470700,NYSE
P,05-Aug-2011,14.08,14.17,13.2,13.52,853000,NYSE
P,08-Aug-2011,12.63,13.0,12.25,12.49,1277900,NYSE
P,09-Aug-2011,12.79,13.22,11.0,11.73,1763400,NYSE
P,10-Aug-2011,11.87,11.97,11.18,11.8,480500,NYSE
P,11-Aug-2011,12.43,12.77,12.05,12.24,561200,NYSE
P,12-Aug-2011,12.78,12.89,12.2,12.77,437300,NYSE
P,15-Aug-2011,13.39,13.5,12.88,13.27,501500,NYSE
P,16-Aug-2011,13.46,14.09,13.05,13.79,653600,NYSE
P,17-Aug-2011,14.25,14.55,14.0,14.47,582800,NYSE
P,18-Aug-2011,13.94,14.15,12.14,12.91,1035100,NYSE
P,19-Aug-2011,12.63,13.48,12.51,13.02,728400,NYSE
P,22-Aug-2011,13.59,13.59,11.63,12.15,1416400,NYSE
P,23-Aug-2011,12.69,12.69,11.25,12.1,654600,NYSE
P,24-Aug-2011,12.08,12.41,11.9,12.07,695900,NYSE
P,25-Aug-2011,12.15,12.49,11.42,12.47,1646300,NYSE
P,26-Aug-2011,13.14,13.9,12.7,13.41,3639500,NYSE
P,29-Aug-2011,14.02,14.2,13.42,13.8,1028600,NYSE
P,30-Aug-2011,13.91,14.1,13.45,13.8,584600,NYSE
P,31-Aug-2011,13.98,14.0,12.82,13.2,1165600,NYSE
P,01-Sep-2011,13.31,13.31,12.55,12.79,683700,NYSE
P,02-Sep-2011,12.43,12.56,11.9,12.07,736200,NYSE
P,06-Sep-2011,11.75,12.26,11.7,12.12,519900,NYSE
P,07-Sep-2011,12.36,12.58,12.3,12.37,498200,NYSE
P,08-Sep-2011,12.28,12.31,11.01,11.02,1628800,NYSE
P,09-Sep-2011,11.15,11.55,10.33,10.38,1534700,NYSE
P,12-Sep-2011,10.4,10.49,9.33,9.87,1633800,NYSE
P,13-Sep-2011,9.9,10.45,9.9,10.22,1016400,NYSE
P,14-Sep-2011,10.33,10.49,9.99,10.19,635300,NYSE
P,15-Sep-2011,10.02,10.39,9.94,10.29,788500,NYSE
P,16-Sep-2011,10.25,10.45,10.08,10.21,548500,NYSE
P,19-Sep-2011,9.88,10.92,9.8,10.82,781800,NYSE
P,20-Sep-2011,10.9,10.95,10.42,10.51,640100,NYSE
P,21-Sep-2011,10.39,10.61,9.8,10.01,827700,NYSE
P,22-Sep-2011,9.8,10.24,9.68,10.05,1226600,NYSE
P,23-Sep-2011,10.5,11.19,10.28,10.75,889700,NYSE
P,26-Sep-2011,11.1,11.4,10.76,11.4,656000,NYSE
P,27-Sep-2011,11.95,12.24,11.66,12.09,765400,NYSE
P,28-Sep-2011,12.19,12.82,12.17,12.82,772100,NYSE
P,29-Sep-2011,12.98,13.6,12.56,13.28,1078500,NYSE
P,30-Sep-2011,13.03,14.65,12.3,14.65,2211100,NYSE
P,03-Oct-2011,15.98,15.98,12.25,13.35,888800,NYSE
P,04-Oct-2011,13.48,13.48,11.7,12.5,752600,NYSE
P,05-Oct-2011,12.5,12.52,12.01,12.15,310700,NYSE
P,06-Oct-2011,12.05,13.2,12.05,13.18,575600,NYSE
P,07-Oct-2011,13.18,13.4,12.6,13.11,409500,NYSE
P,10-Oct-2011,13.33,13.6,13.1,13.43,326600,NYSE
P,11-Oct-2011,13.26,14.49,13.11,14.28,475400,NYSE
P,12-Oct-2011,14.5,14.75,14.06,14.14,573800,NYSE
P,13-Oct-2011,14.1,15.0,14.07,14.76,653100,NYSE
P,14-Oct-2011,15.0,15.66,14.91,15.3,1016000,NYSE
P,17-Oct-2011,15.45,15.75,14.96,15.23,670900,NYSE
P,18-Oct-2011,15.7,15.97,14.81,15.28,663900,NYSE
P,19-Oct-2011,15.25,15.55,14.7,14.79,471000,NYSE
P,20-Oct-2011,14.81,15.29,14.79,15.05,344200,NYSE
P,21-Oct-2011,15.59,15.59,14.82,15.13,471900,NYSE
P,24-Oct-2011,15.16,15.37,14.93,15.03,355600,NYSE
P,25-Oct-2011,14.95,15.04,14.11,14.22,626000,NYSE
P,26-Oct-2011,14.31,14.44,13.75,14.03,389600,NYSE
P,27-Oct-2011,14.99,14.99,14.44,14.82,452000,NYSE
P,28-Oct-2011,14.73,15.16,14.51,15.13,292800,NYSE
P,31-Oct-2011,15.0,15.97,14.97,15.8,627400,NYSE
P,01-Nov-2011,15.31,15.64,14.31,14.47,598500,NYSE
P,02-Nov-2011,14.97,15.2,14.55,14.82,324600,NYSE
P,03-Nov-2011,15.0,15.35,14.68,15.29,294300,NYSE
P,04-Nov-2011,15.28,15.44,15.02,15.22,181200,NYSE
P,07-Nov-2011,15.25,15.35,14.99,15.07,156500,NYSE
P,08-Nov-2011,15.28,15.72,14.97,15.62,280300,NYSE
P,09-Nov-2011,15.3,15.89,15.07,15.39,421600,NYSE
P,10-Nov-2011,15.45,15.47,14.39,14.81,650500,NYSE
P,11-Nov-2011,14.92,14.96,13.52,13.75,681900,NYSE
P,14-Nov-2011,13.8,13.92,12.45,12.7,884900,NYSE
P,15-Nov-2011,12.62,12.95,12.12,12.81,579100,NYSE
P,16-Nov-2011,12.74,12.76,12.1,12.16,499600,NYSE
P,17-Nov-2011,12.27,12.55,12.11,12.26,460700,NYSE
P,18-Nov-2011,12.5,12.95,12.35,12.88,618300,NYSE
P,21-Nov-2011,12.62,12.69,12.01,12.52,761600,NYSE
P,22-Nov-2011,12.52,12.59,11.65,11.85,1358600,NYSE
