name,date,open_price,close_price,high_price,low_price,volume,market
PAR,04-Jan-2010,12.24,12.31,11.85,12.28,1178500,NYSE
PAR,05-Jan-2010,12.34,13.0,12.34,12.97,1159600,NYSE
PAR,06-Jan-2010,12.97,13.67,12.46,12.94,3385900,NYSE
PAR,07-Jan-2010,12.95,12.98,12.0,12.08,1723700,NYSE
PAR,08-Jan-2010,12.06,12.18,11.85,11.98,798600,NYSE
PAR,11-Jan-2010,12.06,12.27,11.92,12.2,687100,NYSE
PAR,12-Jan-2010,12.28,12.45,11.25,11.67,1171500,NYSE
PAR,13-Jan-2010,11.74,11.85,10.98,11.12,1290800,NYSE
PAR,14-Jan-2010,11.09,11.3,10.88,10.92,694900,NYSE
PAR,15-Jan-2010,10.95,11.22,10.81,11.22,855900,NYSE
PAR,19-Jan-2010,11.29,11.52,11.11,11.33,959800,NYSE
PAR,20-Jan-2010,11.27,11.44,11.13,11.27,971300,NYSE
PAR,21-Jan-2010,11.31,11.48,10.7,10.74,777000,NYSE
PAR,22-Jan-2010,10.69,10.72,10.01,10.11,638900,NYSE
PAR,25-Jan-2010,10.2,10.73,10.17,10.4,727800,NYSE
PAR,26-Jan-2010,10.35,10.63,10.28,10.55,459000,NYSE
PAR,27-Jan-2010,10.5,10.6,10.1,10.32,474100,NYSE
PAR,28-Jan-2010,10.34,10.67,10.21,10.45,1157400,NYSE
PAR,29-Jan-2010,9.65,9.95,9.4,9.67,4375300,NYSE
PAR,01-Feb-2010,9.61,9.75,9.24,9.45,1056200,NYSE
PAR,02-Feb-2010,9.39,9.7,9.35,9.5,793600,NYSE
PAR,03-Feb-2010,9.41,9.62,9.41,9.45,530900,NYSE
PAR,04-Feb-2010,9.43,9.53,9.26,9.29,1084400,NYSE
PAR,05-Feb-2010,9.31,9.49,9.2,9.41,741800,NYSE
PAR,08-Feb-2010,9.45,9.56,9.35,9.35,387200,NYSE
PAR,09-Feb-2010,9.48,9.48,9.33,9.4,660100,NYSE
PAR,10-Feb-2010,9.35,9.55,9.34,9.52,397700,NYSE
PAR,11-Feb-2010,9.51,9.89,9.51,9.65,557500,NYSE
PAR,12-Feb-2010,9.59,9.71,9.26,9.46,674500,NYSE
PAR,16-Feb-2010,9.48,9.76,9.35,9.5,821000,NYSE
PAR,17-Feb-2010,9.53,9.59,9.42,9.45,242200,NYSE
PAR,18-Feb-2010,9.41,9.52,9.29,9.31,369400,NYSE
PAR,19-Feb-2010,9.3,9.51,9.17,9.29,333500,NYSE
PAR,22-Feb-2010,9.3,9.44,9.22,9.3,465700,NYSE
