name,date,open_price,close_price,high_price,low_price,volume,market
PEI,04-Jan-2010,8.65,8.7,8.47,8.69,338100,NYSE
PEI,05-Jan-2010,8.62,9.3,8.61,8.99,533300,NYSE
PEI,06-Jan-2010,8.95,9.25,8.75,8.78,372300,NYSE
PEI,07-Jan-2010,8.81,8.95,8.7,8.89,393300,NYSE
PEI,08-Jan-2010,8.87,9.1,8.77,9.07,255900,NYSE
PEI,11-Jan-2010,9.14,9.2,9.01,9.15,246500,NYSE
PEI,12-Jan-2010,9.04,9.13,8.85,8.97,285500,NYSE
PEI,13-Jan-2010,9.0,9.39,8.98,9.38,293600,NYSE
PEI,14-Jan-2010,9.3,9.71,9.25,9.65,452000,NYSE
PEI,15-Jan-2010,9.66,9.93,9.57,9.91,417500,NYSE
PEI,19-Jan-2010,9.92,10.47,9.8,10.44,394000,NYSE
PEI,20-Jan-2010,10.43,10.44,9.94,10.1,364900,NYSE
PEI,21-Jan-2010,10.12,10.2,9.56,9.57,369600,NYSE
PEI,22-Jan-2010,9.52,9.64,8.88,9.11,625600,NYSE
PEI,25-Jan-2010,9.24,9.32,9.16,9.2,392500,NYSE
PEI,26-Jan-2010,9.11,9.26,8.97,9.0,294600,NYSE
PEI,27-Jan-2010,8.95,9.15,8.85,9.14,433400,NYSE
PEI,28-Jan-2010,9.18,9.21,8.94,9.15,266200,NYSE
PEI,29-Jan-2010,9.19,9.33,8.86,8.96,542100,NYSE
PEI,01-Feb-2010,9.02,9.18,8.92,9.18,261400,NYSE
PEI,02-Feb-2010,9.24,9.35,9.02,9.2,305100,NYSE
PEI,03-Feb-2010,9.08,9.21,8.93,9.06,157600,NYSE
PEI,04-Feb-2010,8.96,9.04,8.82,8.86,251900,NYSE
PEI,05-Feb-2010,8.88,9.09,8.82,9.06,267100,NYSE
PEI,08-Feb-2010,9.04,9.1,8.89,8.91,321800,NYSE
PEI,09-Feb-2010,9.01,9.09,8.67,8.67,668000,NYSE
PEI,10-Feb-2010,8.72,8.78,8.5,8.58,406700,NYSE
PEI,11-Feb-2010,8.66,8.66,8.38,8.55,406700,NYSE
PEI,12-Feb-2010,8.5,8.64,8.35,8.49,345300,NYSE
PEI,16-Feb-2010,8.56,8.91,8.56,8.87,561000,NYSE
PEI,17-Feb-2010,8.96,9.1,8.95,9.01,289400,NYSE
PEI,18-Feb-2010,9.02,9.33,9.02,9.2,396500,NYSE
PEI,19-Feb-2010,9.15,9.83,9.15,9.63,550700,NYSE
PEI,22-Feb-2010,9.72,9.89,9.65,9.78,387900,NYSE
PEI,23-Feb-2010,9.7,9.98,9.67,9.81,599600,NYSE
PEI,24-Feb-2010,9.84,10.0,9.8,9.95,518800,NYSE
PEI,25-Feb-2010,9.81,9.89,9.57,9.84,396600,NYSE
PEI,26-Feb-2010,9.88,10.17,9.66,10.05,559000,NYSE
PEI,01-Mar-2010,10.12,10.39,10.11,10.18,490000,NYSE
PEI,02-Mar-2010,10.24,10.5,10.21,10.36,552300,NYSE
PEI,03-Mar-2010,10.38,10.44,10.19,10.26,335800,NYSE
PEI,04-Mar-2010,10.28,10.4,10.22,10.34,252900,NYSE
PEI,05-Mar-2010,10.37,10.89,10.2,10.84,539700,NYSE
PEI,08-Mar-2010,10.84,11.07,10.69,11.06,426300,NYSE
PEI,09-Mar-2010,11.02,11.95,11.01,11.8,656200,NYSE
PEI,10-Mar-2010,11.78,11.88,11.47,11.76,416400,NYSE
PEI,11-Mar-2010,11.76,11.8,11.41,11.52,440300,NYSE
PEI,12-Mar-2010,11.58,12.47,11.35,12.1,2014900,NYSE
PEI,15-Mar-2010,12.09,12.09,11.5,11.95,1024500,NYSE
PEI,16-Mar-2010,11.98,12.08,11.74,11.92,812100,NYSE
PEI,17-Mar-2010,12.0,12.3,11.88,12.0,1063500,NYSE
PEI,18-Mar-2010,12.05,12.4,11.89,12.17,916300,NYSE
PEI,19-Mar-2010,12.19,12.19,11.48,11.55,856500,NYSE
PEI,22-Mar-2010,11.5,12.62,11.33,12.52,1037800,NYSE
PEI,23-Mar-2010,12.6,12.76,12.22,12.36,635100,NYSE
PEI,24-Mar-2010,12.31,12.68,12.31,12.4,394900,NYSE
PEI,25-Mar-2010,12.61,13.06,12.45,12.53,594000,NYSE
PEI,26-Mar-2010,12.65,13.04,12.51,12.51,658800,NYSE
PEI,29-Mar-2010,12.54,12.77,12.52,12.64,357900,NYSE
PEI,30-Mar-2010,12.71,12.86,12.66,12.79,478900,NYSE
PEI,31-Mar-2010,12.73,12.81,12.45,12.47,622900,NYSE
PEI,01-Apr-2010,12.58,12.62,12.39,12.52,323600,NYSE
PEI,05-Apr-2010,12.55,13.29,12.43,13.28,422400,NYSE
PEI,06-Apr-2010,13.21,13.94,13.17,13.49,606700,NYSE
PEI,07-Apr-2010,13.52,14.33,13.52,13.92,908700,NYSE
PEI,08-Apr-2010,13.85,13.85,13.56,13.58,473000,NYSE
PEI,09-Apr-2010,13.61,14.17,13.47,14.07,423300,NYSE
PEI,12-Apr-2010,14.14,14.14,13.7,13.76,312800,NYSE
PEI,13-Apr-2010,13.74,14.35,13.56,14.29,380100,NYSE
PEI,14-Apr-2010,14.46,14.98,14.38,14.78,427600,NYSE
PEI,15-Apr-2010,14.79,14.89,14.35,14.6,560900,NYSE
PEI,16-Apr-2010,14.56,14.68,14.21,14.25,476200,NYSE
PEI,19-Apr-2010,14.07,14.55,14.07,14.54,423500,NYSE
PEI,20-Apr-2010,14.63,14.83,14.43,14.83,220300,NYSE
PEI,21-Apr-2010,14.9,15.09,14.77,15.05,313600,NYSE
PEI,22-Apr-2010,14.98,15.03,14.75,15.0,330700,NYSE
PEI,23-Apr-2010,15.02,15.35,14.94,15.19,379100,NYSE
PEI,26-Apr-2010,15.24,16.31,15.17,15.84,677900,NYSE
PEI,27-Apr-2010,15.75,15.88,14.91,14.96,829500,NYSE
PEI,28-Apr-2010,15.11,15.4,14.95,15.02,426400,NYSE
PEI,29-Apr-2010,15.25,16.41,15.08,16.29,597900,NYSE
PEI,30-Apr-2010,16.18,16.98,15.73,15.79,612700,NYSE
PEI,03-May-2010,15.89,17.35,15.89,17.35,550600,NYSE
PEI,04-May-2010,16.44,16.75,16.0,16.75,7582000,NYSE
PEI,05-May-2010,16.59,17.1,15.26,16.27,1732200,NYSE
PEI,06-May-2010,16.03,16.44,13.75,15.18,3130300,NYSE
PEI,07-May-2010,15.28,15.41,13.95,14.05,1616400,NYSE
PEI,10-May-2010,14.97,15.56,14.58,14.8,1030700,NYSE
PEI,11-May-2010,14.73,15.44,14.5,15.12,1234300,NYSE
PEI,12-May-2010,15.24,16.25,15.24,16.12,672200,NYSE
PEI,13-May-2010,16.04,16.46,16.04,16.22,761300,NYSE
PEI,14-May-2010,16.01,16.06,15.2,15.61,930000,NYSE
PEI,17-May-2010,15.69,16.14,14.85,15.87,1000100,NYSE
PEI,18-May-2010,16.17,16.45,14.77,14.93,925100,NYSE
PEI,19-May-2010,15.0,15.14,14.0,14.68,1089700,NYSE
PEI,20-May-2010,14.09,14.25,13.13,13.54,1309800,NYSE
