name,date,open_price,close_price,high_price,low_price,volume,market
PFK,04-Jan-2010,20.95,21.15,20.59,20.91,5300,NYSE
PFK,05-Jan-2010,20.73,21.1,20.73,20.87,7600,NYSE
PFK,06-Jan-2010,21.06,21.13,20.91,21.13,5400,NYSE
PFK,07-Jan-2010,21.05,21.2,20.95,21.2,4100,NYSE
PFK,08-Jan-2010,21.11,21.51,21.1,21.51,4600,NYSE
PFK,11-Jan-2010,21.55,22.12,21.55,22.0,15400,NYSE
PFK,12-Jan-2010,22.02,22.39,22.02,22.15,7400,NYSE
PFK,13-Jan-2010,22.02,22.98,22.02,22.71,10900,NYSE
PFK,14-Jan-2010,22.7,22.85,21.79,22.1,32500,NYSE
PFK,15-Jan-2010,22.1,22.1,21.63,21.81,10900,NYSE
PFK,19-Jan-2010,21.82,22.31,21.82,22.2,7600,NYSE
PFK,20-Jan-2010,22.03,22.28,21.97,22.0,19400,NYSE
PFK,21-Jan-2010,21.98,22.18,21.8,21.8,17100,NYSE
PFK,22-Jan-2010,21.99,22.0,21.56,21.56,7900,NYSE
PFK,25-Jan-2010,21.84,21.95,21.59,21.95,2900,NYSE
PFK,26-Jan-2010,21.93,22.3,21.93,22.2,7000,NYSE
PFK,27-Jan-2010,21.65,22.06,21.65,21.94,2100,NYSE
PFK,28-Jan-2010,22.18,22.28,21.86,22.28,4000,NYSE
PFK,29-Jan-2010,22.1,22.5,21.71,22.31,9700,NYSE
PFK,01-Feb-2010,22.47,22.67,22.0,22.0,5300,NYSE
PFK,02-Feb-2010,22.39,22.4,22.01,22.1,9800,NYSE
PFK,03-Feb-2010,22.3,22.3,22.14,22.15,5300,NYSE
PFK,04-Feb-2010,22.16,22.28,22.01,22.15,8000,NYSE
PFK,05-Feb-2010,22.15,22.52,22.03,22.1,7200,NYSE
PFK,08-Feb-2010,22.29,22.39,22.29,22.39,2900,NYSE
PFK,09-Feb-2010,22.35,22.42,22.03,22.1,8100,NYSE
PFK,10-Feb-2010,22.16,22.86,22.05,22.86,3500,NYSE
PFK,11-Feb-2010,22.91,23.48,22.91,23.24,18100,NYSE
PFK,12-Feb-2010,23.49,23.49,23.37,23.4,12100,NYSE
PFK,16-Feb-2010,23.46,23.58,23.46,23.46,6100,NYSE
PFK,17-Feb-2010,23.46,23.53,23.46,23.46,8100,NYSE
PFK,18-Feb-2010,23.46,23.52,23.46,23.46,8800,NYSE
PFK,19-Feb-2010,23.46,23.46,23.26,23.27,3600,NYSE
PFK,22-Feb-2010,23.09,23.41,23.07,23.41,8300,NYSE
PFK,23-Feb-2010,23.49,23.5,23.3,23.5,7200,NYSE
PFK,24-Feb-2010,23.53,23.54,23.42,23.52,8600,NYSE
PFK,25-Feb-2010,23.56,23.58,23.32,23.58,2000,NYSE
