name,date,open_price,close_price,high_price,low_price,volume,market
PGR,04-Jan-2010,17.99,18.09,17.87,18.03,4619300,NYSE
PGR,05-Jan-2010,18.03,18.07,17.78,17.97,6113700,NYSE
PGR,06-Jan-2010,17.99,18.04,17.72,17.79,3576200,NYSE
PGR,07-Jan-2010,17.44,17.6,17.32,17.55,4731200,NYSE
PGR,08-Jan-2010,17.51,17.75,17.43,17.71,3623500,NYSE
PGR,11-Jan-2010,17.68,17.73,17.21,17.26,6228700,NYSE
PGR,12-Jan-2010,17.19,17.42,17.19,17.3,4951500,NYSE
PGR,13-Jan-2010,17.35,17.83,17.3,17.72,5012200,NYSE
PGR,14-Jan-2010,17.73,17.85,17.57,17.75,2544900,NYSE
PGR,15-Jan-2010,17.58,17.68,17.3,17.43,3871400,NYSE
PGR,19-Jan-2010,17.37,17.77,17.37,17.71,4733500,NYSE
PGR,20-Jan-2010,17.59,17.9,17.43,17.6,5846400,NYSE
PGR,21-Jan-2010,17.61,17.7,17.2,17.37,5597000,NYSE
PGR,22-Jan-2010,17.38,17.44,16.84,16.89,4900400,NYSE
PGR,25-Jan-2010,17.01,17.22,16.66,16.87,4305300,NYSE
PGR,26-Jan-2010,16.83,17.14,16.78,16.8,3242100,NYSE
PGR,27-Jan-2010,16.72,16.98,16.67,16.96,4306200,NYSE
PGR,28-Jan-2010,16.96,17.07,16.66,16.75,4095900,NYSE
PGR,29-Jan-2010,16.77,16.89,16.56,16.58,5639300,NYSE
PGR,01-Feb-2010,16.62,16.76,16.56,16.75,4211000,NYSE
PGR,02-Feb-2010,16.77,16.95,16.68,16.93,3645100,NYSE
PGR,03-Feb-2010,16.84,17.05,16.7,16.77,3176000,NYSE
PGR,04-Feb-2010,16.67,16.75,16.23,16.25,4847100,NYSE
PGR,05-Feb-2010,16.25,16.52,16.18,16.52,6034600,NYSE
PGR,08-Feb-2010,16.5,16.54,16.2,16.21,4292000,NYSE
PGR,09-Feb-2010,16.41,16.5,16.22,16.37,3193200,NYSE
PGR,10-Feb-2010,16.31,16.53,16.28,16.5,3736400,NYSE
PGR,11-Feb-2010,16.54,16.7,16.35,16.63,3802300,NYSE
PGR,12-Feb-2010,16.55,16.74,16.4,16.71,4295900,NYSE
PGR,16-Feb-2010,16.8,17.1,16.75,17.07,3083200,NYSE
PGR,17-Feb-2010,17.11,17.15,16.87,16.92,3766400,NYSE
PGR,18-Feb-2010,16.9,17.16,16.77,17.15,3313700,NYSE
PGR,19-Feb-2010,17.06,17.22,16.96,17.15,2592500,NYSE
PGR,22-Feb-2010,17.15,17.25,17.07,17.19,2331600,NYSE
PGR,23-Feb-2010,17.14,17.3,17.07,17.08,3251000,NYSE
PGR,24-Feb-2010,17.13,17.3,17.13,17.23,2775000,NYSE
PGR,25-Feb-2010,17.08,17.31,16.74,17.24,3949600,NYSE
PGR,26-Feb-2010,17.28,17.33,17.1,17.15,2776000,NYSE
PGR,01-Mar-2010,17.29,17.37,17.19,17.28,2449000,NYSE
PGR,02-Mar-2010,17.39,17.39,17.18,17.23,4928600,NYSE
PGR,03-Mar-2010,17.21,17.26,17.03,17.03,5551000,NYSE
PGR,04-Mar-2010,17.07,17.15,16.85,17.11,4131200,NYSE
PGR,05-Mar-2010,17.15,17.35,17.01,17.32,4665900,NYSE
PGR,08-Mar-2010,17.31,17.38,17.15,17.17,4114200,NYSE
PGR,09-Mar-2010,17.23,17.24,17.04,17.14,5382200,NYSE
PGR,10-Mar-2010,17.18,17.24,16.97,17.06,3032600,NYSE
PGR,11-Mar-2010,17.06,17.13,16.95,17.12,2348700,NYSE
PGR,12-Mar-2010,17.26,17.3,17.09,17.09,2599700,NYSE
