name,date,open_price,close_price,high_price,low_price,volume,market
PH,04-Jan-2010,54.66,55.04,54.17,54.52,960900,NYSE
PH,05-Jan-2010,54.35,54.82,53.94,54.26,1136300,NYSE
PH,06-Jan-2010,54.14,54.47,53.8,54.03,1670600,NYSE
PH,07-Jan-2010,53.75,54.9,53.75,54.67,973500,NYSE
PH,08-Jan-2010,54.47,56.23,54.12,56.22,1075100,NYSE
PH,11-Jan-2010,57.09,58.03,56.57,57.82,1682000,NYSE
PH,12-Jan-2010,57.49,58.09,57.38,57.94,1750600,NYSE
PH,13-Jan-2010,58.09,58.59,57.09,58.25,1371700,NYSE
PH,14-Jan-2010,58.03,58.94,57.56,58.79,1003100,NYSE
PH,15-Jan-2010,58.66,59.15,57.94,58.56,1711900,NYSE
PH,19-Jan-2010,61.74,62.85,60.58,61.42,3741300,NYSE
PH,20-Jan-2010,61.13,61.18,59.4,60.61,2339700,NYSE
PH,21-Jan-2010,60.4,61.43,58.76,59.52,2014700,NYSE
PH,22-Jan-2010,59.44,59.44,57.59,57.62,1462800,NYSE
PH,25-Jan-2010,58.52,59.04,56.37,57.37,2042800,NYSE
PH,26-Jan-2010,56.9,57.3,56.07,56.6,2343500,NYSE
PH,27-Jan-2010,56.49,57.74,56.15,57.4,3339400,NYSE
PH,28-Jan-2010,57.71,57.8,55.68,56.32,1439400,NYSE
PH,29-Jan-2010,56.83,57.86,55.67,55.91,2134600,NYSE
PH,01-Feb-2010,56.2,57.4,56.06,57.14,1623800,NYSE
PH,02-Feb-2010,57.55,58.21,57.2,58.14,1919300,NYSE
PH,03-Feb-2010,57.8,58.62,57.13,57.3,1800000,NYSE
PH,04-Feb-2010,56.52,56.74,54.93,54.93,1969100,NYSE
PH,05-Feb-2010,54.96,55.32,53.5,54.97,2101400,NYSE
PH,08-Feb-2010,54.95,55.17,53.95,54.54,1728100,NYSE
PH,09-Feb-2010,55.33,56.4,54.88,55.75,1650900,NYSE
PH,10-Feb-2010,55.7,55.98,54.86,55.55,1032600,NYSE
PH,11-Feb-2010,55.59,56.79,55.15,56.76,1370500,NYSE
PH,12-Feb-2010,55.91,59.85,55.21,56.08,2551500,NYSE
PH,16-Feb-2010,57.24,57.3,56.41,57.25,1561200,NYSE
PH,17-Feb-2010,57.75,58.33,57.26,58.19,1501500,NYSE
PH,18-Feb-2010,58.04,58.87,57.97,58.76,1522600,NYSE
PH,19-Feb-2010,58.59,59.29,58.2,59.0,1109100,NYSE
PH,22-Feb-2010,59.18,59.24,58.63,58.92,1248900,NYSE
PH,23-Feb-2010,58.72,59.06,57.76,58.31,1451000,NYSE
PH,24-Feb-2010,58.58,58.91,58.13,58.87,2075200,NYSE
PH,25-Feb-2010,57.55,59.06,57.46,58.9,1553800,NYSE
PH,26-Feb-2010,59.31,60.45,59.17,60.31,2204700,NYSE
PH,01-Mar-2010,60.17,62.58,60.15,61.71,3111700,NYSE
PH,02-Mar-2010,62.02,62.41,61.87,62.07,2012600,NYSE
PH,03-Mar-2010,63.2,63.66,62.3,62.41,2750500,NYSE
PH,04-Mar-2010,62.44,62.76,61.52,62.07,1897600,NYSE
PH,05-Mar-2010,62.86,63.23,62.51,62.93,1130800,NYSE
PH,08-Mar-2010,62.91,63.31,62.54,63.02,1402300,NYSE
PH,09-Mar-2010,62.89,63.6,62.68,63.33,1470800,NYSE
PH,10-Mar-2010,63.46,63.96,63.18,63.82,1154400,NYSE
PH,11-Mar-2010,63.84,63.85,63.03,63.69,939800,NYSE
PH,12-Mar-2010,63.99,64.2,63.31,63.61,860300,NYSE
PH,15-Mar-2010,63.65,63.89,63.27,63.84,762300,NYSE
PH,16-Mar-2010,63.96,64.67,63.89,64.44,1008500,NYSE
PH,17-Mar-2010,64.74,65.74,64.46,65.37,1476100,NYSE
PH,18-Mar-2010,65.26,65.91,65.11,65.6,1214800,NYSE
PH,19-Mar-2010,65.75,66.41,64.89,65.11,1714100,NYSE
PH,22-Mar-2010,64.53,65.62,64.21,65.55,942800,NYSE
PH,23-Mar-2010,65.78,66.71,65.16,66.57,1101300,NYSE
PH,24-Mar-2010,66.49,66.55,65.26,65.34,1521400,NYSE
PH,25-Mar-2010,66.16,66.42,64.7,64.79,1839700,NYSE
PH,26-Mar-2010,65.01,65.93,64.44,64.61,1659200,NYSE
PH,29-Mar-2010,64.92,65.31,64.77,65.24,1286700,NYSE
PH,30-Mar-2010,65.57,66.23,65.34,65.52,1245500,NYSE
PH,31-Mar-2010,65.33,65.55,64.69,64.74,1140700,NYSE
PH,01-Apr-2010,65.12,65.69,64.8,65.27,859700,NYSE
PH,05-Apr-2010,65.4,66.56,65.4,66.42,970900,NYSE
PH,06-Apr-2010,66.16,66.32,65.7,66.32,1038200,NYSE
PH,07-Apr-2010,66.05,67.06,65.9,66.5,1190700,NYSE
PH,08-Apr-2010,66.37,67.75,65.84,67.59,1639300,NYSE
PH,09-Apr-2010,67.77,68.67,67.51,68.48,1124600,NYSE
PH,12-Apr-2010,69.54,69.66,68.5,69.48,1536900,NYSE
PH,13-Apr-2010,69.27,69.85,69.03,69.76,1451200,NYSE
PH,14-Apr-2010,70.22,70.81,70.17,70.54,2550000,NYSE
PH,15-Apr-2010,70.3,70.72,70.01,70.21,1428900,NYSE
PH,16-Apr-2010,69.78,70.02,68.87,69.07,2015400,NYSE
PH,19-Apr-2010,69.04,69.74,67.99,69.39,2370100,NYSE
PH,20-Apr-2010,71.75,72.5,67.12,67.8,4872800,NYSE
PH,21-Apr-2010,68.37,71.17,68.37,71.0,3368100,NYSE
PH,22-Apr-2010,70.52,70.8,69.7,70.44,2868700,NYSE
PH,23-Apr-2010,70.13,70.99,69.75,70.99,1358900,NYSE
PH,26-Apr-2010,71.0,71.73,70.89,71.16,1355800,NYSE
PH,27-Apr-2010,70.64,71.36,68.5,68.75,1596900,NYSE
PH,28-Apr-2010,69.26,69.43,68.09,69.06,1283000,NYSE
PH,29-Apr-2010,69.65,71.29,69.65,71.23,1258300,NYSE
PH,30-Apr-2010,71.22,71.78,69.09,69.18,1486400,NYSE
PH,03-May-2010,69.87,70.98,69.41,70.82,1061400,NYSE
PH,04-May-2010,69.47,69.47,67.47,67.98,2070800,NYSE
PH,05-May-2010,67.0,67.63,66.64,67.24,2135800,NYSE
PH,06-May-2010,66.79,67.56,59.47,64.5,3336100,NYSE
PH,07-May-2010,64.39,64.83,61.91,62.25,3506500,NYSE
PH,10-May-2010,65.76,68.02,64.62,67.69,3250800,NYSE
PH,11-May-2010,66.89,68.02,66.48,67.05,2282300,NYSE
PH,12-May-2010,67.45,69.46,67.45,69.06,1408500,NYSE
PH,13-May-2010,68.71,69.69,68.02,68.18,1316400,NYSE
PH,14-May-2010,68.04,68.04,65.81,66.46,2005000,NYSE
PH,17-May-2010,66.54,67.46,64.5,66.27,2535500,NYSE
PH,18-May-2010,66.82,67.13,64.69,64.95,1428200,NYSE
PH,19-May-2010,64.7,65.18,62.4,63.63,1916100,NYSE
PH,20-May-2010,61.86,62.18,59.42,59.7,4173000,NYSE
PH,21-May-2010,58.24,60.58,58.24,60.57,3661600,NYSE
PH,24-May-2010,60.45,60.92,59.37,59.56,3288800,NYSE
PH,25-May-2010,58.01,60.0,57.32,59.85,2587700,NYSE
PH,26-May-2010,60.53,61.74,60.03,60.27,2096300,NYSE
PH,27-May-2010,61.75,62.73,60.96,62.73,1449200,NYSE
PH,28-May-2010,62.86,62.86,60.92,61.46,1595200,NYSE
PH,01-Jun-2010,60.66,62.12,59.48,59.5,1919000,NYSE
PH,02-Jun-2010,59.74,61.68,59.74,61.68,1940000,NYSE
PH,03-Jun-2010,62.14,62.36,61.41,61.98,1302300,NYSE
PH,04-Jun-2010,60.04,60.66,58.08,58.52,2119500,NYSE
PH,07-Jun-2010,59.04,59.04,56.96,57.08,2388400,NYSE
PH,08-Jun-2010,57.51,58.23,56.68,58.12,2632000,NYSE
PH,09-Jun-2010,58.94,60.28,58.2,58.42,1995800,NYSE
PH,10-Jun-2010,59.63,60.97,59.63,60.85,1422500,NYSE
PH,11-Jun-2010,60.07,61.38,59.83,61.06,1410200,NYSE
PH,14-Jun-2010,61.99,62.54,60.69,60.89,1392700,NYSE
PH,15-Jun-2010,61.82,63.55,61.54,63.47,1527500,NYSE
PH,16-Jun-2010,62.88,63.2,61.31,61.74,2263900,NYSE
PH,17-Jun-2010,62.2,62.52,60.68,61.5,1669300,NYSE
PH,18-Jun-2010,61.66,61.84,60.67,60.86,2057700,NYSE
PH,21-Jun-2010,61.86,62.18,60.65,61.03,2246600,NYSE
PH,22-Jun-2010,60.98,61.21,58.43,58.53,3064700,NYSE
PH,23-Jun-2010,58.61,59.37,57.63,58.64,1495100,NYSE
PH,24-Jun-2010,58.3,58.62,56.6,56.64,2328700,NYSE
PH,25-Jun-2010,56.5,58.26,56.22,58.21,3453500,NYSE
PH,28-Jun-2010,58.31,58.88,57.57,57.99,1909500,NYSE
PH,29-Jun-2010,56.84,56.93,55.18,56.16,3138500,NYSE
PH,30-Jun-2010,55.92,56.98,55.34,55.46,2290500,NYSE
PH,01-Jul-2010,55.7,55.93,54.26,55.23,1725600,NYSE
PH,02-Jul-2010,55.44,55.78,54.6,55.02,1495800,NYSE
PH,06-Jul-2010,55.79,56.42,54.4,54.8,1894000,NYSE
PH,07-Jul-2010,55.14,56.96,54.89,56.87,3076900,NYSE
PH,08-Jul-2010,57.4,57.64,56.29,57.27,2260200,NYSE
PH,09-Jul-2010,57.34,57.61,56.75,57.32,2469000,NYSE
PH,12-Jul-2010,56.97,57.22,56.1,56.44,1536000,NYSE
PH,13-Jul-2010,57.36,58.63,57.12,58.27,2530400,NYSE
PH,14-Jul-2010,57.91,57.94,56.95,57.4,2234600,NYSE
PH,15-Jul-2010,57.45,58.18,57.05,58.08,2172600,NYSE
PH,16-Jul-2010,57.61,57.73,56.11,56.26,1650600,NYSE
PH,19-Jul-2010,56.52,56.98,56.09,56.88,1417300,NYSE
PH,20-Jul-2010,55.78,58.09,55.63,57.97,1692500,NYSE
PH,21-Jul-2010,58.66,59.8,57.84,58.29,2270900,NYSE
PH,22-Jul-2010,59.35,60.71,59.21,60.6,2012100,NYSE
PH,23-Jul-2010,60.33,62.21,60.12,62.19,1786000,NYSE
PH,26-Jul-2010,62.13,62.66,61.56,62.36,2132700,NYSE
PH,27-Jul-2010,62.92,62.93,60.74,61.09,2112000,NYSE
PH,28-Jul-2010,60.98,61.99,60.95,61.81,2410800,NYSE
PH,29-Jul-2010,62.39,63.29,60.91,61.56,1717400,NYSE
PH,30-Jul-2010,61.1,62.39,60.2,62.12,1931400,NYSE
PH,02-Aug-2010,63.36,64.31,62.68,63.85,2127500,NYSE
PH,03-Aug-2010,64.14,64.68,62.32,64.18,3248800,NYSE
