name,date,open_price,close_price,high_price,low_price,volume,market
PKI,04-Jan-2010,20.76,20.81,20.28,20.64,1880100,NYSE
PKI,05-Jan-2010,20.66,21.06,20.49,20.89,1568100,NYSE
PKI,06-Jan-2010,20.82,21.41,20.8,21.3,1245500,NYSE
PKI,07-Jan-2010,21.8,22.0,21.2,21.24,2581800,NYSE
PKI,08-Jan-2010,21.32,21.51,21.21,21.43,2273200,NYSE
PKI,11-Jan-2010,21.56,21.66,21.4,21.46,2347500,NYSE
PKI,12-Jan-2010,21.4,21.44,21.04,21.16,2656800,NYSE
PKI,13-Jan-2010,21.27,21.44,21.04,21.41,1352500,NYSE
PKI,14-Jan-2010,21.34,21.67,21.32,21.65,1147600,NYSE
PKI,15-Jan-2010,21.72,21.89,21.28,21.41,1239000,NYSE
PKI,19-Jan-2010,21.41,21.75,21.01,21.44,2234900,NYSE
PKI,20-Jan-2010,21.38,21.38,20.92,21.16,1301500,NYSE
PKI,21-Jan-2010,21.14,21.18,20.41,20.48,1668800,NYSE
PKI,22-Jan-2010,20.53,21.17,20.37,20.37,2016000,NYSE
PKI,25-Jan-2010,20.48,20.7,20.4,20.52,796200,NYSE
PKI,26-Jan-2010,20.49,20.77,20.22,20.57,879100,NYSE
PKI,27-Jan-2010,20.49,20.6,20.2,20.39,1135100,NYSE
PKI,28-Jan-2010,20.42,20.55,20.06,20.07,1114300,NYSE
PKI,29-Jan-2010,20.14,20.49,20.03,20.14,1939500,NYSE
PKI,01-Feb-2010,20.3,20.35,19.98,20.19,1742600,NYSE
PKI,02-Feb-2010,20.23,20.89,20.13,20.82,1357900,NYSE
PKI,03-Feb-2010,20.84,21.18,20.64,20.68,1190100,NYSE
PKI,04-Feb-2010,20.45,20.49,19.73,19.82,1678200,NYSE
PKI,05-Feb-2010,21.5,22.06,20.12,20.52,6011900,NYSE
PKI,08-Feb-2010,20.46,21.29,20.43,20.95,2804000,NYSE
PKI,09-Feb-2010,21.19,21.19,20.82,20.89,2224200,NYSE
PKI,10-Feb-2010,20.9,21.0,20.6,20.7,1458000,NYSE
PKI,11-Feb-2010,20.67,20.91,20.53,20.87,1542600,NYSE
PKI,12-Feb-2010,20.71,21.02,20.5,21.0,1706800,NYSE
PKI,16-Feb-2010,21.1,21.6,20.9,21.59,1879100,NYSE
PKI,17-Feb-2010,21.73,21.78,21.55,21.59,1321800,NYSE
PKI,18-Feb-2010,21.6,21.98,21.59,21.92,1537700,NYSE
PKI,19-Feb-2010,21.87,22.06,21.66,21.79,985500,NYSE
PKI,22-Feb-2010,21.85,22.73,21.78,22.38,4185500,NYSE
PKI,23-Feb-2010,22.38,22.5,22.15,22.32,1983600,NYSE
PKI,24-Feb-2010,22.48,22.5,22.23,22.35,1331400,NYSE
PKI,25-Feb-2010,22.1,22.43,21.9,22.41,1302700,NYSE
PKI,26-Feb-2010,22.49,22.49,22.03,22.21,945200,NYSE
PKI,01-Mar-2010,22.38,23.54,22.26,23.26,3154300,NYSE
PKI,02-Mar-2010,23.24,23.69,23.24,23.43,1398700,NYSE
PKI,03-Mar-2010,23.44,23.54,23.2,23.34,866700,NYSE
PKI,04-Mar-2010,23.33,23.45,22.95,23.12,775600,NYSE
PKI,05-Mar-2010,23.19,23.79,23.16,23.79,1550300,NYSE
PKI,08-Mar-2010,23.68,23.82,23.48,23.68,1490700,NYSE
PKI,09-Mar-2010,23.52,23.71,23.44,23.52,1059600,NYSE
PKI,10-Mar-2010,23.58,23.58,23.3,23.5,1225900,NYSE
PKI,11-Mar-2010,23.5,23.57,23.28,23.46,1008500,NYSE
PKI,12-Mar-2010,23.6,23.6,23.24,23.37,884900,NYSE
PKI,15-Mar-2010,23.67,23.67,23.37,23.5,656500,NYSE
PKI,16-Mar-2010,23.49,23.67,23.38,23.63,1046600,NYSE
PKI,17-Mar-2010,23.69,24.09,23.63,24.0,1109700,NYSE
PKI,18-Mar-2010,24.05,24.28,23.99,24.11,981000,NYSE
PKI,19-Mar-2010,24.45,24.45,23.6,23.61,1714400,NYSE
PKI,22-Mar-2010,23.55,24.09,23.42,24.06,1017600,NYSE
PKI,23-Mar-2010,24.05,24.24,23.82,24.19,683300,NYSE
PKI,24-Mar-2010,24.09,24.18,23.91,23.98,849300,NYSE
PKI,25-Mar-2010,24.11,24.21,23.86,23.9,1186900,NYSE
PKI,26-Mar-2010,23.95,24.13,23.82,24.0,1113900,NYSE
PKI,29-Mar-2010,24.09,24.3,24.06,24.23,737700,NYSE
PKI,30-Mar-2010,24.23,24.44,24.14,24.31,602800,NYSE
PKI,31-Mar-2010,24.26,24.3,23.88,23.9,863300,NYSE
PKI,01-Apr-2010,24.0,24.15,23.92,24.15,1344800,NYSE
PKI,05-Apr-2010,24.29,24.35,24.03,24.2,1191800,NYSE
PKI,06-Apr-2010,24.1,24.17,23.9,24.01,966600,NYSE
PKI,07-Apr-2010,24.02,24.07,23.81,23.88,916900,NYSE
PKI,08-Apr-2010,23.73,23.82,23.5,23.67,1367800,NYSE
PKI,09-Apr-2010,23.66,23.87,23.66,23.8,2262400,NYSE
PKI,12-Apr-2010,23.84,23.94,23.75,23.76,407300,NYSE
PKI,13-Apr-2010,23.76,23.82,23.59,23.74,637500,NYSE
PKI,14-Apr-2010,23.45,23.9,23.24,23.82,965000,NYSE
PKI,15-Apr-2010,23.81,23.95,23.77,23.87,938800,NYSE
PKI,16-Apr-2010,23.79,24.04,23.46,23.5,1475200,NYSE
PKI,19-Apr-2010,23.47,23.64,23.33,23.44,1433700,NYSE
PKI,20-Apr-2010,23.53,23.99,23.52,23.99,1527800,NYSE
PKI,21-Apr-2010,23.92,24.03,23.74,23.94,1279100,NYSE
PKI,22-Apr-2010,23.73,24.0,23.48,23.88,1726200,NYSE
PKI,23-Apr-2010,23.93,23.96,23.64,23.83,1796600,NYSE
PKI,26-Apr-2010,23.85,23.96,23.71,23.74,1330200,NYSE
PKI,27-Apr-2010,23.63,24.02,23.43,23.45,2192700,NYSE
PKI,28-Apr-2010,23.64,24.76,23.59,24.61,3568100,NYSE
PKI,29-Apr-2010,24.86,25.22,24.72,25.12,2816500,NYSE
