name,date,open_price,close_price,high_price,low_price,volume,market
PM,04-Jan-2010,48.33,49.59,48.25,49.35,7844400,NYSE
PM,05-Jan-2010,49.37,49.57,48.76,48.92,7168500,NYSE
PM,06-Jan-2010,48.66,49.0,48.29,48.92,11777200,NYSE
PM,07-Jan-2010,48.77,49.6,48.56,49.53,8905400,NYSE
PM,08-Jan-2010,49.32,49.52,48.78,49.26,6582700,NYSE
PM,11-Jan-2010,49.78,49.8,49.25,49.44,6090800,NYSE
PM,12-Jan-2010,49.26,49.37,48.85,49.17,6752900,NYSE
PM,13-Jan-2010,49.17,49.89,49.17,49.67,5926300,NYSE
PM,14-Jan-2010,49.48,49.98,49.48,49.6,4602100,NYSE
PM,15-Jan-2010,49.66,49.97,49.46,49.62,8269100,NYSE
PM,19-Jan-2010,49.6,50.2,49.51,50.09,8804200,NYSE
PM,20-Jan-2010,49.9,49.91,48.7,49.24,6461300,NYSE
PM,21-Jan-2010,49.22,49.31,47.59,47.73,10276000,NYSE
PM,22-Jan-2010,47.6,47.77,46.71,46.81,8718100,NYSE
PM,25-Jan-2010,47.09,47.63,47.02,47.05,5880800,NYSE
PM,26-Jan-2010,46.69,47.4,46.69,47.0,5858100,NYSE
PM,27-Jan-2010,46.85,47.1,46.22,46.64,5177600,NYSE
PM,28-Jan-2010,46.66,47.1,46.02,46.21,5594400,NYSE
PM,29-Jan-2010,46.53,47.09,45.43,45.51,7064100,NYSE
PM,01-Feb-2010,45.74,46.23,45.63,46.11,8065900,NYSE
PM,02-Feb-2010,46.21,47.72,46.07,47.6,8715500,NYSE
PM,03-Feb-2010,47.33,47.44,46.81,46.97,5001700,NYSE
PM,04-Feb-2010,46.6,46.81,45.9,45.94,6733700,NYSE
PM,05-Feb-2010,46.22,46.22,45.01,45.66,8451100,NYSE
PM,08-Feb-2010,45.31,46.28,45.31,45.53,5242400,NYSE
PM,09-Feb-2010,45.93,47.0,45.7,46.85,8742300,NYSE
PM,10-Feb-2010,46.81,47.09,46.39,46.81,6480600,NYSE
PM,11-Feb-2010,46.65,48.93,46.05,48.67,16677900,NYSE
PM,12-Feb-2010,48.35,49.93,48.2,49.29,13040600,NYSE
PM,16-Feb-2010,49.6,49.92,49.06,49.42,11304000,NYSE
PM,17-Feb-2010,49.51,49.89,49.35,49.83,7402300,NYSE
PM,18-Feb-2010,49.59,50.35,49.59,50.28,7533300,NYSE
PM,19-Feb-2010,50.2,50.41,49.8,49.98,8931800,NYSE
PM,22-Feb-2010,50.0,50.07,49.68,49.75,8233400,NYSE
PM,23-Feb-2010,49.75,50.0,49.18,49.3,10514600,NYSE
PM,24-Feb-2010,49.32,49.97,48.97,49.83,8305800,NYSE
PM,25-Feb-2010,49.43,49.88,49.0,49.61,9595900,NYSE
PM,26-Feb-2010,49.62,49.63,48.95,48.98,8502700,NYSE
PM,01-Mar-2010,49.05,49.25,48.79,48.93,8198200,NYSE
PM,02-Mar-2010,49.39,50.09,49.11,49.81,7126600,NYSE
PM,03-Mar-2010,49.82,50.17,49.72,49.98,7166700,NYSE
PM,04-Mar-2010,50.16,50.8,50.06,50.66,7350100,NYSE
PM,05-Mar-2010,50.75,51.38,50.52,51.25,7140400,NYSE
PM,08-Mar-2010,51.13,51.28,50.69,50.79,6970600,NYSE
PM,09-Mar-2010,50.61,50.78,50.2,50.38,6203700,NYSE
PM,10-Mar-2010,50.25,50.41,49.85,50.3,5967200,NYSE
PM,11-Mar-2010,50.29,50.51,49.68,50.24,8066700,NYSE
PM,12-Mar-2010,50.25,50.5,49.95,50.14,6118100,NYSE
