name,date,open_price,close_price,high_price,low_price,volume,market
PML,04-Jan-2010,10.45,10.57,10.4,10.57,78100,NYSE
PML,05-Jan-2010,10.54,10.61,10.41,10.55,146700,NYSE
PML,06-Jan-2010,10.47,10.63,10.47,10.59,96500,NYSE
PML,07-Jan-2010,10.63,10.73,10.61,10.7,93300,NYSE
PML,08-Jan-2010,10.65,10.79,10.65,10.77,86500,NYSE
PML,11-Jan-2010,10.73,10.94,10.72,10.93,115200,NYSE
PML,12-Jan-2010,10.84,10.87,10.76,10.79,115000,NYSE
PML,13-Jan-2010,10.75,10.92,10.72,10.88,118700,NYSE
PML,14-Jan-2010,10.91,10.95,10.86,10.93,73300,NYSE
PML,15-Jan-2010,10.93,11.04,10.91,10.95,108800,NYSE
PML,19-Jan-2010,10.88,10.93,10.82,10.9,96200,NYSE
PML,20-Jan-2010,10.88,10.99,10.86,10.98,81400,NYSE
PML,21-Jan-2010,10.99,11.0,10.84,11.0,115900,NYSE
PML,22-Jan-2010,10.98,11.07,10.93,10.96,98400,NYSE
PML,25-Jan-2010,10.93,10.96,10.81,10.81,84100,NYSE
PML,26-Jan-2010,10.76,10.92,10.76,10.92,68200,NYSE
PML,27-Jan-2010,10.95,11.02,10.84,11.02,144500,NYSE
PML,28-Jan-2010,11.01,11.09,10.85,10.95,87900,NYSE
PML,29-Jan-2010,10.98,11.05,10.95,11.04,89300,NYSE
PML,01-Feb-2010,11.05,11.21,11.01,11.19,106900,NYSE
PML,02-Feb-2010,11.19,11.39,11.08,11.37,157300,NYSE
PML,03-Feb-2010,11.36,11.38,11.21,11.22,153800,NYSE
PML,04-Feb-2010,11.2,11.31,11.06,11.07,172900,NYSE
PML,05-Feb-2010,11.05,11.13,10.96,11.0,118900,NYSE
PML,08-Feb-2010,10.99,11.09,10.96,11.08,82800,NYSE
PML,09-Feb-2010,11.1,11.14,10.97,11.0,81700,NYSE
PML,10-Feb-2010,10.97,11.03,10.96,11.03,71800,NYSE
PML,11-Feb-2010,11.11,11.11,11.0,11.02,67900,NYSE
PML,12-Feb-2010,11.07,11.08,11.0,11.03,37700,NYSE
PML,16-Feb-2010,11.1,11.11,10.95,11.01,105300,NYSE
PML,17-Feb-2010,10.98,11.01,10.9,11.0,96800,NYSE
PML,18-Feb-2010,10.93,11.09,10.93,11.02,59000,NYSE
PML,19-Feb-2010,11.0,11.04,10.82,10.85,102900,NYSE
PML,22-Feb-2010,10.81,10.87,10.71,10.77,87900,NYSE
PML,23-Feb-2010,10.76,10.9,10.75,10.87,75600,NYSE
PML,24-Feb-2010,10.87,11.0,10.83,10.98,77600,NYSE
PML,25-Feb-2010,10.96,11.12,10.96,11.02,107900,NYSE
