name,date,open_price,close_price,high_price,low_price,volume,market
PMM,04-Jan-2010,6.7,6.73,6.62,6.67,149700,NYSE
PMM,05-Jan-2010,6.66,6.7,6.65,6.68,92300,NYSE
PMM,06-Jan-2010,6.71,6.77,6.67,6.76,176700,NYSE
PMM,07-Jan-2010,6.74,6.78,6.7,6.75,121000,NYSE
PMM,08-Jan-2010,6.74,6.77,6.73,6.77,101300,NYSE
PMM,11-Jan-2010,6.81,6.81,6.75,6.77,118200,NYSE
PMM,12-Jan-2010,6.78,6.8,6.76,6.78,83300,NYSE
PMM,13-Jan-2010,6.77,6.81,6.75,6.81,93600,NYSE
PMM,14-Jan-2010,6.78,6.83,6.75,6.78,117900,NYSE
PMM,15-Jan-2010,6.77,6.83,6.77,6.82,82600,NYSE
PMM,19-Jan-2010,6.82,6.85,6.8,6.85,112900,NYSE
PMM,20-Jan-2010,6.85,6.85,6.78,6.8,111300,NYSE
PMM,21-Jan-2010,6.8,6.81,6.75,6.75,85700,NYSE
PMM,22-Jan-2010,6.76,6.8,6.73,6.75,84100,NYSE
PMM,25-Jan-2010,6.72,6.78,6.72,6.78,94800,NYSE
PMM,26-Jan-2010,6.77,6.79,6.72,6.79,98600,NYSE
PMM,27-Jan-2010,6.79,6.79,6.74,6.79,115200,NYSE
PMM,28-Jan-2010,6.77,6.8,6.76,6.78,50300,NYSE
PMM,29-Jan-2010,6.79,6.8,6.74,6.78,116100,NYSE
PMM,01-Feb-2010,6.8,6.81,6.77,6.79,104300,NYSE
PMM,02-Feb-2010,6.81,6.82,6.79,6.81,142800,NYSE
PMM,03-Feb-2010,6.82,6.82,6.77,6.77,132200,NYSE
PMM,04-Feb-2010,6.79,6.83,6.79,6.79,174900,NYSE
PMM,05-Feb-2010,6.79,6.8,6.74,6.8,116600,NYSE
PMM,08-Feb-2010,6.79,6.84,6.78,6.84,104000,NYSE
PMM,09-Feb-2010,6.84,6.85,6.78,6.83,161900,NYSE
PMM,10-Feb-2010,6.82,6.84,6.8,6.82,85600,NYSE
PMM,11-Feb-2010,6.81,6.87,6.81,6.83,166500,NYSE
PMM,12-Feb-2010,6.83,6.86,6.83,6.85,73700,NYSE
PMM,16-Feb-2010,6.87,6.9,6.85,6.9,182700,NYSE
PMM,17-Feb-2010,6.9,6.92,6.87,6.87,134800,NYSE
PMM,18-Feb-2010,6.87,6.87,6.8,6.81,139400,NYSE
PMM,19-Feb-2010,6.76,6.82,6.75,6.75,242400,NYSE
PMM,22-Feb-2010,6.76,6.76,6.68,6.7,221200,NYSE
PMM,23-Feb-2010,6.7,6.72,6.68,6.71,89600,NYSE
PMM,24-Feb-2010,6.72,6.82,6.71,6.8,129300,NYSE
PMM,25-Feb-2010,6.79,6.89,6.76,6.88,189200,NYSE
PMM,26-Feb-2010,6.87,6.9,6.84,6.9,122000,NYSE
PMM,01-Mar-2010,7.02,7.02,6.88,6.91,151700,NYSE
PMM,02-Mar-2010,6.92,6.95,6.88,6.92,137100,NYSE
PMM,03-Mar-2010,6.93,6.93,6.89,6.93,155300,NYSE
PMM,04-Mar-2010,6.93,6.96,6.91,6.95,166400,NYSE
PMM,05-Mar-2010,6.97,6.97,6.93,6.96,176500,NYSE
PMM,08-Mar-2010,6.97,7.01,6.96,7.0,229400,NYSE
PMM,09-Mar-2010,7.02,7.02,6.99,7.0,143700,NYSE
PMM,10-Mar-2010,7.01,7.04,6.99,7.03,170900,NYSE
PMM,11-Mar-2010,7.01,7.03,6.99,6.99,97900,NYSE
PMM,12-Mar-2010,7.01,7.02,7.0,7.01,93300,NYSE
PMM,15-Mar-2010,7.03,7.03,7.0,7.01,105400,NYSE
PMM,16-Mar-2010,7.0,7.02,6.97,6.97,174100,NYSE
PMM,17-Mar-2010,6.95,7.03,6.95,7.03,131400,NYSE
PMM,18-Mar-2010,7.0,7.05,7.0,7.05,69600,NYSE
PMM,19-Mar-2010,7.06,7.06,7.02,7.05,86500,NYSE
PMM,22-Mar-2010,7.0,7.03,6.98,6.99,100600,NYSE
PMM,23-Mar-2010,7.01,7.02,6.99,7.0,102500,NYSE
PMM,24-Mar-2010,7.04,7.16,7.03,7.16,472200,NYSE
PMM,25-Mar-2010,7.16,7.2,7.11,7.16,341800,NYSE
PMM,26-Mar-2010,7.13,7.16,7.12,7.15,244000,NYSE
PMM,29-Mar-2010,7.18,7.19,7.14,7.19,247900,NYSE
PMM,30-Mar-2010,7.24,7.24,7.16,7.22,172200,NYSE
PMM,31-Mar-2010,7.23,7.24,7.18,7.2,211800,NYSE
PMM,01-Apr-2010,7.19,7.25,7.19,7.25,167900,NYSE
PMM,05-Apr-2010,7.34,7.39,7.21,7.24,556300,NYSE
PMM,06-Apr-2010,7.27,7.34,7.21,7.23,290100,NYSE
PMM,07-Apr-2010,7.26,7.35,7.21,7.3,308100,NYSE
PMM,08-Apr-2010,7.35,7.36,7.31,7.36,191100,NYSE
PMM,09-Apr-2010,7.36,7.4,7.33,7.39,249600,NYSE
PMM,12-Apr-2010,7.39,7.39,7.33,7.33,230200,NYSE
PMM,13-Apr-2010,7.33,7.39,7.33,7.34,216300,NYSE
PMM,14-Apr-2010,7.31,7.37,7.31,7.34,113700,NYSE
PMM,15-Apr-2010,7.33,7.35,7.3,7.32,209400,NYSE
PMM,16-Apr-2010,7.35,7.4,7.32,7.4,177500,NYSE
PMM,19-Apr-2010,7.33,7.39,7.26,7.35,276800,NYSE
PMM,20-Apr-2010,7.39,7.4,7.28,7.36,230800,NYSE
PMM,21-Apr-2010,7.34,7.41,7.27,7.34,209800,NYSE
PMM,22-Apr-2010,7.35,7.38,7.29,7.33,131900,NYSE
PMM,23-Apr-2010,7.37,7.37,7.32,7.32,78800,NYSE
PMM,26-Apr-2010,7.35,7.38,7.34,7.36,82800,NYSE
PMM,27-Apr-2010,7.39,7.39,7.32,7.35,108700,NYSE
PMM,28-Apr-2010,7.38,7.4,7.37,7.4,159300,NYSE
PMM,29-Apr-2010,7.38,7.38,7.33,7.33,157200,NYSE
PMM,30-Apr-2010,7.37,7.38,7.32,7.32,109100,NYSE
PMM,03-May-2010,7.37,7.4,7.32,7.39,184600,NYSE
PMM,04-May-2010,7.38,7.39,7.34,7.39,165600,NYSE
PMM,05-May-2010,7.37,7.4,7.3,7.39,175800,NYSE
PMM,06-May-2010,7.38,7.38,7.05,7.25,334700,NYSE
PMM,07-May-2010,7.33,7.33,7.16,7.24,194800,NYSE
PMM,10-May-2010,7.35,7.35,7.25,7.33,125800,NYSE
PMM,11-May-2010,7.28,7.4,7.28,7.36,181300,NYSE
PMM,12-May-2010,7.48,7.48,7.35,7.4,148600,NYSE
PMM,13-May-2010,7.37,7.42,7.37,7.42,121700,NYSE
PMM,14-May-2010,7.44,7.44,7.36,7.42,137400,NYSE
PMM,17-May-2010,7.44,7.45,7.38,7.45,188600,NYSE
PMM,18-May-2010,7.45,7.45,7.39,7.41,144100,NYSE
PMM,19-May-2010,7.44,7.44,7.38,7.4,184100,NYSE
PMM,20-May-2010,7.32,7.36,7.15,7.22,158600,NYSE
PMM,21-May-2010,7.2,7.29,7.15,7.23,103800,NYSE
PMM,24-May-2010,7.28,7.3,7.25,7.3,60300,NYSE
PMM,25-May-2010,7.16,7.27,7.05,7.2,188100,NYSE
PMM,26-May-2010,7.25,7.3,7.24,7.29,70700,NYSE
PMM,27-May-2010,7.33,7.35,7.3,7.33,99300,NYSE
PMM,28-May-2010,7.35,7.35,7.26,7.31,74800,NYSE
PMM,01-Jun-2010,7.32,7.36,7.29,7.35,92000,NYSE
PMM,02-Jun-2010,7.32,7.38,7.3,7.36,105300,NYSE
PMM,03-Jun-2010,7.35,7.37,7.32,7.36,79500,NYSE
PMM,04-Jun-2010,7.34,7.37,7.25,7.37,138800,NYSE
PMM,07-Jun-2010,7.35,7.37,7.35,7.36,95900,NYSE
PMM,08-Jun-2010,7.35,7.38,7.35,7.36,80700,NYSE
PMM,09-Jun-2010,7.35,7.37,7.31,7.33,85100,NYSE
PMM,10-Jun-2010,7.33,7.37,7.26,7.26,180100,NYSE
