name,date,open_price,close_price,high_price,low_price,volume,market
PRI,01-Apr-2010,19.15,20.2,18.61,19.65,18084100,NYSE
PRI,05-Apr-2010,20.23,20.5,19.75,19.85,2395200,NYSE
PRI,06-Apr-2010,19.89,20.25,19.77,19.8,899400,NYSE
PRI,07-Apr-2010,19.87,20.1,19.8,20.01,752900,NYSE
PRI,08-Apr-2010,20.74,21.69,20.0,21.3,3187800,NYSE
PRI,09-Apr-2010,21.84,23.35,21.75,23.34,3062000,NYSE
PRI,12-Apr-2010,24.09,25.48,23.6,24.41,3441500,NYSE
PRI,13-Apr-2010,24.87,25.07,24.45,24.95,1165800,NYSE
PRI,14-Apr-2010,25.65,25.89,24.57,24.76,1475100,NYSE
PRI,15-Apr-2010,24.85,25.0,22.58,22.79,1876600,NYSE
PRI,16-Apr-2010,22.76,23.5,22.01,22.78,999700,NYSE
PRI,19-Apr-2010,22.8,23.4,22.79,23.3,634400,NYSE
PRI,20-Apr-2010,23.63,23.74,23.32,23.7,363300,NYSE
PRI,21-Apr-2010,23.5,23.74,23.03,23.69,354300,NYSE
PRI,22-Apr-2010,23.77,24.09,23.31,24.07,383000,NYSE
PRI,23-Apr-2010,24.36,24.76,24.25,24.64,553800,NYSE
PRI,26-Apr-2010,24.82,25.14,24.8,25.02,701600,NYSE
PRI,27-Apr-2010,24.74,24.98,24.5,24.67,715500,NYSE
PRI,28-Apr-2010,24.78,24.78,23.65,23.8,896300,NYSE
PRI,29-Apr-2010,24.28,24.5,23.6,23.73,539500,NYSE
PRI,30-Apr-2010,24.15,24.47,23.47,23.72,335100,NYSE
PRI,03-May-2010,24.0,24.0,23.58,23.75,205800,NYSE
PRI,04-May-2010,23.7,23.96,23.6,23.76,207500,NYSE
PRI,05-May-2010,23.3,23.93,23.1,23.88,320000,NYSE
PRI,06-May-2010,25.83,25.83,23.12,24.26,1066800,NYSE
PRI,07-May-2010,24.0,24.66,23.5,24.32,563400,NYSE
PRI,10-May-2010,25.69,25.69,24.08,24.64,285300,NYSE
PRI,11-May-2010,24.03,25.03,23.9,24.86,172400,NYSE
PRI,12-May-2010,25.17,25.21,24.88,25.15,516500,NYSE
PRI,13-May-2010,24.88,25.5,24.88,25.48,173200,NYSE
