name,date,open_price,close_price,high_price,low_price,volume,market
PSA-A,04-Jan-2010,22.1,22.34,22.1,22.23,4600,NYSE
PSA-A,05-Jan-2010,22.49,22.59,22.36,22.43,6000,NYSE
PSA-A,06-Jan-2010,22.44,22.57,22.06,22.13,12100,NYSE
PSA-A,07-Jan-2010,22.1,22.36,22.1,22.36,13900,NYSE
PSA-A,08-Jan-2010,22.2,22.22,22.12,22.21,2600,NYSE
PSA-A,11-Jan-2010,22.19,22.36,22.19,22.22,6900,NYSE
PSA-A,12-Jan-2010,22.26,22.34,22.15,22.3,10700,NYSE
PSA-A,13-Jan-2010,22.49,22.49,22.18,22.38,8200,NYSE
PSA-A,14-Jan-2010,22.43,22.9,22.43,22.9,7100,NYSE
PSA-A,15-Jan-2010,22.94,22.95,22.75,22.86,4900,NYSE
PSA-A,19-Jan-2010,22.52,22.91,22.52,22.67,4700,NYSE
PSA-A,20-Jan-2010,22.76,22.79,22.66,22.7,8800,NYSE
PSA-A,21-Jan-2010,22.8,22.82,22.79,22.82,1100,NYSE
PSA-A,22-Jan-2010,22.85,22.85,22.61,22.74,6900,NYSE
PSA-A,25-Jan-2010,22.53,22.91,22.33,22.81,4300,NYSE
PSA-A,26-Jan-2010,22.75,22.98,22.75,22.78,4800,NYSE
PSA-A,27-Jan-2010,22.48,23.1,22.48,23.09,6100,NYSE
PSA-A,28-Jan-2010,23.09,23.09,22.79,22.79,4400,NYSE
PSA-A,29-Jan-2010,23.01,23.02,22.6,22.68,3800,NYSE
PSA-A,01-Feb-2010,22.7,22.72,22.61,22.72,2500,NYSE
PSA-A,02-Feb-2010,22.72,22.95,22.61,22.95,4400,NYSE
PSA-A,03-Feb-2010,22.81,23.0,22.81,23.0,3700,NYSE
PSA-A,04-Feb-2010,22.81,23.0,22.75,23.0,3600,NYSE
PSA-A,05-Feb-2010,22.99,23.1,22.75,23.07,4100,NYSE
PSA-A,08-Feb-2010,23.0,23.0,22.77,22.99,3600,NYSE
PSA-A,09-Feb-2010,23.02,23.02,22.86,23.0,4500,NYSE
PSA-A,10-Feb-2010,23.03,23.03,22.92,22.93,3600,NYSE
PSA-A,11-Feb-2010,22.98,23.0,22.96,22.97,8900,NYSE
PSA-A,12-Feb-2010,22.93,23.45,22.93,23.45,7800,NYSE
PSA-A,16-Feb-2010,23.17,23.17,22.91,22.91,3700,NYSE
PSA-A,17-Feb-2010,22.94,23.23,22.94,22.99,6900,NYSE
PSA-A,18-Feb-2010,22.85,23.0,22.83,22.83,10100,NYSE
PSA-A,19-Feb-2010,22.89,23.09,22.89,23.05,2500,NYSE
PSA-A,22-Feb-2010,23.0,23.0,22.94,22.94,2000,NYSE
PSA-A,23-Feb-2010,22.86,23.06,22.86,23.06,1900,NYSE
PSA-A,24-Feb-2010,23.06,23.06,22.97,23.0,6800,NYSE
PSA-A,25-Feb-2010,22.82,23.26,22.82,23.26,6700,NYSE
PSA-A,26-Feb-2010,23.13,23.15,23.11,23.15,3000,NYSE
PSA-A,01-Mar-2010,23.15,24.23,23.15,23.61,28400,NYSE
PSA-A,02-Mar-2010,23.53,23.75,23.3,23.5,14300,NYSE
PSA-A,03-Mar-2010,23.68,24.02,23.45,23.8,19800,NYSE
PSA-A,04-Mar-2010,23.65,24.5,23.55,23.57,53100,NYSE
PSA-A,05-Mar-2010,23.57,23.73,23.46,23.5,13500,NYSE
PSA-A,08-Mar-2010,23.5,23.56,23.33,23.35,17900,NYSE
PSA-A,09-Mar-2010,23.4,23.43,23.32,23.38,4900,NYSE
PSA-A,10-Mar-2010,23.32,23.4,23.2,23.36,12700,NYSE
PSA-A,11-Mar-2010,23.07,23.25,23.03,23.03,9400,NYSE
PSA-A,12-Mar-2010,22.96,23.24,22.96,23.06,2900,NYSE
PSA-A,15-Mar-2010,23.03,23.2,23.03,23.13,8100,NYSE
PSA-A,16-Mar-2010,23.19,23.2,23.05,23.17,5500,NYSE
PSA-A,17-Mar-2010,23.19,23.19,23.09,23.12,6600,NYSE
PSA-A,18-Mar-2010,23.22,23.27,23.2,23.27,4600,NYSE
PSA-A,19-Mar-2010,23.27,23.38,23.11,23.28,8600,NYSE
PSA-A,22-Mar-2010,23.29,23.29,23.16,23.16,8400,NYSE
