name,date,open_price,close_price,high_price,low_price,volume,market
PSA-D,04-Jan-2010,21.26,21.43,21.26,21.35,12100,NYSE
PSA-D,05-Jan-2010,21.35,21.46,21.35,21.46,6500,NYSE
PSA-D,06-Jan-2010,21.47,21.67,21.4,21.67,10300,NYSE
PSA-D,07-Jan-2010,21.5,21.56,21.49,21.56,8200,NYSE
PSA-D,08-Jan-2010,21.64,21.64,21.56,21.61,8900,NYSE
PSA-D,11-Jan-2010,21.57,21.66,21.57,21.66,6900,NYSE
PSA-D,12-Jan-2010,21.65,21.76,21.63,21.74,8300,NYSE
PSA-D,13-Jan-2010,21.67,21.84,21.67,21.82,10500,NYSE
PSA-D,14-Jan-2010,21.91,21.94,21.71,21.88,6600,NYSE
PSA-D,15-Jan-2010,21.77,22.09,21.77,21.82,10700,NYSE
PSA-D,19-Jan-2010,21.99,22.22,21.93,22.0,8100,NYSE
PSA-D,20-Jan-2010,22.08,22.25,21.91,21.92,12400,NYSE
PSA-D,21-Jan-2010,22.1,22.11,21.98,22.01,4600,NYSE
PSA-D,22-Jan-2010,21.88,22.02,21.78,21.79,8100,NYSE
PSA-D,25-Jan-2010,21.86,21.92,21.82,21.83,4500,NYSE
PSA-D,26-Jan-2010,21.83,21.93,21.76,21.76,8000,NYSE
PSA-D,27-Jan-2010,21.99,22.0,21.76,21.84,4200,NYSE
PSA-D,28-Jan-2010,21.99,22.0,21.79,22.0,4700,NYSE
PSA-D,29-Jan-2010,21.81,21.98,21.7,21.81,5000,NYSE
PSA-D,01-Feb-2010,21.98,21.98,21.79,21.79,2300,NYSE
PSA-D,02-Feb-2010,21.73,21.97,21.73,21.96,5200,NYSE
PSA-D,03-Feb-2010,21.91,22.1,21.91,22.03,8500,NYSE
PSA-D,04-Feb-2010,21.86,22.0,21.86,21.94,6000,NYSE
PSA-D,05-Feb-2010,21.83,21.93,21.8,21.8,12500,NYSE
PSA-D,08-Feb-2010,21.8,21.85,21.8,21.85,4200,NYSE
PSA-D,09-Feb-2010,21.85,21.9,21.85,21.9,1600,NYSE
PSA-D,10-Feb-2010,21.84,21.91,21.83,21.83,5200,NYSE
PSA-D,11-Feb-2010,21.94,21.94,21.8,21.9,2700,NYSE
PSA-D,12-Feb-2010,21.81,21.85,21.72,21.83,6500,NYSE
PSA-D,16-Feb-2010,21.81,21.85,21.8,21.82,6500,NYSE
PSA-D,17-Feb-2010,21.82,21.83,21.81,21.81,2100,NYSE
PSA-D,18-Feb-2010,21.76,21.83,21.76,21.83,5500,NYSE
PSA-D,19-Feb-2010,21.79,21.92,21.77,21.9,7400,NYSE
PSA-D,22-Feb-2010,21.78,21.84,21.78,21.84,5300,NYSE
PSA-D,23-Feb-2010,21.86,21.89,21.81,21.89,5200,NYSE
PSA-D,24-Feb-2010,21.89,21.9,21.89,21.89,4400,NYSE
PSA-D,25-Feb-2010,21.88,21.97,21.87,21.97,11200,NYSE
PSA-D,26-Feb-2010,21.92,22.03,21.92,21.97,20700,NYSE
PSA-D,01-Mar-2010,22.03,22.18,21.97,22.18,6900,NYSE
PSA-D,02-Mar-2010,22.15,22.3,22.15,22.29,3400,NYSE
PSA-D,03-Mar-2010,22.24,22.3,22.22,22.29,8500,NYSE
PSA-D,04-Mar-2010,22.3,22.49,22.3,22.49,10300,NYSE
PSA-D,05-Mar-2010,22.36,22.73,22.36,22.54,37500,NYSE
PSA-D,08-Mar-2010,22.61,22.87,22.53,22.87,6500,NYSE
PSA-D,09-Mar-2010,22.85,23.06,22.56,22.8,5000,NYSE
PSA-D,10-Mar-2010,22.77,22.77,22.67,22.7,5800,NYSE
PSA-D,11-Mar-2010,22.59,22.59,22.42,22.47,11800,NYSE
PSA-D,12-Mar-2010,22.33,22.55,22.32,22.51,6300,NYSE
PSA-D,15-Mar-2010,22.33,22.53,22.33,22.53,6400,NYSE
PSA-D,16-Mar-2010,22.44,22.56,22.44,22.55,7700,NYSE
PSA-D,17-Mar-2010,22.52,22.69,22.48,22.6,8100,NYSE
PSA-D,18-Mar-2010,22.52,22.78,22.52,22.78,8000,NYSE
PSA-D,19-Mar-2010,22.84,22.84,22.65,22.65,5900,NYSE
PSA-D,22-Mar-2010,22.69,22.89,22.58,22.71,11500,NYSE
PSA-D,23-Mar-2010,22.75,22.95,22.67,22.76,5100,NYSE
PSA-D,24-Mar-2010,22.88,23.0,22.72,22.81,12200,NYSE
PSA-D,25-Mar-2010,22.71,22.95,22.65,22.65,17300,NYSE
PSA-D,26-Mar-2010,22.85,22.85,22.7,22.78,5100,NYSE
PSA-D,29-Mar-2010,22.68,22.7,22.63,22.65,5000,NYSE
PSA-D,30-Mar-2010,22.61,22.79,22.6,22.66,6500,NYSE
PSA-D,31-Mar-2010,22.78,22.79,22.56,22.56,4100,NYSE
PSA-D,01-Apr-2010,22.7,22.7,22.55,22.59,6600,NYSE
PSA-D,05-Apr-2010,22.6,22.64,22.55,22.64,7300,NYSE
PSA-D,06-Apr-2010,22.57,22.63,22.48,22.55,7400,NYSE
PSA-D,07-Apr-2010,22.68,22.68,22.5,22.5,6500,NYSE
PSA-D,08-Apr-2010,22.46,22.48,22.4,22.43,8800,NYSE
PSA-D,09-Apr-2010,22.41,22.51,22.4,22.49,9900,NYSE
PSA-D,12-Apr-2010,22.47,22.48,22.4,22.42,11200,NYSE
PSA-D,13-Apr-2010,22.47,22.53,22.43,22.43,4000,NYSE
PSA-D,14-Apr-2010,22.56,22.58,22.4,22.4,11000,NYSE
PSA-D,15-Apr-2010,22.42,22.48,22.4,22.4,6000,NYSE
PSA-D,16-Apr-2010,22.45,22.47,22.4,22.47,11300,NYSE
PSA-D,19-Apr-2010,22.45,22.62,22.42,22.52,18200,NYSE
PSA-D,20-Apr-2010,22.67,22.67,22.43,22.45,5100,NYSE
PSA-D,21-Apr-2010,22.45,22.63,22.45,22.53,5900,NYSE
PSA-D,22-Apr-2010,22.61,22.71,22.59,22.61,5800,NYSE
PSA-D,23-Apr-2010,22.62,22.7,22.61,22.7,1700,NYSE
PSA-D,26-Apr-2010,22.73,22.8,22.7,22.79,6500,NYSE
PSA-D,27-Apr-2010,22.89,22.89,22.7,22.78,5700,NYSE
PSA-D,28-Apr-2010,22.76,22.77,22.6,22.71,6800,NYSE
PSA-D,29-Apr-2010,22.72,22.78,22.67,22.67,5900,NYSE
PSA-D,30-Apr-2010,22.8,22.86,22.64,22.86,6700,NYSE
PSA-D,03-May-2010,22.75,22.9,22.71,22.87,5100,NYSE
PSA-D,04-May-2010,22.88,22.94,22.8,22.8,4000,NYSE
PSA-D,05-May-2010,22.9,22.91,22.8,22.89,6400,NYSE
PSA-D,06-May-2010,22.8,22.87,22.0,22.44,21100,NYSE
PSA-D,07-May-2010,22.37,22.79,22.15,22.51,20300,NYSE
PSA-D,10-May-2010,22.79,22.79,22.16,22.59,18200,NYSE
PSA-D,11-May-2010,22.6,22.76,22.59,22.76,6200,NYSE
PSA-D,12-May-2010,22.81,22.99,22.78,22.92,10500,NYSE
PSA-D,13-May-2010,22.85,23.15,22.85,23.01,9800,NYSE
PSA-D,14-May-2010,23.15,23.15,22.89,23.05,3300,NYSE
PSA-D,17-May-2010,22.95,22.95,22.67,22.69,3400,NYSE
PSA-D,18-May-2010,22.78,23.06,22.69,23.05,8200,NYSE
PSA-D,19-May-2010,23.1,23.26,22.93,23.26,10700,NYSE
PSA-D,20-May-2010,23.14,23.4,22.75,23.3,6900,NYSE
PSA-D,21-May-2010,23.18,23.18,22.68,22.95,7200,NYSE
PSA-D,24-May-2010,23.16,23.18,22.51,23.18,5800,NYSE
PSA-D,25-May-2010,23.0,23.0,22.34,22.89,8600,NYSE
PSA-D,26-May-2010,22.67,23.17,22.67,23.05,4300,NYSE
PSA-D,27-May-2010,23.15,23.3,23.15,23.24,5600,NYSE
PSA-D,28-May-2010,23.17,23.28,22.91,22.94,6700,NYSE
PSA-D,01-Jun-2010,22.77,23.01,22.59,22.89,3100,NYSE
PSA-D,02-Jun-2010,23.28,23.28,23.04,23.06,3900,NYSE
PSA-D,03-Jun-2010,23.07,23.22,22.99,23.11,3100,NYSE
PSA-D,04-Jun-2010,23.05,23.28,23.02,23.2,5600,NYSE
PSA-D,07-Jun-2010,23.17,23.18,22.7,22.7,5100,NYSE
PSA-D,08-Jun-2010,22.91,23.0,22.77,22.93,9000,NYSE
PSA-D,09-Jun-2010,23.05,23.05,22.95,23.0,3500,NYSE
PSA-D,10-Jun-2010,23.12,23.13,22.88,23.0,4400,NYSE
PSA-D,11-Jun-2010,22.75,22.75,22.54,22.54,3300,NYSE
PSA-D,14-Jun-2010,22.5,22.86,22.5,22.77,6200,NYSE
PSA-D,15-Jun-2010,22.65,23.0,22.65,22.8,15600,NYSE
PSA-D,16-Jun-2010,22.92,22.95,22.71,22.84,6700,NYSE
PSA-D,17-Jun-2010,22.93,22.93,22.71,22.77,2800,NYSE
PSA-D,18-Jun-2010,22.73,22.84,22.66,22.8,6500,NYSE
PSA-D,21-Jun-2010,22.88,22.9,22.85,22.9,5200,NYSE
PSA-D,22-Jun-2010,22.9,22.95,22.83,22.95,4200,NYSE
PSA-D,23-Jun-2010,22.96,22.96,22.92,22.95,2100,NYSE
PSA-D,24-Jun-2010,22.95,23.08,22.76,22.91,7300,NYSE
PSA-D,25-Jun-2010,22.92,22.99,22.84,22.9,3400,NYSE
PSA-D,28-Jun-2010,23.18,23.18,22.93,23.0,4100,NYSE
PSA-D,29-Jun-2010,23.04,23.05,22.75,22.76,5900,NYSE
PSA-D,30-Jun-2010,22.95,22.98,22.84,22.98,2000,NYSE
PSA-D,01-Jul-2010,23.05,23.18,23.03,23.03,3900,NYSE
PSA-D,02-Jul-2010,23.05,23.05,22.97,23.0,1200,NYSE
PSA-D,06-Jul-2010,23.0,23.2,22.83,23.05,9100,NYSE
PSA-D,07-Jul-2010,23.07,23.07,22.97,22.99,2800,NYSE
PSA-D,08-Jul-2010,23.16,23.16,22.98,23.09,6500,NYSE
PSA-D,09-Jul-2010,23.15,23.29,23.15,23.29,8000,NYSE
PSA-D,12-Jul-2010,23.28,23.28,23.07,23.16,7300,NYSE
PSA-D,13-Jul-2010,23.22,23.24,23.05,23.21,11600,NYSE
PSA-D,14-Jul-2010,23.2,23.2,23.08,23.17,11400,NYSE
PSA-D,15-Jul-2010,23.2,23.25,23.12,23.25,2600,NYSE
PSA-D,16-Jul-2010,23.25,23.28,23.04,23.04,10600,NYSE
PSA-D,19-Jul-2010,23.06,23.3,23.06,23.3,6000,NYSE
PSA-D,20-Jul-2010,23.28,23.34,23.28,23.34,3100,NYSE
PSA-D,21-Jul-2010,23.3,23.46,23.3,23.46,6400,NYSE
PSA-D,22-Jul-2010,23.33,23.67,23.33,23.67,6900,NYSE
PSA-D,23-Jul-2010,23.5,24.0,23.5,23.89,5500,NYSE
PSA-D,26-Jul-2010,23.41,23.89,23.41,23.69,8900,NYSE
PSA-D,27-Jul-2010,23.68,23.69,23.5,23.69,5400,NYSE
PSA-D,28-Jul-2010,23.62,23.62,23.52,23.58,8200,NYSE
PSA-D,29-Jul-2010,23.53,23.68,23.53,23.68,3900,NYSE
PSA-D,30-Jul-2010,23.65,24.0,23.58,23.74,7100,NYSE
PSA-D,02-Aug-2010,23.59,23.9,23.59,23.9,4500,NYSE
PSA-D,03-Aug-2010,23.77,23.85,23.77,23.85,4400,NYSE
PSA-D,04-Aug-2010,23.78,23.87,23.78,23.87,2300,NYSE
PSA-D,05-Aug-2010,23.89,24.0,23.85,23.88,4300,NYSE
PSA-D,06-Aug-2010,23.95,23.95,23.84,23.95,900,NYSE
PSA-D,09-Aug-2010,24.0,24.17,24.0,24.0,1700,NYSE
PSA-D,10-Aug-2010,24.04,24.04,23.91,23.98,7700,NYSE
PSA-D,11-Aug-2010,24.0,24.0,23.67,23.67,7100,NYSE
PSA-D,12-Aug-2010,23.75,23.92,23.64,23.85,8600,NYSE
PSA-D,13-Aug-2010,23.73,23.94,23.73,23.87,12000,NYSE
PSA-D,16-Aug-2010,24.0,24.0,23.9,23.9,12200,NYSE
PSA-D,17-Aug-2010,24.01,24.04,23.89,24.02,17900,NYSE
PSA-D,18-Aug-2010,24.03,24.2,24.0,24.15,9300,NYSE
PSA-D,19-Aug-2010,24.25,24.49,24.2,24.26,13500,NYSE
PSA-D,20-Aug-2010,24.29,24.29,24.06,24.26,4300,NYSE
PSA-D,23-Aug-2010,24.32,24.37,24.08,24.17,8400,NYSE
PSA-D,24-Aug-2010,24.2,24.65,24.2,24.34,11700,NYSE
PSA-D,25-Aug-2010,24.34,24.34,24.15,24.25,5600,NYSE
PSA-D,26-Aug-2010,24.23,24.39,24.08,24.08,7800,NYSE
PSA-D,27-Aug-2010,24.16,24.36,24.13,24.3,5400,NYSE
PSA-D,30-Aug-2010,24.67,24.67,24.25,24.39,10000,NYSE
PSA-D,31-Aug-2010,24.49,24.49,24.35,24.48,10500,NYSE
PSA-D,01-Sep-2010,24.32,24.58,24.31,24.38,6800,NYSE
PSA-D,02-Sep-2010,24.4,24.65,24.33,24.65,6300,NYSE
PSA-D,03-Sep-2010,24.56,24.8,24.28,24.68,15700,NYSE
PSA-D,07-Sep-2010,24.77,24.79,24.71,24.79,4900,NYSE
PSA-D,08-Sep-2010,24.77,24.85,24.77,24.85,5500,NYSE
PSA-D,09-Sep-2010,24.93,24.94,24.8,24.81,7100,NYSE
PSA-D,10-Sep-2010,24.74,24.92,24.66,24.85,7800,NYSE
PSA-D,13-Sep-2010,24.5,24.57,24.26,24.57,13900,NYSE
PSA-D,14-Sep-2010,24.26,24.55,24.26,24.3,12000,NYSE
PSA-D,15-Sep-2010,24.3,24.55,24.27,24.27,5800,NYSE
PSA-D,16-Sep-2010,24.14,24.5,24.08,24.35,13300,NYSE
PSA-D,17-Sep-2010,24.22,24.46,24.22,24.34,5300,NYSE
PSA-D,20-Sep-2010,24.54,24.54,24.34,24.43,9700,NYSE
PSA-D,21-Sep-2010,24.4,24.45,24.38,24.45,5100,NYSE
PSA-D,22-Sep-2010,24.51,24.51,24.4,24.4,9000,NYSE
PSA-D,23-Sep-2010,24.4,24.5,24.4,24.46,6600,NYSE
PSA-D,24-Sep-2010,24.54,24.58,24.49,24.56,3600,NYSE
PSA-D,27-Sep-2010,24.62,24.75,24.58,24.75,12600,NYSE
PSA-D,28-Sep-2010,24.69,24.78,24.63,24.66,5300,NYSE
PSA-D,29-Sep-2010,24.66,24.79,24.66,24.74,6500,NYSE
PSA-D,30-Sep-2010,24.85,24.85,24.77,24.77,6800,NYSE
PSA-D,01-Oct-2010,24.85,24.96,24.8,24.8,5900,NYSE
PSA-D,04-Oct-2010,24.82,24.82,24.65,24.65,4800,NYSE
PSA-D,05-Oct-2010,24.78,24.78,24.58,24.62,4500,NYSE
PSA-D,06-Oct-2010,24.62,24.73,24.46,24.46,7700,NYSE
PSA-D,07-Oct-2010,24.4,24.68,24.39,24.65,9900,NYSE
PSA-D,08-Oct-2010,24.55,24.75,24.55,24.7,7500,NYSE
PSA-D,11-Oct-2010,24.78,24.85,24.63,24.85,2900,NYSE
PSA-D,12-Oct-2010,24.7,24.7,24.56,24.65,13200,NYSE
PSA-D,13-Oct-2010,24.64,24.64,24.54,24.6,12400,NYSE
PSA-D,14-Oct-2010,24.55,24.75,24.55,24.7,12100,NYSE
PSA-D,15-Oct-2010,24.7,24.7,24.34,24.42,7700,NYSE
PSA-D,18-Oct-2010,24.45,24.77,24.45,24.75,9400,NYSE
PSA-D,19-Oct-2010,24.79,24.9,24.6,24.83,8600,NYSE
PSA-D,20-Oct-2010,24.82,24.84,24.65,24.65,5200,NYSE
PSA-D,21-Oct-2010,24.66,24.83,24.6,24.71,12700,NYSE
PSA-D,22-Oct-2010,24.73,24.78,24.7,24.78,4000,NYSE
PSA-D,25-Oct-2010,24.75,24.82,24.73,24.78,10500,NYSE
PSA-D,26-Oct-2010,24.67,24.78,24.67,24.77,7400,NYSE
PSA-D,27-Oct-2010,24.69,24.75,24.6,24.6,8900,NYSE
PSA-D,28-Oct-2010,24.63,24.71,24.63,24.7,6400,NYSE
PSA-D,29-Oct-2010,24.76,24.86,24.68,24.76,7500,NYSE
PSA-D,01-Nov-2010,24.75,24.78,24.62,24.62,6200,NYSE
PSA-D,02-Nov-2010,24.79,24.79,24.65,24.75,11700,NYSE
PSA-D,03-Nov-2010,24.75,24.81,24.7,24.8,10000,NYSE
