name,date,open_price,close_price,high_price,low_price,volume,market
PUK,04-Jan-2010,20.65,20.75,20.54,20.67,86300,NYSE
PUK,05-Jan-2010,20.74,20.74,20.46,20.65,84300,NYSE
PUK,06-Jan-2010,20.51,20.79,20.44,20.64,45200,NYSE
PUK,07-Jan-2010,20.08,20.22,19.97,20.17,76000,NYSE
PUK,08-Jan-2010,20.27,20.43,20.25,20.4,63900,NYSE
PUK,11-Jan-2010,20.26,20.26,20.1,20.23,45400,NYSE
PUK,12-Jan-2010,20.35,20.5,20.12,20.18,55800,NYSE
PUK,13-Jan-2010,20.39,20.4,20.14,20.38,67200,NYSE
PUK,14-Jan-2010,20.29,20.39,20.11,20.29,50600,NYSE
PUK,15-Jan-2010,20.23,20.23,19.7,19.84,57400,NYSE
PUK,19-Jan-2010,20.2,20.28,20.03,20.24,113800,NYSE
PUK,20-Jan-2010,20.05,20.09,19.62,20.09,975400,NYSE
PUK,21-Jan-2010,19.91,20.14,19.47,19.68,530700,NYSE
PUK,22-Jan-2010,19.47,19.72,19.13,19.13,1488900,NYSE
PUK,25-Jan-2010,19.69,20.0,19.61,19.9,925200,NYSE
PUK,26-Jan-2010,19.42,19.68,19.31,19.42,892200,NYSE
PUK,27-Jan-2010,19.22,19.61,19.1,19.58,742700,NYSE
PUK,28-Jan-2010,19.5,19.56,19.07,19.27,509100,NYSE
PUK,29-Jan-2010,18.72,18.87,18.32,18.37,4988900,NYSE
PUK,01-Feb-2010,18.7,18.84,18.57,18.78,1381100,NYSE
PUK,02-Feb-2010,18.95,19.25,18.79,19.24,332500,NYSE
PUK,03-Feb-2010,19.32,19.57,19.25,19.52,200500,NYSE
PUK,04-Feb-2010,19.06,19.06,18.55,18.55,137000,NYSE
PUK,05-Feb-2010,18.36,18.47,17.57,18.22,551600,NYSE
PUK,08-Feb-2010,17.46,17.74,17.26,17.31,296100,NYSE
PUK,09-Feb-2010,17.79,18.01,17.41,17.82,204600,NYSE
PUK,10-Feb-2010,18.29,18.32,18.0,18.25,278700,NYSE
PUK,11-Feb-2010,18.08,18.47,17.95,18.44,159100,NYSE
PUK,12-Feb-2010,17.82,18.19,17.73,18.16,141200,NYSE
PUK,16-Feb-2010,18.23,18.61,18.13,18.57,67600,NYSE
PUK,17-Feb-2010,19.0,19.16,18.91,19.06,180400,NYSE
PUK,18-Feb-2010,18.69,19.0,18.69,18.97,228200,NYSE
PUK,19-Feb-2010,18.55,18.83,18.5,18.77,84400,NYSE
PUK,22-Feb-2010,19.14,19.18,18.94,19.08,84900,NYSE
PUK,23-Feb-2010,18.79,18.93,18.46,18.68,256500,NYSE
PUK,24-Feb-2010,18.89,18.99,18.74,18.96,292500,NYSE
PUK,25-Feb-2010,18.19,18.31,17.94,18.28,165700,NYSE
PUK,26-Feb-2010,18.28,18.55,18.09,18.5,77200,NYSE
PUK,01-Mar-2010,16.03,16.14,15.81,16.13,3110600,NYSE
PUK,02-Mar-2010,14.5,14.69,14.23,14.6,4643400,NYSE
PUK,03-Mar-2010,15.25,15.36,14.92,15.04,1965900,NYSE
PUK,04-Mar-2010,15.35,15.79,15.22,15.62,1188200,NYSE
PUK,05-Mar-2010,15.53,16.0,15.51,15.89,1425800,NYSE
PUK,08-Mar-2010,15.75,15.84,15.56,15.73,605200,NYSE
PUK,09-Mar-2010,15.48,15.7,15.44,15.62,583600,NYSE
PUK,10-Mar-2010,15.57,16.03,15.55,15.98,1192200,NYSE
PUK,11-Mar-2010,16.25,16.67,16.09,16.67,642300,NYSE
PUK,12-Mar-2010,16.53,16.88,16.5,16.84,584600,NYSE
PUK,15-Mar-2010,16.25,16.37,16.06,16.31,424300,NYSE
PUK,16-Mar-2010,15.94,16.34,15.89,16.31,421900,NYSE
PUK,17-Mar-2010,16.31,16.42,16.29,16.37,504000,NYSE
PUK,18-Mar-2010,16.32,16.48,16.22,16.48,418100,NYSE
PUK,19-Mar-2010,16.29,16.31,15.9,15.97,537400,NYSE
PUK,22-Mar-2010,15.66,16.06,15.66,16.03,606900,NYSE
PUK,23-Mar-2010,15.84,15.94,15.78,15.89,315100,NYSE
PUK,24-Mar-2010,15.61,15.83,15.53,15.72,298500,NYSE
PUK,25-Mar-2010,15.92,15.98,15.63,15.63,229300,NYSE
PUK,26-Mar-2010,15.85,15.98,15.7,15.75,261800,NYSE
PUK,29-Mar-2010,15.98,16.06,15.96,16.0,158400,NYSE
PUK,30-Mar-2010,16.21,16.31,16.2,16.25,242300,NYSE
PUK,31-Mar-2010,16.38,16.61,16.35,16.58,950900,NYSE
PUK,01-Apr-2010,17.18,17.66,17.09,17.31,680100,NYSE
PUK,05-Apr-2010,17.41,17.81,17.41,17.72,378200,NYSE
PUK,06-Apr-2010,17.33,17.6,17.26,17.56,479300,NYSE
PUK,07-Apr-2010,17.14,17.37,17.12,17.3,381300,NYSE
PUK,08-Apr-2010,17.01,17.26,16.95,17.23,193200,NYSE
PUK,09-Apr-2010,17.44,17.66,17.44,17.62,288600,NYSE
PUK,12-Apr-2010,17.72,17.78,17.51,17.58,174300,NYSE
PUK,13-Apr-2010,17.61,17.64,17.4,17.6,160600,NYSE
PUK,14-Apr-2010,17.78,17.84,17.72,17.83,120600,NYSE
PUK,15-Apr-2010,17.88,18.13,17.87,18.09,332600,NYSE
PUK,16-Apr-2010,18.11,18.14,17.81,17.94,405600,NYSE
PUK,19-Apr-2010,17.58,17.94,17.57,17.93,179100,NYSE
PUK,20-Apr-2010,18.04,18.06,17.95,18.01,124400,NYSE
PUK,21-Apr-2010,17.87,17.9,17.24,17.29,1225300,NYSE
PUK,22-Apr-2010,16.84,17.07,16.58,16.97,228000,NYSE
PUK,23-Apr-2010,16.49,16.66,16.37,16.49,1029400,NYSE
PUK,26-Apr-2010,16.8,16.9,16.69,16.71,246500,NYSE
PUK,27-Apr-2010,16.83,16.84,16.29,16.33,736500,NYSE
PUK,28-Apr-2010,16.44,16.85,16.36,16.64,811200,NYSE
PUK,29-Apr-2010,17.03,17.53,16.94,17.5,399700,NYSE
PUK,30-Apr-2010,17.52,17.77,17.31,17.43,368200,NYSE
PUK,03-May-2010,17.59,17.67,17.47,17.64,186700,NYSE
PUK,04-May-2010,17.13,17.43,16.72,16.88,273800,NYSE
PUK,05-May-2010,16.5,16.72,16.42,16.46,245800,NYSE
PUK,06-May-2010,16.73,16.84,14.9,15.73,496200,NYSE
PUK,07-May-2010,15.78,16.29,15.26,16.0,671500,NYSE
PUK,10-May-2010,16.59,16.65,16.16,16.32,740600,NYSE
PUK,11-May-2010,15.93,16.49,15.88,16.32,551500,NYSE
PUK,12-May-2010,16.86,16.93,16.75,16.85,647000,NYSE
PUK,13-May-2010,16.51,16.77,16.39,16.67,563000,NYSE
PUK,14-May-2010,16.2,16.2,15.66,15.84,412400,NYSE
PUK,17-May-2010,15.61,15.8,15.3,15.79,716000,NYSE
PUK,18-May-2010,15.59,15.59,14.87,14.93,428600,NYSE
PUK,19-May-2010,15.0,15.23,14.8,15.16,487100,NYSE
PUK,20-May-2010,14.79,15.04,14.53,14.58,6387300,NYSE
PUK,21-May-2010,14.49,15.11,14.49,15.02,372400,NYSE
PUK,24-May-2010,15.15,15.4,14.95,15.07,377000,NYSE
PUK,25-May-2010,14.63,14.87,14.5,14.85,878300,NYSE
PUK,26-May-2010,14.81,15.01,14.41,14.5,390600,NYSE
PUK,27-May-2010,15.55,16.1,15.51,16.06,540400,NYSE
PUK,28-May-2010,15.85,15.85,15.47,15.61,294700,NYSE
PUK,01-Jun-2010,16.83,17.02,16.48,16.53,676300,NYSE
PUK,02-Jun-2010,16.39,16.63,16.15,16.58,470300,NYSE
PUK,03-Jun-2010,16.64,16.64,16.05,16.31,6041300,NYSE
PUK,04-Jun-2010,16.17,16.32,15.81,15.92,663400,NYSE
PUK,07-Jun-2010,15.81,15.84,15.2,15.25,400800,NYSE
PUK,08-Jun-2010,15.2,15.41,14.91,15.41,367300,NYSE
PUK,09-Jun-2010,15.32,15.52,15.08,15.13,382100,NYSE
PUK,10-Jun-2010,15.87,16.22,15.84,16.2,296200,NYSE
PUK,11-Jun-2010,15.66,15.76,15.46,15.73,302700,NYSE
PUK,14-Jun-2010,16.07,16.2,15.88,15.92,165600,NYSE
PUK,15-Jun-2010,16.37,16.75,16.36,16.75,283500,NYSE
PUK,16-Jun-2010,16.77,16.97,16.7,16.79,260000,NYSE
PUK,17-Jun-2010,16.84,16.85,16.54,16.69,155300,NYSE
PUK,18-Jun-2010,16.79,16.88,16.61,16.69,148500,NYSE
PUK,21-Jun-2010,17.11,17.15,16.7,16.8,240800,NYSE
PUK,22-Jun-2010,16.84,16.97,16.59,16.6,188700,NYSE
PUK,23-Jun-2010,16.69,16.81,16.47,16.74,239700,NYSE
PUK,24-Jun-2010,16.54,16.59,16.21,16.27,293400,NYSE
PUK,25-Jun-2010,16.05,16.21,15.85,16.18,182400,NYSE
PUK,28-Jun-2010,16.14,16.27,15.95,16.08,106800,NYSE
PUK,29-Jun-2010,15.68,15.71,15.32,15.4,216000,NYSE
PUK,30-Jun-2010,15.17,15.31,14.9,14.94,197400,NYSE
PUK,01-Jul-2010,15.09,15.15,14.68,15.04,203200,NYSE
PUK,02-Jul-2010,15.07,15.14,14.87,15.05,137400,NYSE
PUK,06-Jul-2010,15.29,15.4,14.95,15.09,107600,NYSE
PUK,07-Jul-2010,15.09,15.54,15.09,15.49,272600,NYSE
PUK,08-Jul-2010,15.7,15.94,15.61,15.93,597500,NYSE
PUK,09-Jul-2010,15.96,16.3,15.96,16.22,144900,NYSE
PUK,12-Jul-2010,16.09,16.49,15.99,16.43,613400,NYSE
PUK,13-Jul-2010,16.38,16.5,16.29,16.47,308500,NYSE
PUK,14-Jul-2010,16.47,16.65,16.38,16.5,182000,NYSE
PUK,15-Jul-2010,16.62,16.67,16.3,16.66,198000,NYSE
PUK,16-Jul-2010,16.27,16.27,15.76,15.79,138400,NYSE
PUK,19-Jul-2010,15.72,15.82,15.54,15.74,106000,NYSE
PUK,20-Jul-2010,15.3,15.84,15.29,15.74,318000,NYSE
PUK,21-Jul-2010,15.9,16.05,15.6,15.7,2811700,NYSE
PUK,22-Jul-2010,15.99,16.31,15.94,16.24,285700,NYSE
PUK,23-Jul-2010,16.19,16.48,16.14,16.4,285200,NYSE
PUK,26-Jul-2010,16.32,16.45,16.2,16.43,201100,NYSE
PUK,27-Jul-2010,17.2,17.25,16.87,17.14,268600,NYSE
PUK,28-Jul-2010,17.41,17.47,17.02,17.03,679600,NYSE
PUK,29-Jul-2010,17.59,17.69,17.33,17.46,276500,NYSE
