name,date,open_price,close_price,high_price,low_price,volume,market
PYN,04-Jan-2010,8.91,9.09,8.91,9.0,10600,NYSE
PYN,05-Jan-2010,9.0,9.1,8.97,9.06,11900,NYSE
PYN,06-Jan-2010,8.98,9.09,8.92,9.0,8500,NYSE
PYN,07-Jan-2010,8.99,9.1,8.99,9.1,7700,NYSE
PYN,08-Jan-2010,9.13,9.13,8.99,9.1,5500,NYSE
PYN,11-Jan-2010,9.1,9.22,9.08,9.17,10800,NYSE
PYN,12-Jan-2010,9.14,9.16,9.14,9.14,5100,NYSE
PYN,13-Jan-2010,9.14,9.2,9.06,9.07,6900,NYSE
PYN,14-Jan-2010,9.12,9.12,9.09,9.12,2500,NYSE
PYN,15-Jan-2010,9.12,9.14,9.12,9.14,1000,NYSE
PYN,19-Jan-2010,9.14,9.2,9.14,9.19,5500,NYSE
PYN,20-Jan-2010,9.19,9.19,9.12,9.12,2500,NYSE
PYN,21-Jan-2010,9.13,9.55,9.02,9.36,24400,NYSE
PYN,22-Jan-2010,9.33,9.36,9.11,9.25,16600,NYSE
PYN,25-Jan-2010,9.2,9.25,9.18,9.19,1700,NYSE
PYN,26-Jan-2010,9.2,9.22,9.2,9.2,2900,NYSE
PYN,27-Jan-2010,9.2,9.2,9.01,9.11,18100,NYSE
PYN,28-Jan-2010,9.12,9.13,9.07,9.1,14700,NYSE
PYN,29-Jan-2010,9.09,9.18,9.09,9.15,3000,NYSE
PYN,01-Feb-2010,9.19,9.2,9.01,9.14,8500,NYSE
PYN,02-Feb-2010,9.1,9.24,9.1,9.24,7800,NYSE
PYN,03-Feb-2010,9.15,9.24,9.11,9.24,17900,NYSE
PYN,04-Feb-2010,9.22,9.33,9.15,9.33,6300,NYSE
PYN,05-Feb-2010,9.3,9.32,9.18,9.2,14200,NYSE
PYN,08-Feb-2010,9.19,9.32,9.19,9.32,6900,NYSE
PYN,09-Feb-2010,9.28,9.43,9.19,9.19,17600,NYSE
PYN,10-Feb-2010,9.19,9.21,9.1,9.19,14000,NYSE
PYN,11-Feb-2010,9.19,9.2,9.15,9.17,4500,NYSE
PYN,12-Feb-2010,9.15,9.16,9.12,9.16,2000,NYSE
PYN,16-Feb-2010,9.16,9.2,9.15,9.18,3500,NYSE
PYN,17-Feb-2010,9.2,9.29,9.19,9.24,3500,NYSE
PYN,18-Feb-2010,9.26,9.26,9.25,9.25,14000,NYSE
PYN,19-Feb-2010,9.26,9.31,9.25,9.25,2900,NYSE
PYN,22-Feb-2010,9.25,9.26,9.16,9.2,8600,NYSE
PYN,23-Feb-2010,9.22,9.33,9.22,9.32,7600,NYSE
PYN,24-Feb-2010,9.33,9.33,9.28,9.3,4600,NYSE
PYN,25-Feb-2010,9.31,9.35,9.31,9.34,16900,NYSE
PYN,26-Feb-2010,9.35,9.38,9.32,9.36,4200,NYSE
PYN,01-Mar-2010,9.4,9.4,9.34,9.34,2700,NYSE
PYN,02-Mar-2010,9.28,9.32,9.18,9.22,9100,NYSE
PYN,03-Mar-2010,9.22,9.23,9.22,9.23,2200,NYSE
PYN,04-Mar-2010,9.2,9.21,9.19,9.19,3300,NYSE
PYN,05-Mar-2010,9.18,9.21,9.15,9.17,14000,NYSE
PYN,08-Mar-2010,9.18,9.25,9.18,9.25,4600,NYSE
PYN,09-Mar-2010,9.18,9.18,9.18,9.18,8200,NYSE
PYN,10-Mar-2010,9.17,9.18,9.16,9.17,16300,NYSE
PYN,11-Mar-2010,9.2,9.22,9.2,9.21,10600,NYSE
PYN,12-Mar-2010,9.23,9.24,9.23,9.24,1000,NYSE
PYN,15-Mar-2010,9.13,9.22,9.13,9.15,24400,NYSE
PYN,16-Mar-2010,9.09,9.14,9.06,9.08,13900,NYSE
PYN,17-Mar-2010,9.11,9.15,9.08,9.11,9400,NYSE
PYN,18-Mar-2010,9.11,9.18,9.1,9.15,16500,NYSE
PYN,19-Mar-2010,9.15,9.15,9.05,9.1,14100,NYSE
PYN,22-Mar-2010,9.07,9.14,9.07,9.1,15900,NYSE
PYN,23-Mar-2010,9.15,9.2,9.13,9.18,15000,NYSE
PYN,24-Mar-2010,9.15,9.36,9.11,9.29,30800,NYSE
PYN,25-Mar-2010,9.29,9.34,9.25,9.34,4200,NYSE
PYN,26-Mar-2010,9.35,9.38,9.27,9.27,5000,NYSE
PYN,29-Mar-2010,9.29,9.3,9.22,9.29,7700,NYSE
PYN,30-Mar-2010,9.32,9.32,9.28,9.29,3700,NYSE
PYN,31-Mar-2010,9.28,9.3,9.28,9.3,3600,NYSE
PYN,01-Apr-2010,9.36,9.37,9.26,9.33,10400,NYSE
PYN,05-Apr-2010,9.35,9.45,9.32,9.33,2500,NYSE
PYN,06-Apr-2010,9.33,9.45,9.33,9.45,2700,NYSE
PYN,07-Apr-2010,9.46,9.48,9.42,9.48,1600,NYSE
PYN,08-Apr-2010,9.4,9.45,9.27,9.34,12900,NYSE
PYN,09-Apr-2010,9.32,9.39,9.11,9.23,9000,NYSE
PYN,12-Apr-2010,9.23,9.28,9.22,9.28,3200,NYSE
PYN,13-Apr-2010,9.29,9.36,9.26,9.36,4300,NYSE
PYN,14-Apr-2010,9.36,9.49,9.36,9.4,21400,NYSE
PYN,15-Apr-2010,9.42,9.49,9.3,9.39,9500,NYSE
PYN,16-Apr-2010,9.38,9.4,9.19,9.29,7600,NYSE
PYN,19-Apr-2010,9.28,9.39,9.16,9.19,12900,NYSE
PYN,20-Apr-2010,9.18,9.33,9.16,9.19,20200,NYSE
PYN,21-Apr-2010,9.18,9.25,9.17,9.25,7000,NYSE
PYN,22-Apr-2010,9.25,9.25,9.22,9.24,4000,NYSE
PYN,23-Apr-2010,9.24,9.26,9.22,9.23,5600,NYSE
PYN,26-Apr-2010,9.24,9.29,9.23,9.27,7700,NYSE
PYN,27-Apr-2010,9.25,9.41,9.25,9.34,8200,NYSE
PYN,28-Apr-2010,9.4,9.61,9.27,9.27,13200,NYSE
PYN,29-Apr-2010,9.3,9.63,9.3,9.4,8200,NYSE
PYN,30-Apr-2010,9.39,9.4,9.37,9.37,3800,NYSE
PYN,03-May-2010,9.41,9.43,9.37,9.43,5800,NYSE
PYN,04-May-2010,9.43,9.47,9.38,9.44,9800,NYSE
PYN,05-May-2010,9.4,9.4,9.29,9.32,8700,NYSE
PYN,06-May-2010,9.32,9.35,9.15,9.17,17100,NYSE
PYN,07-May-2010,9.23,9.38,9.16,9.24,14900,NYSE
PYN,10-May-2010,9.5,9.5,9.33,9.33,2000,NYSE
PYN,11-May-2010,9.26,9.27,9.21,9.27,5500,NYSE
PYN,12-May-2010,9.28,9.38,9.27,9.29,2600,NYSE
PYN,13-May-2010,9.38,9.42,9.22,9.41,9700,NYSE
PYN,14-May-2010,9.48,9.48,9.38,9.38,1900,NYSE
PYN,17-May-2010,9.43,9.43,9.26,9.27,8300,NYSE
PYN,18-May-2010,9.28,9.4,9.24,9.35,7800,NYSE
PYN,19-May-2010,9.26,9.38,9.24,9.38,11500,NYSE
PYN,20-May-2010,9.37,9.37,9.2,9.35,7600,NYSE
PYN,21-May-2010,9.33,9.33,9.18,9.24,11100,NYSE
PYN,24-May-2010,9.2,9.45,9.15,9.15,21000,NYSE
PYN,25-May-2010,9.09,9.22,9.09,9.16,7400,NYSE
PYN,26-May-2010,9.19,9.32,9.14,9.14,6300,NYSE
PYN,27-May-2010,9.07,9.31,9.07,9.19,22400,NYSE
PYN,28-May-2010,9.18,9.23,9.15,9.15,7800,NYSE
PYN,01-Jun-2010,9.18,9.22,9.15,9.15,3500,NYSE
PYN,02-Jun-2010,9.16,9.24,9.16,9.23,6200,NYSE
PYN,03-Jun-2010,9.24,9.24,9.13,9.13,8100,NYSE
PYN,04-Jun-2010,9.11,9.17,9.09,9.14,9300,NYSE
PYN,07-Jun-2010,9.18,9.18,9.14,9.18,5100,NYSE
PYN,08-Jun-2010,9.17,9.25,9.17,9.25,9100,NYSE
PYN,09-Jun-2010,9.19,9.24,9.19,9.24,2100,NYSE
PYN,10-Jun-2010,9.27,9.27,9.15,9.18,43400,NYSE
PYN,11-Jun-2010,9.19,9.26,9.16,9.2,6600,NYSE
PYN,14-Jun-2010,9.2,9.22,9.15,9.22,5500,NYSE
PYN,15-Jun-2010,9.23,9.29,9.18,9.2,9100,NYSE
PYN,16-Jun-2010,9.21,9.26,9.21,9.25,3000,NYSE
PYN,17-Jun-2010,9.26,9.34,9.26,9.29,8100,NYSE
PYN,18-Jun-2010,9.29,9.37,9.19,9.24,7400,NYSE
PYN,21-Jun-2010,9.25,9.27,9.11,9.16,18200,NYSE
PYN,22-Jun-2010,9.17,9.25,9.08,9.14,19100,NYSE
PYN,23-Jun-2010,9.14,9.18,9.1,9.12,14800,NYSE
PYN,24-Jun-2010,9.16,9.18,9.1,9.1,3100,NYSE
PYN,25-Jun-2010,9.12,9.26,9.12,9.19,10400,NYSE
PYN,28-Jun-2010,9.19,9.29,9.19,9.28,9000,NYSE
PYN,29-Jun-2010,9.29,9.41,9.29,9.39,14500,NYSE
PYN,30-Jun-2010,9.33,9.47,9.32,9.45,16100,NYSE
PYN,01-Jul-2010,9.43,9.43,9.38,9.38,5600,NYSE
PYN,02-Jul-2010,9.42,9.42,9.36,9.4,1600,NYSE
PYN,06-Jul-2010,9.4,9.42,9.35,9.42,4000,NYSE
PYN,07-Jul-2010,9.42,9.42,9.36,9.36,5000,NYSE
PYN,08-Jul-2010,9.35,9.4,9.32,9.35,7200,NYSE
PYN,09-Jul-2010,9.33,9.42,9.33,9.38,2800,NYSE
PYN,12-Jul-2010,9.44,9.53,9.39,9.46,7000,NYSE
PYN,13-Jul-2010,9.48,9.5,9.43,9.5,7300,NYSE
PYN,14-Jul-2010,9.45,9.45,9.36,9.4,2000,NYSE
PYN,15-Jul-2010,9.41,9.46,9.37,9.45,5400,NYSE
PYN,16-Jul-2010,9.47,9.5,9.38,9.48,7200,NYSE
