name,date,open_price,close_price,high_price,low_price,volume,market
PYS,04-Jan-2010,18.63,18.87,18.6,18.87,8100,NYSE
PYS,05-Jan-2010,18.83,18.87,18.65,18.87,7700,NYSE
PYS,06-Jan-2010,18.77,18.87,18.67,18.87,1800,NYSE
PYS,07-Jan-2010,18.7,18.89,18.5,18.88,16300,NYSE
PYS,08-Jan-2010,18.86,19.38,18.86,19.38,13100,NYSE
PYS,11-Jan-2010,19.37,19.6,19.29,19.5,34800,NYSE
PYS,12-Jan-2010,19.53,19.62,19.44,19.6,27000,NYSE
PYS,13-Jan-2010,19.61,19.69,19.58,19.6,5800,NYSE
PYS,14-Jan-2010,19.69,19.69,19.51,19.69,4200,NYSE
PYS,15-Jan-2010,19.62,19.69,19.31,19.69,6900,NYSE
PYS,19-Jan-2010,19.94,19.94,19.64,19.65,6800,NYSE
PYS,20-Jan-2010,19.4,20.43,19.4,19.9,6900,NYSE
PYS,21-Jan-2010,19.85,20.41,19.52,19.52,4300,NYSE
PYS,22-Jan-2010,20.3,20.34,19.3,19.3,6100,NYSE
PYS,25-Jan-2010,19.54,20.11,19.48,19.79,6300,NYSE
PYS,26-Jan-2010,19.9,19.98,19.35,19.35,11700,NYSE
PYS,27-Jan-2010,19.39,19.55,19.35,19.36,3100,NYSE
PYS,28-Jan-2010,19.36,19.55,19.07,19.19,8000,NYSE
PYS,29-Jan-2010,19.2,19.2,18.84,18.84,1600,NYSE
PYS,01-Feb-2010,18.92,19.11,18.86,19.11,1900,NYSE
PYS,02-Feb-2010,19.38,19.46,19.13,19.29,19600,NYSE
PYS,03-Feb-2010,19.37,19.39,19.2,19.39,3800,NYSE
PYS,04-Feb-2010,19.25,19.32,19.01,19.01,5000,NYSE
PYS,05-Feb-2010,19.42,19.53,19.01,19.5,6900,NYSE
PYS,08-Feb-2010,19.11,19.5,19.11,19.46,2000,NYSE
PYS,09-Feb-2010,19.1,20.39,19.1,20.01,18800,NYSE
PYS,10-Feb-2010,20.08,20.44,20.08,20.36,11800,NYSE
PYS,11-Feb-2010,20.5,21.46,20.46,21.46,24400,NYSE
PYS,12-Feb-2010,21.09,21.59,20.67,20.72,8100,NYSE
PYS,16-Feb-2010,20.66,21.11,20.66,21.0,4200,NYSE
PYS,17-Feb-2010,20.98,21.79,20.78,21.79,19800,NYSE
PYS,18-Feb-2010,21.75,21.75,20.87,20.87,6000,NYSE
PYS,19-Feb-2010,21.08,21.22,20.33,20.8,17000,NYSE
PYS,22-Feb-2010,21.14,21.35,20.6,20.71,3800,NYSE
PYS,23-Feb-2010,21.29,21.29,20.65,20.65,1400,NYSE
PYS,24-Feb-2010,21.67,21.67,20.28,20.65,6200,NYSE
PYS,25-Feb-2010,20.67,20.67,20.16,20.41,4800,NYSE
PYS,26-Feb-2010,20.56,20.59,20.33,20.59,1900,NYSE
