name,date,open_price,close_price,high_price,low_price,volume,market
RDY,04-Jan-2010,24.85,25.1,24.59,24.88,362800,NYSE
RDY,05-Jan-2010,25.53,25.58,25.23,25.31,509200,NYSE
RDY,06-Jan-2010,26.01,26.26,25.91,26.17,1035200,NYSE
RDY,07-Jan-2010,25.94,26.23,25.76,26.15,712600,NYSE
RDY,08-Jan-2010,26.14,26.26,25.8,25.98,407900,NYSE
RDY,11-Jan-2010,26.18,26.53,26.18,26.52,285300,NYSE
RDY,12-Jan-2010,26.84,26.84,26.07,26.25,257800,NYSE
RDY,13-Jan-2010,26.64,27.29,26.64,27.21,284600,NYSE
RDY,14-Jan-2010,26.94,27.33,26.94,27.12,223100,NYSE
RDY,15-Jan-2010,27.03,27.09,26.58,26.98,379600,NYSE
RDY,19-Jan-2010,26.09,26.17,25.63,26.17,916600,NYSE
RDY,20-Jan-2010,25.67,25.99,23.75,24.48,2701100,NYSE
RDY,21-Jan-2010,24.17,24.42,23.58,24.11,964100,NYSE
RDY,22-Jan-2010,24.0,24.43,23.75,23.89,394700,NYSE
RDY,25-Jan-2010,24.1,24.25,23.91,24.04,421500,NYSE
RDY,26-Jan-2010,23.99,24.0,23.27,23.6,287500,NYSE
RDY,27-Jan-2010,23.57,23.88,23.57,23.74,404300,NYSE
RDY,28-Jan-2010,24.56,24.63,23.46,23.52,774600,NYSE
RDY,29-Jan-2010,24.0,24.0,23.65,23.71,466200,NYSE
RDY,01-Feb-2010,24.04,24.5,23.72,23.97,397000,NYSE
RDY,02-Feb-2010,24.76,25.1,24.73,25.03,536600,NYSE
RDY,03-Feb-2010,25.04,25.12,24.6,24.8,317200,NYSE
RDY,04-Feb-2010,24.62,24.75,24.02,24.12,329900,NYSE
RDY,05-Feb-2010,24.63,24.63,23.51,24.18,537600,NYSE
RDY,08-Feb-2010,24.03,24.03,23.24,23.34,363900,NYSE
RDY,09-Feb-2010,23.73,23.73,23.13,23.66,511700,NYSE
RDY,10-Feb-2010,23.53,23.59,23.13,23.38,327900,NYSE
RDY,11-Feb-2010,23.23,23.78,23.16,23.6,220700,NYSE
RDY,12-Feb-2010,23.32,23.65,23.28,23.6,141100,NYSE
RDY,16-Feb-2010,24.09,24.28,23.95,24.25,199700,NYSE
RDY,17-Feb-2010,24.38,24.62,24.07,24.29,433100,NYSE
RDY,18-Feb-2010,24.1,24.47,24.1,24.44,178800,NYSE
RDY,19-Feb-2010,24.35,24.45,24.25,24.37,193200,NYSE
RDY,22-Feb-2010,24.69,24.69,23.82,23.9,249300,NYSE
RDY,23-Feb-2010,25.22,25.22,24.17,24.23,340200,NYSE
RDY,24-Feb-2010,24.47,24.67,24.33,24.55,153300,NYSE
RDY,25-Feb-2010,24.42,24.6,24.15,24.5,105700,NYSE
RDY,26-Feb-2010,24.69,24.91,24.55,24.61,187300,NYSE
RDY,01-Mar-2010,25.08,25.35,24.85,25.24,347600,NYSE
RDY,02-Mar-2010,24.88,25.54,24.4,25.45,734100,NYSE
RDY,03-Mar-2010,25.59,25.81,25.28,25.53,370900,NYSE
RDY,04-Mar-2010,25.83,25.83,25.21,25.31,216700,NYSE
RDY,05-Mar-2010,25.49,25.73,25.34,25.66,251800,NYSE
RDY,08-Mar-2010,25.7,25.96,25.47,25.87,225700,NYSE
RDY,09-Mar-2010,25.89,25.98,25.72,25.87,198500,NYSE
RDY,10-Mar-2010,25.91,26.01,25.55,26.01,211800,NYSE
RDY,11-Mar-2010,25.73,25.95,25.53,25.95,156500,NYSE
RDY,12-Mar-2010,26.04,26.34,26.02,26.23,280100,NYSE
RDY,15-Mar-2010,26.73,26.82,26.35,26.76,491800,NYSE
RDY,16-Mar-2010,27.11,27.11,26.68,26.86,440000,NYSE
RDY,17-Mar-2010,27.16,27.83,26.94,27.54,495700,NYSE
RDY,18-Mar-2010,27.57,27.63,27.23,27.56,307700,NYSE
RDY,19-Mar-2010,27.69,28.44,27.5,28.13,903900,NYSE
