name,date,open_price,close_price,high_price,low_price,volume,market
REX,10-Jun-2010,16.7,18.32,16.7,17.98,8700,NYSE
REX,11-Jun-2010,17.8,18.22,17.52,17.89,151100,NYSE
REX,14-Jun-2010,18.14,18.28,17.88,18.06,16400,NYSE
REX,15-Jun-2010,18.11,18.64,17.99,18.63,17400,NYSE
REX,16-Jun-2010,18.5,19.23,18.5,19.16,18200,NYSE
REX,17-Jun-2010,19.14,19.14,18.67,19.02,12700,NYSE
REX,18-Jun-2010,19.06,19.24,18.99,18.99,29400,NYSE
REX,21-Jun-2010,19.22,19.3,18.46,18.52,8300,NYSE
REX,22-Jun-2010,18.53,18.83,18.05,18.15,10700,NYSE
REX,23-Jun-2010,18.07,18.68,18.04,18.6,10600,NYSE
REX,24-Jun-2010,18.48,18.5,17.94,17.96,15100,NYSE
REX,25-Jun-2010,18.09,19.02,17.77,18.94,167300,NYSE
REX,28-Jun-2010,18.78,18.87,17.82,17.93,35000,NYSE
REX,29-Jun-2010,17.45,17.45,16.31,16.6,38800,NYSE
REX,30-Jun-2010,16.62,16.7,15.99,16.0,23700,NYSE
REX,01-Jul-2010,16.13,16.37,15.53,15.92,17900,NYSE
REX,02-Jul-2010,16.13,16.13,15.51,15.62,22000,NYSE
REX,06-Jul-2010,15.94,16.04,15.23,15.3,36700,NYSE
REX,07-Jul-2010,15.35,16.01,15.19,15.89,42300,NYSE
REX,08-Jul-2010,15.98,16.19,15.62,15.72,46400,NYSE
REX,09-Jul-2010,15.68,16.03,15.52,16.03,11500,NYSE
REX,12-Jul-2010,16.03,16.06,15.81,15.81,7400,NYSE
REX,13-Jul-2010,16.02,16.49,15.89,16.44,23300,NYSE
REX,14-Jul-2010,16.29,16.37,16.18,16.24,9200,NYSE
REX,15-Jul-2010,16.23,16.38,15.69,16.31,35700,NYSE
REX,16-Jul-2010,16.28,16.28,15.63,15.66,55100,NYSE
REX,19-Jul-2010,15.8,15.88,15.38,15.77,10800,NYSE
REX,20-Jul-2010,15.59,16.3,15.59,16.28,17800,NYSE
REX,21-Jul-2010,16.3,16.45,15.69,15.89,28100,NYSE
REX,22-Jul-2010,16.09,16.49,16.09,16.39,24500,NYSE
REX,23-Jul-2010,16.25,16.56,15.66,16.49,18400,NYSE
REX,26-Jul-2010,16.5,16.75,16.33,16.63,23800,NYSE
REX,27-Jul-2010,16.83,16.97,16.4,16.69,11900,NYSE
REX,28-Jul-2010,16.7,16.7,15.91,16.3,16500,NYSE
REX,29-Jul-2010,16.41,16.57,15.84,16.03,21500,NYSE
REX,30-Jul-2010,16.0,16.35,15.85,16.05,28200,NYSE
REX,02-Aug-2010,15.97,16.23,15.79,16.08,37300,NYSE
REX,03-Aug-2010,16.05,16.26,15.97,16.04,11500,NYSE
REX,04-Aug-2010,16.21,16.28,15.88,16.26,12300,NYSE
REX,05-Aug-2010,16.14,16.24,15.86,16.03,10600,NYSE
