name,date,open_price,close_price,high_price,low_price,volume,market
RHT,04-Jan-2010,31.23,31.5,31.03,31.12,2061300,NYSE
RHT,05-Jan-2010,31.17,31.35,30.77,30.97,2116600,NYSE
RHT,06-Jan-2010,30.95,31.41,30.78,30.97,2164100,NYSE
RHT,07-Jan-2010,30.98,31.0,30.34,30.39,1899900,NYSE
RHT,08-Jan-2010,30.42,30.42,29.92,30.14,2764400,NYSE
RHT,11-Jan-2010,30.15,30.24,29.56,29.74,2429200,NYSE
RHT,12-Jan-2010,29.59,29.64,28.72,29.09,2971400,NYSE
RHT,13-Jan-2010,29.16,29.75,28.56,29.49,2834000,NYSE
RHT,14-Jan-2010,29.61,30.0,29.44,29.77,2076700,NYSE
RHT,15-Jan-2010,29.8,29.8,28.91,29.08,2268900,NYSE
RHT,19-Jan-2010,28.93,29.69,28.86,29.61,1979500,NYSE
RHT,20-Jan-2010,29.4,29.48,28.8,29.16,1949800,NYSE
RHT,21-Jan-2010,29.17,29.94,28.95,29.06,3001700,NYSE
RHT,22-Jan-2010,29.02,29.11,27.63,27.73,2944000,NYSE
RHT,25-Jan-2010,27.94,28.06,27.39,27.69,2164600,NYSE
RHT,26-Jan-2010,27.77,28.74,27.74,28.15,2930900,NYSE
RHT,27-Jan-2010,28.05,28.24,27.41,27.97,2570300,NYSE
RHT,28-Jan-2010,27.87,27.96,26.94,27.36,1738400,NYSE
RHT,29-Jan-2010,27.4,27.74,27.1,27.22,2412600,NYSE
RHT,01-Feb-2010,27.21,28.35,26.87,28.33,3926000,NYSE
RHT,02-Feb-2010,28.32,28.7,28.15,28.48,2565100,NYSE
RHT,03-Feb-2010,28.3,28.75,28.18,28.44,1140300,NYSE
RHT,04-Feb-2010,28.07,28.1,26.92,27.0,2183500,NYSE
RHT,05-Feb-2010,26.88,27.31,26.51,27.24,1926200,NYSE
RHT,08-Feb-2010,27.2,27.74,26.99,27.19,1461000,NYSE
RHT,09-Feb-2010,27.5,27.81,27.01,27.41,1691600,NYSE
RHT,10-Feb-2010,27.36,27.49,27.0,27.19,1097400,NYSE
RHT,11-Feb-2010,27.64,28.1,27.0,28.03,2094800,NYSE
RHT,12-Feb-2010,27.84,27.99,27.54,27.86,1459000,NYSE
RHT,16-Feb-2010,28.14,28.64,28.11,28.54,1661300,NYSE
RHT,17-Feb-2010,28.67,28.85,28.47,28.78,1483000,NYSE
RHT,18-Feb-2010,28.79,29.22,28.66,29.18,1217300,NYSE
RHT,19-Feb-2010,28.95,29.56,28.93,29.12,1734800,NYSE
RHT,22-Feb-2010,29.28,29.28,28.85,29.01,1553700,NYSE
RHT,23-Feb-2010,28.99,29.0,27.92,27.99,2747000,NYSE
RHT,24-Feb-2010,28.16,28.53,28.01,28.28,1290800,NYSE
RHT,25-Feb-2010,27.89,28.21,27.36,28.14,1717900,NYSE
RHT,26-Feb-2010,28.11,28.31,27.82,28.05,1119000,NYSE
RHT,01-Mar-2010,28.16,28.82,28.01,28.63,1377700,NYSE
RHT,02-Mar-2010,28.81,28.97,28.62,28.75,1261800,NYSE
RHT,03-Mar-2010,28.87,29.74,28.8,29.35,2214700,NYSE
RHT,04-Mar-2010,29.37,30.02,29.28,29.88,2269700,NYSE
RHT,05-Mar-2010,30.0,30.72,29.86,30.27,2864000,NYSE
RHT,08-Mar-2010,30.15,30.24,29.83,30.01,2377900,NYSE
RHT,09-Mar-2010,29.9,30.45,29.76,30.21,1351900,NYSE
RHT,10-Mar-2010,30.13,30.42,30.08,30.36,1413200,NYSE
RHT,11-Mar-2010,30.36,30.64,30.17,30.62,2179700,NYSE
RHT,12-Mar-2010,30.72,30.9,30.57,30.76,1950200,NYSE
RHT,15-Mar-2010,30.65,30.78,30.45,30.76,1421200,NYSE
RHT,16-Mar-2010,30.73,30.92,30.47,30.61,1883700,NYSE
RHT,17-Mar-2010,30.72,30.86,30.49,30.72,1877200,NYSE
RHT,18-Mar-2010,30.62,30.69,30.12,30.2,2701700,NYSE
RHT,19-Mar-2010,30.2,30.34,29.8,29.97,2982600,NYSE
RHT,22-Mar-2010,29.95,30.2,29.87,30.0,3730800,NYSE
RHT,23-Mar-2010,30.0,30.38,29.66,30.17,3802200,NYSE
RHT,24-Mar-2010,30.29,31.14,30.1,30.7,6900800,NYSE
RHT,25-Mar-2010,29.99,30.02,28.45,28.9,13764800,NYSE
RHT,26-Mar-2010,28.84,28.99,28.2,28.39,5293200,NYSE
RHT,29-Mar-2010,28.5,28.61,28.15,28.16,3461900,NYSE
RHT,30-Mar-2010,28.24,29.07,27.9,28.93,6204900,NYSE
RHT,31-Mar-2010,28.89,29.45,28.85,29.27,4173800,NYSE
RHT,01-Apr-2010,29.38,30.0,29.38,29.94,5814800,NYSE
RHT,05-Apr-2010,29.94,30.39,29.94,30.36,3186000,NYSE
RHT,06-Apr-2010,30.12,30.72,30.08,30.39,2581400,NYSE
RHT,07-Apr-2010,30.28,30.43,30.07,30.34,2964300,NYSE
RHT,08-Apr-2010,30.17,30.5,30.0,30.48,3204300,NYSE
RHT,09-Apr-2010,30.47,30.84,30.28,30.81,2243600,NYSE
RHT,12-Apr-2010,30.77,31.0,30.57,30.81,2169500,NYSE
RHT,13-Apr-2010,30.96,31.25,30.82,31.16,2674200,NYSE
RHT,14-Apr-2010,32.0,32.19,31.78,32.09,4067800,NYSE
RHT,15-Apr-2010,31.95,32.11,31.49,31.67,3573400,NYSE
RHT,16-Apr-2010,31.49,31.67,30.93,31.1,3397900,NYSE
RHT,19-Apr-2010,30.89,31.22,30.25,30.7,2440000,NYSE
RHT,20-Apr-2010,30.85,31.2,30.81,31.03,2411300,NYSE
RHT,21-Apr-2010,31.16,31.22,30.73,31.1,1684500,NYSE
RHT,22-Apr-2010,30.84,31.35,30.3,31.29,1966500,NYSE
RHT,23-Apr-2010,30.98,31.47,30.93,31.46,1432200,NYSE
RHT,26-Apr-2010,31.48,31.7,31.3,31.54,1647800,NYSE
RHT,27-Apr-2010,31.31,31.63,30.66,30.75,2358800,NYSE
RHT,28-Apr-2010,31.0,31.02,30.23,30.62,1596300,NYSE
RHT,29-Apr-2010,30.75,30.88,30.55,30.78,1351100,NYSE
RHT,30-Apr-2010,30.78,30.83,29.82,29.87,2131900,NYSE
RHT,03-May-2010,30.06,30.7,30.01,30.6,1332800,NYSE
RHT,04-May-2010,30.22,30.22,29.43,29.7,1877800,NYSE
RHT,05-May-2010,29.39,29.72,29.32,29.51,1831600,NYSE
RHT,06-May-2010,29.34,30.0,26.81,28.2,3453100,NYSE
RHT,07-May-2010,28.13,28.28,26.69,27.49,4536600,NYSE
RHT,10-May-2010,28.74,29.24,28.5,28.9,3135000,NYSE
RHT,11-May-2010,29.2,29.82,29.01,29.33,2638600,NYSE
RHT,12-May-2010,29.45,30.17,29.3,30.12,2474200,NYSE
RHT,13-May-2010,29.98,31.17,29.98,30.76,3859800,NYSE
RHT,14-May-2010,30.5,30.6,30.0,30.4,3850200,NYSE
RHT,17-May-2010,30.45,30.8,29.9,30.52,2128800,NYSE
RHT,18-May-2010,30.74,30.88,29.68,30.05,2131100,NYSE
RHT,19-May-2010,29.85,29.93,28.62,29.36,2715000,NYSE
RHT,20-May-2010,28.57,28.73,27.92,28.26,4529600,NYSE
RHT,21-May-2010,27.71,29.46,27.58,29.22,3733600,NYSE
RHT,24-May-2010,29.18,29.67,28.9,29.22,2076000,NYSE
RHT,25-May-2010,28.47,28.93,28.02,28.92,2422900,NYSE
RHT,26-May-2010,29.08,29.94,28.73,28.92,2823400,NYSE
RHT,27-May-2010,29.52,29.93,29.24,29.93,1726000,NYSE
RHT,28-May-2010,30.09,30.34,29.26,29.31,2731500,NYSE
RHT,01-Jun-2010,28.84,29.53,28.43,28.43,3508700,NYSE
RHT,02-Jun-2010,28.48,28.97,28.3,28.84,5018900,NYSE
RHT,03-Jun-2010,29.01,30.18,28.82,30.07,2837400,NYSE
RHT,04-Jun-2010,29.57,29.71,28.5,28.62,2668200,NYSE
RHT,07-Jun-2010,28.8,28.97,27.94,27.96,2557000,NYSE
RHT,08-Jun-2010,28.11,28.75,27.82,28.7,3679400,NYSE
RHT,09-Jun-2010,28.82,29.65,28.65,29.02,2960700,NYSE
RHT,10-Jun-2010,29.6,30.09,29.28,30.07,3068200,NYSE
RHT,11-Jun-2010,29.56,31.37,29.56,31.35,4083600,NYSE
RHT,14-Jun-2010,31.45,31.76,31.17,31.25,3145200,NYSE
RHT,15-Jun-2010,31.43,32.08,31.43,32.0,3102300,NYSE
RHT,16-Jun-2010,31.9,32.34,31.69,32.23,3568300,NYSE
RHT,17-Jun-2010,32.25,32.45,31.76,32.13,2547000,NYSE
RHT,18-Jun-2010,32.17,32.32,31.72,31.92,2253300,NYSE
RHT,21-Jun-2010,32.25,32.48,31.4,31.58,2066800,NYSE
RHT,22-Jun-2010,31.71,31.88,30.81,30.86,3792400,NYSE
RHT,23-Jun-2010,31.86,32.52,30.99,31.36,4978600,NYSE
RHT,24-Jun-2010,31.19,31.39,30.63,30.78,2922700,NYSE
RHT,25-Jun-2010,30.86,31.31,30.48,31.07,3056500,NYSE
RHT,28-Jun-2010,31.1,31.34,30.75,30.99,2182700,NYSE
RHT,29-Jun-2010,30.24,30.55,29.16,29.39,2894800,NYSE
RHT,30-Jun-2010,29.35,29.73,28.82,28.94,2486600,NYSE
RHT,01-Jul-2010,28.9,29.39,28.2,29.2,3702500,NYSE
RHT,02-Jul-2010,29.1,29.2,28.69,28.91,2009400,NYSE
RHT,06-Jul-2010,29.41,29.69,29.19,29.44,3423700,NYSE
RHT,07-Jul-2010,29.54,30.74,29.45,30.71,2811800,NYSE
RHT,08-Jul-2010,30.91,30.99,30.13,30.55,2879000,NYSE
RHT,09-Jul-2010,30.6,30.82,30.34,30.64,1197400,NYSE
RHT,12-Jul-2010,30.42,31.04,30.37,30.86,1770000,NYSE
RHT,13-Jul-2010,31.12,31.86,31.0,31.59,2780300,NYSE
RHT,14-Jul-2010,31.66,32.23,31.53,32.22,2877000,NYSE
RHT,15-Jul-2010,32.14,32.6,31.93,32.47,4049800,NYSE
RHT,16-Jul-2010,32.14,32.35,31.53,31.58,3795900,NYSE
RHT,19-Jul-2010,31.75,31.97,31.37,31.82,2031000,NYSE
RHT,20-Jul-2010,31.27,32.06,31.06,32.03,2983900,NYSE
RHT,21-Jul-2010,32.26,32.5,31.5,31.61,3159400,NYSE
RHT,22-Jul-2010,31.98,32.45,31.78,32.34,2400600,NYSE
RHT,23-Jul-2010,32.04,33.21,31.87,33.21,5200700,NYSE
RHT,26-Jul-2010,33.17,33.64,32.97,33.22,2826700,NYSE
RHT,27-Jul-2010,33.57,33.57,32.29,32.4,3265200,NYSE
RHT,28-Jul-2010,32.24,32.6,31.65,31.8,2924700,NYSE
RHT,29-Jul-2010,32.07,32.23,31.27,32.01,4094600,NYSE
RHT,30-Jul-2010,31.69,32.31,31.35,32.15,3120100,NYSE
RHT,02-Aug-2010,32.49,32.8,32.37,32.62,2156000,NYSE
RHT,03-Aug-2010,32.5,32.53,31.88,32.04,2130000,NYSE
RHT,04-Aug-2010,32.06,33.99,32.05,33.83,4461700,NYSE
RHT,05-Aug-2010,33.54,33.63,32.97,33.25,2477800,NYSE
