name,date,open_price,close_price,high_price,low_price,volume,market
RJF,04-Jan-2010,23.94,24.29,23.74,24.27,598000,NYSE
RJF,05-Jan-2010,24.26,24.67,24.11,24.66,554100,NYSE
RJF,06-Jan-2010,24.52,25.07,24.36,25.01,757100,NYSE
RJF,07-Jan-2010,24.9,24.95,24.59,24.86,697900,NYSE
RJF,08-Jan-2010,24.77,24.88,24.33,24.59,463000,NYSE
RJF,11-Jan-2010,24.77,24.8,24.25,24.53,501900,NYSE
RJF,12-Jan-2010,24.23,24.4,23.71,24.05,462400,NYSE
RJF,13-Jan-2010,24.86,25.0,24.41,24.95,737700,NYSE
RJF,14-Jan-2010,25.01,25.21,24.8,25.11,484500,NYSE
RJF,15-Jan-2010,25.03,25.24,24.75,24.8,539000,NYSE
RJF,19-Jan-2010,24.78,25.2,24.72,25.05,336100,NYSE
RJF,20-Jan-2010,24.74,25.31,24.7,25.13,630200,NYSE
RJF,21-Jan-2010,25.28,27.03,25.28,26.72,1943900,NYSE
RJF,22-Jan-2010,26.54,26.89,26.2,26.45,1643900,NYSE
RJF,25-Jan-2010,26.69,26.76,25.75,26.28,680700,NYSE
RJF,26-Jan-2010,26.16,26.7,26.03,26.06,720100,NYSE
RJF,27-Jan-2010,26.06,26.35,25.72,26.26,832400,NYSE
RJF,28-Jan-2010,26.38,26.38,25.5,25.69,745100,NYSE
RJF,29-Jan-2010,25.79,26.25,25.14,25.31,914900,NYSE
RJF,01-Feb-2010,25.41,25.71,25.24,25.58,1403300,NYSE
RJF,02-Feb-2010,25.65,26.58,25.62,26.36,826400,NYSE
RJF,03-Feb-2010,26.45,27.31,26.45,26.73,1580300,NYSE
RJF,04-Feb-2010,26.49,26.66,25.56,25.56,1125300,NYSE
RJF,05-Feb-2010,25.61,25.82,24.7,25.17,1766700,NYSE
RJF,08-Feb-2010,25.19,25.52,24.8,25.26,720100,NYSE
RJF,09-Feb-2010,25.63,25.87,25.4,25.54,845800,NYSE
RJF,10-Feb-2010,25.42,26.07,25.39,25.75,720800,NYSE
RJF,11-Feb-2010,25.63,25.8,25.47,25.65,631100,NYSE
RJF,12-Feb-2010,25.3,25.93,25.3,25.91,582700,NYSE
RJF,16-Feb-2010,26.07,26.37,25.71,26.29,470800,NYSE
RJF,17-Feb-2010,26.33,26.48,26.18,26.43,897100,NYSE
RJF,18-Feb-2010,26.41,26.49,26.13,26.35,535300,NYSE
RJF,19-Feb-2010,26.22,26.89,26.22,26.69,569700,NYSE
RJF,22-Feb-2010,26.81,26.93,26.57,26.81,375200,NYSE
RJF,23-Feb-2010,26.77,26.87,26.08,26.15,626500,NYSE
RJF,24-Feb-2010,26.18,26.24,25.72,25.87,1075300,NYSE
RJF,25-Feb-2010,25.44,25.7,25.16,25.58,777800,NYSE
RJF,26-Feb-2010,25.66,25.92,25.49,25.86,462300,NYSE
RJF,01-Mar-2010,25.9,26.43,25.77,26.35,509600,NYSE
RJF,02-Mar-2010,26.39,26.77,26.25,26.66,737900,NYSE
RJF,03-Mar-2010,27.17,27.25,26.63,26.85,751300,NYSE
RJF,04-Mar-2010,26.81,27.07,26.65,27.03,551800,NYSE
RJF,05-Mar-2010,27.18,27.46,27.04,27.39,574300,NYSE
RJF,08-Mar-2010,27.35,27.91,27.25,27.77,372300,NYSE
RJF,09-Mar-2010,27.65,27.93,27.45,27.61,313600,NYSE
RJF,10-Mar-2010,27.56,27.88,27.48,27.75,475900,NYSE
RJF,11-Mar-2010,27.56,27.7,27.4,27.62,562100,NYSE
RJF,12-Mar-2010,27.65,27.7,27.26,27.5,857600,NYSE
RJF,15-Mar-2010,27.35,27.92,27.32,27.85,710600,NYSE
RJF,16-Mar-2010,27.66,28.09,27.66,27.76,655000,NYSE
RJF,17-Mar-2010,27.88,28.23,27.87,27.98,604900,NYSE
RJF,18-Mar-2010,28.03,28.15,27.77,27.98,643900,NYSE
RJF,19-Mar-2010,28.0,28.24,27.79,27.86,921300,NYSE
RJF,22-Mar-2010,27.65,28.17,27.52,28.12,383400,NYSE
RJF,23-Mar-2010,28.2,28.29,27.91,28.06,409600,NYSE
RJF,24-Mar-2010,27.9,28.13,27.75,27.78,610900,NYSE
RJF,25-Mar-2010,28.1,28.11,27.7,27.74,657700,NYSE
RJF,26-Mar-2010,27.92,27.98,27.06,27.16,658600,NYSE
RJF,29-Mar-2010,27.21,27.54,27.03,27.37,637300,NYSE
RJF,30-Mar-2010,27.33,27.55,27.08,27.43,485300,NYSE
RJF,31-Mar-2010,27.38,27.72,26.69,26.74,1082600,NYSE
RJF,01-Apr-2010,26.9,27.2,26.86,27.1,1165700,NYSE
RJF,05-Apr-2010,27.14,27.68,27.04,27.61,1047800,NYSE
RJF,06-Apr-2010,27.48,28.17,27.31,28.11,838900,NYSE
RJF,07-Apr-2010,28.18,28.59,27.9,28.33,1064500,NYSE
RJF,08-Apr-2010,28.16,28.85,28.16,28.69,685200,NYSE
RJF,09-Apr-2010,28.67,28.98,28.56,28.91,516100,NYSE
RJF,12-Apr-2010,28.86,29.19,28.86,29.03,577000,NYSE
RJF,13-Apr-2010,29.02,29.54,28.79,29.46,679100,NYSE
RJF,14-Apr-2010,29.56,30.19,29.56,30.19,880100,NYSE
RJF,15-Apr-2010,30.04,30.41,29.93,30.26,683200,NYSE
RJF,16-Apr-2010,30.04,30.11,28.82,29.41,1236300,NYSE
RJF,19-Apr-2010,29.21,29.95,29.19,29.76,660800,NYSE
RJF,20-Apr-2010,29.91,30.1,29.66,29.95,469900,NYSE
RJF,21-Apr-2010,29.92,30.39,29.66,30.03,832400,NYSE
RJF,22-Apr-2010,29.63,30.68,29.51,30.48,718100,NYSE
RJF,23-Apr-2010,30.64,31.13,30.4,31.12,709500,NYSE
RJF,26-Apr-2010,30.94,31.2,30.72,30.73,715900,NYSE
RJF,27-Apr-2010,30.45,31.0,29.97,30.08,789300,NYSE
RJF,28-Apr-2010,30.27,30.6,29.99,30.24,971700,NYSE
RJF,29-Apr-2010,30.46,30.94,30.24,30.67,1138000,NYSE
RJF,30-Apr-2010,30.65,31.25,30.35,30.64,1062900,NYSE
RJF,03-May-2010,30.89,31.09,30.69,30.96,515900,NYSE
RJF,04-May-2010,30.57,30.62,29.48,29.71,839600,NYSE
RJF,05-May-2010,29.45,30.15,29.1,29.5,1277800,NYSE
RJF,06-May-2010,29.28,29.63,26.52,28.32,1237100,NYSE
RJF,07-May-2010,28.25,28.69,27.41,28.25,1799400,NYSE
RJF,10-May-2010,29.46,29.79,29.15,29.66,1106700,NYSE
RJF,11-May-2010,29.3,30.14,29.16,29.59,660600,NYSE
RJF,12-May-2010,29.78,30.2,29.53,30.1,573500,NYSE
RJF,13-May-2010,30.08,30.53,29.94,29.97,390700,NYSE
RJF,14-May-2010,29.76,29.93,28.62,28.74,1059100,NYSE
RJF,17-May-2010,28.85,29.08,27.97,28.41,810200,NYSE
RJF,18-May-2010,28.7,28.92,27.53,27.62,757300,NYSE
RJF,19-May-2010,27.55,27.89,26.89,27.64,918300,NYSE
RJF,20-May-2010,26.91,27.35,26.27,26.29,1176600,NYSE
RJF,21-May-2010,25.93,27.49,25.51,27.48,1487900,NYSE
RJF,24-May-2010,27.23,28.02,27.22,27.26,1089800,NYSE
RJF,25-May-2010,26.67,27.32,26.28,27.25,1392200,NYSE
RJF,26-May-2010,27.4,28.15,27.25,27.41,917400,NYSE
RJF,27-May-2010,28.0,28.61,27.65,28.57,530100,NYSE
RJF,28-May-2010,28.5,28.61,27.93,28.27,624900,NYSE
RJF,01-Jun-2010,28.04,28.31,27.42,27.43,776800,NYSE
RJF,02-Jun-2010,27.7,28.55,27.44,28.55,903400,NYSE
RJF,03-Jun-2010,28.4,28.67,28.08,28.43,701600,NYSE
RJF,04-Jun-2010,27.97,28.37,27.5,27.61,963700,NYSE
RJF,07-Jun-2010,27.7,28.31,27.16,27.25,1016800,NYSE
RJF,08-Jun-2010,27.3,27.62,26.89,27.55,900200,NYSE
RJF,09-Jun-2010,27.67,27.84,27.08,27.21,719000,NYSE
RJF,10-Jun-2010,27.69,28.06,27.5,28.05,467100,NYSE
RJF,11-Jun-2010,27.69,28.3,27.63,28.3,470400,NYSE
RJF,14-Jun-2010,28.67,28.67,28.06,28.15,530000,NYSE
RJF,15-Jun-2010,28.37,28.74,28.11,28.66,590700,NYSE
RJF,16-Jun-2010,28.42,28.85,28.41,28.62,683600,NYSE
RJF,17-Jun-2010,28.65,28.78,27.73,28.04,552500,NYSE
RJF,18-Jun-2010,28.11,28.11,27.3,27.49,972300,NYSE
RJF,21-Jun-2010,27.76,28.07,27.2,27.29,573400,NYSE
RJF,22-Jun-2010,27.27,28.18,27.08,27.18,1635300,NYSE
RJF,23-Jun-2010,27.22,27.4,26.46,26.91,1149800,NYSE
RJF,24-Jun-2010,26.65,27.12,26.45,26.63,945700,NYSE
RJF,25-Jun-2010,26.8,26.98,26.45,26.57,1319600,NYSE
RJF,28-Jun-2010,26.59,26.85,26.34,26.71,766000,NYSE
RJF,29-Jun-2010,26.15,26.16,24.92,25.06,1462400,NYSE
RJF,30-Jun-2010,25.0,25.26,24.64,24.69,943000,NYSE
RJF,01-Jul-2010,24.64,24.85,23.61,24.2,1154100,NYSE
RJF,02-Jul-2010,24.35,24.56,23.91,24.36,824300,NYSE
RJF,06-Jul-2010,25.02,25.34,24.62,24.91,927300,NYSE
RJF,07-Jul-2010,24.9,25.69,24.86,25.65,976100,NYSE
RJF,08-Jul-2010,25.81,26.04,25.2,25.58,481700,NYSE
RJF,09-Jul-2010,25.47,26.04,25.41,25.95,640800,NYSE
RJF,12-Jul-2010,25.74,26.2,25.66,26.18,720200,NYSE
RJF,13-Jul-2010,26.44,26.94,26.4,26.87,497800,NYSE
RJF,14-Jul-2010,26.84,26.84,26.3,26.5,510800,NYSE
RJF,15-Jul-2010,26.54,26.54,25.79,26.25,502600,NYSE
RJF,16-Jul-2010,25.99,25.99,24.75,24.78,983700,NYSE
RJF,19-Jul-2010,24.89,25.26,24.57,25.09,604700,NYSE
RJF,20-Jul-2010,24.75,25.17,24.21,25.14,1110400,NYSE
RJF,21-Jul-2010,25.39,26.11,25.25,25.26,1239400,NYSE
RJF,22-Jul-2010,25.39,25.77,25.25,25.75,1188200,NYSE
RJF,23-Jul-2010,25.64,26.46,25.4,26.29,758400,NYSE
RJF,26-Jul-2010,26.29,27.31,26.16,27.29,915300,NYSE
RJF,27-Jul-2010,27.57,27.91,27.19,27.25,1034100,NYSE
RJF,28-Jul-2010,27.2,27.46,26.83,26.92,585800,NYSE
RJF,29-Jul-2010,27.07,27.25,26.46,26.75,509900,NYSE
RJF,30-Jul-2010,26.4,26.91,26.36,26.68,395200,NYSE
RJF,02-Aug-2010,27.13,27.37,26.85,27.35,521800,NYSE
RJF,03-Aug-2010,27.13,27.41,26.89,26.94,557300,NYSE
RJF,04-Aug-2010,27.0,27.68,27.0,27.45,525500,NYSE
RJF,05-Aug-2010,27.29,27.56,27.16,27.39,386000,NYSE
RJF,06-Aug-2010,27.06,27.73,26.88,27.34,682300,NYSE
RJF,09-Aug-2010,27.58,27.58,27.1,27.17,508400,NYSE
RJF,10-Aug-2010,26.82,27.06,26.33,26.65,635300,NYSE
RJF,11-Aug-2010,26.26,26.26,25.51,25.52,589200,NYSE
RJF,12-Aug-2010,25.04,25.57,24.88,25.35,317800,NYSE
RJF,13-Aug-2010,25.28,25.45,25.0,25.03,322400,NYSE
RJF,16-Aug-2010,24.89,25.25,24.78,24.91,267800,NYSE
RJF,17-Aug-2010,25.19,25.43,25.0,25.29,274700,NYSE
RJF,18-Aug-2010,25.24,25.59,25.0,25.4,243400,NYSE
RJF,19-Aug-2010,25.18,25.32,24.58,24.59,414600,NYSE
RJF,20-Aug-2010,24.43,25.01,24.3,24.91,339700,NYSE
RJF,23-Aug-2010,24.99,25.03,24.36,24.4,472400,NYSE
RJF,24-Aug-2010,24.19,24.19,23.75,23.76,376300,NYSE
RJF,25-Aug-2010,23.54,23.94,23.42,23.85,500400,NYSE
RJF,26-Aug-2010,23.9,24.03,23.38,23.39,458300,NYSE
RJF,27-Aug-2010,23.54,24.08,23.27,24.03,467000,NYSE
RJF,30-Aug-2010,23.92,24.04,23.26,23.26,501900,NYSE
RJF,31-Aug-2010,23.24,23.26,22.91,23.08,749800,NYSE
RJF,01-Sep-2010,23.43,24.14,23.25,24.13,515100,NYSE
RJF,02-Sep-2010,23.99,24.41,23.93,24.41,445600,NYSE
RJF,03-Sep-2010,24.81,25.1,24.72,24.95,565300,NYSE
RJF,07-Sep-2010,24.78,24.92,24.26,24.3,343800,NYSE
RJF,08-Sep-2010,24.31,24.8,24.25,24.32,441300,NYSE
RJF,09-Sep-2010,24.72,24.95,24.47,24.57,401900,NYSE
RJF,10-Sep-2010,24.66,24.67,24.3,24.44,301100,NYSE
RJF,13-Sep-2010,24.7,25.23,24.63,25.2,330500,NYSE
RJF,14-Sep-2010,25.17,25.22,24.92,25.07,398100,NYSE
RJF,15-Sep-2010,24.94,25.4,24.75,25.36,356000,NYSE
RJF,16-Sep-2010,25.23,25.41,24.92,25.4,508800,NYSE
RJF,17-Sep-2010,25.52,25.7,25.02,25.53,560000,NYSE
RJF,20-Sep-2010,25.54,25.7,25.22,25.45,493800,NYSE
RJF,21-Sep-2010,25.44,25.65,25.07,25.21,564200,NYSE
RJF,22-Sep-2010,25.01,25.29,24.47,24.49,752600,NYSE
RJF,23-Sep-2010,24.24,24.74,24.0,24.24,904700,NYSE
RJF,24-Sep-2010,24.63,25.0,24.52,24.96,902400,NYSE
RJF,27-Sep-2010,24.94,25.13,24.6,24.96,430300,NYSE
RJF,28-Sep-2010,25.01,25.49,24.72,25.39,687800,NYSE
RJF,29-Sep-2010,25.92,26.37,25.23,25.36,757700,NYSE
RJF,30-Sep-2010,25.59,26.24,25.33,25.33,1243800,NYSE
RJF,01-Oct-2010,25.48,25.96,25.21,25.96,1138000,NYSE
RJF,04-Oct-2010,25.83,26.13,25.37,25.59,399400,NYSE
RJF,05-Oct-2010,25.89,26.39,25.53,26.35,499300,NYSE
RJF,06-Oct-2010,26.21,26.6,26.16,26.6,648800,NYSE
RJF,07-Oct-2010,26.65,27.03,26.55,26.77,1046100,NYSE
RJF,08-Oct-2010,26.7,27.17,26.5,27.1,884600,NYSE
RJF,11-Oct-2010,27.09,27.43,26.98,27.21,1004600,NYSE
RJF,12-Oct-2010,27.2,27.62,27.05,27.52,899700,NYSE
