name,date,open_price,close_price,high_price,low_price,volume,market
RVT,04-Jan-2010,10.86,11.05,10.81,10.99,195100,NYSE
RVT,05-Jan-2010,10.94,11.08,10.94,11.08,164700,NYSE
RVT,06-Jan-2010,11.02,11.06,10.97,11.0,175600,NYSE
RVT,07-Jan-2010,10.91,11.13,10.91,11.13,196900,NYSE
RVT,08-Jan-2010,11.13,11.18,11.05,11.14,234200,NYSE
RVT,11-Jan-2010,11.15,11.17,11.1,11.14,217900,NYSE
RVT,12-Jan-2010,11.02,11.13,10.95,11.03,217000,NYSE
RVT,13-Jan-2010,10.99,11.19,10.98,11.19,212000,NYSE
RVT,14-Jan-2010,11.06,11.23,11.05,11.22,170000,NYSE
RVT,15-Jan-2010,11.15,11.19,11.0,11.08,209900,NYSE
RVT,19-Jan-2010,11.11,11.23,11.11,11.21,217100,NYSE
RVT,20-Jan-2010,11.1,11.13,10.96,11.06,272800,NYSE
RVT,21-Jan-2010,11.09,11.11,10.83,10.83,190500,NYSE
RVT,22-Jan-2010,10.74,10.84,10.6,10.66,189200,NYSE
RVT,25-Jan-2010,10.73,10.73,10.55,10.65,195800,NYSE
RVT,26-Jan-2010,10.63,10.67,10.5,10.5,215100,NYSE
RVT,27-Jan-2010,10.45,10.55,10.4,10.5,329700,NYSE
RVT,28-Jan-2010,10.48,10.5,10.3,10.39,202000,NYSE
RVT,29-Jan-2010,10.4,10.5,10.19,10.23,192500,NYSE
RVT,01-Feb-2010,10.28,10.38,10.28,10.36,173600,NYSE
RVT,02-Feb-2010,10.32,10.48,10.32,10.45,265000,NYSE
RVT,03-Feb-2010,10.39,10.48,10.36,10.42,190700,NYSE
RVT,04-Feb-2010,10.32,10.35,10.05,10.1,645200,NYSE
RVT,05-Feb-2010,10.03,10.1,9.86,10.09,446600,NYSE
RVT,08-Feb-2010,9.99,10.13,9.97,10.03,217300,NYSE
RVT,09-Feb-2010,10.07,10.14,10.0,10.08,230000,NYSE
RVT,10-Feb-2010,10.0,10.14,9.97,10.1,232300,NYSE
RVT,11-Feb-2010,10.05,10.29,10.02,10.29,147400,NYSE
RVT,12-Feb-2010,10.2,10.34,10.11,10.34,176300,NYSE
RVT,16-Feb-2010,10.49,10.57,10.32,10.57,233800,NYSE
RVT,17-Feb-2010,10.6,10.71,10.6,10.67,208300,NYSE
RVT,18-Feb-2010,10.6,10.79,10.6,10.78,291100,NYSE
RVT,19-Feb-2010,10.73,10.86,10.69,10.81,145500,NYSE
RVT,22-Feb-2010,10.85,10.88,10.81,10.84,172800,NYSE
RVT,23-Feb-2010,10.82,10.85,10.72,10.8,238600,NYSE
RVT,24-Feb-2010,10.74,10.86,10.72,10.85,187000,NYSE
RVT,25-Feb-2010,10.71,10.84,10.67,10.81,145400,NYSE
RVT,26-Feb-2010,10.77,10.87,10.75,10.83,170800,NYSE
RVT,01-Mar-2010,10.8,11.07,10.8,11.07,280000,NYSE
RVT,02-Mar-2010,11.05,11.19,11.03,11.11,178100,NYSE
RVT,03-Mar-2010,11.11,11.26,11.11,11.2,239600,NYSE
RVT,04-Mar-2010,11.19,11.27,11.19,11.26,119100,NYSE
RVT,05-Mar-2010,11.3,11.52,11.26,11.5,246200,NYSE
RVT,08-Mar-2010,11.5,11.61,11.5,11.55,266600,NYSE
RVT,09-Mar-2010,11.34,11.65,11.34,11.58,240500,NYSE
RVT,10-Mar-2010,11.58,11.72,11.58,11.7,261000,NYSE
RVT,11-Mar-2010,11.65,11.71,11.56,11.68,183100,NYSE
RVT,12-Mar-2010,11.71,11.74,11.66,11.73,159400,NYSE
RVT,15-Mar-2010,11.73,11.74,11.58,11.72,147000,NYSE
RVT,16-Mar-2010,11.73,11.82,11.69,11.8,198900,NYSE
RVT,17-Mar-2010,11.85,11.99,11.85,11.94,160600,NYSE
RVT,18-Mar-2010,11.95,11.98,11.9,11.91,198800,NYSE
RVT,19-Mar-2010,11.89,11.94,11.72,11.75,169500,NYSE
RVT,22-Mar-2010,11.69,11.84,11.67,11.84,175100,NYSE
RVT,23-Mar-2010,11.83,11.95,11.8,11.95,105400,NYSE
RVT,24-Mar-2010,11.92,11.94,11.86,11.86,130800,NYSE
RVT,25-Mar-2010,11.88,11.96,11.74,11.74,222500,NYSE
RVT,26-Mar-2010,11.76,11.85,11.69,11.77,164000,NYSE
RVT,29-Mar-2010,11.79,11.91,11.78,11.85,261300,NYSE
RVT,30-Mar-2010,11.85,11.92,11.8,11.86,171500,NYSE
RVT,31-Mar-2010,11.82,11.94,11.8,11.85,175700,NYSE
RVT,01-Apr-2010,11.88,12.01,11.88,11.98,310200,NYSE
RVT,05-Apr-2010,12.01,12.18,11.99,12.14,255000,NYSE
RVT,06-Apr-2010,12.11,12.31,12.11,12.28,156600,NYSE
RVT,07-Apr-2010,12.24,12.31,12.2,12.23,189200,NYSE
RVT,08-Apr-2010,12.17,12.27,12.11,12.27,167000,NYSE
RVT,09-Apr-2010,12.26,12.37,12.22,12.37,127800,NYSE
RVT,12-Apr-2010,12.37,12.47,12.36,12.43,276700,NYSE
RVT,13-Apr-2010,12.42,12.49,12.37,12.49,146400,NYSE
RVT,14-Apr-2010,12.5,12.75,12.5,12.75,300700,NYSE
RVT,15-Apr-2010,12.65,12.78,12.64,12.74,201000,NYSE
RVT,16-Apr-2010,12.68,12.75,12.51,12.62,300200,NYSE
RVT,19-Apr-2010,12.57,12.65,12.39,12.56,203500,NYSE
RVT,20-Apr-2010,12.64,12.74,12.55,12.7,108500,NYSE
RVT,21-Apr-2010,12.7,12.81,12.68,12.76,138800,NYSE
RVT,22-Apr-2010,12.65,12.93,12.61,12.92,89400,NYSE
RVT,23-Apr-2010,12.92,13.03,12.9,13.01,187800,NYSE
RVT,26-Apr-2010,13.07,13.11,12.95,13.0,209900,NYSE
RVT,27-Apr-2010,12.95,13.02,12.69,12.74,302500,NYSE
RVT,28-Apr-2010,12.71,12.75,12.56,12.68,279700,NYSE
RVT,29-Apr-2010,12.77,12.89,12.69,12.88,296000,NYSE
RVT,30-Apr-2010,12.86,12.87,12.57,12.59,246100,NYSE
RVT,03-May-2010,12.64,12.8,12.6,12.77,202400,NYSE
RVT,04-May-2010,12.69,12.69,12.34,12.39,351500,NYSE
RVT,05-May-2010,12.12,12.3,11.99,12.08,256300,NYSE
RVT,06-May-2010,11.89,12.15,9.0,11.47,665000,NYSE
RVT,07-May-2010,11.49,11.53,11.08,11.27,302500,NYSE
RVT,10-May-2010,11.59,11.95,11.53,11.8,294700,NYSE
RVT,11-May-2010,11.7,12.03,11.63,11.87,227000,NYSE
RVT,12-May-2010,11.94,12.22,11.89,12.2,258400,NYSE
RVT,13-May-2010,12.2,12.26,12.04,12.09,242100,NYSE
RVT,14-May-2010,11.89,11.94,11.7,11.77,172500,NYSE
RVT,17-May-2010,11.79,11.88,11.45,11.8,359900,NYSE
RVT,18-May-2010,11.88,11.95,11.6,11.62,264100,NYSE
RVT,19-May-2010,11.51,11.63,11.27,11.41,222500,NYSE
RVT,20-May-2010,10.83,11.12,10.71,10.73,433300,NYSE
RVT,21-May-2010,10.55,10.99,10.52,10.87,395500,NYSE
RVT,24-May-2010,10.87,11.07,10.81,10.86,196500,NYSE
RVT,25-May-2010,10.72,10.82,10.35,10.8,258000,NYSE
RVT,26-May-2010,10.88,11.14,10.75,10.89,231500,NYSE
RVT,27-May-2010,11.24,11.36,10.95,11.36,218200,NYSE
RVT,28-May-2010,11.33,11.35,11.1,11.26,214100,NYSE
RVT,01-Jun-2010,11.04,11.24,10.92,10.92,159800,NYSE
RVT,02-Jun-2010,11.0,11.22,10.87,11.2,156500,NYSE
RVT,03-Jun-2010,11.22,11.4,11.12,11.33,140000,NYSE
RVT,04-Jun-2010,11.02,11.12,10.78,10.86,266400,NYSE
RVT,07-Jun-2010,10.86,10.9,10.5,10.53,301200,NYSE
RVT,08-Jun-2010,10.55,10.61,10.31,10.48,305100,NYSE
RVT,09-Jun-2010,10.6,10.77,10.48,10.52,291100,NYSE
RVT,10-Jun-2010,10.65,10.86,10.65,10.86,227200,NYSE
RVT,11-Jun-2010,10.78,11.02,10.74,11.02,187600,NYSE
RVT,14-Jun-2010,11.08,11.27,11.05,11.09,223200,NYSE
RVT,15-Jun-2010,11.2,11.38,11.18,11.37,178500,NYSE
RVT,16-Jun-2010,11.25,11.48,11.25,11.4,338000,NYSE
RVT,17-Jun-2010,11.38,11.56,11.3,11.49,610800,NYSE
RVT,18-Jun-2010,11.4,11.63,11.4,11.55,244000,NYSE
RVT,21-Jun-2010,11.68,11.72,11.36,11.42,162900,NYSE
RVT,22-Jun-2010,11.41,11.54,11.16,11.18,136600,NYSE
RVT,23-Jun-2010,11.15,11.17,11.01,11.07,211800,NYSE
RVT,24-Jun-2010,10.99,11.15,10.94,10.96,302000,NYSE
RVT,25-Jun-2010,10.93,11.17,10.87,11.1,171400,NYSE
RVT,28-Jun-2010,11.15,11.22,10.97,11.09,148300,NYSE
RVT,29-Jun-2010,10.84,10.84,10.62,10.66,293600,NYSE
RVT,30-Jun-2010,10.61,10.79,10.56,10.57,266800,NYSE
RVT,01-Jul-2010,10.52,10.56,10.1,10.41,305200,NYSE
RVT,02-Jul-2010,10.4,10.47,10.12,10.31,213200,NYSE
RVT,06-Jul-2010,10.37,10.52,10.22,10.27,256300,NYSE
RVT,07-Jul-2010,10.26,10.64,10.24,10.63,171200,NYSE
RVT,08-Jul-2010,10.67,10.81,10.56,10.79,210200,NYSE
RVT,09-Jul-2010,10.74,10.92,10.73,10.88,144000,NYSE
RVT,12-Jul-2010,10.8,10.93,10.74,10.82,249500,NYSE
RVT,13-Jul-2010,10.95,11.12,10.9,11.09,274000,NYSE
RVT,14-Jul-2010,10.99,11.14,10.9,11.08,229200,NYSE
RVT,15-Jul-2010,11.12,11.12,10.87,11.03,173400,NYSE
RVT,16-Jul-2010,10.97,10.97,10.6,10.61,136900,NYSE
RVT,19-Jul-2010,10.7,10.78,10.52,10.77,388900,NYSE
RVT,20-Jul-2010,10.59,10.9,10.58,10.89,124800,NYSE
RVT,21-Jul-2010,10.97,10.98,10.76,10.85,181800,NYSE
RVT,22-Jul-2010,11.0,11.18,10.95,11.18,257600,NYSE
RVT,23-Jul-2010,11.14,11.4,11.09,11.38,275000,NYSE
RVT,26-Jul-2010,11.37,11.64,11.32,11.64,182100,NYSE
RVT,27-Jul-2010,11.66,11.69,11.49,11.5,236400,NYSE
RVT,28-Jul-2010,11.47,11.5,11.23,11.26,139100,NYSE
RVT,29-Jul-2010,11.36,11.42,11.14,11.27,164900,NYSE
RVT,30-Jul-2010,11.17,11.39,11.12,11.28,114400,NYSE
RVT,02-Aug-2010,11.5,11.57,11.43,11.49,154800,NYSE
RVT,03-Aug-2010,11.44,11.52,11.34,11.44,151700,NYSE
RVT,04-Aug-2010,11.45,11.58,11.44,11.56,149500,NYSE
RVT,05-Aug-2010,11.5,11.54,11.44,11.48,133700,NYSE
RVT,06-Aug-2010,11.4,11.46,11.27,11.45,197300,NYSE
