name,date,open_price,close_price,high_price,low_price,volume,market
SB,04-Jan-2010,8.95,9.0,8.77,8.95,42800,NYSE
SB,05-Jan-2010,8.88,9.05,8.64,8.97,113600,NYSE
SB,06-Jan-2010,8.98,9.12,8.87,8.93,54300,NYSE
SB,07-Jan-2010,8.99,8.99,8.6,8.74,63700,NYSE
SB,08-Jan-2010,8.77,8.86,8.57,8.86,89300,NYSE
SB,11-Jan-2010,8.9,9.18,8.85,9.11,78300,NYSE
SB,12-Jan-2010,9.0,9.1,8.9,8.99,26000,NYSE
SB,13-Jan-2010,8.99,9.01,8.71,8.93,66800,NYSE
SB,14-Jan-2010,8.93,8.95,8.88,8.92,22800,NYSE
SB,15-Jan-2010,8.93,8.95,8.7,8.85,20700,NYSE
SB,19-Jan-2010,8.9,8.92,8.7,8.75,50200,NYSE
SB,20-Jan-2010,8.74,8.75,8.5,8.66,54200,NYSE
SB,21-Jan-2010,8.69,8.95,8.28,8.43,91100,NYSE
SB,22-Jan-2010,8.39,8.41,8.11,8.21,56600,NYSE
SB,25-Jan-2010,8.25,8.36,8.1,8.36,51800,NYSE
SB,26-Jan-2010,8.38,8.45,8.35,8.37,25600,NYSE
SB,27-Jan-2010,8.42,8.45,7.76,8.13,105900,NYSE
SB,28-Jan-2010,8.24,8.24,7.85,8.01,29100,NYSE
SB,29-Jan-2010,8.15,8.18,7.84,7.91,43600,NYSE
SB,01-Feb-2010,7.92,8.34,7.92,8.27,22400,NYSE
SB,02-Feb-2010,8.34,8.54,8.06,8.54,50200,NYSE
SB,03-Feb-2010,8.58,8.58,8.2,8.2,38200,NYSE
SB,04-Feb-2010,8.06,8.2,7.75,7.9,67200,NYSE
SB,05-Feb-2010,7.91,8.18,7.61,8.17,60900,NYSE
SB,08-Feb-2010,8.07,8.34,8.07,8.24,41300,NYSE
SB,09-Feb-2010,8.4,8.4,8.11,8.22,18400,NYSE
SB,10-Feb-2010,8.35,8.35,7.91,8.19,53700,NYSE
SB,11-Feb-2010,8.18,8.39,7.97,8.18,64500,NYSE
SB,12-Feb-2010,7.98,8.29,7.96,8.15,33900,NYSE
SB,16-Feb-2010,8.2,8.25,8.0,8.14,77000,NYSE
SB,17-Feb-2010,8.03,8.2,7.97,8.19,78800,NYSE
SB,18-Feb-2010,8.12,8.23,7.97,8.09,39500,NYSE
SB,19-Feb-2010,8.13,8.2,8.0,8.15,32300,NYSE
SB,22-Feb-2010,8.2,8.25,8.14,8.16,39600,NYSE
SB,23-Feb-2010,8.11,8.17,7.99,8.01,24000,NYSE
SB,24-Feb-2010,7.99,8.02,7.82,7.88,103700,NYSE
SB,25-Feb-2010,7.9,8.13,7.9,8.04,39900,NYSE
SB,26-Feb-2010,8.0,8.13,7.9,7.99,54100,NYSE
