name,date,open_price,close_price,high_price,low_price,volume,market
SGF,04-Jan-2010,13.23,13.47,13.23,13.28,21500,NYSE
SGF,05-Jan-2010,13.35,13.67,13.35,13.54,29400,NYSE
SGF,06-Jan-2010,13.43,13.6,13.42,13.45,14100,NYSE
SGF,07-Jan-2010,13.44,13.44,13.36,13.4,11800,NYSE
SGF,08-Jan-2010,13.35,13.6,13.35,13.53,26400,NYSE
SGF,11-Jan-2010,13.6,13.6,13.35,13.44,10900,NYSE
SGF,12-Jan-2010,13.35,13.35,13.29,13.35,20000,NYSE
SGF,13-Jan-2010,13.28,13.36,13.28,13.35,10300,NYSE
SGF,14-Jan-2010,13.36,13.37,13.35,13.36,16600,NYSE
SGF,15-Jan-2010,13.36,13.36,13.28,13.29,16200,NYSE
SGF,19-Jan-2010,13.3,13.42,13.3,13.4,10400,NYSE
SGF,20-Jan-2010,13.26,13.26,13.08,13.14,5600,NYSE
SGF,21-Jan-2010,13.08,13.16,12.87,12.88,19900,NYSE
SGF,22-Jan-2010,12.72,12.75,12.67,12.67,4100,NYSE
SGF,25-Jan-2010,12.75,12.75,12.65,12.7,24700,NYSE
SGF,26-Jan-2010,12.43,12.43,12.19,12.32,20700,NYSE
SGF,27-Jan-2010,12.21,12.21,12.15,12.18,19000,NYSE
SGF,28-Jan-2010,12.36,12.37,12.18,12.23,10000,NYSE
SGF,29-Jan-2010,12.2,12.43,12.17,12.17,14200,NYSE
SGF,01-Feb-2010,12.18,12.36,12.18,12.35,4000,NYSE
SGF,02-Feb-2010,12.31,12.31,12.14,12.28,25100,NYSE
SGF,03-Feb-2010,12.31,12.39,12.31,12.34,16000,NYSE
SGF,04-Feb-2010,12.12,12.16,11.81,12.02,65300,NYSE
SGF,05-Feb-2010,11.93,12.0,11.75,11.94,13300,NYSE
SGF,08-Feb-2010,11.94,12.0,11.93,11.94,8000,NYSE
SGF,09-Feb-2010,12.26,12.31,12.22,12.28,19200,NYSE
SGF,10-Feb-2010,12.13,12.28,12.07,12.16,7300,NYSE
SGF,11-Feb-2010,12.28,12.3,12.28,12.29,6200,NYSE
SGF,12-Feb-2010,12.18,12.25,12.05,12.23,5900,NYSE
SGF,16-Feb-2010,12.31,12.49,12.31,12.49,8100,NYSE
SGF,17-Feb-2010,12.51,12.51,12.41,12.43,4100,NYSE
SGF,18-Feb-2010,12.34,12.45,12.34,12.44,5000,NYSE
SGF,19-Feb-2010,12.33,12.38,12.33,12.36,5200,NYSE
SGF,22-Feb-2010,12.55,12.55,12.33,12.39,6900,NYSE
SGF,23-Feb-2010,12.41,12.52,12.32,12.36,18300,NYSE
SGF,24-Feb-2010,12.37,12.51,12.32,12.48,16100,NYSE
SGF,25-Feb-2010,12.31,12.45,12.29,12.42,14000,NYSE
