name,date,open_price,close_price,high_price,low_price,volume,market
SPG-J,04-Jan-2010,62.0,62.0,62.0,62.0,0,NYSE
SPG-J,05-Jan-2010,60.25,61.0,60.25,61.0,300,NYSE
SPG-J,06-Jan-2010,61.0,61.0,61.0,61.0,200,NYSE
SPG-J,07-Jan-2010,61.0,61.0,61.0,61.0,0,NYSE
SPG-J,08-Jan-2010,61.0,61.0,59.9,60.0,600,NYSE
SPG-J,11-Jan-2010,60.0,60.0,60.0,60.0,0,NYSE
SPG-J,12-Jan-2010,59.05,59.05,59.0,59.0,400,NYSE
SPG-J,13-Jan-2010,60.25,60.25,60.25,60.25,100,NYSE
SPG-J,14-Jan-2010,60.25,60.25,60.25,60.25,0,NYSE
SPG-J,15-Jan-2010,58.25,60.75,57.25,60.39,1200,NYSE
SPG-J,19-Jan-2010,61.5,61.5,61.0,61.0,200,NYSE
SPG-J,20-Jan-2010,61.0,61.0,61.0,61.0,0,NYSE
SPG-J,21-Jan-2010,61.0,61.0,61.0,61.0,0,NYSE
SPG-J,22-Jan-2010,59.5,59.5,58.0,58.5,1700,NYSE
SPG-J,25-Jan-2010,58.0,58.51,58.0,58.51,200,NYSE
SPG-J,26-Jan-2010,58.5,58.52,58.5,58.52,400,NYSE
SPG-J,27-Jan-2010,60.25,60.25,59.14,59.14,500,NYSE
SPG-J,28-Jan-2010,59.0,59.0,58.31,58.31,200,NYSE
SPG-J,29-Jan-2010,58.31,58.31,58.31,58.31,0,NYSE
SPG-J,01-Feb-2010,58.31,58.31,58.31,58.31,0,NYSE
SPG-J,02-Feb-2010,58.1,58.1,56.0,56.93,2000,NYSE
SPG-J,03-Feb-2010,55.5,55.5,55.5,55.5,100,NYSE
SPG-J,04-Feb-2010,52.01,56.39,52.01,55.41,800,NYSE
SPG-J,05-Feb-2010,56.34,56.34,55.01,55.01,400,NYSE
SPG-J,08-Feb-2010,55.55,55.7,55.55,55.7,400,NYSE
SPG-J,09-Feb-2010,55.7,55.7,55.7,55.7,0,NYSE
SPG-J,10-Feb-2010,55.0,55.0,55.0,55.0,200,NYSE
SPG-J,11-Feb-2010,55.0,59.48,55.0,59.45,900,NYSE
SPG-J,12-Feb-2010,58.45,58.45,56.95,58.0,300,NYSE
SPG-J,16-Feb-2010,58.0,58.99,58.0,58.99,200,NYSE
SPG-J,17-Feb-2010,58.99,58.99,58.99,58.99,0,NYSE
SPG-J,18-Feb-2010,58.75,58.75,57.95,57.95,1300,NYSE
SPG-J,19-Feb-2010,57.85,58.0,57.5,57.5,3900,NYSE
SPG-J,22-Feb-2010,58.65,58.65,57.9,57.9,600,NYSE
SPG-J,23-Feb-2010,57.4,57.4,57.0,57.0,1300,NYSE
SPG-J,24-Feb-2010,57.0,57.0,57.0,57.0,0,NYSE
SPG-J,25-Feb-2010,57.0,57.0,57.0,57.0,0,NYSE
SPG-J,26-Feb-2010,56.01,58.97,56.01,56.97,600,NYSE
SPG-J,01-Mar-2010,58.47,58.8,57.35,57.35,2600,NYSE
SPG-J,02-Mar-2010,58.35,58.35,56.74,56.74,500,NYSE
SPG-J,03-Mar-2010,56.75,56.75,56.0,56.0,900,NYSE
SPG-J,04-Mar-2010,56.0,59.02,55.75,55.75,2500,NYSE
SPG-J,05-Mar-2010,56.02,56.36,55.63,55.63,1800,NYSE
SPG-J,08-Mar-2010,56.88,56.88,55.0,55.54,3000,NYSE
SPG-J,09-Mar-2010,56.54,57.95,56.54,56.67,1800,NYSE
SPG-J,10-Mar-2010,55.7,56.75,55.0,56.28,5700,NYSE
SPG-J,11-Mar-2010,57.28,57.28,53.9,55.3,9600,NYSE
SPG-J,12-Mar-2010,55.4,55.94,55.1,55.94,1000,NYSE
SPG-J,15-Mar-2010,55.2,55.95,54.75,55.57,2500,NYSE
SPG-J,16-Mar-2010,55.75,58.74,55.1,58.72,4900,NYSE
SPG-J,17-Mar-2010,59.72,59.72,56.08,57.65,900,NYSE
SPG-J,18-Mar-2010,57.65,58.15,56.97,58.12,700,NYSE
SPG-J,19-Mar-2010,58.11,59.85,57.99,59.85,1600,NYSE
SPG-J,22-Mar-2010,59.85,60.0,59.0,60.0,400,NYSE
SPG-J,23-Mar-2010,60.2,60.2,60.18,60.18,200,NYSE
SPG-J,24-Mar-2010,59.85,59.85,59.85,59.85,100,NYSE
SPG-J,25-Mar-2010,59.85,61.35,59.85,60.9,500,NYSE
SPG-J,26-Mar-2010,60.0,60.5,60.0,60.5,1000,NYSE
SPG-J,29-Mar-2010,61.1,61.1,61.09,61.09,400,NYSE
SPG-J,30-Mar-2010,61.09,61.09,61.09,61.09,0,NYSE
SPG-J,31-Mar-2010,60.7,60.7,58.4,60.69,500,NYSE
SPG-J,01-Apr-2010,61.0,61.35,60.7,61.35,500,NYSE
SPG-J,05-Apr-2010,61.19,61.2,60.69,61.2,2400,NYSE
SPG-J,06-Apr-2010,62.0,62.0,62.0,62.0,100,NYSE
SPG-J,07-Apr-2010,60.9,61.38,59.91,61.38,400,NYSE
SPG-J,08-Apr-2010,61.9,61.9,60.43,61.9,500,NYSE
SPG-J,09-Apr-2010,61.49,61.49,58.24,61.35,600,NYSE
SPG-J,12-Apr-2010,60.74,60.74,60.16,60.49,900,NYSE
SPG-J,13-Apr-2010,59.06,61.89,57.62,61.89,700,NYSE
SPG-J,14-Apr-2010,61.86,62.24,60.53,61.79,500,NYSE
SPG-J,15-Apr-2010,61.79,61.79,60.58,61.77,1000,NYSE
SPG-J,16-Apr-2010,57.01,62.19,57.01,60.18,800,NYSE
SPG-J,19-Apr-2010,60.18,60.18,60.18,60.18,0,NYSE
SPG-J,20-Apr-2010,59.32,61.07,59.24,61.07,500,NYSE
SPG-J,21-Apr-2010,61.07,61.07,61.07,61.07,0,NYSE
SPG-J,22-Apr-2010,61.49,61.49,61.49,61.49,100,NYSE
SPG-J,23-Apr-2010,61.49,61.49,61.49,61.49,0,NYSE
SPG-J,26-Apr-2010,61.22,62.19,61.22,61.98,700,NYSE
SPG-J,27-Apr-2010,62.24,62.24,59.78,61.4,2100,NYSE
SPG-J,28-Apr-2010,62.23,63.24,62.19,63.14,700,NYSE
SPG-J,29-Apr-2010,63.0,63.86,61.15,63.08,1800,NYSE
SPG-J,30-Apr-2010,63.01,63.01,61.31,62.76,1600,NYSE
SPG-J,03-May-2010,60.11,63.66,59.02,63.66,3800,NYSE
SPG-J,04-May-2010,64.0,64.0,60.74,60.89,1200,NYSE
SPG-J,05-May-2010,60.71,61.5,60.71,61.48,500,NYSE
SPG-J,06-May-2010,61.48,72.33,57.9,57.9,5100,NYSE
SPG-J,07-May-2010,58.13,60.0,58.08,59.78,1900,NYSE
SPG-J,10-May-2010,60.0,61.46,58.9,61.46,3000,NYSE
SPG-J,11-May-2010,63.25,72.38,62.98,64.4,3700,NYSE
SPG-J,12-May-2010,62.57,65.18,61.13,63.16,1900,NYSE
SPG-J,13-May-2010,63.14,64.79,62.5,63.0,1700,NYSE
SPG-J,14-May-2010,61.93,67.06,61.73,62.25,3700,NYSE
SPG-J,17-May-2010,62.0,62.59,60.53,60.53,1300,NYSE
SPG-J,18-May-2010,60.26,62.27,60.26,61.0,1800,NYSE
SPG-J,19-May-2010,60.3,62.56,60.3,61.1,2900,NYSE
SPG-J,20-May-2010,61.84,63.08,60.98,61.39,900,NYSE
SPG-J,21-May-2010,60.0,61.17,59.55,60.78,1100,NYSE
SPG-J,24-May-2010,62.0,62.57,61.2,62.09,1700,NYSE
SPG-J,25-May-2010,63.14,63.28,61.0,61.33,1500,NYSE
SPG-J,26-May-2010,62.0,62.69,60.24,60.95,1900,NYSE
SPG-J,27-May-2010,62.0,63.43,62.0,62.29,1000,NYSE
SPG-J,28-May-2010,64.25,64.95,62.9,63.49,1500,NYSE
SPG-J,01-Jun-2010,65.0,66.51,64.47,64.53,2200,NYSE
SPG-J,02-Jun-2010,64.4,65.5,64.27,64.51,1600,NYSE
SPG-J,03-Jun-2010,64.97,65.98,64.21,64.22,1600,NYSE
SPG-J,04-Jun-2010,64.2,65.48,63.0,63.0,2100,NYSE
SPG-J,07-Jun-2010,62.7,63.87,60.93,62.48,3000,NYSE
