name,date,open_price,close_price,high_price,low_price,volume,market
STI.B,23-Sep-2011,1.25,1.45,1.25,1.3,162000,NYSE
STI.B,26-Sep-2011,1.45,1.55,1.4,1.55,83300,NYSE
STI.B,27-Sep-2011,1.59,1.75,1.59,1.7,37800,NYSE
STI.B,28-Sep-2011,1.6,1.65,1.55,1.55,17500,NYSE
STI.B,29-Sep-2011,1.75,1.75,1.65,1.65,6600,NYSE
STI.B,30-Sep-2011,1.6,1.6,1.6,1.6,4800,NYSE
STI.B,03-Oct-2011,1.65,1.75,1.38,1.43,35200,NYSE
STI.B,04-Oct-2011,1.38,1.45,1.35,1.45,10300,NYSE
STI.B,05-Oct-2011,1.4,1.48,1.4,1.48,800,NYSE
STI.B,06-Oct-2011,1.58,1.7,1.58,1.7,4900,NYSE
STI.B,07-Oct-2011,1.65,1.65,1.58,1.65,5600,NYSE
STI.B,10-Oct-2011,1.75,1.88,1.75,1.82,11600,NYSE
STI.B,11-Oct-2011,1.82,1.82,1.82,1.82,0,NYSE
STI.B,12-Oct-2011,1.92,2.07,1.92,2.07,2800,NYSE
STI.B,13-Oct-2011,1.97,1.97,1.86,1.94,3200,NYSE
STI.B,14-Oct-2011,1.98,1.98,1.98,1.98,1000,NYSE
STI.B,17-Oct-2011,1.88,1.88,1.86,1.86,3400,NYSE
STI.B,18-Oct-2011,1.96,2.05,1.96,2.05,17500,NYSE
STI.B,19-Oct-2011,2.11,2.2,2.06,2.08,20700,NYSE
STI.B,20-Oct-2011,2.11,2.11,2.11,2.11,2400,NYSE
STI.B,21-Oct-2011,2.01,2.01,1.86,2.0,9800,NYSE
STI.B,24-Oct-2011,2.1,2.22,2.07,2.21,13600,NYSE
STI.B,25-Oct-2011,2.14,2.14,2.1,2.1,2500,NYSE
STI.B,26-Oct-2011,2.17,2.22,2.17,2.22,4000,NYSE
STI.B,27-Oct-2011,2.29,2.61,2.29,2.6,2000,NYSE
STI.B,28-Oct-2011,2.52,2.6,2.5,2.55,600,NYSE
STI.B,31-Oct-2011,2.45,2.45,2.45,2.45,1000,NYSE
STI.B,01-Nov-2011,2.35,2.35,1.96,2.25,16100,NYSE
STI.B,02-Nov-2011,2.35,2.4,2.21,2.4,8000,NYSE
STI.B,03-Nov-2011,2.45,2.5,2.3,2.35,20300,NYSE
STI.B,04-Nov-2011,2.35,2.35,2.35,2.35,5000,NYSE
STI.B,07-Nov-2011,2.35,2.35,2.35,2.35,0,NYSE
STI.B,08-Nov-2011,2.35,2.56,2.29,2.56,215400,NYSE
STI.B,09-Nov-2011,2.43,2.43,2.31,2.31,300,NYSE
STI.B,10-Nov-2011,2.18,2.18,2.06,2.06,200,NYSE
STI.B,11-Nov-2011,2.15,2.27,2.15,2.27,200,NYSE
STI.B,14-Nov-2011,2.14,2.14,2.02,2.02,300,NYSE
STI.B,15-Nov-2011,2.05,2.1,2.05,2.05,600,NYSE
STI.B,16-Nov-2011,2.14,2.14,2.02,2.02,6400,NYSE
STI.B,17-Nov-2011,2.02,2.02,2.02,2.02,0,NYSE
STI.B,18-Nov-2011,2.09,2.09,2.09,2.09,5000,NYSE
STI.B,21-Nov-2011,1.92,1.92,1.92,1.92,400,NYSE
STI.B,22-Nov-2011,1.92,1.92,1.92,1.92,0,NYSE
STI.B,23-Nov-2011,1.75,1.75,1.65,1.65,5500,NYSE
STI.B,25-Nov-2011,1.61,1.8,1.61,1.74,69800,NYSE
STI.B,28-Nov-2011,1.8,1.88,1.78,1.78,20200,NYSE
STI.B,29-Nov-2011,1.78,1.78,1.78,1.78,0,NYSE
STI.B,30-Nov-2011,1.95,2.12,1.95,2.12,300,NYSE
STI.B,01-Dec-2011,2.05,2.05,2.05,2.05,200,NYSE
STI.B,02-Dec-2011,2.15,2.24,2.15,2.24,200,NYSE
STI.B,05-Dec-2011,2.27,2.27,2.27,2.27,4100,NYSE
STI.B,06-Dec-2011,2.1,2.1,1.99,1.99,500,NYSE
STI.B,07-Dec-2011,1.99,1.99,1.99,1.99,0,NYSE
STI.B,08-Dec-2011,2.0,2.0,1.89,1.89,200,NYSE
STI.B,09-Dec-2011,1.9,1.9,1.9,1.9,100,NYSE
STI.B,12-Dec-2011,1.9,1.9,1.9,1.9,0,NYSE
STI.B,13-Dec-2011,1.73,1.73,1.56,1.65,600,NYSE
STI.B,14-Dec-2011,1.75,1.75,1.7,1.75,10000,NYSE
STI.B,15-Dec-2011,1.8,1.8,1.8,1.8,3700,NYSE
STI.B,16-Dec-2011,1.8,1.8,1.8,1.8,0,NYSE
STI.B,19-Dec-2011,1.58,1.58,1.58,1.58,200,NYSE
STI.B,20-Dec-2011,1.7,1.85,1.7,1.85,6300,NYSE
STI.B,21-Dec-2011,1.86,1.86,1.77,1.84,31500,NYSE
STI.B,22-Dec-2011,1.96,2.11,1.96,2.1,500,NYSE
STI.B,23-Dec-2011,2.15,2.15,2.15,2.15,100,NYSE
STI.B,27-Dec-2011,2.15,2.15,2.15,2.15,300,NYSE
STI.B,28-Dec-2011,2.05,2.05,2.05,2.05,100,NYSE
STI.B,29-Dec-2011,2.05,2.05,2.05,2.05,0,NYSE
STI.B,30-Dec-2011,2.05,2.05,2.05,2.05,0,NYSE
