name,date,open_price,close_price,high_price,low_price,volume,market
STL-A,04-Jan-2010,9.5,9.5,9.03,9.2,3200,NYSE
STL-A,05-Jan-2010,9.15,9.17,9.15,9.15,2500,NYSE
STL-A,06-Jan-2010,9.12,9.2,9.02,9.2,500,NYSE
STL-A,07-Jan-2010,9.0,9.13,8.83,9.13,5200,NYSE
STL-A,08-Jan-2010,9.0,9.0,9.0,9.0,1700,NYSE
STL-A,11-Jan-2010,9.0,9.05,8.88,9.0,4800,NYSE
STL-A,12-Jan-2010,8.84,9.05,8.81,8.95,4500,NYSE
STL-A,13-Jan-2010,8.96,9.18,8.96,8.97,1200,NYSE
STL-A,14-Jan-2010,8.97,9.18,8.86,9.09,3600,NYSE
STL-A,15-Jan-2010,8.97,9.25,8.95,9.25,3100,NYSE
STL-A,19-Jan-2010,9.15,9.38,9.1,9.3,1600,NYSE
STL-A,20-Jan-2010,9.24,9.3,9.18,9.18,400,NYSE
STL-A,21-Jan-2010,9.18,9.18,9.18,9.18,0,NYSE
STL-A,22-Jan-2010,9.18,9.18,9.18,9.18,0,NYSE
STL-A,25-Jan-2010,9.27,9.27,9.11,9.16,2500,NYSE
STL-A,26-Jan-2010,9.16,9.16,9.16,9.16,0,NYSE
STL-A,27-Jan-2010,9.12,9.12,9.12,9.12,100,NYSE
STL-A,28-Jan-2010,9.2,9.2,9.15,9.15,500,NYSE
STL-A,29-Jan-2010,9.12,9.16,9.08,9.08,2800,NYSE
STL-A,01-Feb-2010,9.19,9.27,9.14,9.22,1800,NYSE
STL-A,02-Feb-2010,9.22,9.22,9.22,9.22,0,NYSE
STL-A,03-Feb-2010,9.3,9.5,9.23,9.46,5500,NYSE
STL-A,04-Feb-2010,9.45,9.45,9.13,9.4,5800,NYSE
STL-A,05-Feb-2010,9.3,9.3,8.72,9.08,6600,NYSE
STL-A,08-Feb-2010,9.2,9.39,9.2,9.3,900,NYSE
STL-A,09-Feb-2010,9.48,9.49,9.48,9.49,500,NYSE
STL-A,10-Feb-2010,9.49,9.49,9.49,9.49,0,NYSE
STL-A,11-Feb-2010,9.27,9.27,9.12,9.12,2400,NYSE
STL-A,12-Feb-2010,9.09,9.12,9.09,9.09,1000,NYSE
STL-A,16-Feb-2010,9.1,9.29,9.08,9.1,3700,NYSE
STL-A,17-Feb-2010,9.29,9.29,9.16,9.18,400,NYSE
STL-A,18-Feb-2010,9.2,9.21,9.2,9.21,200,NYSE
STL-A,19-Feb-2010,9.44,9.44,9.17,9.25,9300,NYSE
STL-A,22-Feb-2010,9.25,9.25,9.25,9.25,0,NYSE
STL-A,23-Feb-2010,9.34,9.38,9.16,9.38,3200,NYSE
STL-A,24-Feb-2010,9.49,9.49,9.45,9.49,1000,NYSE
STL-A,25-Feb-2010,9.13,9.43,9.13,9.35,3500,NYSE
STL-A,26-Feb-2010,9.2,10.25,9.15,9.95,5800,NYSE
STL-A,01-Mar-2010,9.54,9.54,9.54,9.54,100,NYSE
STL-A,02-Mar-2010,9.5,9.85,9.22,9.34,8000,NYSE
STL-A,03-Mar-2010,9.43,9.55,9.43,9.55,400,NYSE
STL-A,04-Mar-2010,9.55,9.6,9.43,9.6,1200,NYSE
STL-A,05-Mar-2010,9.45,9.62,9.43,9.57,900,NYSE
STL-A,08-Mar-2010,9.65,9.65,9.65,9.65,200,NYSE
STL-A,09-Mar-2010,9.65,9.65,9.65,9.65,0,NYSE
STL-A,10-Mar-2010,9.7,10.1,9.7,10.08,6600,NYSE
STL-A,11-Mar-2010,10.08,10.08,10.08,10.08,0,NYSE
STL-A,12-Mar-2010,10.0,10.0,9.99,9.99,1200,NYSE
STL-A,15-Mar-2010,10.0,10.0,10.0,10.0,1800,NYSE
STL-A,16-Mar-2010,9.7,9.89,9.66,9.89,5100,NYSE
STL-A,17-Mar-2010,9.7,10.0,9.68,9.68,5200,NYSE
STL-A,18-Mar-2010,9.9,9.95,9.9,9.95,1200,NYSE
STL-A,19-Mar-2010,10.07,10.1,10.0,10.0,1600,NYSE
STL-A,22-Mar-2010,10.0,10.0,10.0,10.0,0,NYSE
STL-A,23-Mar-2010,9.82,9.82,9.81,9.81,1500,NYSE
STL-A,24-Mar-2010,9.81,9.81,9.81,9.81,0,NYSE
STL-A,25-Mar-2010,9.82,9.82,9.69,9.8,1300,NYSE
STL-A,26-Mar-2010,9.8,9.8,9.7,9.72,1500,NYSE
STL-A,29-Mar-2010,9.71,10.0,9.71,10.0,1300,NYSE
STL-A,30-Mar-2010,9.71,10.09,9.71,9.97,2600,NYSE
STL-A,31-Mar-2010,9.9,9.9,9.71,9.71,2900,NYSE
STL-A,01-Apr-2010,9.8,10.1,9.8,9.9,4200,NYSE
STL-A,05-Apr-2010,9.9,9.9,9.84,9.88,2000,NYSE
STL-A,06-Apr-2010,10.05,10.05,9.95,9.95,500,NYSE
STL-A,07-Apr-2010,10.01,10.79,10.01,10.16,6600,NYSE
STL-A,08-Apr-2010,10.06,10.31,10.03,10.03,600,NYSE
STL-A,09-Apr-2010,10.29,10.29,10.04,10.04,800,NYSE
STL-A,12-Apr-2010,10.15,10.15,10.03,10.05,3700,NYSE
STL-A,13-Apr-2010,10.05,10.05,10.05,10.05,0,NYSE
STL-A,14-Apr-2010,10.03,10.12,9.99,9.99,2400,NYSE
STL-A,15-Apr-2010,10.0,10.04,9.99,9.99,3500,NYSE
STL-A,16-Apr-2010,10.15,11.22,10.0,10.01,9800,NYSE
STL-A,19-Apr-2010,10.11,10.11,10.11,10.11,100,NYSE
STL-A,20-Apr-2010,10.11,10.11,10.11,10.11,0,NYSE
STL-A,21-Apr-2010,10.11,10.11,10.11,10.11,500,NYSE
STL-A,22-Apr-2010,10.02,10.16,10.01,10.06,1200,NYSE
STL-A,23-Apr-2010,10.05,10.2,10.05,10.18,1500,NYSE
STL-A,26-Apr-2010,10.18,10.18,10.01,10.01,3100,NYSE
STL-A,27-Apr-2010,10.1,10.3,10.0,10.0,9300,NYSE
STL-A,28-Apr-2010,10.01,10.15,10.01,10.02,3700,NYSE
STL-A,29-Apr-2010,10.02,10.12,10.01,10.05,5700,NYSE
STL-A,30-Apr-2010,10.03,10.07,10.03,10.04,1300,NYSE
STL-A,03-May-2010,10.05,10.13,10.05,10.13,200,NYSE
STL-A,04-May-2010,10.08,10.17,10.08,10.17,1900,NYSE
STL-A,05-May-2010,10.06,10.06,10.01,10.05,1600,NYSE
STL-A,06-May-2010,10.03,10.15,9.95,10.01,10600,NYSE
STL-A,07-May-2010,10.18,10.18,9.9,9.95,7200,NYSE
STL-A,10-May-2010,10.12,10.12,9.95,9.97,2000,NYSE
STL-A,11-May-2010,9.93,10.05,9.9,9.91,33500,NYSE
STL-A,12-May-2010,9.98,10.05,9.94,9.98,8600,NYSE
STL-A,13-May-2010,10.01,10.11,10.01,10.02,1600,NYSE
STL-A,14-May-2010,10.04,10.13,10.03,10.13,19300,NYSE
STL-A,17-May-2010,10.09,10.15,10.04,10.15,7200,NYSE
STL-A,18-May-2010,10.1,10.17,10.04,10.05,12300,NYSE
STL-A,19-May-2010,10.05,10.05,10.05,10.05,0,NYSE
STL-A,20-May-2010,10.06,10.13,10.03,10.09,2300,NYSE
STL-A,21-May-2010,10.11,10.11,10.03,10.1,21700,NYSE
STL-A,24-May-2010,10.05,10.14,10.03,10.03,5100,NYSE
STL-A,25-May-2010,10.02,10.13,9.96,10.04,11600,NYSE
STL-A,26-May-2010,10.1,10.1,9.91,9.98,5800,NYSE
STL-A,27-May-2010,9.98,10.04,9.92,10.0,16300,NYSE
STL-A,28-May-2010,10.0,10.0,10.0,10.0,100,NYSE
STL-A,01-Jun-2010,10.0,10.0,10.0,10.0,2400,NYSE
STL-A,02-Jun-2010,9.96,10.12,9.96,10.09,3700,NYSE
STL-A,03-Jun-2010,10.13,10.13,10.13,10.13,1500,NYSE
STL-A,04-Jun-2010,10.01,10.19,10.01,10.1,2800,NYSE
STL-A,07-Jun-2010,10.03,10.18,9.96,9.96,4500,NYSE
STL-A,08-Jun-2010,10.02,10.09,9.98,10.0,3200,NYSE
STL-A,09-Jun-2010,10.03,10.1,9.95,9.95,7000,NYSE
STL-A,10-Jun-2010,10.02,10.02,10.02,10.02,100,NYSE
STL-A,11-Jun-2010,9.93,10.06,9.93,10.06,900,NYSE
STL-A,14-Jun-2010,10.03,10.12,10.03,10.12,1200,NYSE
STL-A,15-Jun-2010,10.12,10.12,10.12,10.12,0,NYSE
STL-A,16-Jun-2010,10.15,10.15,10.04,10.15,4900,NYSE
STL-A,17-Jun-2010,10.08,10.19,10.01,10.01,6300,NYSE
STL-A,18-Jun-2010,10.06,10.2,9.97,9.97,6000,NYSE
STL-A,21-Jun-2010,9.98,10.1,9.92,9.97,1400,NYSE
STL-A,22-Jun-2010,10.0,10.05,9.92,9.92,3300,NYSE
STL-A,23-Jun-2010,9.95,10.06,9.91,9.91,900,NYSE
STL-A,24-Jun-2010,9.94,10.02,9.8,9.83,2400,NYSE
STL-A,25-Jun-2010,9.93,9.93,9.8,9.85,1300,NYSE
STL-A,28-Jun-2010,9.9,9.9,9.76,9.79,4300,NYSE
STL-A,29-Jun-2010,9.93,9.93,9.8,9.8,1900,NYSE
STL-A,30-Jun-2010,10.05,10.05,9.88,9.88,300,NYSE
STL-A,01-Jul-2010,9.83,10.04,9.83,9.91,4400,NYSE
STL-A,02-Jul-2010,9.97,10.06,9.8,10.06,9400,NYSE
STL-A,06-Jul-2010,10.01,10.07,9.88,9.88,6500,NYSE
STL-A,07-Jul-2010,9.97,9.98,9.95,9.98,300,NYSE
