name,date,open_price,close_price,high_price,low_price,volume,market
STM,04-Jan-2010,9.34,9.36,9.29,9.29,1233800,NYSE
STM,05-Jan-2010,9.33,9.38,9.27,9.35,1463600,NYSE
STM,06-Jan-2010,9.35,9.5,9.34,9.4,1553400,NYSE
STM,07-Jan-2010,9.35,9.36,9.25,9.34,1499000,NYSE
STM,08-Jan-2010,9.24,9.35,9.21,9.34,1613000,NYSE
STM,11-Jan-2010,9.31,9.33,9.18,9.28,1353600,NYSE
STM,12-Jan-2010,9.06,9.08,8.9,8.92,3255100,NYSE
STM,13-Jan-2010,9.1,9.18,9.0,9.1,5547800,NYSE
STM,14-Jan-2010,9.13,9.19,9.09,9.12,3052600,NYSE
STM,15-Jan-2010,9.09,9.1,8.84,8.87,1558800,NYSE
STM,19-Jan-2010,8.73,8.89,8.72,8.85,1700300,NYSE
STM,20-Jan-2010,8.83,8.88,8.72,8.78,4496000,NYSE
STM,21-Jan-2010,8.84,8.88,8.6,8.65,2410600,NYSE
STM,22-Jan-2010,8.59,8.62,8.29,8.32,2301000,NYSE
STM,25-Jan-2010,8.53,8.57,8.39,8.45,1645500,NYSE
STM,26-Jan-2010,8.53,8.65,8.48,8.5,3024300,NYSE
STM,27-Jan-2010,8.4,8.44,8.1,8.19,3908200,NYSE
STM,28-Jan-2010,8.51,8.53,8.2,8.27,5481400,NYSE
STM,29-Jan-2010,8.32,8.38,8.1,8.14,3954900,NYSE
STM,01-Feb-2010,8.36,8.44,8.34,8.42,2062600,NYSE
STM,02-Feb-2010,8.58,8.64,8.51,8.59,2358600,NYSE
STM,03-Feb-2010,8.62,8.65,8.53,8.63,1957000,NYSE
STM,04-Feb-2010,8.5,8.51,8.17,8.17,1895300,NYSE
STM,05-Feb-2010,8.14,8.18,7.89,8.11,3091100,NYSE
STM,08-Feb-2010,7.97,8.09,7.87,8.0,2674800,NYSE
STM,09-Feb-2010,8.01,8.18,7.89,8.09,2847300,NYSE
STM,10-Feb-2010,8.19,8.21,8.07,8.2,1521500,NYSE
STM,11-Feb-2010,8.09,8.3,8.01,8.3,1510800,NYSE
STM,12-Feb-2010,7.96,8.11,7.92,8.07,1866700,NYSE
STM,16-Feb-2010,7.95,8.2,7.91,8.17,1456800,NYSE
STM,17-Feb-2010,8.45,8.48,8.37,8.43,904600,NYSE
STM,18-Feb-2010,8.5,8.56,8.49,8.54,1243700,NYSE
STM,19-Feb-2010,8.49,8.61,8.44,8.56,1052000,NYSE
STM,22-Feb-2010,8.76,8.77,8.61,8.64,1563700,NYSE
STM,23-Feb-2010,8.5,8.53,8.3,8.32,1194400,NYSE
STM,24-Feb-2010,8.54,8.63,8.46,8.56,1014800,NYSE
STM,25-Feb-2010,8.45,8.61,8.38,8.59,1304600,NYSE
STM,26-Feb-2010,8.57,8.71,8.49,8.67,1156900,NYSE
STM,01-Mar-2010,8.74,8.83,8.7,8.82,1304300,NYSE
STM,02-Mar-2010,9.0,9.03,8.94,8.95,994100,NYSE
STM,03-Mar-2010,9.02,9.1,9.0,9.01,1146700,NYSE
STM,04-Mar-2010,9.06,9.08,8.91,8.97,879900,NYSE
STM,05-Mar-2010,9.19,9.26,9.14,9.24,1170100,NYSE
STM,08-Mar-2010,9.25,9.25,9.17,9.2,512700,NYSE
STM,09-Mar-2010,9.06,9.2,9.06,9.13,685600,NYSE
STM,10-Mar-2010,9.15,9.31,9.15,9.3,771600,NYSE
STM,11-Mar-2010,9.21,9.27,9.14,9.27,1161500,NYSE
STM,12-Mar-2010,9.28,9.28,9.05,9.07,2481900,NYSE
STM,15-Mar-2010,9.05,9.08,8.94,9.03,1549000,NYSE
STM,16-Mar-2010,9.16,9.3,9.1,9.29,1661100,NYSE
STM,17-Mar-2010,9.32,9.38,9.29,9.34,892000,NYSE
STM,18-Mar-2010,9.25,9.29,9.08,9.16,748300,NYSE
STM,19-Mar-2010,9.16,9.16,8.97,9.05,1231600,NYSE
STM,22-Mar-2010,8.91,9.25,8.91,9.24,805900,NYSE
STM,23-Mar-2010,9.27,9.37,9.23,9.37,880000,NYSE
STM,24-Mar-2010,9.45,9.61,9.4,9.53,1345700,NYSE
STM,25-Mar-2010,9.8,9.92,9.69,9.73,1984900,NYSE
STM,26-Mar-2010,9.86,9.95,9.71,9.75,1410300,NYSE
STM,29-Mar-2010,9.86,9.97,9.85,9.94,2191500,NYSE
STM,30-Mar-2010,9.84,9.85,9.69,9.79,979200,NYSE
STM,31-Mar-2010,9.88,9.95,9.8,9.86,2214600,NYSE
STM,01-Apr-2010,10.15,10.18,9.99,10.03,1748900,NYSE
STM,05-Apr-2010,10.24,10.27,10.06,10.25,773000,NYSE
STM,06-Apr-2010,10.19,10.3,10.16,10.3,656300,NYSE
STM,07-Apr-2010,10.12,10.14,10.03,10.09,1035200,NYSE
STM,08-Apr-2010,9.81,9.97,9.76,9.95,1821700,NYSE
STM,09-Apr-2010,9.97,10.07,9.94,10.06,1117700,NYSE
STM,12-Apr-2010,10.18,10.21,10.09,10.16,571000,NYSE
STM,13-Apr-2010,10.19,10.33,10.13,10.33,1502600,NYSE
STM,14-Apr-2010,10.54,10.63,10.51,10.63,1360100,NYSE
STM,15-Apr-2010,10.45,10.53,10.43,10.49,1063200,NYSE
STM,16-Apr-2010,10.29,10.35,10.1,10.25,2264400,NYSE
STM,19-Apr-2010,10.12,10.31,10.1,10.31,1909300,NYSE
STM,20-Apr-2010,10.47,10.61,10.44,10.6,1927900,NYSE
STM,21-Apr-2010,10.7,10.73,10.36,10.49,4202400,NYSE
STM,22-Apr-2010,10.15,10.45,10.09,10.44,3061100,NYSE
STM,23-Apr-2010,9.8,9.86,9.6,9.68,3779800,NYSE
STM,26-Apr-2010,9.71,9.78,9.66,9.69,1966200,NYSE
STM,27-Apr-2010,9.51,9.57,9.11,9.14,3701900,NYSE
STM,28-Apr-2010,9.36,9.4,9.11,9.26,1733300,NYSE
STM,29-Apr-2010,9.35,9.38,9.27,9.38,1194800,NYSE
STM,30-Apr-2010,9.49,9.49,9.18,9.2,1944900,NYSE
STM,03-May-2010,9.31,9.39,9.28,9.36,1107700,NYSE
STM,04-May-2010,8.81,8.83,8.66,8.73,2716800,NYSE
STM,05-May-2010,8.36,8.59,8.32,8.48,3343900,NYSE
STM,06-May-2010,8.48,8.58,7.8,8.39,5854300,NYSE
STM,07-May-2010,8.26,8.35,7.82,8.12,7644300,NYSE
STM,10-May-2010,8.65,8.72,8.49,8.6,2202800,NYSE
STM,11-May-2010,8.38,8.72,8.36,8.56,3739200,NYSE
STM,12-May-2010,8.6,8.68,8.54,8.61,2599200,NYSE
STM,13-May-2010,8.57,8.74,8.48,8.48,2416000,NYSE
STM,14-May-2010,8.21,8.22,7.95,8.19,3714100,NYSE
STM,17-May-2010,8.22,8.29,7.97,8.24,2035200,NYSE
STM,18-May-2010,8.36,8.38,7.98,8.01,2829000,NYSE
STM,19-May-2010,7.95,8.17,7.89,8.12,6235700,NYSE
STM,20-May-2010,7.7,8.11,7.6,7.9,5917700,NYSE
STM,21-May-2010,7.78,8.08,7.75,8.05,5055600,NYSE
STM,24-May-2010,7.85,8.01,7.83,7.86,4902200,NYSE
STM,25-May-2010,7.29,7.76,7.28,7.68,3803100,NYSE
STM,26-May-2010,7.59,7.72,7.48,7.52,4169300,NYSE
STM,27-May-2010,7.81,8.06,7.79,8.02,2115000,NYSE
STM,28-May-2010,7.91,7.93,7.7,7.74,1894900,NYSE
STM,01-Jun-2010,7.65,7.92,7.61,7.61,1420300,NYSE
STM,02-Jun-2010,7.91,8.07,7.86,8.05,1921400,NYSE
STM,03-Jun-2010,8.15,8.15,7.94,8.05,921600,NYSE
STM,04-Jun-2010,8.02,8.09,7.74,7.77,2587700,NYSE
STM,07-Jun-2010,7.99,7.99,7.64,7.68,2380600,NYSE
STM,08-Jun-2010,7.74,7.83,7.64,7.83,2803000,NYSE
STM,09-Jun-2010,8.12,8.16,7.87,7.9,3951700,NYSE
STM,10-Jun-2010,8.28,8.42,8.25,8.42,2682100,NYSE
STM,11-Jun-2010,8.29,8.47,8.26,8.44,2213300,NYSE
STM,14-Jun-2010,8.56,8.63,8.51,8.58,4745300,NYSE
STM,15-Jun-2010,8.8,8.95,8.78,8.92,7343800,NYSE
STM,16-Jun-2010,8.52,8.69,8.47,8.61,3316700,NYSE
STM,17-Jun-2010,8.69,8.69,8.58,8.66,1639200,NYSE
STM,18-Jun-2010,8.67,8.75,8.62,8.65,1073800,NYSE
STM,21-Jun-2010,8.79,8.8,8.51,8.58,1269200,NYSE
STM,22-Jun-2010,8.55,8.64,8.35,8.39,1285200,NYSE
STM,23-Jun-2010,8.55,8.61,8.37,8.56,1509000,NYSE
STM,24-Jun-2010,8.47,8.49,8.28,8.39,1138000,NYSE
STM,25-Jun-2010,8.33,8.4,8.23,8.33,2337800,NYSE
STM,28-Jun-2010,8.4,8.46,8.28,8.33,1662300,NYSE
STM,29-Jun-2010,8.05,8.06,7.89,7.97,3876100,NYSE
STM,30-Jun-2010,8.03,8.13,7.9,7.91,1843000,NYSE
STM,01-Jul-2010,8.05,8.06,7.82,8.03,2812600,NYSE
STM,02-Jul-2010,8.08,8.11,7.88,7.97,1616400,NYSE
STM,06-Jul-2010,8.21,8.22,7.93,8.01,3120400,NYSE
STM,07-Jul-2010,8.0,8.36,7.99,8.35,1244800,NYSE
STM,08-Jul-2010,8.42,8.45,8.29,8.44,1099300,NYSE
STM,09-Jul-2010,8.21,8.4,8.19,8.39,2078400,NYSE
STM,12-Jul-2010,8.32,8.43,8.31,8.4,1128300,NYSE
STM,13-Jul-2010,8.52,8.68,8.52,8.67,764100,NYSE
STM,14-Jul-2010,8.74,8.86,8.69,8.8,1819600,NYSE
STM,15-Jul-2010,8.84,8.85,8.63,8.84,2121200,NYSE
STM,16-Jul-2010,8.65,8.69,8.52,8.59,2024500,NYSE
STM,19-Jul-2010,8.61,8.68,8.52,8.64,810700,NYSE
STM,20-Jul-2010,8.23,8.46,8.22,8.43,1584300,NYSE
STM,21-Jul-2010,8.47,8.52,8.26,8.29,2393300,NYSE
STM,22-Jul-2010,8.57,8.76,8.56,8.69,2139700,NYSE
STM,23-Jul-2010,8.36,8.44,8.09,8.44,11400800,NYSE
STM,26-Jul-2010,8.18,8.24,8.1,8.2,6542000,NYSE
STM,27-Jul-2010,8.19,8.2,8.08,8.16,1927400,NYSE
STM,28-Jul-2010,8.17,8.23,8.12,8.17,1270400,NYSE
STM,29-Jul-2010,8.34,8.36,8.09,8.14,1863600,NYSE
STM,30-Jul-2010,8.15,8.29,8.09,8.19,2478600,NYSE
STM,02-Aug-2010,8.33,8.43,8.3,8.38,1571000,NYSE
STM,03-Aug-2010,8.37,8.38,8.27,8.34,1494800,NYSE
STM,04-Aug-2010,8.33,8.38,8.22,8.29,2113500,NYSE
STM,05-Aug-2010,8.26,8.33,8.25,8.3,1030300,NYSE
STM,06-Aug-2010,8.32,8.43,8.18,8.26,5057800,NYSE
STM,09-Aug-2010,8.37,8.45,8.32,8.4,1552600,NYSE
STM,10-Aug-2010,8.31,8.33,8.15,8.3,1566000,NYSE
STM,11-Aug-2010,7.77,7.78,7.63,7.67,2731300,NYSE
STM,12-Aug-2010,7.46,7.6,7.45,7.53,3762800,NYSE
STM,13-Aug-2010,7.51,7.6,7.47,7.5,2023300,NYSE
STM,16-Aug-2010,7.43,7.55,7.4,7.49,1652600,NYSE
STM,17-Aug-2010,7.65,7.74,7.62,7.68,1092900,NYSE
STM,18-Aug-2010,7.66,7.75,7.61,7.68,942600,NYSE
STM,19-Aug-2010,7.71,7.72,7.45,7.49,1544200,NYSE
STM,20-Aug-2010,7.35,7.37,7.25,7.36,2103800,NYSE
STM,23-Aug-2010,7.32,7.35,7.19,7.22,1316600,NYSE
STM,24-Aug-2010,7.02,7.07,6.94,6.96,2536700,NYSE
STM,25-Aug-2010,6.9,7.04,6.85,7.02,1127100,NYSE
STM,26-Aug-2010,7.03,7.09,6.91,6.95,3334000,NYSE
STM,27-Aug-2010,6.91,6.93,6.67,6.82,2883600,NYSE
STM,30-Aug-2010,6.7,6.72,6.62,6.62,2377500,NYSE
