name,date,open_price,close_price,high_price,low_price,volume,market
TAL,04-Jan-2010,13.39,13.52,13.23,13.34,94100,NYSE
TAL,05-Jan-2010,13.36,13.5,13.22,13.38,49300,NYSE
TAL,06-Jan-2010,13.4,13.51,13.4,13.5,68000,NYSE
TAL,07-Jan-2010,13.51,13.99,13.51,13.98,51000,NYSE
TAL,08-Jan-2010,13.94,14.3,13.87,14.29,26000,NYSE
TAL,11-Jan-2010,14.35,14.9,14.32,14.87,54000,NYSE
TAL,12-Jan-2010,14.69,14.92,14.47,14.59,41500,NYSE
TAL,13-Jan-2010,14.69,14.99,14.29,14.87,52100,NYSE
TAL,14-Jan-2010,14.76,15.29,14.67,15.18,37400,NYSE
TAL,15-Jan-2010,15.23,15.23,14.65,14.88,70000,NYSE
TAL,19-Jan-2010,14.96,15.72,14.89,15.69,67800,NYSE
TAL,20-Jan-2010,15.5,15.5,15.1,15.26,77200,NYSE
TAL,21-Jan-2010,15.34,15.44,14.52,14.52,87000,NYSE
TAL,22-Jan-2010,14.52,14.71,13.97,14.0,91700,NYSE
TAL,25-Jan-2010,14.16,14.53,13.98,14.31,78600,NYSE
TAL,26-Jan-2010,14.21,14.29,13.98,14.04,45100,NYSE
TAL,27-Jan-2010,13.9,14.38,13.9,14.34,24200,NYSE
TAL,28-Jan-2010,14.42,14.42,13.76,13.95,37300,NYSE
TAL,29-Jan-2010,13.99,14.37,13.99,14.1,78900,NYSE
TAL,01-Feb-2010,14.18,14.2,13.84,14.04,68600,NYSE
TAL,02-Feb-2010,14.01,14.33,13.81,14.21,73400,NYSE
TAL,03-Feb-2010,14.1,14.28,13.75,13.93,46600,NYSE
TAL,04-Feb-2010,13.82,13.82,13.28,13.29,52900,NYSE
TAL,05-Feb-2010,13.36,13.5,13.13,13.24,42100,NYSE
TAL,08-Feb-2010,13.19,13.29,12.91,12.92,59300,NYSE
TAL,09-Feb-2010,13.15,13.45,13.04,13.34,55800,NYSE
TAL,10-Feb-2010,13.23,13.75,13.23,13.53,103000,NYSE
TAL,11-Feb-2010,13.54,14.05,13.54,13.87,104600,NYSE
