name,date,open_price,close_price,high_price,low_price,volume,market
TDF,04-Jan-2010,27.45,27.64,27.28,27.63,60700,NYSE
TDF,05-Jan-2010,27.79,28.2,27.7,27.8,94100,NYSE
TDF,06-Jan-2010,27.96,28.15,27.87,28.1,46100,NYSE
TDF,07-Jan-2010,27.97,27.97,27.78,27.86,43600,NYSE
TDF,08-Jan-2010,27.76,27.85,27.56,27.85,51300,NYSE
TDF,11-Jan-2010,27.98,28.0,27.7,27.88,50900,NYSE
TDF,12-Jan-2010,27.76,27.84,27.46,27.5,66200,NYSE
TDF,13-Jan-2010,27.27,27.48,27.19,27.35,62400,NYSE
TDF,14-Jan-2010,27.31,27.33,27.19,27.25,81300,NYSE
TDF,15-Jan-2010,27.23,27.29,26.61,26.7,55600,NYSE
TDF,19-Jan-2010,26.53,27.08,26.53,26.94,126600,NYSE
TDF,20-Jan-2010,26.5,26.62,26.2,26.22,95100,NYSE
TDF,21-Jan-2010,26.2,26.21,25.57,25.7,145000,NYSE
TDF,22-Jan-2010,25.69,25.73,25.16,25.23,93500,NYSE
TDF,25-Jan-2010,25.4,25.58,25.1,25.15,206000,NYSE
TDF,26-Jan-2010,24.59,24.59,24.0,24.12,319300,NYSE
TDF,27-Jan-2010,23.54,23.93,23.51,23.68,293100,NYSE
TDF,28-Jan-2010,24.07,24.09,23.65,23.78,183200,NYSE
TDF,29-Jan-2010,23.85,24.08,23.75,24.01,319100,NYSE
TDF,01-Feb-2010,24.17,24.66,24.17,24.66,73300,NYSE
TDF,02-Feb-2010,24.78,24.89,24.58,24.81,90800,NYSE
TDF,03-Feb-2010,24.88,25.09,24.8,24.93,186900,NYSE
TDF,04-Feb-2010,24.77,24.77,24.05,24.06,126000,NYSE
TDF,05-Feb-2010,23.86,23.86,23.17,23.83,201800,NYSE
TDF,08-Feb-2010,23.83,23.86,23.52,23.6,51000,NYSE
TDF,09-Feb-2010,23.69,24.11,23.69,24.01,89000,NYSE
TDF,10-Feb-2010,24.07,24.21,23.81,24.06,47900,NYSE
TDF,11-Feb-2010,24.11,24.5,24.11,24.47,51800,NYSE
TDF,12-Feb-2010,23.92,24.17,23.92,24.11,59800,NYSE
TDF,16-Feb-2010,24.22,24.64,24.09,24.64,82800,NYSE
TDF,17-Feb-2010,24.76,24.77,24.56,24.66,42200,NYSE
TDF,18-Feb-2010,24.4,24.86,24.4,24.72,27500,NYSE
TDF,19-Feb-2010,24.48,24.58,24.35,24.53,22800,NYSE
TDF,22-Feb-2010,24.65,24.67,24.28,24.48,52500,NYSE
TDF,23-Feb-2010,24.51,24.55,24.29,24.38,82800,NYSE
TDF,24-Feb-2010,24.54,24.67,24.51,24.59,44000,NYSE
TDF,25-Feb-2010,24.4,24.4,24.11,24.4,49900,NYSE
TDF,26-Feb-2010,24.5,24.75,24.41,24.75,90600,NYSE
TDF,01-Mar-2010,24.92,25.21,24.92,25.15,72800,NYSE
TDF,02-Mar-2010,25.2,25.34,25.1,25.15,67300,NYSE
TDF,03-Mar-2010,25.1,25.34,25.1,25.16,22500,NYSE
TDF,04-Mar-2010,25.02,25.06,24.8,25.01,43800,NYSE
TDF,05-Mar-2010,25.16,25.43,25.09,25.42,51400,NYSE
TDF,08-Mar-2010,25.38,25.58,25.38,25.54,56000,NYSE
