name,date,open_price,close_price,high_price,low_price,volume,market
TDG,04-Jan-2010,48.16,49.4,48.0,49.4,791300,NYSE
TDG,05-Jan-2010,49.4,50.16,49.27,49.87,235600,NYSE
TDG,06-Jan-2010,49.66,50.42,49.66,50.22,337000,NYSE
TDG,07-Jan-2010,50.22,51.01,49.92,50.87,346000,NYSE
TDG,08-Jan-2010,51.0,51.88,50.82,51.45,238500,NYSE
TDG,11-Jan-2010,51.89,51.89,50.85,51.46,193300,NYSE
TDG,12-Jan-2010,51.2,51.2,50.11,50.28,270800,NYSE
TDG,13-Jan-2010,50.47,50.78,50.08,50.45,378400,NYSE
TDG,14-Jan-2010,50.15,50.83,50.0,50.76,340400,NYSE
TDG,15-Jan-2010,50.58,50.7,50.21,50.38,335900,NYSE
TDG,19-Jan-2010,50.59,50.7,50.29,50.42,325700,NYSE
TDG,20-Jan-2010,50.86,51.09,50.01,50.75,454900,NYSE
TDG,21-Jan-2010,50.83,51.13,49.61,50.07,355600,NYSE
TDG,22-Jan-2010,49.79,49.94,48.77,49.05,445900,NYSE
TDG,25-Jan-2010,49.4,49.72,48.65,48.75,345200,NYSE
TDG,26-Jan-2010,48.75,49.08,48.51,48.77,233000,NYSE
TDG,27-Jan-2010,48.85,49.01,48.05,48.99,338200,NYSE
TDG,28-Jan-2010,48.96,49.17,48.41,48.79,244100,NYSE
TDG,29-Jan-2010,49.02,49.17,48.24,48.27,317700,NYSE
TDG,01-Feb-2010,48.5,48.54,48.0,48.44,230800,NYSE
TDG,02-Feb-2010,48.39,49.54,48.25,49.51,285500,NYSE
TDG,03-Feb-2010,49.46,49.79,49.01,49.64,253100,NYSE
TDG,04-Feb-2010,49.42,49.55,47.69,47.7,177800,NYSE
TDG,05-Feb-2010,47.83,47.95,46.54,47.6,209600,NYSE
TDG,08-Feb-2010,47.77,48.06,47.35,47.5,200900,NYSE
TDG,09-Feb-2010,47.98,48.63,47.47,48.35,297300,NYSE
TDG,10-Feb-2010,47.5,48.26,47.35,47.92,333100,NYSE
TDG,11-Feb-2010,48.03,48.08,47.2,47.95,419200,NYSE
TDG,12-Feb-2010,47.29,48.05,47.2,48.03,317600,NYSE
TDG,16-Feb-2010,48.26,48.64,47.84,48.57,182400,NYSE
TDG,17-Feb-2010,48.57,48.65,48.11,48.36,192800,NYSE
TDG,18-Feb-2010,48.1,49.29,48.06,49.19,193800,NYSE
TDG,19-Feb-2010,49.19,49.59,49.04,49.3,194100,NYSE
TDG,22-Feb-2010,49.28,49.59,48.56,49.4,250900,NYSE
TDG,23-Feb-2010,49.43,49.68,48.94,49.0,208300,NYSE
TDG,24-Feb-2010,49.02,49.44,48.76,49.4,146100,NYSE
TDG,25-Feb-2010,48.81,49.64,48.5,49.59,270100,NYSE
TDG,26-Feb-2010,49.7,50.26,49.56,50.22,528500,NYSE
TDG,01-Mar-2010,50.81,52.7,50.66,52.6,397100,NYSE
TDG,02-Mar-2010,52.98,53.52,52.79,52.87,220400,NYSE
