name,date,open_price,close_price,high_price,low_price,volume,market
TFX,04-Jan-2010,55.68,55.93,55.13,55.49,288300,NYSE
TFX,05-Jan-2010,55.48,55.5,54.87,54.9,205800,NYSE
TFX,06-Jan-2010,54.93,55.53,54.74,55.45,303300,NYSE
TFX,07-Jan-2010,55.61,56.07,55.35,55.96,110000,NYSE
TFX,08-Jan-2010,55.94,56.33,55.8,56.29,66500,NYSE
TFX,11-Jan-2010,57.62,61.47,57.23,60.69,448600,NYSE
TFX,12-Jan-2010,60.58,61.52,60.03,60.18,196600,NYSE
TFX,13-Jan-2010,60.61,61.31,58.82,60.0,118000,NYSE
TFX,14-Jan-2010,60.09,60.41,59.46,59.81,191200,NYSE
TFX,15-Jan-2010,59.42,59.98,58.77,58.82,225800,NYSE
TFX,19-Jan-2010,59.0,60.89,59.0,60.84,213500,NYSE
TFX,20-Jan-2010,60.63,60.72,59.67,60.58,111300,NYSE
TFX,21-Jan-2010,60.37,61.1,59.72,60.11,124300,NYSE
TFX,22-Jan-2010,59.92,59.93,58.63,58.82,177000,NYSE
TFX,25-Jan-2010,58.94,59.29,58.16,58.53,156200,NYSE
TFX,26-Jan-2010,58.32,59.02,58.17,58.55,103700,NYSE
TFX,27-Jan-2010,58.36,58.62,58.0,58.43,154300,NYSE
TFX,28-Jan-2010,58.43,58.67,58.0,58.31,72000,NYSE
TFX,29-Jan-2010,58.19,58.72,56.99,57.16,235500,NYSE
TFX,01-Feb-2010,57.32,57.8,56.78,57.72,113500,NYSE
TFX,02-Feb-2010,57.59,58.74,57.59,58.54,71400,NYSE
TFX,03-Feb-2010,58.57,58.89,57.77,58.3,68200,NYSE
TFX,04-Feb-2010,58.0,58.05,56.89,56.94,85700,NYSE
TFX,05-Feb-2010,56.84,56.89,55.99,56.77,144500,NYSE
TFX,08-Feb-2010,56.98,57.68,56.69,57.22,122600,NYSE
TFX,09-Feb-2010,57.39,57.92,57.05,57.85,115200,NYSE
TFX,10-Feb-2010,57.55,57.8,57.11,57.37,77300,NYSE
TFX,11-Feb-2010,57.25,57.82,57.06,57.75,74900,NYSE
TFX,12-Feb-2010,57.27,57.9,56.88,57.85,132200,NYSE
TFX,16-Feb-2010,58.15,59.19,57.55,59.1,82800,NYSE
TFX,17-Feb-2010,59.35,59.49,58.93,59.09,120300,NYSE
TFX,18-Feb-2010,59.28,59.28,57.21,59.02,242100,NYSE
TFX,19-Feb-2010,58.95,59.76,58.7,59.75,114600,NYSE
TFX,22-Feb-2010,59.98,60.02,59.34,59.64,83700,NYSE
TFX,23-Feb-2010,59.43,60.0,58.84,59.8,159700,NYSE
TFX,24-Feb-2010,59.8,60.48,58.64,59.74,212000,NYSE
TFX,25-Feb-2010,59.2,59.84,57.76,59.69,128200,NYSE
TFX,26-Feb-2010,59.89,61.07,59.62,60.94,153300,NYSE
TFX,01-Mar-2010,60.85,61.45,60.65,61.34,115700,NYSE
TFX,02-Mar-2010,61.63,63.32,61.63,63.23,228500,NYSE
TFX,03-Mar-2010,63.0,63.66,62.9,63.21,152600,NYSE
TFX,04-Mar-2010,63.17,63.55,62.46,62.71,183400,NYSE
TFX,05-Mar-2010,63.01,63.72,62.73,63.61,302900,NYSE
TFX,08-Mar-2010,63.39,63.73,63.09,63.25,95000,NYSE
TFX,09-Mar-2010,63.25,63.59,62.85,63.11,78100,NYSE
TFX,10-Mar-2010,63.28,63.28,62.78,62.9,212900,NYSE
TFX,11-Mar-2010,62.56,62.62,61.8,62.06,222900,NYSE
TFX,12-Mar-2010,62.08,62.43,61.5,62.24,132400,NYSE
TFX,15-Mar-2010,62.05,62.38,61.6,61.93,111900,NYSE
TFX,16-Mar-2010,62.17,62.69,61.56,62.11,188800,NYSE
TFX,17-Mar-2010,62.37,62.89,61.93,62.66,59500,NYSE
TFX,18-Mar-2010,62.58,63.68,62.24,63.6,94800,NYSE
TFX,19-Mar-2010,63.63,63.63,62.35,62.74,241800,NYSE
TFX,22-Mar-2010,62.28,63.85,62.02,63.73,145100,NYSE
TFX,23-Mar-2010,63.98,64.17,63.06,64.03,108800,NYSE
TFX,24-Mar-2010,64.03,64.04,62.66,62.77,162100,NYSE
TFX,25-Mar-2010,63.43,63.8,62.81,63.28,174100,NYSE
TFX,26-Mar-2010,63.53,63.59,62.5,62.98,85900,NYSE
TFX,29-Mar-2010,63.2,64.53,63.1,64.52,141200,NYSE
TFX,30-Mar-2010,64.83,65.0,64.37,64.46,92300,NYSE
TFX,31-Mar-2010,64.46,65.0,64.07,64.07,116300,NYSE
TFX,01-Apr-2010,64.31,64.67,63.67,64.3,89500,NYSE
TFX,05-Apr-2010,64.53,64.79,64.28,64.72,69300,NYSE
TFX,06-Apr-2010,64.09,64.67,64.08,64.49,113700,NYSE
TFX,07-Apr-2010,64.19,64.53,63.63,64.39,130500,NYSE
TFX,08-Apr-2010,64.11,64.16,63.38,63.66,98000,NYSE
TFX,09-Apr-2010,63.63,63.99,63.49,63.97,119700,NYSE
TFX,12-Apr-2010,64.13,64.13,63.48,63.51,178500,NYSE
TFX,13-Apr-2010,63.35,63.85,63.21,63.69,127000,NYSE
TFX,14-Apr-2010,63.74,65.73,63.73,65.72,158200,NYSE
TFX,15-Apr-2010,65.49,65.92,65.07,65.39,144500,NYSE
TFX,16-Apr-2010,65.35,65.35,64.37,64.41,99400,NYSE
TFX,19-Apr-2010,64.13,64.91,64.05,64.7,118900,NYSE
TFX,20-Apr-2010,64.86,66.07,64.86,66.02,75600,NYSE
TFX,21-Apr-2010,65.88,66.03,65.37,65.57,106300,NYSE
TFX,22-Apr-2010,64.97,64.97,63.76,64.46,162900,NYSE
TFX,23-Apr-2010,64.68,65.87,64.5,65.3,154500,NYSE
TFX,26-Apr-2010,65.38,65.86,64.67,64.85,128600,NYSE
TFX,27-Apr-2010,63.3,63.49,60.95,61.55,504300,NYSE
TFX,28-Apr-2010,61.8,62.65,61.65,62.11,233500,NYSE
TFX,29-Apr-2010,62.68,63.6,62.64,63.34,190800,NYSE
TFX,30-Apr-2010,63.58,64.21,61.28,61.32,235900,NYSE
TFX,03-May-2010,61.5,62.18,61.14,61.99,221800,NYSE
TFX,04-May-2010,61.5,61.5,60.35,60.53,103300,NYSE
TFX,05-May-2010,60.27,60.31,58.86,59.89,132000,NYSE
TFX,06-May-2010,59.52,60.12,56.5,58.43,176000,NYSE
TFX,07-May-2010,58.55,59.05,57.25,58.12,428600,NYSE
TFX,10-May-2010,60.86,60.87,59.06,59.75,121000,NYSE
TFX,11-May-2010,59.43,60.27,59.19,59.86,127000,NYSE
TFX,12-May-2010,59.74,60.78,59.2,60.52,149600,NYSE
TFX,13-May-2010,60.16,60.45,59.31,59.54,115500,NYSE
TFX,14-May-2010,59.24,59.24,57.6,57.83,224700,NYSE
