name,date,open_price,close_price,high_price,low_price,volume,market
TGH,04-Jan-2010,16.91,17.16,16.35,16.59,91500,NYSE
TGH,05-Jan-2010,16.61,17.0,16.4,16.45,75600,NYSE
TGH,06-Jan-2010,16.41,16.88,16.4,16.64,56700,NYSE
TGH,07-Jan-2010,16.66,16.99,16.59,16.94,48800,NYSE
TGH,08-Jan-2010,16.91,16.99,16.73,16.99,36800,NYSE
TGH,11-Jan-2010,17.16,17.16,16.7,16.73,42100,NYSE
TGH,12-Jan-2010,16.49,16.6,16.26,16.53,42500,NYSE
TGH,13-Jan-2010,16.66,16.67,16.26,16.38,70600,NYSE
TGH,14-Jan-2010,16.36,16.51,16.25,16.41,49800,NYSE
TGH,15-Jan-2010,16.49,16.55,16.03,16.04,54600,NYSE
TGH,19-Jan-2010,16.05,16.44,15.98,16.41,75900,NYSE
TGH,20-Jan-2010,16.2,16.25,15.95,15.99,61200,NYSE
TGH,21-Jan-2010,16.07,16.07,15.25,15.26,122300,NYSE
TGH,22-Jan-2010,15.23,15.41,14.71,14.72,129500,NYSE
TGH,25-Jan-2010,14.81,15.19,14.8,15.0,70500,NYSE
TGH,26-Jan-2010,15.0,15.1,14.75,15.0,163100,NYSE
TGH,27-Jan-2010,14.91,15.17,14.82,15.07,122700,NYSE
TGH,28-Jan-2010,15.47,16.62,15.32,16.16,316100,NYSE
TGH,29-Jan-2010,16.28,17.04,16.28,17.04,180200,NYSE
TGH,01-Feb-2010,17.09,17.1,16.65,16.84,124800,NYSE
TGH,02-Feb-2010,16.86,17.01,16.6,16.99,96600,NYSE
TGH,03-Feb-2010,16.95,17.05,16.48,16.62,40400,NYSE
TGH,04-Feb-2010,16.51,16.62,15.96,15.99,40200,NYSE
TGH,05-Feb-2010,15.9,16.13,15.4,16.11,110100,NYSE
TGH,08-Feb-2010,16.1,16.54,16.04,16.51,92000,NYSE
TGH,09-Feb-2010,16.75,17.58,16.63,17.26,201500,NYSE
TGH,10-Feb-2010,17.22,18.14,17.08,17.77,203800,NYSE
TGH,11-Feb-2010,17.75,18.34,17.39,18.31,198700,NYSE
TGH,12-Feb-2010,18.07,18.76,17.87,18.76,150300,NYSE
TGH,16-Feb-2010,18.93,19.24,18.85,19.21,154100,NYSE
TGH,17-Feb-2010,19.24,20.0,19.24,19.99,167400,NYSE
TGH,18-Feb-2010,19.04,19.78,19.04,19.76,115000,NYSE
TGH,19-Feb-2010,19.75,20.1,19.63,19.99,135200,NYSE
TGH,22-Feb-2010,19.68,21.25,19.68,21.24,267800,NYSE
TGH,23-Feb-2010,21.31,21.95,20.46,20.52,216000,NYSE
TGH,24-Feb-2010,20.73,21.09,20.55,20.75,109100,NYSE
TGH,25-Feb-2010,20.48,21.06,20.12,20.8,146700,NYSE
TGH,26-Feb-2010,20.76,20.93,20.4,20.65,77800,NYSE
TGH,01-Mar-2010,20.8,21.2,20.57,21.12,87400,NYSE
TGH,02-Mar-2010,21.2,21.71,21.1,21.25,81000,NYSE
TGH,03-Mar-2010,21.43,21.56,20.92,21.05,69200,NYSE
TGH,04-Mar-2010,21.17,21.36,20.96,21.31,35800,NYSE
TGH,05-Mar-2010,21.37,21.69,21.23,21.58,91100,NYSE
TGH,08-Mar-2010,21.69,21.76,21.4,21.47,88400,NYSE
TGH,09-Mar-2010,21.44,21.71,21.4,21.49,72100,NYSE
TGH,10-Mar-2010,21.56,21.99,21.46,21.84,96900,NYSE
TGH,11-Mar-2010,21.71,22.32,21.43,22.3,53800,NYSE
TGH,12-Mar-2010,22.34,22.94,22.15,22.76,118000,NYSE
TGH,15-Mar-2010,22.71,22.71,22.06,22.32,92100,NYSE
TGH,16-Mar-2010,22.35,22.5,22.0,22.48,35200,NYSE
