name,date,open_price,close_price,high_price,low_price,volume,market
THG,04-Jan-2010,44.61,44.73,44.36,44.63,336600,NYSE
THG,05-Jan-2010,44.45,44.63,44.12,44.59,187900,NYSE
THG,06-Jan-2010,44.47,44.66,44.25,44.62,283000,NYSE
THG,07-Jan-2010,44.47,44.61,44.27,44.5,360700,NYSE
THG,08-Jan-2010,44.44,44.56,44.17,44.45,148400,NYSE
THG,11-Jan-2010,44.67,44.78,44.29,44.43,175600,NYSE
THG,12-Jan-2010,44.16,44.81,44.11,44.31,281700,NYSE
THG,13-Jan-2010,44.54,44.98,44.18,44.35,341500,NYSE
THG,14-Jan-2010,44.12,44.35,43.74,43.98,300800,NYSE
THG,15-Jan-2010,43.96,44.05,43.44,43.53,300900,NYSE
THG,19-Jan-2010,43.7,44.62,43.68,44.55,455700,NYSE
THG,20-Jan-2010,44.24,44.41,43.63,43.94,142500,NYSE
THG,21-Jan-2010,43.88,44.01,43.08,43.84,380100,NYSE
THG,22-Jan-2010,43.78,44.19,43.04,43.11,176400,NYSE
THG,25-Jan-2010,43.43,43.68,43.19,43.51,120900,NYSE
THG,26-Jan-2010,43.51,44.09,43.19,43.25,183100,NYSE
THG,27-Jan-2010,43.08,43.59,42.58,43.14,463300,NYSE
THG,28-Jan-2010,43.17,43.47,42.48,42.54,147000,NYSE
THG,29-Jan-2010,42.6,42.88,42.42,42.42,386200,NYSE
THG,01-Feb-2010,42.69,42.85,42.13,42.24,356400,NYSE
THG,02-Feb-2010,42.26,42.78,41.98,42.67,195400,NYSE
THG,03-Feb-2010,42.38,42.58,42.0,42.05,328300,NYSE
THG,04-Feb-2010,41.38,41.92,40.34,41.04,1237500,NYSE
THG,05-Feb-2010,40.93,41.1,40.27,41.01,470400,NYSE
THG,08-Feb-2010,40.97,41.04,40.49,40.51,206600,NYSE
THG,09-Feb-2010,40.98,41.16,40.53,40.92,249100,NYSE
THG,10-Feb-2010,40.71,41.18,40.6,40.97,161300,NYSE
THG,11-Feb-2010,40.88,41.09,40.72,41.0,168000,NYSE
THG,12-Feb-2010,40.73,41.14,40.56,41.14,242200,NYSE
THG,16-Feb-2010,41.28,41.61,40.74,41.61,181100,NYSE
THG,17-Feb-2010,41.64,41.79,41.47,41.49,258600,NYSE
THG,18-Feb-2010,41.55,41.78,41.46,41.74,311300,NYSE
THG,19-Feb-2010,41.7,42.15,41.58,42.06,144400,NYSE
THG,22-Feb-2010,42.08,42.3,41.78,42.18,138000,NYSE
THG,23-Feb-2010,42.16,42.23,41.6,41.67,302800,NYSE
THG,24-Feb-2010,41.66,42.18,41.66,42.1,195900,NYSE
THG,25-Feb-2010,41.7,41.93,41.34,41.8,290300,NYSE
THG,26-Feb-2010,41.79,42.2,41.33,42.15,733700,NYSE
THG,01-Mar-2010,42.12,42.88,41.94,42.64,245400,NYSE
THG,02-Mar-2010,42.54,42.68,42.31,42.66,200600,NYSE
THG,03-Mar-2010,42.7,42.99,42.62,42.73,262700,NYSE
THG,04-Mar-2010,42.67,42.73,42.37,42.5,124300,NYSE
THG,05-Mar-2010,42.62,42.86,42.41,42.81,223000,NYSE
THG,08-Mar-2010,42.68,43.18,42.68,43.14,139800,NYSE
THG,09-Mar-2010,43.14,43.46,42.72,43.33,364100,NYSE
THG,10-Mar-2010,43.2,43.59,43.2,43.47,181600,NYSE
THG,11-Mar-2010,43.31,43.75,43.25,43.55,103300,NYSE
THG,12-Mar-2010,43.74,43.77,43.25,43.44,144500,NYSE
THG,15-Mar-2010,43.32,43.56,42.84,43.13,235100,NYSE
