name,date,open_price,close_price,high_price,low_price,volume,market
TNH,04-Jan-2010,105.24,107.0,105.14,106.3,24600,NYSE
TNH,05-Jan-2010,108.0,112.0,106.76,111.85,82100,NYSE
TNH,06-Jan-2010,111.4,111.68,107.16,107.35,65300,NYSE
TNH,07-Jan-2010,107.12,109.5,107.12,108.4,25300,NYSE
TNH,08-Jan-2010,109.38,109.38,108.0,108.95,20000,NYSE
TNH,11-Jan-2010,109.94,109.94,107.75,108.26,21900,NYSE
TNH,12-Jan-2010,107.19,108.26,106.04,107.52,19500,NYSE
TNH,13-Jan-2010,107.01,108.78,106.0,107.4,18800,NYSE
TNH,14-Jan-2010,107.02,108.0,105.49,107.04,17900,NYSE
TNH,15-Jan-2010,107.0,107.33,106.02,107.31,18200,NYSE
TNH,19-Jan-2010,106.01,107.35,106.01,106.75,20900,NYSE
TNH,20-Jan-2010,106.75,107.57,105.65,107.31,18100,NYSE
TNH,21-Jan-2010,108.47,108.47,105.0,105.58,31900,NYSE
TNH,22-Jan-2010,107.94,107.94,102.0,103.3,57000,NYSE
TNH,25-Jan-2010,103.56,106.5,102.3,103.09,33100,NYSE
TNH,26-Jan-2010,102.14,103.49,102.0,102.62,23100,NYSE
TNH,27-Jan-2010,102.02,102.89,101.72,102.89,19200,NYSE
TNH,28-Jan-2010,102.86,103.94,101.83,102.86,32200,NYSE
TNH,29-Jan-2010,104.68,104.68,101.03,101.25,30100,NYSE
TNH,01-Feb-2010,102.75,102.75,101.03,102.35,21000,NYSE
TNH,02-Feb-2010,102.96,102.96,101.84,102.5,25100,NYSE
TNH,03-Feb-2010,102.99,104.67,102.7,104.22,25200,NYSE
TNH,04-Feb-2010,102.8,103.93,102.11,102.22,24900,NYSE
TNH,05-Feb-2010,102.22,102.25,100.05,101.87,36900,NYSE
TNH,08-Feb-2010,102.35,102.35,101.13,101.67,14800,NYSE
TNH,09-Feb-2010,101.89,102.22,101.0,101.96,23600,NYSE
TNH,10-Feb-2010,101.6,103.51,101.5,102.94,13100,NYSE
TNH,11-Feb-2010,103.49,104.37,103.49,104.05,29700,NYSE
TNH,12-Feb-2010,103.51,104.51,102.49,104.51,15200,NYSE
TNH,16-Feb-2010,104.75,106.25,104.73,106.0,30000,NYSE
TNH,17-Feb-2010,107.0,107.43,106.0,107.25,30300,NYSE
TNH,18-Feb-2010,103.3,106.88,103.0,105.7,96700,NYSE
TNH,19-Feb-2010,103.51,105.0,102.0,103.54,40400,NYSE
TNH,22-Feb-2010,103.0,103.58,102.15,103.48,26900,NYSE
TNH,23-Feb-2010,102.01,102.78,101.56,101.85,22500,NYSE
TNH,24-Feb-2010,101.85,101.85,100.5,100.76,34900,NYSE
TNH,25-Feb-2010,100.5,100.92,100.05,100.3,37200,NYSE
TNH,26-Feb-2010,100.86,100.86,100.25,100.35,23900,NYSE
TNH,01-Mar-2010,100.42,100.94,97.27,97.61,127600,NYSE
TNH,02-Mar-2010,97.8,99.24,95.19,96.5,147600,NYSE
TNH,03-Mar-2010,95.62,98.22,95.37,95.69,78200,NYSE
