name,date,open_price,close_price,high_price,low_price,volume,market
TVE,04-Jan-2010,25.94,26.18,25.93,25.95,13400,NYSE
TVE,05-Jan-2010,25.91,25.99,25.86,25.95,11700,NYSE
TVE,06-Jan-2010,25.95,25.99,25.76,25.84,9000,NYSE
TVE,07-Jan-2010,25.8,25.99,25.79,25.95,12600,NYSE
TVE,08-Jan-2010,25.85,26.02,25.82,25.83,9900,NYSE
TVE,11-Jan-2010,25.85,26.04,25.83,25.9,12300,NYSE
TVE,12-Jan-2010,26.0,26.03,25.9,26.0,4100,NYSE
TVE,13-Jan-2010,25.96,26.12,25.93,26.03,9200,NYSE
TVE,14-Jan-2010,26.11,26.11,26.04,26.1,8400,NYSE
TVE,15-Jan-2010,26.15,26.3,26.1,26.23,6900,NYSE
TVE,19-Jan-2010,26.21,26.29,26.11,26.11,7300,NYSE
TVE,20-Jan-2010,26.14,26.23,26.14,26.14,4500,NYSE
TVE,21-Jan-2010,26.13,26.17,26.04,26.1,7600,NYSE
TVE,22-Jan-2010,26.1,26.2,26.0,26.2,15400,NYSE
TVE,25-Jan-2010,26.27,26.27,25.96,25.96,31000,NYSE
TVE,26-Jan-2010,25.98,26.2,25.98,26.2,16300,NYSE
TVE,27-Jan-2010,26.01,26.13,25.96,25.96,10800,NYSE
TVE,28-Jan-2010,26.19,26.19,25.88,26.04,4700,NYSE
TVE,29-Jan-2010,26.08,26.11,26.0,26.08,7300,NYSE
TVE,01-Feb-2010,26.04,26.1,25.97,26.1,17000,NYSE
TVE,02-Feb-2010,26.02,26.07,26.02,26.07,8600,NYSE
TVE,03-Feb-2010,26.07,26.09,25.97,26.01,9000,NYSE
TVE,04-Feb-2010,25.98,26.11,25.97,25.97,12600,NYSE
TVE,05-Feb-2010,26.11,26.11,25.97,26.08,7500,NYSE
TVE,08-Feb-2010,26.02,26.11,25.97,25.97,13900,NYSE
TVE,09-Feb-2010,26.08,26.09,25.97,26.05,15500,NYSE
TVE,10-Feb-2010,25.99,26.06,25.98,26.06,16400,NYSE
TVE,11-Feb-2010,25.99,26.09,25.98,25.98,10000,NYSE
TVE,12-Feb-2010,25.97,26.07,25.95,26.07,11800,NYSE
TVE,16-Feb-2010,25.99,26.06,25.96,26.0,13600,NYSE
TVE,17-Feb-2010,25.95,26.05,25.95,26.05,12000,NYSE
TVE,18-Feb-2010,26.03,26.07,25.96,26.06,7900,NYSE
TVE,19-Feb-2010,26.0,26.07,25.98,26.07,8500,NYSE
TVE,22-Feb-2010,26.0,26.15,25.97,26.05,14900,NYSE
TVE,23-Feb-2010,26.0,26.2,26.0,26.2,10100,NYSE
TVE,24-Feb-2010,26.09,26.2,26.07,26.2,12000,NYSE
TVE,25-Feb-2010,26.16,26.16,26.06,26.07,25200,NYSE
TVE,26-Feb-2010,26.15,26.15,26.02,26.03,17500,NYSE
TVE,01-Mar-2010,26.13,26.15,26.05,26.15,41900,NYSE
TVE,02-Mar-2010,26.07,26.1,26.06,26.1,5900,NYSE
TVE,03-Mar-2010,26.11,26.15,26.05,26.15,60900,NYSE
TVE,04-Mar-2010,26.14,26.17,26.07,26.07,30800,NYSE
TVE,05-Mar-2010,26.19,26.3,26.1,26.15,31100,NYSE
TVE,08-Mar-2010,26.13,26.28,26.07,26.13,18200,NYSE
TVE,09-Mar-2010,26.09,26.13,26.0,26.02,46600,NYSE
TVE,10-Mar-2010,26.05,26.08,26.03,26.07,23300,NYSE
TVE,11-Mar-2010,26.02,26.09,26.0,26.0,47200,NYSE
TVE,12-Mar-2010,26.03,26.06,25.91,25.91,49900,NYSE
TVE,15-Mar-2010,25.99,26.03,25.86,25.86,29500,NYSE
TVE,16-Mar-2010,25.96,26.25,25.94,26.05,54400,NYSE
TVE,17-Mar-2010,26.0,26.5,25.97,26.08,53500,NYSE
TVE,18-Mar-2010,26.15,26.28,26.05,26.21,18400,NYSE
TVE,19-Mar-2010,26.1,26.34,25.8,25.9,45200,NYSE
TVE,22-Mar-2010,25.89,26.14,25.89,25.92,21200,NYSE
TVE,23-Mar-2010,25.94,26.04,25.85,25.94,22900,NYSE
TVE,24-Mar-2010,25.99,26.03,25.87,26.03,22600,NYSE
TVE,25-Mar-2010,26.0,26.09,25.93,25.93,25400,NYSE
TVE,26-Mar-2010,25.95,25.99,25.85,25.95,27500,NYSE
TVE,29-Mar-2010,25.89,26.0,25.89,25.97,19500,NYSE
TVE,30-Mar-2010,25.97,26.17,25.97,26.16,25500,NYSE
TVE,31-Mar-2010,26.05,26.3,26.03,26.3,22900,NYSE
TVE,01-Apr-2010,26.23,26.3,26.15,26.29,5700,NYSE
TVE,05-Apr-2010,26.3,26.3,26.0,26.1,12900,NYSE
TVE,06-Apr-2010,26.04,26.22,26.04,26.1,24200,NYSE
TVE,07-Apr-2010,26.03,26.3,26.0,26.0,30700,NYSE
TVE,08-Apr-2010,26.03,26.15,25.82,25.95,19600,NYSE
TVE,09-Apr-2010,25.93,26.04,25.91,25.95,12100,NYSE
TVE,12-Apr-2010,25.95,25.99,25.9,25.9,15900,NYSE
TVE,13-Apr-2010,25.9,26.05,25.83,25.89,26500,NYSE
TVE,14-Apr-2010,25.96,25.99,25.81,25.81,19100,NYSE
TVE,15-Apr-2010,25.84,26.01,25.83,25.91,27800,NYSE
TVE,16-Apr-2010,25.92,26.03,25.88,25.91,12300,NYSE
TVE,19-Apr-2010,26.03,26.03,25.82,25.86,10300,NYSE
TVE,20-Apr-2010,25.86,25.94,25.86,25.89,10300,NYSE
TVE,21-Apr-2010,25.93,25.99,25.89,25.97,16100,NYSE
TVE,22-Apr-2010,25.89,25.98,25.86,25.95,24500,NYSE
TVE,23-Apr-2010,25.88,26.03,25.88,26.03,7800,NYSE
TVE,26-Apr-2010,26.05,26.13,26.0,26.06,23800,NYSE
TVE,27-Apr-2010,26.1,26.1,26.05,26.05,12700,NYSE
