name,date,open_price,close_price,high_price,low_price,volume,market
UAN,08-Apr-2011,18.0,18.2,17.25,17.55,13311400,NYSE
UAN,11-Apr-2011,17.55,17.57,16.95,17.28,1770200,NYSE
UAN,12-Apr-2011,17.19,17.2,16.75,17.06,742700,NYSE
UAN,13-Apr-2011,17.19,17.65,17.06,17.36,562100,NYSE
UAN,14-Apr-2011,17.43,17.56,17.0,17.0,1289800,NYSE
UAN,15-Apr-2011,17.0,17.89,17.0,17.88,617200,NYSE
UAN,18-Apr-2011,17.86,18.58,17.31,17.93,427800,NYSE
UAN,19-Apr-2011,18.13,18.49,18.0,18.33,543300,NYSE
UAN,20-Apr-2011,18.98,19.0,18.6,19.0,1001200,NYSE
UAN,21-Apr-2011,19.5,19.87,18.96,18.99,1054500,NYSE
UAN,25-Apr-2011,20.04,20.1,19.37,20.07,1339300,NYSE
UAN,26-Apr-2011,20.25,20.8,19.95,20.0,1191800,NYSE
UAN,27-Apr-2011,20.15,20.24,19.85,19.9,645200,NYSE
UAN,28-Apr-2011,19.95,20.03,19.33,19.44,416100,NYSE
UAN,29-Apr-2011,19.5,19.81,19.1,19.14,433500,NYSE
UAN,02-May-2011,19.36,19.58,18.31,18.69,724800,NYSE
UAN,03-May-2011,18.82,18.83,18.18,18.2,428100,NYSE
UAN,04-May-2011,18.17,18.86,18.04,18.64,383700,NYSE
UAN,05-May-2011,18.62,19.1,18.54,18.64,398300,NYSE
UAN,06-May-2011,18.88,19.73,18.65,19.52,490000,NYSE
UAN,09-May-2011,19.59,20.24,19.55,20.22,516900,NYSE
UAN,10-May-2011,19.8,20.37,19.73,20.37,599700,NYSE
UAN,11-May-2011,20.31,20.42,19.88,19.97,349000,NYSE
UAN,12-May-2011,19.8,19.91,19.37,19.55,268500,NYSE
UAN,13-May-2011,19.55,19.75,18.77,18.99,368700,NYSE
UAN,16-May-2011,18.98,19.5,18.69,18.75,408700,NYSE
UAN,17-May-2011,18.64,19.03,18.46,18.66,201900,NYSE
UAN,18-May-2011,18.62,18.62,18.0,18.23,402000,NYSE
UAN,19-May-2011,18.27,18.59,18.13,18.13,317200,NYSE
UAN,20-May-2011,18.26,18.47,18.24,18.24,416400,NYSE
UAN,23-May-2011,18.35,18.36,17.76,18.0,830600,NYSE
UAN,24-May-2011,18.2,18.55,18.15,18.17,468100,NYSE
UAN,25-May-2011,18.31,18.62,18.26,18.56,386100,NYSE
UAN,26-May-2011,18.64,18.78,18.61,18.67,256000,NYSE
UAN,27-May-2011,18.88,20.19,18.86,19.96,750900,NYSE
UAN,31-May-2011,20.48,20.89,19.93,19.96,637600,NYSE
UAN,01-Jun-2011,20.12,20.59,19.65,19.74,499400,NYSE
UAN,02-Jun-2011,20.02,20.46,19.77,20.16,555000,NYSE
UAN,03-Jun-2011,20.0,20.79,19.83,20.33,309500,NYSE
UAN,06-Jun-2011,20.4,20.75,20.08,20.17,282600,NYSE
UAN,07-Jun-2011,20.14,20.29,19.75,20.01,319600,NYSE
UAN,08-Jun-2011,20.08,20.17,19.83,19.9,231000,NYSE
UAN,09-Jun-2011,20.0,20.25,19.95,20.06,345000,NYSE
UAN,10-Jun-2011,20.19,21.22,19.95,21.22,436600,NYSE
UAN,13-Jun-2011,21.5,22.74,21.39,21.47,728100,NYSE
UAN,14-Jun-2011,21.67,22.05,21.5,21.75,483100,NYSE
UAN,15-Jun-2011,21.83,22.25,21.65,21.94,456400,NYSE
UAN,16-Jun-2011,21.94,22.16,20.02,20.5,458300,NYSE
UAN,17-Jun-2011,20.63,21.22,20.3,20.77,299600,NYSE
UAN,20-Jun-2011,20.86,21.28,20.64,21.28,224300,NYSE
UAN,21-Jun-2011,21.51,21.75,21.23,21.71,268100,NYSE
UAN,22-Jun-2011,21.7,22.4,21.51,22.17,415100,NYSE
UAN,23-Jun-2011,21.93,22.0,21.4,22.0,218000,NYSE
UAN,24-Jun-2011,21.93,22.0,21.51,21.88,138000,NYSE
UAN,27-Jun-2011,21.93,22.78,21.93,22.6,386600,NYSE
UAN,28-Jun-2011,22.75,22.76,22.36,22.59,252000,NYSE
UAN,29-Jun-2011,22.98,23.36,22.6,23.15,577600,NYSE
UAN,30-Jun-2011,23.36,23.37,22.11,22.46,475300,NYSE
UAN,01-Jul-2011,22.6,22.6,22.2,22.3,228900,NYSE
UAN,05-Jul-2011,22.45,22.8,22.45,22.77,225900,NYSE
UAN,06-Jul-2011,22.9,23.26,22.61,23.17,220700,NYSE
UAN,07-Jul-2011,23.36,23.95,23.32,23.73,358400,NYSE
UAN,08-Jul-2011,23.44,24.01,23.03,24.0,290500,NYSE
UAN,11-Jul-2011,23.78,23.78,22.7,23.0,345400,NYSE
UAN,12-Jul-2011,22.86,23.4,22.86,23.29,256000,NYSE
UAN,13-Jul-2011,23.57,23.97,23.27,23.28,235600,NYSE
UAN,14-Jul-2011,23.45,23.74,22.98,23.61,181800,NYSE
UAN,15-Jul-2011,23.75,24.24,23.66,24.08,196100,NYSE
UAN,18-Jul-2011,24.08,24.96,24.05,24.5,498800,NYSE
UAN,19-Jul-2011,24.95,25.25,24.68,24.99,425100,NYSE
UAN,20-Jul-2011,25.0,25.89,24.88,25.5,431000,NYSE
UAN,21-Jul-2011,25.75,26.1,24.46,24.82,469400,NYSE
UAN,22-Jul-2011,24.7,25.05,24.4,24.65,297400,NYSE
UAN,25-Jul-2011,24.84,24.94,24.25,24.94,252900,NYSE
UAN,26-Jul-2011,25.0,25.21,24.41,24.55,412500,NYSE
UAN,27-Jul-2011,24.34,24.42,22.57,23.52,827200,NYSE
UAN,28-Jul-2011,23.5,23.97,23.25,23.26,246100,NYSE
UAN,29-Jul-2011,22.89,24.09,22.5,23.45,381500,NYSE
UAN,01-Aug-2011,24.32,24.62,23.86,23.97,474700,NYSE
UAN,02-Aug-2011,24.24,24.58,23.0,23.23,609800,NYSE
UAN,03-Aug-2011,23.08,23.08,22.1,22.78,536600,NYSE
UAN,04-Aug-2011,22.44,23.23,22.0,22.07,618300,NYSE
UAN,05-Aug-2011,22.46,22.61,21.29,21.55,581400,NYSE
UAN,08-Aug-2011,20.95,21.17,19.47,20.4,925000,NYSE
UAN,09-Aug-2011,20.67,21.4,20.0,20.74,691700,NYSE
UAN,10-Aug-2011,20.77,22.33,20.13,21.05,625400,NYSE
UAN,11-Aug-2011,21.5,23.6,21.5,23.06,403800,NYSE
UAN,12-Aug-2011,23.31,24.49,23.31,24.0,484000,NYSE
UAN,15-Aug-2011,24.49,24.8,23.77,23.95,293600,NYSE
UAN,16-Aug-2011,23.85,23.86,22.92,23.42,302200,NYSE
UAN,17-Aug-2011,23.7,24.04,23.11,23.36,239600,NYSE
UAN,18-Aug-2011,22.84,23.14,22.0,22.6,344900,NYSE
UAN,19-Aug-2011,22.28,23.02,22.0,22.01,248600,NYSE
UAN,22-Aug-2011,22.71,22.81,21.15,21.46,286800,NYSE
UAN,23-Aug-2011,21.45,22.65,21.3,22.15,421300,NYSE
UAN,24-Aug-2011,22.18,22.64,22.1,22.29,489200,NYSE
UAN,25-Aug-2011,22.35,22.89,22.18,22.31,208700,NYSE
