name,date,open_price,close_price,high_price,low_price,volume,market
UBP,04-Jan-2010,15.02,15.1,14.88,14.88,20500,NYSE
UBP,05-Jan-2010,14.89,15.0,14.8,14.95,44700,NYSE
UBP,06-Jan-2010,14.77,14.83,14.56,14.57,7800,NYSE
UBP,07-Jan-2010,14.61,14.61,14.32,14.32,2000,NYSE
UBP,08-Jan-2010,14.41,14.41,14.01,14.03,5700,NYSE
UBP,11-Jan-2010,14.02,14.19,13.95,14.19,1700,NYSE
UBP,12-Jan-2010,14.1,14.1,13.91,13.93,2500,NYSE
UBP,13-Jan-2010,14.04,14.25,13.96,14.25,3300,NYSE
UBP,14-Jan-2010,14.16,14.22,13.83,14.16,4600,NYSE
UBP,15-Jan-2010,14.1,14.26,14.1,14.25,2500,NYSE
UBP,19-Jan-2010,14.23,14.49,14.23,14.27,1400,NYSE
UBP,20-Jan-2010,14.18,14.18,14.18,14.18,100,NYSE
UBP,21-Jan-2010,14.35,14.58,13.97,13.97,2100,NYSE
UBP,22-Jan-2010,14.05,14.05,13.9,13.9,1300,NYSE
UBP,25-Jan-2010,14.03,14.03,13.8,13.9,1800,NYSE
UBP,26-Jan-2010,13.93,14.2,13.93,13.94,1300,NYSE
UBP,27-Jan-2010,13.94,13.94,13.94,13.94,0,NYSE
UBP,28-Jan-2010,14.04,14.15,13.98,14.15,500,NYSE
UBP,29-Jan-2010,14.26,14.26,14.05,14.05,1900,NYSE
UBP,01-Feb-2010,14.23,14.23,14.0,14.06,1700,NYSE
UBP,02-Feb-2010,14.09,14.26,14.07,14.07,400,NYSE
UBP,03-Feb-2010,14.02,14.11,13.55,13.84,18000,NYSE
UBP,04-Feb-2010,13.77,13.77,13.65,13.65,1100,NYSE
UBP,05-Feb-2010,13.83,13.87,13.7,13.8,1600,NYSE
UBP,08-Feb-2010,13.87,13.87,13.86,13.86,200,NYSE
UBP,09-Feb-2010,14.1,14.1,13.56,13.56,6200,NYSE
UBP,10-Feb-2010,13.45,13.67,13.24,13.45,2600,NYSE
UBP,11-Feb-2010,13.65,13.77,13.5,13.77,9100,NYSE
UBP,12-Feb-2010,13.61,13.82,13.52,13.73,3300,NYSE
UBP,16-Feb-2010,13.76,13.91,13.76,13.91,6700,NYSE
UBP,17-Feb-2010,14.26,14.26,14.0,14.13,3200,NYSE
UBP,18-Feb-2010,14.25,14.4,14.13,14.39,1600,NYSE
UBP,19-Feb-2010,14.2,14.55,14.2,14.55,1800,NYSE
UBP,22-Feb-2010,14.59,14.77,14.47,14.59,1600,NYSE
UBP,23-Feb-2010,14.53,14.53,14.4,14.43,600,NYSE
UBP,24-Feb-2010,14.6,14.6,14.4,14.42,700,NYSE
UBP,25-Feb-2010,14.4,14.4,14.23,14.23,2000,NYSE
UBP,26-Feb-2010,14.29,14.35,14.26,14.35,400,NYSE
UBP,01-Mar-2010,14.7,14.7,14.34,14.57,1500,NYSE
UBP,02-Mar-2010,14.56,14.56,13.93,13.93,3100,NYSE
UBP,03-Mar-2010,14.3,14.51,14.3,14.47,3100,NYSE
UBP,04-Mar-2010,14.33,14.52,14.3,14.47,1300,NYSE
UBP,05-Mar-2010,14.35,14.69,14.35,14.69,800,NYSE
UBP,08-Mar-2010,14.5,14.73,14.5,14.7,2200,NYSE
UBP,09-Mar-2010,14.92,15.0,14.92,14.95,800,NYSE
