name,date,open_price,close_price,high_price,low_price,volume,market
VMC,04-Jan-2010,53.41,53.41,52.17,52.73,1127900,NYSE
VMC,05-Jan-2010,52.85,52.93,52.0,52.93,830200,NYSE
VMC,06-Jan-2010,52.99,54.36,52.99,53.85,1082800,NYSE
VMC,07-Jan-2010,54.04,54.04,52.69,53.17,1126800,NYSE
VMC,08-Jan-2010,53.11,53.35,52.29,52.65,701900,NYSE
VMC,11-Jan-2010,53.09,53.12,51.7,52.18,973500,NYSE
VMC,12-Jan-2010,51.71,52.42,51.59,52.08,894700,NYSE
VMC,13-Jan-2010,52.17,52.81,51.61,52.79,680000,NYSE
VMC,14-Jan-2010,52.67,52.87,52.07,52.65,482500,NYSE
VMC,15-Jan-2010,52.67,52.81,51.0,51.16,1117000,NYSE
VMC,19-Jan-2010,51.15,51.89,50.69,51.78,718400,NYSE
VMC,20-Jan-2010,51.25,51.26,50.49,50.96,724300,NYSE
VMC,21-Jan-2010,50.96,50.96,48.41,48.44,1477000,NYSE
VMC,22-Jan-2010,48.02,48.71,46.96,47.06,1644500,NYSE
VMC,25-Jan-2010,47.62,47.7,46.25,46.77,1594500,NYSE
VMC,26-Jan-2010,46.5,47.53,46.08,46.94,1020400,NYSE
VMC,27-Jan-2010,46.59,46.59,45.15,46.22,1506000,NYSE
VMC,28-Jan-2010,46.45,46.45,44.7,45.17,995600,NYSE
VMC,29-Jan-2010,45.39,45.88,44.03,44.19,1654700,NYSE
VMC,01-Feb-2010,44.54,44.95,44.11,44.95,858600,NYSE
VMC,02-Feb-2010,45.27,46.04,44.9,45.84,931100,NYSE
VMC,03-Feb-2010,45.76,46.05,44.84,45.12,812300,NYSE
VMC,04-Feb-2010,44.58,44.89,42.98,43.3,1976100,NYSE
VMC,05-Feb-2010,43.29,43.81,42.59,43.66,1577200,NYSE
VMC,08-Feb-2010,43.74,44.28,43.25,43.5,1544400,NYSE
VMC,09-Feb-2010,42.98,43.3,41.8,42.63,3844800,NYSE
VMC,10-Feb-2010,43.69,43.71,41.9,42.83,2004200,NYSE
VMC,11-Feb-2010,42.8,43.07,42.16,43.05,1215400,NYSE
VMC,12-Feb-2010,42.29,42.99,41.99,42.94,1457400,NYSE
VMC,16-Feb-2010,43.21,44.62,43.02,44.48,1312500,NYSE
VMC,17-Feb-2010,44.64,45.0,43.97,44.35,1008400,NYSE
VMC,18-Feb-2010,44.17,44.6,43.93,44.45,621000,NYSE
VMC,19-Feb-2010,44.22,45.61,44.04,45.5,1372500,NYSE
VMC,22-Feb-2010,45.71,46.42,45.38,45.82,1215800,NYSE
VMC,23-Feb-2010,45.9,46.06,44.81,45.18,1340400,NYSE
VMC,24-Feb-2010,45.12,45.21,44.32,44.88,697500,NYSE
VMC,25-Feb-2010,44.36,44.59,43.72,44.55,757300,NYSE
VMC,26-Feb-2010,44.57,44.68,43.21,43.41,1617500,NYSE
VMC,01-Mar-2010,43.59,43.59,42.52,43.01,1574200,NYSE
VMC,02-Mar-2010,43.2,43.54,42.63,42.68,1302600,NYSE
VMC,03-Mar-2010,42.85,44.04,42.74,43.89,1242600,NYSE
VMC,04-Mar-2010,43.88,44.35,43.34,43.77,1286400,NYSE
VMC,05-Mar-2010,44.21,45.14,44.15,45.09,867200,NYSE
VMC,08-Mar-2010,45.12,46.01,44.89,45.95,984000,NYSE
VMC,09-Mar-2010,45.81,46.12,45.19,45.69,1400100,NYSE
VMC,10-Mar-2010,45.75,46.06,45.25,45.41,948800,NYSE
VMC,11-Mar-2010,45.05,45.65,44.72,45.64,685600,NYSE
VMC,12-Mar-2010,45.93,46.0,45.07,45.26,935100,NYSE
VMC,15-Mar-2010,45.21,45.59,44.9,45.48,835700,NYSE
VMC,16-Mar-2010,45.69,46.62,45.3,46.49,2481100,NYSE
VMC,17-Mar-2010,46.84,50.4,46.75,49.65,4235600,NYSE
VMC,18-Mar-2010,49.65,49.65,47.55,48.39,1943200,NYSE
VMC,19-Mar-2010,48.41,48.85,47.85,48.57,1771900,NYSE
VMC,22-Mar-2010,48.01,50.3,47.94,49.55,2105800,NYSE
VMC,23-Mar-2010,49.7,50.28,49.13,50.18,1488700,NYSE
VMC,24-Mar-2010,49.9,50.73,49.68,49.73,1451500,NYSE
VMC,25-Mar-2010,50.13,50.41,48.14,48.26,2447000,NYSE
VMC,26-Mar-2010,48.36,48.8,47.13,47.78,1451100,NYSE
VMC,29-Mar-2010,47.97,48.43,47.87,48.22,819500,NYSE
