name,date,open_price,close_price,high_price,low_price,volume,market
VMI,04-Jan-2010,79.9,80.6,79.1,79.31,227800,NYSE
VMI,05-Jan-2010,79.53,79.62,78.18,79.09,189000,NYSE
VMI,06-Jan-2010,77.61,77.84,75.37,75.69,590400,NYSE
VMI,07-Jan-2010,75.75,77.25,75.29,77.06,296700,NYSE
VMI,08-Jan-2010,77.06,77.91,76.44,77.59,203800,NYSE
VMI,11-Jan-2010,78.36,78.39,76.7,76.86,246200,NYSE
VMI,12-Jan-2010,76.69,76.7,75.09,75.69,202000,NYSE
VMI,13-Jan-2010,75.62,75.67,74.73,75.33,258500,NYSE
VMI,14-Jan-2010,74.78,76.37,74.78,75.44,259700,NYSE
VMI,15-Jan-2010,75.58,75.76,73.31,73.54,373400,NYSE
VMI,19-Jan-2010,73.92,74.88,73.49,74.26,390600,NYSE
VMI,20-Jan-2010,73.91,73.91,72.5,72.83,301500,NYSE
VMI,21-Jan-2010,73.05,73.05,70.12,71.0,376300,NYSE
VMI,22-Jan-2010,70.61,72.28,69.3,70.89,367200,NYSE
VMI,25-Jan-2010,71.3,71.96,69.0,70.64,183800,NYSE
VMI,26-Jan-2010,70.37,71.94,69.77,71.5,362300,NYSE
VMI,27-Jan-2010,71.23,72.69,70.56,72.61,412500,NYSE
VMI,28-Jan-2010,72.87,73.32,71.65,71.84,371200,NYSE
VMI,29-Jan-2010,71.86,72.02,68.91,69.46,397000,NYSE
VMI,01-Feb-2010,69.87,71.52,69.87,70.7,202100,NYSE
VMI,02-Feb-2010,70.48,73.36,70.48,72.85,369100,NYSE
VMI,03-Feb-2010,72.5,73.34,71.5,72.04,325100,NYSE
VMI,04-Feb-2010,71.23,71.56,69.47,69.69,167500,NYSE
VMI,05-Feb-2010,69.69,70.17,67.43,69.53,277500,NYSE
VMI,08-Feb-2010,69.49,69.85,68.43,68.48,126400,NYSE
VMI,09-Feb-2010,68.64,70.33,68.63,69.24,232100,NYSE
VMI,10-Feb-2010,69.01,69.52,67.4,68.17,319600,NYSE
VMI,11-Feb-2010,68.16,70.4,67.81,69.59,309000,NYSE
VMI,12-Feb-2010,68.58,70.74,68.39,70.69,415300,NYSE
VMI,16-Feb-2010,71.42,71.92,70.83,71.0,319400,NYSE
VMI,17-Feb-2010,66.77,70.4,65.3,68.69,1446200,NYSE
VMI,18-Feb-2010,69.24,71.66,68.2,70.78,643700,NYSE
VMI,19-Feb-2010,70.35,72.23,70.35,71.5,311900,NYSE
VMI,22-Feb-2010,71.82,72.16,71.22,71.51,258200,NYSE
VMI,23-Feb-2010,71.19,71.69,69.52,69.88,369700,NYSE
VMI,24-Feb-2010,70.21,71.07,69.83,70.31,170400,NYSE
VMI,25-Feb-2010,69.36,71.15,68.6,71.0,258200,NYSE
VMI,26-Feb-2010,71.15,71.34,69.76,71.2,137000,NYSE
VMI,01-Mar-2010,71.28,72.18,71.26,71.9,163200,NYSE
VMI,02-Mar-2010,72.29,73.75,72.02,72.88,259500,NYSE
VMI,03-Mar-2010,73.0,74.13,72.82,73.44,123800,NYSE
VMI,04-Mar-2010,73.81,84.0,73.81,81.56,2116400,NYSE
VMI,05-Mar-2010,81.81,82.85,81.58,81.96,942000,NYSE
VMI,08-Mar-2010,81.9,82.4,80.31,80.8,368600,NYSE
VMI,09-Mar-2010,80.81,82.5,80.81,81.96,207100,NYSE
VMI,10-Mar-2010,81.69,82.83,81.6,82.59,197000,NYSE
VMI,11-Mar-2010,82.37,82.38,81.44,82.36,101200,NYSE
VMI,12-Mar-2010,82.26,82.96,81.76,82.89,239700,NYSE
VMI,15-Mar-2010,83.09,83.2,81.76,82.67,101700,NYSE
VMI,16-Mar-2010,82.61,82.92,82.08,82.54,254700,NYSE
VMI,17-Mar-2010,83.13,83.95,83.1,83.36,198600,NYSE
VMI,18-Mar-2010,83.56,84.45,83.18,83.32,145800,NYSE
VMI,19-Mar-2010,83.79,83.98,82.29,82.5,135400,NYSE
VMI,22-Mar-2010,81.97,83.53,81.7,83.35,100700,NYSE
VMI,23-Mar-2010,83.64,84.6,83.11,84.5,91900,NYSE
VMI,24-Mar-2010,81.82,83.03,81.22,82.15,390000,NYSE
VMI,25-Mar-2010,83.4,83.7,81.87,81.91,159400,NYSE
VMI,26-Mar-2010,81.91,83.32,81.38,82.0,155300,NYSE
VMI,29-Mar-2010,82.6,83.43,82.18,83.23,154700,NYSE
VMI,30-Mar-2010,83.13,83.45,82.0,83.0,143000,NYSE
VMI,31-Mar-2010,82.6,83.43,81.6,82.83,142400,NYSE
VMI,01-Apr-2010,83.35,84.35,83.35,84.33,155100,NYSE
VMI,05-Apr-2010,84.83,86.67,84.74,86.35,191400,NYSE
VMI,06-Apr-2010,84.15,85.34,81.99,83.13,610100,NYSE
VMI,07-Apr-2010,82.78,83.8,82.51,83.28,191300,NYSE
VMI,08-Apr-2010,82.77,83.55,82.04,83.41,128700,NYSE
VMI,09-Apr-2010,83.79,85.76,83.46,85.12,217500,NYSE
VMI,12-Apr-2010,85.54,87.1,85.54,86.58,191000,NYSE
VMI,13-Apr-2010,86.56,87.06,85.42,85.74,118100,NYSE
VMI,14-Apr-2010,86.45,87.12,86.13,86.82,124100,NYSE
VMI,15-Apr-2010,86.88,86.88,85.21,86.44,335200,NYSE
VMI,16-Apr-2010,84.72,85.0,82.74,83.0,630900,NYSE
VMI,19-Apr-2010,82.29,83.39,80.91,82.49,285500,NYSE
VMI,20-Apr-2010,82.99,84.54,82.99,84.54,259300,NYSE
VMI,21-Apr-2010,84.35,85.83,84.02,84.9,258500,NYSE
VMI,22-Apr-2010,84.14,86.88,82.63,86.66,203200,NYSE
VMI,23-Apr-2010,86.94,87.82,86.24,87.73,167000,NYSE
VMI,26-Apr-2010,87.59,88.08,85.2,85.47,150700,NYSE
VMI,27-Apr-2010,85.42,85.63,82.43,82.81,291500,NYSE
VMI,28-Apr-2010,83.13,83.64,82.49,83.27,160100,NYSE
VMI,29-Apr-2010,84.45,85.83,84.26,85.73,171500,NYSE
VMI,30-Apr-2010,85.93,87.28,83.26,83.29,189100,NYSE
VMI,03-May-2010,83.84,84.84,83.4,84.8,231000,NYSE
VMI,04-May-2010,83.68,83.68,81.46,81.8,250900,NYSE
VMI,05-May-2010,80.79,81.13,78.84,80.12,263600,NYSE
VMI,06-May-2010,79.46,80.53,74.48,77.18,409200,NYSE
VMI,07-May-2010,76.35,77.99,74.67,75.08,359600,NYSE
VMI,10-May-2010,80.0,80.0,78.13,79.18,252400,NYSE
VMI,11-May-2010,78.66,80.91,78.44,79.8,289700,NYSE
VMI,12-May-2010,80.31,81.09,79.58,80.6,172500,NYSE
VMI,13-May-2010,80.64,81.69,79.95,80.43,147700,NYSE
VMI,14-May-2010,79.7,79.72,77.5,78.18,130500,NYSE
VMI,17-May-2010,79.36,80.24,76.79,79.52,514100,NYSE
VMI,18-May-2010,80.11,81.89,79.42,79.63,352800,NYSE
VMI,19-May-2010,79.63,82.02,79.22,80.38,637900,NYSE
VMI,20-May-2010,79.34,79.34,76.18,76.53,527000,NYSE
VMI,21-May-2010,75.16,77.73,74.39,77.46,250700,NYSE
VMI,24-May-2010,77.63,79.38,77.22,77.26,229300,NYSE
VMI,25-May-2010,74.56,78.03,74.08,77.79,333900,NYSE
VMI,26-May-2010,79.08,80.54,78.89,79.5,441000,NYSE
VMI,27-May-2010,81.55,81.55,80.13,81.35,217700,NYSE
VMI,28-May-2010,80.79,81.19,78.7,79.22,211100,NYSE
VMI,01-Jun-2010,78.37,79.6,76.15,76.17,243500,NYSE
VMI,02-Jun-2010,76.47,79.08,76.08,79.08,240400,NYSE
VMI,03-Jun-2010,79.99,80.35,78.56,79.65,140200,NYSE
VMI,04-Jun-2010,78.58,79.0,75.64,75.88,239900,NYSE
VMI,07-Jun-2010,76.33,76.5,74.72,75.3,354200,NYSE
VMI,08-Jun-2010,75.16,76.19,74.44,76.14,223700,NYSE
VMI,09-Jun-2010,76.46,77.94,75.32,75.67,134000,NYSE
VMI,10-Jun-2010,77.25,78.92,77.25,78.92,128500,NYSE
VMI,11-Jun-2010,77.86,78.77,76.95,78.65,198300,NYSE
VMI,14-Jun-2010,79.13,80.85,78.42,78.7,179400,NYSE
VMI,15-Jun-2010,79.14,82.09,78.9,81.94,141400,NYSE
VMI,16-Jun-2010,81.15,82.1,80.64,80.92,95700,NYSE
VMI,17-Jun-2010,81.4,81.4,79.86,80.78,77900,NYSE
VMI,18-Jun-2010,80.76,80.93,79.69,80.0,95800,NYSE
VMI,21-Jun-2010,81.17,82.11,79.68,80.33,114600,NYSE
VMI,22-Jun-2010,80.15,80.65,77.87,78.0,99000,NYSE
VMI,23-Jun-2010,77.6,78.51,76.6,77.78,93800,NYSE
VMI,24-Jun-2010,77.07,77.54,75.91,76.17,94000,NYSE
VMI,25-Jun-2010,76.29,77.51,75.3,77.32,111100,NYSE
VMI,28-Jun-2010,77.42,77.81,76.51,76.63,88200,NYSE
VMI,29-Jun-2010,75.52,75.62,72.54,73.04,240000,NYSE
VMI,30-Jun-2010,72.72,75.14,72.52,72.66,246600,NYSE
VMI,01-Jul-2010,72.82,74.45,71.33,73.57,249800,NYSE
VMI,02-Jul-2010,74.09,74.83,73.76,74.15,223500,NYSE
VMI,06-Jul-2010,75.46,76.77,73.72,74.49,181800,NYSE
VMI,07-Jul-2010,74.99,77.28,74.74,77.21,170000,NYSE
VMI,08-Jul-2010,78.06,78.65,76.97,78.41,132700,NYSE
VMI,09-Jul-2010,78.51,79.62,78.19,79.59,88900,NYSE
VMI,12-Jul-2010,79.1,79.35,77.55,78.2,122000,NYSE
VMI,13-Jul-2010,79.35,80.12,78.61,79.9,159400,NYSE
VMI,14-Jul-2010,79.82,79.91,78.28,79.48,119500,NYSE
VMI,15-Jul-2010,79.3,79.62,77.52,79.21,200200,NYSE
VMI,16-Jul-2010,73.88,75.0,72.0,72.52,703800,NYSE
VMI,19-Jul-2010,72.15,73.32,70.84,72.11,439500,NYSE
VMI,20-Jul-2010,70.97,72.71,70.64,72.37,398500,NYSE
VMI,21-Jul-2010,72.78,73.52,71.84,72.59,320500,NYSE
VMI,22-Jul-2010,73.34,74.86,73.34,73.9,206500,NYSE
VMI,23-Jul-2010,73.84,75.45,73.4,75.2,146000,NYSE
VMI,26-Jul-2010,75.46,75.7,74.22,75.22,236400,NYSE
VMI,27-Jul-2010,75.81,75.81,72.55,72.67,275500,NYSE
VMI,28-Jul-2010,72.09,72.75,71.52,71.63,258000,NYSE
VMI,29-Jul-2010,72.03,72.44,70.64,70.97,365800,NYSE
VMI,30-Jul-2010,70.22,72.07,70.14,71.05,201000,NYSE
VMI,02-Aug-2010,72.55,72.57,71.51,71.69,237800,NYSE
VMI,03-Aug-2010,71.2,71.56,70.0,70.69,153900,NYSE
VMI,04-Aug-2010,71.0,71.0,69.94,70.53,184300,NYSE
VMI,05-Aug-2010,69.81,71.72,69.39,70.89,267100,NYSE
VMI,06-Aug-2010,70.01,71.42,70.01,71.29,142500,NYSE
VMI,09-Aug-2010,71.5,71.5,69.91,70.35,169300,NYSE
VMI,10-Aug-2010,69.5,69.5,68.0,68.04,263900,NYSE
VMI,11-Aug-2010,66.82,67.83,66.23,67.09,360600,NYSE
VMI,12-Aug-2010,66.1,68.51,65.94,67.93,295100,NYSE
VMI,13-Aug-2010,67.86,67.86,66.81,67.12,157300,NYSE
VMI,16-Aug-2010,66.71,67.97,66.43,67.64,169300,NYSE
VMI,17-Aug-2010,68.65,70.9,68.42,69.38,208600,NYSE
VMI,18-Aug-2010,69.23,70.67,68.79,69.8,222600,NYSE
VMI,19-Aug-2010,69.55,69.55,68.45,69.37,290300,NYSE
VMI,20-Aug-2010,68.92,69.52,68.31,69.39,247800,NYSE
VMI,23-Aug-2010,69.84,70.01,68.55,68.59,314500,NYSE
VMI,24-Aug-2010,67.36,68.97,67.22,67.89,277000,NYSE
VMI,25-Aug-2010,67.29,68.22,66.89,67.95,301800,NYSE
VMI,26-Aug-2010,68.2,68.43,67.0,67.5,405500,NYSE
VMI,27-Aug-2010,68.03,69.01,67.09,68.87,216800,NYSE
VMI,30-Aug-2010,68.42,68.6,67.28,67.4,348900,NYSE
VMI,31-Aug-2010,67.1,68.04,66.73,67.03,243600,NYSE
VMI,01-Sep-2010,68.35,69.34,67.81,69.12,209100,NYSE
VMI,02-Sep-2010,69.21,70.18,69.02,69.92,155700,NYSE
VMI,03-Sep-2010,70.76,71.92,70.57,71.02,118700,NYSE
VMI,07-Sep-2010,70.57,70.69,69.22,69.35,125700,NYSE
VMI,08-Sep-2010,69.56,70.51,69.53,69.66,133700,NYSE
VMI,09-Sep-2010,70.56,70.56,69.2,69.47,85300,NYSE
VMI,10-Sep-2010,69.56,70.49,69.56,69.92,84300,NYSE
VMI,13-Sep-2010,70.74,71.3,70.43,70.51,123300,NYSE
VMI,14-Sep-2010,70.27,70.86,69.73,70.12,161400,NYSE
VMI,15-Sep-2010,69.92,70.98,69.52,70.49,142900,NYSE
VMI,16-Sep-2010,70.35,70.86,70.07,70.49,130700,NYSE
