name,date,open_price,close_price,high_price,low_price,volume,market
VNO,04-Jan-2010,70.64,71.44,69.61,70.02,1688100,NYSE
VNO,05-Jan-2010,70.07,70.07,68.66,69.49,2013300,NYSE
VNO,06-Jan-2010,69.58,70.2,68.72,69.21,1540000,NYSE
VNO,07-Jan-2010,69.0,71.1,68.6,70.28,1823400,NYSE
VNO,08-Jan-2010,69.72,70.03,68.84,69.5,1265600,NYSE
VNO,11-Jan-2010,69.77,70.14,69.15,69.72,1060500,NYSE
VNO,12-Jan-2010,69.23,69.71,68.0,68.76,1551800,NYSE
VNO,13-Jan-2010,68.99,70.59,68.55,70.46,2055900,NYSE
VNO,14-Jan-2010,70.23,70.89,69.89,70.75,1659900,NYSE
VNO,15-Jan-2010,70.51,70.82,69.74,70.1,2095000,NYSE
VNO,19-Jan-2010,70.14,71.05,69.82,70.68,2429200,NYSE
VNO,20-Jan-2010,70.21,70.21,68.86,69.15,1909100,NYSE
VNO,21-Jan-2010,69.18,69.62,66.42,66.5,2892800,NYSE
VNO,22-Jan-2010,66.48,67.27,64.41,64.71,2537900,NYSE
VNO,25-Jan-2010,65.76,65.76,63.99,64.91,2356600,NYSE
VNO,26-Jan-2010,64.0,65.2,63.75,64.17,1945300,NYSE
VNO,27-Jan-2010,63.95,65.2,63.14,65.09,2150900,NYSE
VNO,28-Jan-2010,65.48,65.64,64.26,64.69,1900600,NYSE
VNO,29-Jan-2010,64.97,65.97,64.26,64.68,2798900,NYSE
VNO,01-Feb-2010,65.17,66.06,65.04,66.06,2226900,NYSE
VNO,02-Feb-2010,66.27,67.02,65.38,66.87,2330800,NYSE
VNO,03-Feb-2010,66.43,66.45,65.12,65.53,1715100,NYSE
VNO,04-Feb-2010,65.12,65.34,63.04,63.13,3545200,NYSE
VNO,05-Feb-2010,63.33,64.7,62.26,64.27,3068300,NYSE
VNO,08-Feb-2010,64.11,64.97,62.7,62.87,2078100,NYSE
VNO,09-Feb-2010,63.64,64.05,61.98,63.01,2407700,NYSE
VNO,10-Feb-2010,62.92,63.7,61.76,62.76,2223200,NYSE
VNO,11-Feb-2010,62.68,62.99,61.88,62.49,2361700,NYSE
VNO,12-Feb-2010,61.84,62.88,61.25,62.7,2445400,NYSE
