name,date,open_price,close_price,high_price,low_price,volume,market
WM,04-Jan-2010,34.01,34.26,33.87,34.16,2058700,NYSE
WM,05-Jan-2010,34.22,34.22,33.78,34.01,2961600,NYSE
WM,06-Jan-2010,33.87,34.15,33.78,34.0,1636600,NYSE
WM,07-Jan-2010,33.94,34.12,33.82,34.08,1406600,NYSE
WM,08-Jan-2010,33.92,34.33,33.67,34.24,1451800,NYSE
WM,11-Jan-2010,34.5,34.72,34.28,34.67,1731600,NYSE
WM,12-Jan-2010,34.59,34.9,34.3,34.88,2191800,NYSE
WM,13-Jan-2010,34.87,35.0,34.66,34.8,1958100,NYSE
WM,14-Jan-2010,34.71,34.75,34.32,34.44,2481600,NYSE
WM,15-Jan-2010,34.36,34.39,33.15,33.25,4103600,NYSE
WM,19-Jan-2010,33.26,33.93,33.18,33.92,3002100,NYSE
WM,20-Jan-2010,33.65,33.75,33.02,33.72,3236400,NYSE
WM,21-Jan-2010,33.7,33.99,33.03,33.1,3303800,NYSE
WM,22-Jan-2010,33.13,33.58,32.83,32.86,2825600,NYSE
WM,25-Jan-2010,33.11,33.11,32.6,32.64,1669600,NYSE
WM,26-Jan-2010,32.53,32.91,32.26,32.56,1752600,NYSE
WM,27-Jan-2010,32.51,32.74,32.14,32.58,1873600,NYSE
WM,28-Jan-2010,32.73,32.73,31.83,32.11,2761300,NYSE
WM,29-Jan-2010,32.34,32.52,31.95,32.05,2373600,NYSE
WM,01-Feb-2010,32.2,32.46,31.83,32.18,1834400,NYSE
WM,02-Feb-2010,32.18,32.62,32.14,32.51,1881000,NYSE
WM,03-Feb-2010,32.43,32.57,32.21,32.47,1071100,NYSE
WM,04-Feb-2010,32.28,32.44,31.73,31.81,2477700,NYSE
WM,05-Feb-2010,31.74,32.12,31.37,31.82,2663500,NYSE
WM,08-Feb-2010,31.87,31.95,31.4,31.4,1737600,NYSE
WM,09-Feb-2010,31.66,32.17,31.56,32.06,2018000,NYSE
WM,10-Feb-2010,32.06,32.14,31.56,31.92,1374000,NYSE
WM,11-Feb-2010,31.73,31.99,31.3,31.93,2636100,NYSE
WM,12-Feb-2010,31.69,32.0,31.29,31.83,3396700,NYSE
WM,16-Feb-2010,32.49,33.09,32.4,32.9,2948400,NYSE
WM,17-Feb-2010,33.09,33.2,32.84,33.0,2075000,NYSE
WM,18-Feb-2010,32.9,33.08,32.67,32.9,2765800,NYSE
WM,19-Feb-2010,32.81,33.48,32.63,33.38,2581100,NYSE
WM,22-Feb-2010,33.51,33.51,33.21,33.36,1395900,NYSE
WM,23-Feb-2010,32.94,33.28,32.54,32.62,2547500,NYSE
WM,24-Feb-2010,32.73,32.99,32.51,32.92,3163400,NYSE
WM,25-Feb-2010,32.64,33.03,32.42,33.03,2507100,NYSE
WM,26-Feb-2010,33.04,33.14,32.79,33.02,1879700,NYSE
WM,01-Mar-2010,33.04,33.45,33.01,33.37,2404800,NYSE
WM,02-Mar-2010,33.49,33.63,33.4,33.51,1690000,NYSE
WM,03-Mar-2010,33.52,33.76,33.34,33.5,1579200,NYSE
WM,04-Mar-2010,33.5,33.66,33.31,33.47,1389800,NYSE
WM,05-Mar-2010,33.64,33.86,33.54,33.86,1624900,NYSE
WM,08-Mar-2010,33.94,33.94,33.55,33.6,1645000,NYSE
WM,09-Mar-2010,33.58,33.64,33.34,33.62,1929800,NYSE
WM,10-Mar-2010,33.54,33.59,33.27,33.49,2410800,NYSE
WM,11-Mar-2010,33.45,33.47,33.11,33.45,2142400,NYSE
WM,12-Mar-2010,33.45,33.51,33.15,33.42,1906600,NYSE
WM,15-Mar-2010,33.45,33.73,33.22,33.7,2090900,NYSE
WM,16-Mar-2010,33.79,33.99,33.68,33.88,2194800,NYSE
WM,17-Mar-2010,34.0,34.17,33.88,33.97,1658200,NYSE
WM,18-Mar-2010,34.04,34.19,33.95,34.1,1797800,NYSE
WM,19-Mar-2010,34.17,34.47,33.98,34.16,4385000,NYSE
WM,22-Mar-2010,34.04,34.3,34.0,34.27,1962600,NYSE
WM,23-Mar-2010,34.42,34.72,34.25,34.69,2501700,NYSE
WM,24-Mar-2010,34.57,34.6,33.99,34.36,2415300,NYSE
WM,25-Mar-2010,34.58,34.58,34.27,34.27,2169900,NYSE
WM,26-Mar-2010,34.31,34.64,34.22,34.43,2390100,NYSE
WM,29-Mar-2010,34.59,34.75,34.34,34.55,1697000,NYSE
WM,30-Mar-2010,34.63,34.64,34.32,34.44,1705000,NYSE
WM,31-Mar-2010,34.35,34.57,34.09,34.43,1910100,NYSE
WM,01-Apr-2010,34.5,34.74,34.4,34.58,1405000,NYSE
WM,05-Apr-2010,34.72,34.8,34.5,34.68,1256600,NYSE
WM,06-Apr-2010,34.65,35.04,34.59,34.84,1816200,NYSE
WM,07-Apr-2010,34.81,34.9,34.63,34.68,1764800,NYSE
WM,08-Apr-2010,34.67,34.82,34.42,34.61,1651100,NYSE
WM,09-Apr-2010,34.68,34.8,34.31,34.77,1767000,NYSE
WM,12-Apr-2010,34.74,34.97,34.71,34.92,1444100,NYSE
WM,13-Apr-2010,34.69,35.0,34.51,34.87,1870100,NYSE
WM,14-Apr-2010,34.99,35.1,34.75,35.1,1889800,NYSE
WM,15-Apr-2010,35.01,35.37,34.91,35.14,2360300,NYSE
WM,16-Apr-2010,35.15,35.39,34.95,35.03,3290600,NYSE
WM,19-Apr-2010,35.0,35.21,34.75,35.11,3485500,NYSE
WM,20-Apr-2010,35.31,35.39,35.0,35.09,2152400,NYSE
WM,21-Apr-2010,35.17,35.27,35.0,35.13,2407000,NYSE
WM,22-Apr-2010,35.11,35.35,34.8,35.24,2285600,NYSE
WM,23-Apr-2010,35.26,35.55,35.16,35.53,2888800,NYSE
WM,26-Apr-2010,35.63,35.99,35.58,35.66,2305100,NYSE
WM,27-Apr-2010,35.72,35.72,34.75,34.77,2963500,NYSE
WM,28-Apr-2010,34.96,35.33,34.82,35.29,3022400,NYSE
WM,29-Apr-2010,35.29,35.57,34.75,35.09,3829700,NYSE
WM,30-Apr-2010,34.97,35.33,34.68,34.68,2976900,NYSE
WM,03-May-2010,34.89,35.54,34.82,35.08,2408900,NYSE
WM,04-May-2010,34.82,34.85,33.99,34.2,2219100,NYSE
WM,05-May-2010,33.82,34.2,33.8,34.04,2142400,NYSE
WM,06-May-2010,33.98,34.21,31.55,33.09,4828000,NYSE
WM,07-May-2010,33.0,33.2,32.21,32.86,4931400,NYSE
