name,date,open_price,close_price,high_price,low_price,volume,market
WPP,04-Jan-2010,11.69,11.89,11.47,11.66,154500,NYSE
WPP,05-Jan-2010,11.61,11.73,11.44,11.48,130800,NYSE
WPP,06-Jan-2010,11.43,11.6,11.23,11.29,239100,NYSE
WPP,07-Jan-2010,11.31,11.39,10.99,11.04,150300,NYSE
WPP,08-Jan-2010,10.98,11.03,10.84,11.0,231400,NYSE
WPP,11-Jan-2010,11.04,11.17,10.75,10.85,116200,NYSE
WPP,12-Jan-2010,10.78,10.95,10.6,10.69,146900,NYSE
WPP,13-Jan-2010,10.71,10.83,10.48,10.54,290400,NYSE
WPP,14-Jan-2010,10.6,10.78,10.29,10.47,333200,NYSE
WPP,15-Jan-2010,10.52,10.52,10.22,10.49,295900,NYSE
WPP,19-Jan-2010,10.55,10.94,10.55,10.9,289000,NYSE
WPP,20-Jan-2010,10.82,10.83,10.41,10.53,168700,NYSE
WPP,21-Jan-2010,10.52,10.62,9.92,9.98,187800,NYSE
WPP,22-Jan-2010,9.95,10.25,9.65,9.75,173100,NYSE
WPP,25-Jan-2010,9.88,9.88,9.43,9.58,142900,NYSE
WPP,26-Jan-2010,9.51,9.63,9.22,9.23,145900,NYSE
WPP,27-Jan-2010,9.16,9.36,8.93,9.34,183700,NYSE
WPP,28-Jan-2010,9.39,9.42,8.79,8.94,168000,NYSE
WPP,29-Jan-2010,8.95,9.25,8.8,8.82,166600,NYSE
WPP,01-Feb-2010,8.84,9.07,8.66,9.06,160300,NYSE
WPP,02-Feb-2010,9.05,9.06,8.78,8.85,128000,NYSE
WPP,03-Feb-2010,8.83,8.93,8.39,8.53,176600,NYSE
WPP,04-Feb-2010,8.43,8.77,8.34,8.66,278700,NYSE
WPP,05-Feb-2010,8.71,9.11,8.66,9.03,287200,NYSE
WPP,08-Feb-2010,8.99,9.2,8.94,9.1,238200,NYSE
WPP,09-Feb-2010,9.27,9.5,8.81,8.92,576500,NYSE
WPP,10-Feb-2010,8.83,8.85,8.0,8.08,410600,NYSE
WPP,11-Feb-2010,8.02,8.56,8.02,8.44,286600,NYSE
WPP,12-Feb-2010,8.36,8.78,8.24,8.73,276700,NYSE
WPP,16-Feb-2010,8.8,8.87,8.55,8.85,141900,NYSE
WPP,17-Feb-2010,8.93,8.94,8.5,8.61,191700,NYSE
WPP,18-Feb-2010,8.58,8.87,8.5,8.86,115100,NYSE
WPP,19-Feb-2010,8.8,8.96,8.7,8.84,129300,NYSE
WPP,22-Feb-2010,8.85,9.13,8.69,9.03,132100,NYSE
WPP,23-Feb-2010,9.03,9.11,8.82,8.83,126900,NYSE
WPP,24-Feb-2010,8.88,9.14,8.86,8.96,97200,NYSE
WPP,25-Feb-2010,8.85,8.85,8.53,8.77,84100,NYSE
WPP,26-Feb-2010,8.75,8.75,8.33,8.46,131000,NYSE
