name,date,open_price,close_price,high_price,low_price,volume,market
YUM,04-Jan-2010,35.12,35.28,35.05,35.09,2129500,NYSE
YUM,05-Jan-2010,35.12,35.16,34.81,34.97,2371400,NYSE
YUM,06-Jan-2010,34.95,35.16,34.66,34.72,3004600,NYSE
YUM,07-Jan-2010,34.57,34.81,34.5,34.71,1763000,NYSE
YUM,08-Jan-2010,34.7,34.82,34.5,34.72,2712000,NYSE
YUM,11-Jan-2010,34.88,35.56,34.7,35.32,4163300,NYSE
YUM,12-Jan-2010,35.4,36.06,35.32,35.99,4769500,NYSE
YUM,13-Jan-2010,35.83,36.1,35.53,35.89,4053100,NYSE
YUM,14-Jan-2010,35.91,36.32,35.7,36.28,2982100,NYSE
YUM,15-Jan-2010,36.1,36.32,35.51,35.67,4540500,NYSE
YUM,19-Jan-2010,35.65,35.79,35.49,35.65,3559500,NYSE
YUM,20-Jan-2010,35.39,35.59,34.99,35.15,3354800,NYSE
YUM,21-Jan-2010,35.23,35.41,34.8,34.97,3889500,NYSE
YUM,22-Jan-2010,34.69,35.0,34.26,34.29,3951200,NYSE
YUM,25-Jan-2010,34.5,34.6,34.26,34.28,3681600,NYSE
YUM,26-Jan-2010,34.1,34.53,34.05,34.33,2502100,NYSE
YUM,27-Jan-2010,34.34,34.9,34.2,34.81,3594500,NYSE
YUM,28-Jan-2010,34.99,35.22,34.3,34.34,3770600,NYSE
YUM,29-Jan-2010,34.53,34.82,34.19,34.21,2942200,NYSE
YUM,01-Feb-2010,34.45,35.45,34.39,35.42,3914700,NYSE
YUM,02-Feb-2010,35.42,35.93,35.19,35.82,3342500,NYSE
YUM,03-Feb-2010,35.52,35.59,34.97,35.34,3680600,NYSE
YUM,04-Feb-2010,34.88,35.19,33.33,33.4,9977900,NYSE
YUM,05-Feb-2010,33.49,33.63,32.74,32.98,7488000,NYSE
YUM,08-Feb-2010,33.14,33.22,32.65,32.72,4953500,NYSE
YUM,09-Feb-2010,32.9,33.21,32.49,33.07,7718500,NYSE
YUM,10-Feb-2010,32.99,33.32,32.94,33.16,4203100,NYSE
YUM,11-Feb-2010,33.13,33.43,32.93,33.39,3731600,NYSE
YUM,12-Feb-2010,33.03,33.52,32.87,33.36,5830100,NYSE
YUM,16-Feb-2010,33.4,33.65,33.35,33.6,3795500,NYSE
YUM,17-Feb-2010,33.72,33.87,33.55,33.66,2774200,NYSE
YUM,18-Feb-2010,33.67,33.87,33.55,33.67,2933700,NYSE
YUM,19-Feb-2010,33.52,33.82,33.46,33.79,2951700,NYSE
YUM,22-Feb-2010,33.8,33.84,33.49,33.68,3180000,NYSE
YUM,23-Feb-2010,33.66,33.77,33.4,33.58,3043200,NYSE
YUM,24-Feb-2010,33.73,33.81,33.46,33.71,2870100,NYSE
YUM,25-Feb-2010,33.38,33.74,33.26,33.7,5097400,NYSE
YUM,26-Feb-2010,33.73,33.86,33.59,33.72,2519200,NYSE
YUM,01-Mar-2010,33.77,34.0,33.61,33.88,2826600,NYSE
YUM,02-Mar-2010,34.04,34.15,33.88,34.08,4869500,NYSE
YUM,03-Mar-2010,34.16,34.27,33.86,33.97,2780100,NYSE
YUM,04-Mar-2010,34.09,34.22,33.74,34.02,2961000,NYSE
YUM,05-Mar-2010,34.13,34.91,33.98,34.87,5539300,NYSE
YUM,08-Mar-2010,35.1,35.65,35.02,35.41,4934700,NYSE
YUM,09-Mar-2010,36.19,36.99,36.05,36.6,10656200,NYSE
YUM,10-Mar-2010,36.69,36.97,36.47,36.88,5120100,NYSE
YUM,11-Mar-2010,36.78,37.38,36.71,37.3,3677500,NYSE
YUM,12-Mar-2010,37.5,37.6,37.09,37.47,4919100,NYSE
YUM,15-Mar-2010,37.35,37.68,37.26,37.68,3185900,NYSE
YUM,16-Mar-2010,37.7,37.73,37.3,37.63,2864200,NYSE
YUM,17-Mar-2010,37.64,38.86,37.6,38.64,7070300,NYSE
YUM,18-Mar-2010,38.54,38.63,38.1,38.15,4898600,NYSE
YUM,19-Mar-2010,38.29,38.55,37.86,37.94,6181000,NYSE
YUM,22-Mar-2010,37.79,38.25,37.79,38.15,3066700,NYSE
YUM,23-Mar-2010,38.33,38.4,37.98,38.25,3375900,NYSE
YUM,24-Mar-2010,38.28,38.28,37.89,37.92,3703600,NYSE
YUM,25-Mar-2010,38.19,38.45,38.05,38.05,3482500,NYSE
YUM,26-Mar-2010,38.17,38.39,38.1,38.27,2362500,NYSE
YUM,29-Mar-2010,38.49,38.61,37.89,38.18,3621500,NYSE
YUM,30-Mar-2010,38.17,38.49,38.1,38.38,3237000,NYSE
YUM,31-Mar-2010,38.22,38.43,37.99,38.33,3273600,NYSE
YUM,01-Apr-2010,38.48,39.24,38.48,39.2,5066200,NYSE
YUM,05-Apr-2010,39.46,40.27,39.29,40.04,5697100,NYSE
YUM,06-Apr-2010,39.99,40.07,39.75,39.8,5999700,NYSE
YUM,07-Apr-2010,39.84,40.28,39.75,40.15,4739100,NYSE
YUM,08-Apr-2010,40.11,40.21,39.78,40.07,4072200,NYSE
YUM,09-Apr-2010,40.22,40.7,40.02,40.7,3933200,NYSE
YUM,12-Apr-2010,40.91,41.11,40.7,40.78,4994800,NYSE
YUM,13-Apr-2010,40.9,41.31,40.61,41.16,7129100,NYSE
YUM,14-Apr-2010,41.14,41.84,41.09,41.68,9066400,NYSE
YUM,15-Apr-2010,42.29,43.76,42.25,42.78,11341800,NYSE
YUM,16-Apr-2010,42.5,42.75,42.04,42.7,9199300,NYSE
YUM,19-Apr-2010,42.69,42.87,42.34,42.68,4433400,NYSE
YUM,20-Apr-2010,42.91,43.12,42.53,43.1,3913400,NYSE
YUM,21-Apr-2010,43.1,43.37,42.76,43.11,3024000,NYSE
YUM,22-Apr-2010,42.98,43.27,42.75,43.18,3980100,NYSE
YUM,23-Apr-2010,43.27,43.47,42.94,43.44,3214200,NYSE
YUM,26-Apr-2010,43.53,44.0,43.48,43.94,4491700,NYSE
YUM,27-Apr-2010,43.83,43.87,42.59,42.78,4519600,NYSE
YUM,28-Apr-2010,42.9,42.96,41.98,42.35,4844100,NYSE
YUM,29-Apr-2010,42.53,43.14,42.51,42.77,3615900,NYSE
YUM,30-Apr-2010,42.85,42.94,42.25,42.42,3957300,NYSE
YUM,03-May-2010,42.63,43.22,42.52,43.07,2755500,NYSE
YUM,04-May-2010,42.81,42.81,41.55,41.68,4016000,NYSE
YUM,05-May-2010,41.09,41.81,40.68,41.36,4156500,NYSE
YUM,06-May-2010,41.05,41.5,37.54,40.07,5534300,NYSE
YUM,07-May-2010,39.79,40.4,38.75,39.61,6960700,NYSE
YUM,10-May-2010,40.99,42.2,40.93,42.08,8078200,NYSE
YUM,11-May-2010,41.63,42.45,41.58,41.81,4349000,NYSE
YUM,12-May-2010,42.19,42.5,41.77,42.41,4263700,NYSE
YUM,13-May-2010,42.37,42.66,41.41,41.46,4546500,NYSE
YUM,14-May-2010,41.13,41.33,40.23,40.57,4428200,NYSE
YUM,17-May-2010,40.59,41.25,40.33,41.13,6519200,NYSE
YUM,18-May-2010,41.75,42.1,41.02,41.1,3652800,NYSE
YUM,19-May-2010,40.9,41.17,40.16,40.85,3751600,NYSE
YUM,20-May-2010,39.98,40.41,39.58,39.64,6109000,NYSE
YUM,21-May-2010,38.87,40.22,38.6,40.15,5906000,NYSE
YUM,24-May-2010,40.04,40.31,39.69,39.76,3329600,NYSE
YUM,25-May-2010,38.77,40.01,38.25,39.97,4940300,NYSE
YUM,26-May-2010,40.32,40.71,39.94,39.99,5020500,NYSE
YUM,27-May-2010,40.55,41.43,40.45,41.4,3731700,NYSE
YUM,28-May-2010,41.25,41.65,40.77,40.95,2586900,NYSE
YUM,01-Jun-2010,40.77,41.33,40.35,40.49,2935400,NYSE
YUM,02-Jun-2010,40.58,41.41,40.25,41.41,3128900,NYSE
YUM,03-Jun-2010,41.62,42.15,41.54,41.92,3924000,NYSE
YUM,04-Jun-2010,41.36,41.6,40.7,40.86,4808600,NYSE
YUM,07-Jun-2010,40.76,40.76,39.75,39.77,4714800,NYSE
YUM,08-Jun-2010,39.82,40.95,39.46,40.89,6327900,NYSE
YUM,09-Jun-2010,41.1,41.94,41.02,41.21,7873400,NYSE
YUM,10-Jun-2010,41.78,42.31,41.66,42.05,3678500,NYSE
YUM,11-Jun-2010,41.7,42.26,41.7,42.0,4021000,NYSE
YUM,14-Jun-2010,42.21,42.74,42.07,42.18,3862900,NYSE
YUM,15-Jun-2010,42.42,43.38,42.42,43.38,5845400,NYSE
YUM,16-Jun-2010,43.01,43.03,42.58,42.73,4706500,NYSE
YUM,17-Jun-2010,42.78,43.01,42.26,42.58,4891200,NYSE
YUM,18-Jun-2010,42.69,42.79,42.33,42.49,4032200,NYSE
YUM,21-Jun-2010,43.47,43.5,42.59,42.79,7753500,NYSE
YUM,22-Jun-2010,43.15,43.15,41.92,41.99,5846400,NYSE
YUM,23-Jun-2010,42.11,42.17,41.31,41.41,5298300,NYSE
YUM,24-Jun-2010,41.21,41.37,40.81,40.97,6027700,NYSE
YUM,25-Jun-2010,41.07,41.31,40.74,40.96,5058200,NYSE
YUM,28-Jun-2010,41.13,41.21,40.47,40.52,2746100,NYSE
YUM,29-Jun-2010,40.08,40.17,39.17,39.37,5326400,NYSE
YUM,30-Jun-2010,39.4,39.67,38.94,39.04,4807800,NYSE
YUM,01-Jul-2010,38.95,39.25,38.25,39.09,5311400,NYSE
YUM,02-Jul-2010,39.14,39.25,38.41,38.53,3544200,NYSE
YUM,06-Jul-2010,38.98,39.58,38.43,38.7,5080300,NYSE
YUM,07-Jul-2010,38.82,39.77,38.66,39.71,4227800,NYSE
YUM,08-Jul-2010,39.86,40.2,39.7,39.98,4057000,NYSE
YUM,09-Jul-2010,39.89,40.33,39.89,40.27,2614400,NYSE
YUM,12-Jul-2010,40.31,41.06,40.02,40.87,5250200,NYSE
YUM,13-Jul-2010,41.74,41.82,41.21,41.71,6371000,NYSE
YUM,14-Jul-2010,40.07,41.15,39.75,41.0,10737500,NYSE
YUM,15-Jul-2010,41.0,41.27,40.31,41.2,5101600,NYSE
YUM,16-Jul-2010,40.95,41.2,39.96,40.07,4388600,NYSE
YUM,19-Jul-2010,40.07,40.33,39.57,40.0,3549700,NYSE
YUM,20-Jul-2010,39.49,41.2,39.42,41.15,4037200,NYSE
YUM,21-Jul-2010,41.29,41.29,39.67,39.86,5591700,NYSE
YUM,22-Jul-2010,40.26,41.26,40.12,41.17,4664300,NYSE
YUM,23-Jul-2010,41.0,41.7,40.85,41.62,4115900,NYSE
YUM,26-Jul-2010,41.62,42.27,41.54,42.14,3435500,NYSE
YUM,27-Jul-2010,42.36,42.56,41.87,41.94,3535500,NYSE
YUM,28-Jul-2010,41.84,42.24,41.37,41.52,3252700,NYSE
YUM,29-Jul-2010,41.84,42.14,41.09,41.33,3167500,NYSE
YUM,30-Jul-2010,41.07,41.57,40.72,41.3,3076000,NYSE
YUM,02-Aug-2010,41.79,42.16,41.72,42.04,2448500,NYSE
YUM,03-Aug-2010,42.0,42.05,41.33,41.39,3191300,NYSE
YUM,04-Aug-2010,41.59,41.89,41.41,41.75,2978200,NYSE
YUM,05-Aug-2010,41.76,42.45,41.56,42.41,4055800,NYSE
YUM,06-Aug-2010,42.0,42.4,41.73,42.36,3095900,NYSE
YUM,09-Aug-2010,42.56,43.1,42.56,42.69,3011800,NYSE
YUM,10-Aug-2010,42.43,42.72,42.0,42.39,3383400,NYSE
YUM,11-Aug-2010,41.8,41.8,41.05,41.15,3475100,NYSE
YUM,12-Aug-2010,40.7,41.17,40.54,41.0,2353200,NYSE
YUM,13-Aug-2010,40.8,41.04,40.62,40.85,2005500,NYSE
YUM,16-Aug-2010,40.73,41.04,40.51,40.93,1723200,NYSE
YUM,17-Aug-2010,41.21,42.25,41.02,42.02,2886000,NYSE
YUM,18-Aug-2010,41.81,42.47,41.6,42.17,2413200,NYSE
YUM,19-Aug-2010,42.03,42.27,41.45,41.91,2693200,NYSE
YUM,20-Aug-2010,41.55,42.4,41.55,42.32,2534700,NYSE
YUM,23-Aug-2010,42.42,42.64,41.88,41.91,3419400,NYSE
YUM,24-Aug-2010,41.41,41.96,41.0,41.59,3429000,NYSE
YUM,25-Aug-2010,41.29,42.53,41.14,42.32,4709400,NYSE
YUM,26-Aug-2010,42.49,42.66,42.26,42.36,5256200,NYSE
YUM,27-Aug-2010,42.57,42.79,42.06,42.32,4829500,NYSE
YUM,30-Aug-2010,42.29,42.38,41.7,41.7,2462000,NYSE
YUM,31-Aug-2010,41.56,41.96,41.35,41.7,4690900,NYSE
YUM,01-Sep-2010,42.0,42.7,41.94,42.6,8778100,NYSE
YUM,02-Sep-2010,42.81,43.94,42.81,43.85,5365700,NYSE
YUM,03-Sep-2010,43.85,44.38,43.67,44.35,4472600,NYSE
YUM,07-Sep-2010,44.25,44.69,44.07,44.28,2875500,NYSE
YUM,08-Sep-2010,44.18,44.89,44.05,44.51,3186200,NYSE
YUM,09-Sep-2010,44.25,44.38,43.66,43.85,3329800,NYSE
YUM,10-Sep-2010,44.03,44.55,43.84,44.52,3201600,NYSE
YUM,13-Sep-2010,44.89,45.65,44.8,45.54,5800700,NYSE
YUM,14-Sep-2010,45.5,46.25,45.29,45.52,4707500,NYSE
YUM,15-Sep-2010,45.38,46.28,45.24,45.92,3920200,NYSE
YUM,16-Sep-2010,45.99,46.13,45.52,45.82,2306100,NYSE
YUM,17-Sep-2010,45.96,46.08,45.61,45.75,2970500,NYSE
YUM,20-Sep-2010,45.8,46.66,45.7,46.58,2571100,NYSE
YUM,21-Sep-2010,46.72,46.91,46.28,46.44,4916500,NYSE
YUM,22-Sep-2010,46.41,46.63,46.11,46.47,3082900,NYSE
YUM,23-Sep-2010,46.28,46.58,45.71,45.82,2637300,NYSE
YUM,24-Sep-2010,46.18,46.75,46.09,46.5,3239800,NYSE
YUM,27-Sep-2010,46.58,46.8,46.32,46.37,2600900,NYSE
YUM,28-Sep-2010,46.42,46.63,45.94,46.44,6932200,NYSE
YUM,29-Sep-2010,46.45,46.64,46.07,46.28,3198200,NYSE
YUM,30-Sep-2010,46.56,46.85,45.96,46.06,4268700,NYSE
YUM,01-Oct-2010,46.31,46.62,46.13,46.48,3935300,NYSE
YUM,04-Oct-2010,46.37,46.65,46.09,46.42,3406000,NYSE
YUM,05-Oct-2010,46.7,47.5,46.66,46.8,5873300,NYSE
YUM,06-Oct-2010,46.92,47.45,46.72,47.36,6334300,NYSE
YUM,07-Oct-2010,47.63,47.63,46.93,47.21,3616500,NYSE
YUM,08-Oct-2010,47.34,48.01,47.03,47.65,4592700,NYSE
YUM,11-Oct-2010,47.7,47.77,47.35,47.58,2204400,NYSE
YUM,12-Oct-2010,47.35,47.93,47.16,47.9,2840400,NYSE
YUM,13-Oct-2010,48.01,48.06,47.58,47.96,3165100,NYSE
YUM,14-Oct-2010,48.1,48.44,47.72,48.42,4052400,NYSE
YUM,15-Oct-2010,48.7,48.9,48.48,48.85,4277200,NYSE
YUM,18-Oct-2010,48.79,48.83,48.48,48.62,2442400,NYSE
YUM,19-Oct-2010,48.11,48.23,47.13,47.69,3604000,NYSE
YUM,20-Oct-2010,48.05,48.72,47.83,48.44,3714200,NYSE
YUM,21-Oct-2010,48.68,49.4,48.45,48.8,4089100,NYSE
YUM,22-Oct-2010,48.97,49.63,48.78,49.57,2489300,NYSE
YUM,25-Oct-2010,49.77,50.07,49.57,49.88,3653000,NYSE
YUM,26-Oct-2010,49.77,49.9,49.51,49.81,2190000,NYSE
YUM,27-Oct-2010,49.36,49.48,48.45,49.04,3549600,NYSE
YUM,28-Oct-2010,49.36,49.39,48.79,49.26,2669400,NYSE
YUM,29-Oct-2010,49.06,49.58,49.0,49.56,2294600,NYSE
YUM,01-Nov-2010,49.9,50.18,49.47,49.8,2365700,NYSE
YUM,02-Nov-2010,50.18,50.69,50.08,50.54,1708300,NYSE
YUM,03-Nov-2010,50.66,51.1,50.36,50.84,2928700,NYSE
YUM,04-Nov-2010,51.27,52.47,51.06,51.48,4209000,NYSE
YUM,05-Nov-2010,51.64,51.66,51.19,51.33,2194700,NYSE
YUM,08-Nov-2010,51.31,51.91,51.17,51.69,2902500,NYSE
YUM,09-Nov-2010,51.8,51.83,50.51,50.66,3445200,NYSE
YUM,10-Nov-2010,50.71,51.72,50.52,51.39,3044600,NYSE
YUM,11-Nov-2010,51.1,52.1,51.05,51.9,3035600,NYSE
YUM,12-Nov-2010,51.67,51.93,50.59,50.79,2889000,NYSE
YUM,15-Nov-2010,51.06,51.33,50.46,51.12,3428500,NYSE
YUM,16-Nov-2010,50.75,50.87,49.07,49.28,5387900,NYSE
YUM,17-Nov-2010,49.22,49.68,48.64,49.64,5368900,NYSE
YUM,18-Nov-2010,50.32,51.06,50.09,50.55,4729700,NYSE
YUM,19-Nov-2010,50.62,50.81,50.3,50.79,2953900,NYSE
YUM,22-Nov-2010,50.56,50.89,49.96,50.64,3055000,NYSE
YUM,23-Nov-2010,50.12,50.35,49.47,49.7,3082000,NYSE
YUM,24-Nov-2010,50.11,50.56,49.91,50.56,2321000,NYSE
YUM,26-Nov-2010,50.37,50.37,49.8,50.05,959600,NYSE
YUM,29-Nov-2010,49.79,50.18,49.36,50.02,3365200,NYSE
YUM,30-Nov-2010,49.63,50.48,49.5,50.08,2802600,NYSE
YUM,01-Dec-2010,50.83,50.96,50.23,50.41,3662800,NYSE
YUM,02-Dec-2010,50.43,51.3,50.42,50.94,2864000,NYSE
YUM,03-Dec-2010,50.66,50.8,50.11,50.57,2846300,NYSE
YUM,06-Dec-2010,50.39,50.47,49.74,49.91,2819700,NYSE
YUM,07-Dec-2010,50.27,50.79,49.95,50.42,3068200,NYSE
YUM,08-Dec-2010,50.07,50.32,49.24,50.27,3505700,NYSE
YUM,09-Dec-2010,50.64,50.73,49.5,49.66,5546400,NYSE
YUM,10-Dec-2010,49.69,50.43,49.69,50.26,2985000,NYSE
YUM,13-Dec-2010,50.34,50.61,49.46,49.47,2901200,NYSE
YUM,14-Dec-2010,49.52,49.75,49.24,49.46,2620800,NYSE
YUM,15-Dec-2010,49.34,49.66,49.15,49.34,3306200,NYSE
YUM,16-Dec-2010,49.34,50.06,49.12,50.02,3304500,NYSE
YUM,17-Dec-2010,50.08,50.28,49.68,50.05,3724100,NYSE
YUM,20-Dec-2010,50.11,50.17,49.45,49.62,2328500,NYSE
YUM,21-Dec-2010,49.71,50.13,49.47,50.02,2073100,NYSE
YUM,22-Dec-2010,50.07,50.3,49.69,50.09,1465900,NYSE
YUM,23-Dec-2010,49.99,50.27,49.54,49.66,1630900,NYSE
YUM,27-Dec-2010,49.68,49.68,49.2,49.52,1002800,NYSE
YUM,28-Dec-2010,49.57,49.64,48.92,49.23,1479700,NYSE
YUM,29-Dec-2010,49.38,49.86,49.35,49.6,1763300,NYSE
YUM,30-Dec-2010,49.58,49.65,49.18,49.31,1205700,NYSE
YUM,31-Dec-2010,49.12,49.41,49.02,49.05,1147200,NYSE
YUM,03-Jan-2011,49.3,49.51,48.98,49.09,3403800,NYSE
YUM,04-Jan-2011,49.08,49.1,47.77,48.34,4908400,NYSE
YUM,05-Jan-2011,48.13,48.8,48.0,48.57,3698800,NYSE
YUM,06-Jan-2011,48.95,49.06,48.53,48.91,4095200,NYSE
YUM,07-Jan-2011,49.01,49.62,48.89,49.52,3379400,NYSE
YUM,10-Jan-2011,49.32,49.83,49.1,49.59,2997400,NYSE
YUM,11-Jan-2011,49.95,49.98,49.19,49.27,2228900,NYSE
YUM,12-Jan-2011,49.41,49.59,49.09,49.15,2267300,NYSE
YUM,13-Jan-2011,49.24,49.42,48.82,48.9,2323500,NYSE
YUM,14-Jan-2011,48.61,48.67,47.8,47.84,4968100,NYSE
YUM,18-Jan-2011,47.83,49.51,47.78,49.25,5576200,NYSE
YUM,19-Jan-2011,49.31,49.41,48.95,49.29,3288100,NYSE
YUM,20-Jan-2011,49.27,49.51,48.53,48.64,3912700,NYSE
YUM,21-Jan-2011,48.76,48.79,48.06,48.27,4008000,NYSE
YUM,24-Jan-2011,48.24,48.42,48.05,48.3,3001400,NYSE
YUM,25-Jan-2011,48.27,48.41,47.8,48.0,3189300,NYSE
YUM,26-Jan-2011,48.15,48.26,47.75,47.77,3322000,NYSE
YUM,27-Jan-2011,47.77,48.26,47.55,47.59,3917200,NYSE
YUM,28-Jan-2011,47.75,48.24,46.27,46.4,5504900,NYSE
YUM,31-Jan-2011,46.49,46.97,46.34,46.76,3755700,NYSE
YUM,01-Feb-2011,46.96,47.76,46.76,47.42,3224900,NYSE
YUM,02-Feb-2011,47.67,47.91,47.27,47.73,3851100,NYSE
YUM,03-Feb-2011,49.11,50.17,49.0,49.23,8249200,NYSE
YUM,04-Feb-2011,49.35,49.64,48.78,49.3,3621900,NYSE
YUM,07-Feb-2011,49.34,49.87,49.1,49.4,3817400,NYSE
YUM,08-Feb-2011,49.53,49.98,49.4,49.59,2438600,NYSE
YUM,09-Feb-2011,49.49,49.79,49.14,49.5,2217500,NYSE
YUM,10-Feb-2011,49.35,49.77,49.09,49.74,2830900,NYSE
YUM,11-Feb-2011,49.22,49.82,49.08,49.77,2319700,NYSE
YUM,14-Feb-2011,49.7,50.4,49.3,50.3,3072900,NYSE
YUM,15-Feb-2011,50.05,50.86,49.9,50.73,3103800,NYSE
YUM,16-Feb-2011,50.97,51.48,50.82,51.18,3120200,NYSE
YUM,17-Feb-2011,51.06,51.44,50.83,51.38,2875200,NYSE
YUM,18-Feb-2011,51.64,51.64,50.85,51.17,2372800,NYSE
YUM,22-Feb-2011,51.05,51.05,49.57,49.72,4625000,NYSE
YUM,23-Feb-2011,49.69,50.08,48.56,49.27,3541300,NYSE
YUM,24-Feb-2011,48.98,49.48,48.67,49.37,2939400,NYSE
YUM,25-Feb-2011,49.58,50.15,49.47,50.01,2569100,NYSE
YUM,28-Feb-2011,50.03,50.53,49.96,50.33,2479800,NYSE
YUM,01-Mar-2011,50.58,50.58,49.68,49.85,3417800,NYSE
YUM,02-Mar-2011,49.67,49.8,48.91,49.48,2652600,NYSE
YUM,03-Mar-2011,49.84,50.66,49.81,50.66,2606600,NYSE
YUM,04-Mar-2011,50.68,51.04,50.56,50.97,3116600,NYSE
YUM,07-Mar-2011,51.06,51.46,50.46,50.84,2783500,NYSE
YUM,08-Mar-2011,51.04,52.19,51.03,52.15,4759600,NYSE
YUM,09-Mar-2011,52.15,52.66,52.04,52.66,4197200,NYSE
YUM,10-Mar-2011,52.05,53.19,51.86,52.85,4578600,NYSE
YUM,11-Mar-2011,52.62,52.79,51.9,52.58,3160400,NYSE
YUM,14-Mar-2011,52.19,52.43,51.52,51.9,2324800,NYSE
YUM,15-Mar-2011,50.47,51.23,50.31,50.95,3095000,NYSE
YUM,16-Mar-2011,50.92,51.38,50.53,50.85,3675342,NYSE
YUM,17-Mar-2011,51.23,51.48,50.72,50.99,3728000,NYSE
YUM,18-Mar-2011,51.51,51.69,50.8,51.0,2492300,NYSE
YUM,21-Mar-2011,51.59,51.72,51.08,51.25,2619000,NYSE
YUM,22-Mar-2011,51.33,51.35,50.63,50.82,1860200,NYSE
YUM,23-Mar-2011,50.68,51.34,50.35,51.09,2457100,NYSE
